Date,SWEDEN MID VALUE Mid Cap
1994-05-31,119.09
1994-06-30,115.132
1994-07-29,122.987
1994-08-31,117.488
1994-09-30,125.58
1994-10-31,129.714
1994-11-30,129.453
1994-12-30,130.114
1995-01-31,131.492
1995-02-28,133.481
1995-03-31,119.417
1995-04-28,135.595
1995-05-31,137.191
1995-06-30,139.656
1995-07-31,151.853
1995-08-31,142.32
1995-09-29,158.038
1995-10-31,151.07
1995-11-30,162.974
1995-12-29,161.409
1996-01-31,156.487
1996-02-29,169.101
1996-03-29,173.141
1996-04-30,186.13
1996-05-31,187.832
1996-06-28,194.067
1996-07-31,188.832
1996-08-30,196.122
1996-09-30,209.373
1996-10-31,211.001
1996-11-29,222.769
1996-12-31,221.341
1997-01-31,216.798
1997-02-28,225.319
1997-03-31,237.019
1997-04-30,217.308
1997-05-30,237.577
1997-06-30,247.722
1997-07-31,252.33
1997-08-29,246.261
1997-09-30,267.374
1997-10-31,253.523
1997-11-28,263.98
1997-12-31,253.029
1998-01-30,246.789
1998-02-27,260.277
1998-03-31,277.783
1998-04-30,280.747
1998-05-29,286.064
1998-06-30,258.492
1998-07-31,244.283
1998-08-31,210.747
1998-09-30,202.852
1998-10-30,193.841
1998-11-30,192.482
1998-12-31,186.305
1999-01-29,201.488
1999-02-26,199.37
1999-03-31,206.044
1999-04-30,223.576
1999-05-31,224.104
1999-06-30,228.94
1999-07-30,241.752
1999-08-31,259.88
1999-09-30,251.255
1999-10-29,251.348
1999-11-30,253.797
1999-12-31,263.995
2000-01-31,245.667
2000-02-29,242.499
2000-03-31,242.536
2000-04-28,233.629
2000-05-31,238.126
2000-06-30,226.292
2000-07-31,225.884
2000-08-31,226.881
2000-09-29,210.079
2000-10-31,226.256
2000-11-30,217.066
2000-12-29,232.704
2001-01-31,255.78
2001-02-28,246.367
2001-03-30,213.081
2001-04-30,234.195
2001-05-31,228.063
2001-06-29,218.024
2001-07-31,219.743
2001-08-31,209.294
2001-09-28,182.662
2001-10-31,197.543
2001-11-30,215.376
2001-12-31,222.644
2002-01-31,221.9
2002-02-28,238.617
2002-03-29,243.546
2002-04-30,249.603
2002-05-31,253.986
2002-06-28,264.845
2002-07-31,232.944
2002-08-30,228.456
2002-09-30,205.629
2002-10-31,215.554
2002-11-29,243.176
2002-12-31,221.244
2003-01-31,209.474
2003-02-28,223.029
2003-03-31,218.796
2003-04-30,263.883
2003-05-30,270.875
2003-06-30,274.205
2003-07-31,288.873
2003-08-29,289.876
2003-09-30,297.253
2003-10-31,326.218
2003-11-28,336.494
2003-12-31,362.534
2004-01-30,361.971
2004-02-27,355.347
2004-03-31,350.618
2004-04-30,357.855
2004-05-31,364.748
2004-06-30,366.488
2004-07-30,353.522
2004-08-31,359.953
2004-09-30,377.847
2004-10-29,390.417
2004-11-30,439.452
2004-12-31,452.635
2005-01-31,442.961
2005-02-28,478.579
2005-03-31,460.031
2005-04-29,436.625
2005-05-31,460.947
2005-06-30,450.309
2005-07-29,484.383
2005-08-31,494.393
2005-09-30,528.153
2005-10-31,504.985
2005-11-30,520.285
2005-12-30,559.084
2006-01-31,580.601
2006-02-28,593.529
2006-03-31,635.889
2006-04-28,684.636
2006-05-31,629.905
2006-06-30,639.949
2006-07-31,631.408
2006-08-31,658.076
2006-09-29,701.309
2006-10-31,750.521
2006-11-30,773.816
2006-12-29,843.88
2007-01-31,872.237
2007-02-28,877.322
2007-03-30,949.095
2007-04-30,1001.362
2007-05-31,1000.0
2007-06-29,956.344
2007-07-31,977.851
2007-08-31,889.555
2007-09-28,869.432
2007-10-31,836.477
2007-11-30,791.689
2007-12-31,756.671
2008-01-31,669.117
2008-02-29,739.172
2008-03-31,755.852
2008-04-30,717.998
2008-05-30,738.112
2008-06-30,622.605
2008-07-31,580.231
2008-08-29,583.448
2008-09-30,486.34
2008-10-31,372.142
2008-11-28,342.139
2008-12-31,367.596
2009-01-30,315.522
2009-02-27,277.781
2009-03-31,329.12
2009-04-30,440.622
2009-05-29,492.362
2009-06-30,471.838
2009-07-31,584.18
2009-08-31,645.531
2009-09-30,652.6
2009-10-30,664.278
2009-11-30,684.253
2009-12-31,690.519
2010-01-29,657.09
2010-02-26,691.472
2010-03-31,733.459
2010-04-30,739.955
2010-05-31,636.494
2010-06-30,643.316
2010-07-30,762.801
2010-08-31,712.497
2010-09-30,855.409
2010-10-29,878.966
2010-11-30,832.989
2010-12-31,924.165
2011-01-31,986.936
2011-02-28,982.983
2011-03-31,989.707
2011-04-29,1044.461
2011-05-31,992.406
2011-06-30,926.65
2011-07-29,887.813
2011-08-31,796.495
2011-09-30,682.144
2011-10-31,831.062
2011-11-30,806.548
2011-12-30,804.673
2012-01-31,892.252
2012-02-29,965.546
2012-03-30,941.737
2012-04-30,913.941
2012-05-31,774.328
2012-06-29,838.944
2012-07-31,904.471
2012-08-31,909.484
2012-09-28,944.811
2012-10-31,955.587
2012-11-30,989.727
2012-12-31,1043.573
2013-01-31,1120.064
