Date,SWEDEN MID VALUE Mid Cap
2001-01-01,232.704
2001-01-02,229.889
2001-01-03,222.253
2001-01-04,229.986
2001-01-05,236.333
2001-01-08,234.236
2001-01-09,232.131
2001-01-10,236.649
2001-01-11,245.785
2001-01-12,248.019
2001-01-15,245.854
2001-01-16,243.636
2001-01-17,241.002
2001-01-18,245.96
2001-01-19,245.516
2001-01-22,243.708
2001-01-23,243.917
2001-01-24,241.731
2001-01-25,242.427
2001-01-26,241.816
2001-01-29,243.463
2001-01-30,248.835
2001-01-31,255.78
2001-02-01,257.29
2001-02-02,255.783
2001-02-05,253.056
2001-02-06,252.565
2001-02-07,251.832
2001-02-08,249.387
2001-02-09,247.625
2001-02-12,249.675
2001-02-13,247.209
2001-02-14,244.119
2001-02-15,244.412
2001-02-16,245.358
2001-02-19,246.445
2001-02-20,245.784
2001-02-21,243.063
2001-02-22,238.957
2001-02-23,238.828
2001-02-26,242.225
2001-02-27,245.517
2001-02-28,246.367
2001-03-01,246.279
2001-03-02,247.674
2001-03-05,246.672
2001-03-06,250.202
2001-03-07,249.746
2001-03-08,251.3
2001-03-09,250.018
2001-03-12,244.708
2001-03-13,236.324
2001-03-14,233.907
2001-03-15,233.803
2001-03-16,225.639
2001-03-19,225.154
2001-03-20,220.381
2001-03-21,213.989
2001-03-22,203.692
2001-03-23,209.789
2001-03-26,215.518
2001-03-27,218.054
2001-03-28,214.732
2001-03-29,211.447
2001-03-30,213.081
2001-04-02,210.612
2001-04-03,209.012
2001-04-04,210.963
2001-04-05,215.519
2001-04-06,217.621
2001-04-09,222.092
2001-04-10,222.995
2001-04-11,222.021
2001-04-12,221.984
2001-04-13,221.984
2001-04-16,219.657
2001-04-17,219.864
2001-04-18,222.382
2001-04-19,228.255
2001-04-20,226.846
2001-04-23,223.644
2001-04-24,222.678
2001-04-25,224.056
2001-04-26,227.163
2001-04-27,230.243
2001-04-30,234.195
2001-05-01,235.175
2001-05-02,232.257
2001-05-03,228.075
2001-05-04,231.761
2001-05-07,235.291
2001-05-08,232.28
2001-05-09,230.292
2001-05-10,235.999
2001-05-11,235.027
2001-05-14,231.802
2001-05-15,231.681
2001-05-16,231.329
2001-05-17,236.193
2001-05-18,239.84
2001-05-21,242.165
2001-05-22,240.786
2001-05-23,236.834
2001-05-24,236.071
2001-05-25,234.039
2001-05-28,234.337
2001-05-29,232.024
2001-05-30,230.574
2001-05-31,228.063
2001-06-01,227.255
2001-06-04,226.072
2001-06-05,228.974
2001-06-06,228.834
2001-06-07,227.715
2001-06-08,226.764
2001-06-11,222.94
2001-06-12,224.209
2001-06-13,227.353
2001-06-14,223.491
2001-06-15,226.714
2001-06-18,225.76
2001-06-19,223.351
2001-06-20,216.304
2001-06-21,216.664
2001-06-22,217.117
2001-06-25,221.818
2001-06-26,217.412
2001-06-27,218.613
2001-06-28,217.797
2001-06-29,218.024
2001-07-02,218.451
2001-07-03,219.417
2001-07-04,217.974
2001-07-05,215.605
2001-07-06,211.184
2001-07-09,211.166
2001-07-10,212.231
2001-07-11,212.912
2001-07-12,212.826
2001-07-13,215.252
2001-07-16,217.763
2001-07-17,212.138
2001-07-18,214.402
2001-07-19,217.881
2001-07-20,217.864
2001-07-23,216.947
2001-07-24,217.958
2001-07-25,217.313
2001-07-26,219.148
2001-07-27,219.575
2001-07-30,220.443
2001-07-31,219.743
2001-08-01,220.378
2001-08-02,222.728
2001-08-03,226.245
2001-08-06,225.764
2001-08-07,225.121
2001-08-08,224.527
2001-08-09,224.47
2001-08-10,224.892
2001-08-13,226.958
2001-08-14,227.822
2001-08-15,228.655
2001-08-16,226.68
2001-08-17,223.915
2001-08-20,215.948
2001-08-21,217.556
2001-08-22,219.167
2001-08-23,220.911
2001-08-24,223.151
2001-08-27,222.582
2001-08-28,218.513
2001-08-29,215.874
2001-08-30,210.194
2001-08-31,209.294
2001-09-03,204.888
2001-09-04,205.64
2001-09-05,208.177
2001-09-06,207.824
2001-09-07,206.042
2001-09-10,203.035
2001-09-11,191.779
2001-09-12,193.666
2001-09-13,196.068
2001-09-14,195.936
2001-09-17,192.67
2001-09-18,187.748
2001-09-19,191.094
2001-09-20,179.391
2001-09-21,170.841
2001-09-24,172.998
2001-09-25,180.733
2001-09-26,178.127
2001-09-27,178.44
2001-09-28,182.662
2001-10-01,185.046
2001-10-02,183.848
2001-10-03,184.674
2001-10-04,195.498
2001-10-05,196.434
2001-10-08,195.811
2001-10-09,198.22
2001-10-10,199.201
2001-10-11,204.351
2001-10-12,204.887
2001-10-15,203.252
2001-10-16,204.778
2001-10-17,202.247
2001-10-18,198.805
2001-10-19,194.515
2001-10-22,193.429
2001-10-23,200.108
2001-10-24,200.216
2001-10-25,199.283
2001-10-26,201.953
2001-10-29,201.452
2001-10-30,197.302
2001-10-31,197.543
2001-11-01,197.455
2001-11-02,199.772
2001-11-05,201.458
2001-11-06,201.76
2001-11-07,203.89
2001-11-08,204.405
2001-11-09,203.725
2001-11-12,201.219
