Date,SWEDEN MID VALUE Mid Cap
1994-05-31,133.627
1994-06-30,129.002
1994-07-29,137.804
1994-08-31,131.642
1994-09-30,140.708
1994-10-31,145.34
1994-11-30,145.049
1994-12-30,145.789
1995-01-31,147.332
1995-02-28,149.562
1995-03-31,133.803
1995-04-28,151.737
1995-05-31,152.79
1995-06-30,155.536
1995-07-31,169.12
1995-08-31,158.503
1995-09-29,176.008
1995-10-31,168.247
1995-11-30,181.506
1995-12-29,179.762
1996-01-31,174.28
1996-02-29,188.329
1996-03-29,192.828
1996-04-30,206.376
1996-05-31,206.67
1996-06-28,213.53
1996-07-31,207.77
1996-08-30,215.791
1996-09-30,230.372
1996-10-31,232.162
1996-11-29,245.111
1996-12-31,243.539
1997-01-31,238.541
1997-02-28,247.916
1997-03-31,260.79
1997-04-30,237.883
1997-05-30,259.581
1997-06-30,270.667
1997-07-31,275.701
1997-08-29,269.07
1997-09-30,292.139
1997-10-31,277.005
1997-11-28,288.43
1997-12-31,276.464
1998-01-30,269.646
1998-02-27,284.384
1998-03-31,303.511
1998-04-30,304.618
1998-05-29,310.354
1998-06-30,280.44
1998-07-31,265.025
1998-08-31,228.642
1998-09-30,220.077
1998-10-30,210.3
1998-11-30,208.826
1998-12-31,202.125
1999-01-29,218.597
1999-02-26,216.299
1999-03-31,223.187
1999-04-30,241.146
1999-05-31,241.715
1999-06-30,246.931
1999-07-30,260.75
1999-08-31,280.303
1999-09-30,271.0
1999-10-29,271.1
1999-11-30,273.741
1999-12-31,284.741
2000-01-31,264.972
2000-02-29,261.556
2000-03-31,261.267
2000-04-28,250.468
2000-05-31,254.783
2000-06-30,242.121
2000-07-31,241.685
2000-08-31,242.751
2000-09-29,224.774
2000-10-31,242.083
2000-11-30,232.25
2000-12-29,248.981
2001-01-31,273.671
2001-02-28,263.6
2001-03-30,227.698
2001-04-30,248.958
2001-05-31,241.905
2001-06-29,231.257
2001-07-31,233.081
2001-08-31,221.997
2001-09-28,193.749
2001-10-31,209.532
2001-11-30,228.448
2001-12-31,236.158
2002-01-31,235.368
2002-02-28,253.1
2002-03-29,258.13
2002-04-30,263.237
2002-05-31,267.594
2002-06-28,279.035
2002-07-31,245.425
2002-08-30,240.696
2002-09-30,216.647
2002-10-31,227.102
2002-11-29,256.205
2002-12-31,233.097
2003-01-31,220.697
2003-02-28,234.979
2003-03-31,230.518
2003-04-30,275.741
2003-05-30,282.515
2003-06-30,285.988
2003-07-31,301.286
2003-08-29,302.333
2003-09-30,310.027
2003-10-31,340.236
2003-11-28,350.954
2003-12-31,378.113
2004-01-30,377.526
2004-02-27,370.617
2004-03-31,365.35
2004-04-30,369.888
2004-05-31,376.246
2004-06-30,378.041
2004-07-30,364.666
2004-08-31,371.3
2004-09-30,389.758
2004-10-29,402.724
2004-11-30,453.306
2004-12-31,466.903
2005-01-31,456.925
2005-02-28,493.666
2005-03-31,474.533
2005-04-29,446.95
2005-05-31,470.229
2005-06-30,459.377
2005-07-29,494.137
2005-08-31,504.348
2005-09-30,538.789
2005-10-31,515.154
2005-11-30,530.762
2005-12-30,570.343
2006-01-31,592.292
2006-02-28,605.481
2006-03-31,646.792
2006-04-28,693.353
2006-05-31,636.381
2006-06-30,646.529
2006-07-31,637.9
2006-08-31,664.842
2006-09-29,708.519
2006-10-31,758.237
2006-11-30,781.772
2006-12-29,852.557
2007-01-31,881.205
2007-02-28,886.342
2007-03-30,956.463
2007-04-30,1001.362
2007-05-31,1000.0
2007-06-29,956.344
2007-07-31,977.851
2007-08-31,889.555
2007-09-28,869.432
2007-10-31,836.477
2007-11-30,791.689
2007-12-31,756.671
2008-01-31,669.117
2008-02-29,739.172
2008-03-31,755.852
2008-04-30,708.024
2008-05-30,725.837
2008-06-30,612.251
2008-07-31,570.582
2008-08-29,573.745
2008-09-30,478.252
2008-10-31,365.953
2008-11-28,336.449
2008-12-31,361.482
2009-01-30,310.274
2009-02-27,273.161
2009-03-31,323.433
2009-04-30,429.224
2009-05-29,479.626
2009-06-30,459.633
2009-07-31,569.069
2009-08-31,628.832
2009-09-30,635.719
2009-10-30,647.095
2009-11-30,666.553
2009-12-31,672.657
2010-01-29,640.093
2010-02-26,673.585
2010-03-31,714.029
2010-04-30,716.407
2010-05-31,614.326
2010-06-30,620.91
2010-07-30,736.234
2010-08-31,687.683
2010-09-30,825.616
2010-10-29,848.353
2010-11-30,803.978
2010-12-31,891.978
2011-01-31,952.563
2011-02-28,948.747
2011-03-31,954.117
2011-04-29,1001.135
2011-05-31,947.412
2011-06-30,884.637
2011-07-29,847.561
2011-08-31,760.383
2011-09-30,651.216
2011-10-31,793.383
2011-11-30,769.981
2011-12-30,768.19
2012-01-31,851.798
2012-02-29,921.769
2012-03-30,893.656
2012-04-30,864.201
2012-05-31,729.644
2012-06-29,790.53
2012-07-31,852.276
2012-08-31,857.0
2012-09-28,890.288
2012-10-31,900.443
2012-11-30,932.612
2012-12-31,983.351
2013-01-31,1055.428
2013-02-28,1060.977
2013-03-29,1086.687
2013-04-30,1104.169
2013-05-31,1095.47
2013-06-28,1011.089
2013-07-31,1154.521
2013-08-30,1164.877
2013-09-30,1243.276
2013-10-31,1232.783
2013-11-29,1243.632
2013-12-31,1336.34
2014-01-31,1256.64
2014-02-28,1337.839
2014-03-31,1341.356
2014-04-30,1353.604
2014-05-30,1368.626
2014-06-30,1386.009
2014-07-31,1346.726
2014-08-29,1345.461
2014-09-30,1292.806
2014-10-31,1280.029
2014-11-28,1361.944
2014-12-31,1312.37
2015-01-30,1301.815
2015-02-27,1427.767
2015-03-31,1367.871
2015-04-30,1436.845
2015-05-29,1382.173
2015-06-30,1354.33
2015-07-31,1360.974
2015-08-31,1282.174
2015-09-30,1256.008
2015-10-30,1285.522
2015-11-30,1292.244
2015-12-31,1259.265
2016-01-29,1179.531
2016-02-29,1230.252
2016-03-31,1353.041
2016-04-29,1398.056
2016-05-31,1370.198
2016-06-30,1308.68
2016-07-29,1323.047
2016-08-31,1359.332
2016-09-30,1401.203
2016-10-31,1335.102
2016-11-30,1362.357
2016-12-30,1416.908
2017-01-31,1515.641
2017-02-28,1505.912
2017-03-31,1561.855
2017-04-28,1652.381
2017-05-31,1692.34
2017-06-30,1715.674
2017-07-31,1746.669
2017-08-31,1733.194
2017-09-29,1815.192
2017-10-31,1856.882
2017-11-30,1818.964
2017-12-29,1773.894
2018-01-31,1889.849
2018-02-28,1714.198
2018-03-30,1703.728
2018-04-30,1684.623
2018-05-31,1619.243
2018-06-29,1606.064
2018-07-31,1684.18
2018-08-31,1640.237
2018-09-28,1711.188
2018-10-31,1522.946
2018-11-30,1532.803
2018-12-31,1552.062
2019-01-31,1591.971
2019-02-28,1643.059
2019-03-29,1682.553
2019-04-30,1652.597
2019-05-31,1602.28
2019-06-28,1720.097
2019-07-31,1745.968
2019-08-30,1794.727
2019-09-30,1812.104
2019-10-31,1846.339
2019-11-29,1884.545
2019-12-31,1975.846
2020-01-31,1897.127
2020-02-28,1729.369
2020-03-31,1377.867
2020-04-30,1575.745
2020-05-29,1725.144
2020-06-30,1779.203
2020-07-31,1934.556
2020-08-31,2037.212
2020-09-30,2054.457
2020-10-30,1926.04
2020-11-30,2279.591
2020-12-31,2396.471
2021-01-29,2400.882
2021-02-26,2488.393
2021-03-31,2545.889
2021-04-30,2587.762
2021-05-31,2704.657
2021-06-30,2610.484
2021-07-30,2755.047
2021-08-31,2629.531
2021-09-30,2419.609
2021-10-29,2491.553
2021-11-30,2396.661
2021-12-31,2561.581
2022-01-31,2423.99
2022-02-28,2301.261
2022-03-31,2413.765
2022-04-29,2252.252
2022-05-31,2157.086
2022-06-30,1799.793
2022-07-29,1924.81
2022-08-31,1784.233
2022-09-30,1579.713
2022-10-31,1652.719
2022-11-30,1850.497
2022-12-30,1824.954
2023-01-31,2035.967
2023-02-28,2033.144
2023-03-31,1983.784
2023-04-28,2032.068
2023-05-31,1769.548
2023-06-30,1779.714
2023-07-31,1882.293
2023-08-31,1734.781
2023-09-29,1819.256
2023-10-31,1731.588
2023-11-30,1926.084
2023-12-29,2092.658
2024-01-31,1995.345
2024-02-29,2045.107
2024-03-29,2113.062
2024-04-30,2110.156
2024-05-31,2210.771
2024-06-28,2148.532
2024-07-31,2164.974
2024-08-30,2276.116
2024-09-30,2393.763
2024-10-31,2173.378
2024-11-29,2169.114
2024-12-31,2094.405
2025-01-31,2259.037
2025-02-28,2409.957
2025-03-31,2364.304
2025-04-30,2458.939
2025-05-30,2503.599
2025-06-30,2461.993
2025-07-31,2472.399
2025-08-29,2656.952
2025-09-30,2706.706
2025-10-31,2788.045
