Date,SWEDEN MID VALUE Mid Cap
2001-01-01,248.981
2001-01-02,245.969
2001-01-03,237.799
2001-01-04,246.073
2001-01-05,252.864
2001-01-08,250.621
2001-01-09,248.369
2001-01-10,253.202
2001-01-11,262.977
2001-01-12,265.367
2001-01-15,263.051
2001-01-16,260.678
2001-01-17,257.86
2001-01-18,263.164
2001-01-19,262.689
2001-01-22,260.755
2001-01-23,260.979
2001-01-24,258.64
2001-01-25,259.385
2001-01-26,258.73
2001-01-29,260.493
2001-01-30,266.24
2001-01-31,273.671
2001-02-01,275.287
2001-02-02,273.674
2001-02-05,270.757
2001-02-06,270.231
2001-02-07,269.448
2001-02-08,266.831
2001-02-09,264.946
2001-02-12,267.14
2001-02-13,264.501
2001-02-14,261.194
2001-02-15,261.508
2001-02-16,262.52
2001-02-19,263.684
2001-02-20,262.976
2001-02-21,260.065
2001-02-22,255.671
2001-02-23,255.534
2001-02-26,259.168
2001-02-27,262.691
2001-02-28,263.6
2001-03-01,263.506
2001-03-02,264.998
2001-03-05,263.927
2001-03-06,267.703
2001-03-07,267.216
2001-03-08,268.878
2001-03-09,267.507
2001-03-12,261.825
2001-03-13,252.854
2001-03-14,250.268
2001-03-15,250.157
2001-03-16,241.422
2001-03-19,240.904
2001-03-20,235.796
2001-03-21,228.752
2001-03-22,217.665
2001-03-23,224.181
2001-03-26,230.303
2001-03-27,233.013
2001-03-28,229.463
2001-03-29,225.953
2001-03-30,227.698
2001-04-02,225.06
2001-04-03,223.35
2001-04-04,225.436
2001-04-05,230.304
2001-04-06,232.55
2001-04-09,237.328
2001-04-10,238.293
2001-04-11,237.252
2001-04-12,237.213
2001-04-13,237.213
2001-04-16,234.726
2001-04-17,234.947
2001-04-18,237.638
2001-04-19,243.913
2001-04-20,242.408
2001-04-23,238.987
2001-04-24,237.76
2001-04-25,239.03
2001-04-26,242.344
2001-04-27,244.757
2001-04-30,248.958
2001-05-01,249.999
2001-05-02,246.898
2001-05-03,242.452
2001-05-04,245.986
2001-05-07,249.732
2001-05-08,246.536
2001-05-09,244.426
2001-05-10,250.483
2001-05-11,249.452
2001-05-14,246.029
