Date,WORLD SMID VALUE SMID (Small+Mid Cap)
1994-05-31,248.757
1994-06-30,252.358
1994-07-29,255.189
1994-08-31,258.876
1994-09-30,252.652
1994-10-31,253.933
1994-11-30,240.501
1994-12-30,244.393
1995-01-31,241.869
1995-02-28,241.889
1995-03-31,250.231
1995-04-28,256.45
1995-05-31,255.143
1995-06-30,254.728
1995-07-31,266.191
1995-08-31,263.257
1995-09-29,265.273
1995-10-31,257.973
1995-11-30,264.533
1995-12-29,272.702
1996-01-31,276.469
1996-02-29,279.883
1996-03-29,284.852
1996-04-30,295.906
1996-05-31,295.674
1996-06-28,295.53
1996-07-31,284.4
1996-08-30,287.924
1996-09-30,292.54
1996-10-31,291.698
1996-11-29,300.596
1996-12-31,299.38
1997-01-31,297.061
1997-02-28,299.954
1997-03-31,293.172
1997-04-30,293.451
1997-05-30,314.94
1997-06-30,326.828
1997-07-31,331.648
1997-08-29,324.535
1997-09-30,336.763
1997-10-31,327.203
1997-11-28,322.937
1997-12-31,324.42
1998-01-30,329.587
1998-02-27,351.126
1998-03-31,365.97
1998-04-30,367.297
1998-05-29,362.283
1998-06-30,354.484
1998-07-31,342.92
1998-08-31,296.782
1998-09-30,300.452
1998-10-30,320.496
1998-11-30,331.225
1998-12-31,338.143
1999-01-29,331.783
1999-02-26,322.103
1999-03-31,331.509
1999-04-30,358.165
1999-05-31,355.352
1999-06-30,367.13
1999-07-30,370.102
1999-08-31,366.795
1999-09-30,361.49
1999-10-29,359.39
1999-11-30,356.778
1999-12-31,367.039
2000-01-31,353.702
2000-02-29,351.751
2000-03-31,369.091
2000-04-28,357.252
2000-05-31,358.453
2000-06-30,370.937
2000-07-31,365.333
2000-08-31,380.674
2000-09-29,372.674
2000-10-31,363.2
2000-11-30,358.029
2000-12-29,379.741
2001-01-31,387.322
2001-02-28,381.15
2001-03-30,364.091
2001-04-30,386.507
2001-05-31,394.007
2001-06-29,391.527
2001-07-31,386.2
2001-08-31,385.0
2001-09-28,343.209
2001-10-31,350.132
2001-11-30,365.775
2001-12-31,374.194
2002-01-31,371.429
2002-02-28,378.054
2002-03-29,400.513
2002-04-30,409.933
2002-05-31,416.101
2002-06-28,397.684
2002-07-31,360.404
2002-08-30,362.561
2002-09-30,330.703
2002-10-31,337.448
2002-11-29,354.906
2002-12-31,348.789
2003-01-31,340.152
2003-02-28,334.022
2003-03-31,333.255
2003-04-30,362.444
2003-05-30,392.72
2003-06-30,400.14
2003-07-31,413.323
2003-08-29,428.817
2003-09-30,435.59
2003-10-31,465.284
2003-11-28,475.428
2003-12-31,502.351
2004-01-30,515.831
2004-02-27,531.813
2004-03-31,541.619
2004-04-30,521.174
2004-05-31,528.456
2004-06-30,549.867
2004-07-30,534.753
2004-08-31,540.863
2004-09-30,557.703
2004-10-29,571.471
2004-11-30,613.326
2004-12-31,639.413
2005-01-31,630.585
2005-02-28,653.032
2005-03-31,643.967
2005-04-29,624.528
2005-05-31,640.324
2005-06-30,656.805
2005-07-29,685.574
2005-08-31,689.211
2005-09-30,705.208
2005-10-31,684.327
2005-11-30,709.493
2005-12-30,729.247
2006-01-31,772.658
2006-02-28,775.25
2006-03-31,799.652
2006-04-28,819.968
2006-05-31,792.062
2006-06-30,791.562
2006-07-31,789.094
2006-08-31,809.504
2006-09-29,817.001
2006-10-31,851.505
2006-11-30,882.264
2006-12-29,898.118
2007-01-31,917.827
2007-02-28,926.073
2007-03-30,942.9
2007-04-30,974.37
2007-05-31,1000.0
2007-06-29,977.348
2007-07-31,935.72
2007-08-31,924.749
2007-09-28,939.766
2007-10-31,958.589
2007-11-30,896.851
2007-12-31,873.021
2008-01-31,825.652
2008-02-29,818.444
2008-03-31,816.526
2008-04-30,843.071
2008-05-30,863.053
2008-06-30,772.787
2008-07-31,763.068
2008-08-29,768.266
2008-09-30,687.805
2008-10-31,535.878
2008-11-28,502.12
2008-12-31,531.796
2009-01-30,483.129
2009-02-27,423.378
2009-03-31,458.965
2009-04-30,539.257
2009-05-29,585.493
2009-06-30,585.693
2009-07-31,644.896
2009-08-31,692.969
2009-09-30,729.203
2009-10-30,699.693
2009-11-30,716.481
2009-12-31,741.652
2010-01-29,724.365
2010-02-26,739.459
2010-03-31,793.388
2010-04-30,815.799
2010-05-31,737.846
2010-06-30,706.701
2010-07-30,764.203
2010-08-31,729.89
2010-09-30,803.14
2010-10-29,830.892
2010-11-30,818.023
2010-12-31,891.621
2011-01-31,908.582
2011-02-28,940.393
2011-03-31,938.724
2011-04-29,971.79
2011-05-31,952.002
2011-06-30,930.305
2011-07-29,905.362
2011-08-31,835.454
2011-09-30,752.017
2011-10-31,829.726
2011-11-30,807.209
2011-12-30,807.401
2012-01-31,861.981
2012-02-29,900.717
2012-03-30,910.748
2012-04-30,897.689
2012-05-31,815.153
2012-06-29,851.744
2012-07-31,854.964
2012-08-31,878.521
2012-09-28,907.046
2012-10-31,909.719
2012-11-30,921.333
2012-12-31,958.298
2013-01-31,1016.178
2013-02-28,1026.241
2013-03-29,1058.061
2013-04-30,1090.872
2013-05-31,1086.862
2013-06-28,1061.001
2013-07-31,1123.895
2013-08-30,1094.18
2013-09-30,1161.349
2013-10-31,1206.815
2013-11-29,1216.115
2013-12-31,1242.791
2014-01-31,1214.009
2014-02-28,1275.739
2014-03-31,1285.703
2014-04-30,1286.972
2014-05-30,1305.083
2014-06-30,1342.787
2014-07-31,1300.427
2014-08-29,1331.935
2014-09-30,1263.467
2014-10-31,1282.917
2014-11-28,1293.335
2014-12-31,1294.293
2015-01-30,1278.72
2015-02-27,1345.645
2015-03-31,1335.884
2015-04-30,1356.32
2015-05-29,1363.478
2015-06-30,1332.01
2015-07-31,1325.565
2015-08-31,1254.986
2015-09-30,1211.152
2015-10-30,1287.204
2015-11-30,1284.682
2015-12-31,1248.375
2016-01-29,1165.515
2016-02-29,1174.643
2016-03-31,1276.257
2016-04-29,1314.091
2016-05-31,1312.965
2016-06-30,1288.417
2016-07-29,1356.965
2016-08-31,1363.197
2016-09-30,1380.64
2016-10-31,1349.221
2016-11-30,1407.013
2016-12-30,1447.875
2017-01-31,1481.82
2017-02-28,1513.706
2017-03-31,1515.971
2017-04-28,1537.678
2017-05-31,1543.9
2017-06-30,1567.532
2017-07-31,1605.643
2017-08-31,1595.318
2017-09-29,1646.525
2017-10-31,1659.154
2017-11-30,1697.651
2017-12-29,1723.588
2018-01-31,1774.267
2018-02-28,1692.889
2018-03-30,1685.521
2018-04-30,1712.445
2018-05-31,1717.136
2018-06-29,1707.876
2018-07-31,1739.156
2018-08-31,1744.805
2018-09-28,1730.315
2018-10-31,1597.975
2018-11-30,1610.851
2018-12-31,1470.272
2019-01-31,1616.031
2019-02-28,1656.902
2019-03-29,1643.697
2019-04-30,1690.829
2019-05-31,1576.503
2019-06-28,1661.979
2019-07-31,1661.865
2019-08-30,1601.755
2019-09-30,1672.456
2019-10-31,1715.001
2019-11-29,1745.162
2019-12-31,1803.674
2020-01-31,1743.581
2020-02-28,1565.746
2020-03-31,1193.133
2020-04-30,1330.732
2020-05-29,1382.113
2020-06-30,1409.593
2020-07-31,1448.835
2020-08-31,1529.436
2020-09-30,1483.937
2020-10-30,1478.316
2020-11-30,1724.203
2020-12-31,1821.108
2021-01-29,1835.118
2021-02-26,1949.126
2021-03-31,2035.225
2021-04-30,2113.683
2021-05-31,2162.535
2021-06-30,2127.511
2021-07-30,2126.818
2021-08-31,2174.543
2021-09-30,2109.437
2021-10-29,2185.57
2021-11-30,2097.715
2021-12-31,2212.873
2022-01-31,2133.239
2022-02-28,2134.321
2022-03-31,2160.028
2022-04-29,2032.944
2022-05-31,2056.119
2022-06-30,1837.876
2022-07-29,1971.839
2022-08-31,1913.43
2022-09-30,1713.566
2022-10-31,1860.547
2022-11-30,1988.598
2022-12-30,1929.506
2023-01-31,2091.844
2023-02-28,2039.992
2023-03-31,1961.768
2023-04-28,1974.006
2023-05-31,1884.906
2023-06-30,2008.182
2023-07-31,2112.404
2023-08-31,2036.96
2023-09-29,1950.73
2023-10-31,1853.918
2023-11-30,2017.186
2023-12-29,2181.532
2024-01-31,2142.08
2024-02-29,2183.593
2024-03-29,2293.717
2024-04-30,2201.443
2024-05-31,2282.224
2024-06-28,2223.618
2024-07-31,2373.863
2024-08-30,2415.489
2024-09-30,2463.02
2024-10-31,2397.279
2024-11-29,2524.385
2024-12-31,2372.676
2025-01-31,2453.127
2025-02-28,2424.377
2025-03-31,2367.949
2025-04-30,2356.884
2025-05-30,2461.926
2025-06-30,2546.955
2025-07-31,2571.826
2025-08-29,2695.726
2025-09-30,2719.422
2025-10-31,2699.751
2025-11-28,2771.52
