Date,WORLD SMID VALUE SMID (Small+Mid Cap)
2001-01-01,379.754
2001-01-02,375.638
2001-01-03,379.563
2001-01-04,377.866
2001-01-05,375.428
2001-01-08,375.126
2001-01-09,372.873
2001-01-10,374.952
2001-01-11,375.666
2001-01-12,375.349
2001-01-15,374.589
2001-01-16,376.927
2001-01-17,377.219
2001-01-18,379.14
2001-01-19,377.167
2001-01-22,378.403
2001-01-23,381.985
2001-01-24,380.273
2001-01-25,381.23
2001-01-26,380.964
2001-01-29,383.838
2001-01-30,386.282
2001-01-31,387.322
2001-02-01,390.092
2001-02-02,387.315
2001-02-05,387.982
2001-02-06,387.955
2001-02-07,387.687
2001-02-08,385.608
2001-02-09,384.984
2001-02-12,387.92
2001-02-13,387.334
2001-02-14,387.267
2001-02-15,387.733
2001-02-16,386.207
2001-02-19,386.297
2001-02-20,383.975
2001-02-21,380.836
2001-02-22,378.729
2001-02-23,378.542
2001-02-26,382.82
2001-02-27,383.212
2001-02-28,381.15
2001-03-01,380.922
2001-03-02,382.175
2001-03-05,382.327
2001-03-06,385.646
2001-03-07,386.474
2001-03-08,387.655
2001-03-09,385.085
2001-03-12,377.073
2001-03-13,373.532
2001-03-14,366.787
2001-03-15,367.331
2001-03-16,361.934
2001-03-19,364.858
2001-03-20,363.209
2001-03-21,359.912
2001-03-22,351.771
2001-03-23,357.965
2001-03-26,364.15
2001-03-27,366.976
2001-03-28,364.269
2001-03-29,362.489
2001-03-30,364.091
2001-04-02,360.808
2001-04-03,356.952
2001-04-04,358.836
2001-04-05,365.5
2001-04-06,363.047
2001-04-09,364.562
2001-04-10,368.071
2001-04-11,367.256
2001-04-12,370.977
2001-04-13,371.088
2001-04-16,369.359
2001-04-17,370.776
2001-04-18,376.046
2001-04-19,379.555
2001-04-20,379.23
2001-04-23,377.729
2001-04-24,377.768
2001-04-25,381.036
2001-04-26,384.076
2001-04-27,385.353
2001-04-30,386.507
2001-05-01,390.414
2001-05-02,390.637
2001-05-03,388.988
2001-05-04,391.437
2001-05-07,390.735
2001-05-08,389.752
