Date,WORLD SMID VALUE SMID (Small+Mid Cap)
2001-01-01,366.914
2001-01-02,362.938
2001-01-03,366.733
2001-01-04,365.095
2001-01-05,362.74
2001-01-08,362.45
2001-01-09,360.274
2001-01-10,362.285
2001-01-11,362.979
2001-01-12,362.674
2001-01-15,361.94
2001-01-16,364.2
2001-01-17,364.483
2001-01-18,366.342
2001-01-19,364.435
2001-01-22,365.63
2001-01-23,369.091
2001-01-24,367.441
2001-01-25,368.368
2001-01-26,368.112
2001-01-29,370.894
2001-01-30,373.26
2001-01-31,374.271
2001-02-01,376.951
2001-02-02,374.269
2001-02-05,374.92
2001-02-06,374.894
2001-02-07,374.639
2001-02-08,372.63
2001-02-09,372.029
2001-02-12,374.873
2001-02-13,374.311
2001-02-14,374.253
2001-02-15,374.707
2001-02-16,373.234
2001-02-19,373.321
2001-02-20,371.077
2001-02-21,368.047
2001-02-22,366.016
2001-02-23,365.839
2001-02-26,369.976
2001-02-27,370.362
2001-02-28,368.374
2001-03-01,368.159
2001-03-02,369.37
2001-03-05,369.521
2001-03-06,372.733
2001-03-07,373.544
2001-03-08,374.69
2001-03-09,372.21
2001-03-12,364.466
2001-03-13,361.05
2001-03-14,354.535
2001-03-15,355.063
2001-03-16,349.851
2001-03-19,352.681
2001-03-20,351.091
2001-03-21,347.911
2001-03-22,340.048
2001-03-23,346.036
2001-03-26,352.021
2001-03-27,354.817
2001-03-28,352.213
2001-03-29,350.497
2001-03-30,352.055
2001-04-02,348.883
2001-04-03,345.156
2001-04-04,346.984
2001-04-05,353.435
2001-04-06,351.082
2001-04-09,352.552
2001-04-10,355.952
2001-04-11,355.18
2001-04-12,358.782
2001-04-13,358.888
2001-04-16,357.217
2001-04-17,358.59
2001-04-18,363.688
2001-04-19,367.085
2001-04-20,366.776
2001-04-23,365.327
2001-04-24,365.37
2001-04-25,368.543
2001-04-26,371.493
2001-04-27,372.755
2001-04-30,373.873
2001-05-01,377.653
2001-05-02,377.881
2001-05-03,376.299
2001-05-04,378.681
2001-05-07,378.02
2001-05-08,377.071
2001-05-09,376.168
2001-05-10,377.476
2001-05-11,376.339
2001-05-14,375.215
2001-05-15,377.601
2001-05-16,381.133
2001-05-17,384.611
2001-05-18,384.995
2001-05-21,388.687
2001-05-22,388.396
2001-05-23,386.068
2001-05-24,385.805
2001-05-25,384.568
2001-05-28,384.55
2001-05-29,383.286
2001-05-30,380.2
2001-05-31,381.352
2001-06-01,382.504
2001-06-04,383.708
2001-06-05,385.276
2001-06-06,383.415
2001-06-07,384.806
2001-06-08,383.911
2001-06-11,380.952
2001-06-12,379.39
2001-06-13,379.7
2001-06-14,376.141
2001-06-15,375.02
2001-06-18,373.321
2001-06-19,372.603
2001-06-20,372.426
2001-06-21,374.053
2001-06-22,373.53
2001-06-25,373.037
2001-06-26,374.163
2001-06-27,374.681
2001-06-28,374.713
2001-06-29,379.101
2001-07-02,378.217
2001-07-03,378.451
2001-07-04,377.642
2001-07-05,375.133
2001-07-06,371.115
2001-07-09,370.86
2001-07-10,370.236
2001-07-11,369.44
2001-07-12,372.901
2001-07-13,373.315
2001-07-16,371.734
2001-07-17,372.117
2001-07-18,372.863
2001-07-19,373.94
2001-07-20,373.38
2001-07-23,369.645
2001-07-24,366.909
2001-07-25,369.058
2001-07-26,371.205
2001-07-27,371.832
2001-07-30,371.51
2001-07-31,374.003
2001-08-01,376.885
2001-08-02,379.83
2001-08-03,379.142
2001-08-06,376.763
2001-08-07,376.665
2001-08-08,374.251
2001-08-09,373.616
2001-08-10,376.079
2001-08-13,376.34
