Date,DENMARK VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,108.628
1975-02-28,112.654
1975-03-31,106.074
1975-04-30,115.265
1975-05-30,118.436
1975-06-30,117.369
1975-07-31,113.716
1975-08-29,115.438
1975-09-30,112.799
1975-10-31,120.525
1975-11-28,121.186
1975-12-31,120.59
1976-01-30,128.219
1976-02-27,122.32
1976-03-31,114.656
1976-04-30,115.189
1976-05-31,117.751
1976-06-30,126.172
1976-07-30,125.852
1976-08-31,124.098
1976-09-30,121.954
1976-10-29,116.464
1976-11-30,118.79
1976-12-31,129.498
1977-01-31,130.773
1977-02-28,140.404
1977-03-31,140.206
1977-04-29,137.723
1977-05-31,136.243
1977-06-30,136.008
1977-07-29,133.606
1977-08-31,130.924
1977-09-30,128.026
1977-10-31,128.484
1977-11-30,125.099
1977-12-30,134.959
1978-01-31,139.645
1978-02-28,146.959
1978-03-31,144.564
1978-04-28,141.579
1978-05-31,141.815
1978-06-30,142.585
1978-07-31,151.857
1978-08-31,159.651
1978-09-29,163.278
1978-10-31,180.298
1978-11-30,162.677
1978-12-29,171.792
1979-01-31,179.933
1979-02-28,180.064
1979-03-30,178.595
1979-04-30,175.281
1979-05-31,168.015
1979-06-29,170.747
1979-07-31,176.21
1979-08-31,175.479
1979-09-28,170.761
1979-10-31,162.192
1979-11-30,165.017
1979-12-31,159.219
1980-01-31,147.659
1980-02-29,140.648
1980-03-31,126.383
1980-04-30,136.268
1980-05-30,141.034
1980-06-30,142.412
1980-07-31,149.754
1980-08-29,150.814
1980-09-30,153.578
1980-10-31,155.22
1980-11-28,156.538
1980-12-31,155.532
1981-01-30,154.65
1981-02-27,156.541
1981-03-31,153.246
1981-04-30,148.438
1981-05-29,142.594
1981-06-30,140.98
1981-07-31,140.816
1981-08-31,150.033
1981-09-30,149.341
1981-10-30,164.21
1981-11-30,169.438
1981-12-31,162.759
1982-01-29,157.153
1982-02-26,153.193
1982-03-31,134.873
1982-04-30,138.007
1982-05-31,132.053
1982-06-30,123.684
1982-07-30,124.275
1982-08-31,117.905
1982-09-30,121.151
1982-10-29,123.216
1982-11-30,124.231
1982-12-31,145.023
1983-01-31,145.274
1983-02-28,164.541
1983-03-31,197.486
1983-04-29,191.451
1983-05-31,185.402
1983-06-30,200.999
1983-07-29,202.466
1983-08-31,223.592
1983-09-30,249.101
1983-10-31,236.511
1983-11-30,238.192
1983-12-30,272.268
1984-01-31,262.128
1984-02-29,247.725
1984-03-30,229.073
1984-04-30,245.779
1984-05-31,221.905
1984-06-29,223.593
1984-07-31,223.518
1984-08-31,228.936
1984-09-28,201.912
1984-10-31,213.505
1984-11-30,206.377
1984-12-31,205.872
1985-01-31,213.393
1985-02-28,198.964
1985-03-29,212.249
1985-04-30,226.404
1985-05-31,235.038
1985-06-28,251.119
1985-07-31,302.519
1985-08-30,297.722
1985-09-30,305.464
1985-10-31,336.85
1985-11-29,339.399
1985-12-31,366.005
1986-01-31,329.812
1986-02-28,374.743
1986-03-31,368.815
1986-04-30,388.337
1986-05-30,345.626
1986-06-30,353.847
1986-07-31,347.936
1986-08-29,342.468
1986-09-30,351.238
1986-10-31,349.73
1986-11-28,355.939
1986-12-31,374.316
1987-01-30,468.656
1987-02-27,417.663
1987-03-31,413.225
1987-04-30,432.646
1987-05-29,438.193
1987-06-30,436.834
1987-07-31,425.506
1987-08-31,467.702
1987-09-30,433.772
1987-10-30,400.835
1987-11-30,415.611
1987-12-31,418.408
1988-01-29,419.025
1988-02-29,432.119
1988-03-31,439.847
1988-04-29,441.749
1988-05-31,472.326
1988-06-30,479.305
1988-07-29,483.755
1988-08-31,465.688
1988-09-30,509.895
1988-10-31,570.284
1988-11-30,588.0
1988-12-30,616.896
1989-01-31,601.423
1989-02-28,587.395
1989-03-31,582.594
1989-04-28,610.029
1989-05-31,568.763
1989-06-30,631.831
1989-07-31,711.017
1989-08-31,632.769
1989-09-29,649.567
1989-10-31,682.147
1989-11-30,734.924
1989-12-29,781.638
1990-01-31,785.177
1990-02-28,762.059
1990-03-30,778.396
1990-04-30,760.71
1990-05-31,805.762
1990-06-29,834.088
1990-07-31,885.375
1990-08-31,825.803
1990-09-28,740.291
1990-10-31,840.627
1990-11-30,804.172
1990-12-31,794.758
1991-01-31,807.068
1991-02-28,862.405
1991-03-29,779.642
1991-04-30,739.273
1991-05-31,760.771
1991-06-28,748.187
1991-07-31,808.916
1991-08-30,827.553
1991-09-30,849.058
1991-10-31,823.288
1991-11-29,812.07
1991-12-31,876.205
1992-01-31,858.894
1992-02-28,818.693
1992-03-31,768.311
1992-04-30,764.838
1992-05-29,832.65
1992-06-30,783.971
1992-07-31,775.247
1992-08-31,716.864
1992-09-30,652.623
1992-10-30,578.883
1992-11-30,585.219
1992-12-31,581.914
1993-01-29,670.721
1993-02-26,637.293
1993-03-31,642.942
1993-04-30,679.097
1993-05-31,690.323
1993-06-30,681.456
1993-07-30,649.951
1993-08-31,669.195
1993-09-30,704.426
1993-10-29,747.014
1993-11-30,722.007
1993-12-31,747.089
1994-01-31,841.179
1994-02-28,832.412
1994-03-31,800.698
1994-04-29,818.846
1994-05-31,776.614
1994-06-30,815.645
1994-07-29,864.099
1994-08-31,776.708
1994-09-30,796.364
1994-10-31,829.708
1994-11-30,790.089
1994-12-30,813.985
1995-01-31,830.648
1995-02-28,874.483
1995-03-31,871.42
1995-04-28,928.152
1995-05-31,958.804
1995-06-30,958.05
1995-07-31,1048.723
1995-08-31,964.419
1995-09-29,964.769
1995-10-31,983.168
1995-11-30,1001.399
1995-12-29,1006.104
1996-01-31,1028.049
1996-02-29,1043.486
1996-03-29,991.988
1996-04-30,974.053
1996-05-31,965.304
1996-06-28,996.502
1996-07-31,992.669
1996-08-30,1029.187
1996-09-30,1045.587
1996-10-31,1080.364
1996-11-29,1124.827
1996-12-31,1192.544
1997-01-31,1239.476
1997-02-28,1214.154
1997-03-31,1226.148
1997-04-30,1163.127
1997-05-30,1214.546
1997-06-30,1254.961
1997-07-31,1310.017
1997-08-29,1224.441
1997-09-30,1309.103
1997-10-31,1355.903
1997-11-28,1380.805
1997-12-31,1439.387
1998-01-30,1504.697
1998-02-27,1491.233
1998-03-31,1727.177
1998-04-30,1653.818
1998-05-29,1744.598
1998-06-30,1790.334
1998-07-31,1923.784
1998-08-31,1755.845
1998-09-30,1670.039
1998-10-30,1772.295
1998-11-30,1757.105
1998-12-31,1961.176
1999-01-29,1906.771
1999-02-26,1723.752
1999-03-31,1641.721
1999-04-30,1674.442
1999-05-31,1684.158
1999-06-30,1684.107
1999-07-30,1714.333
1999-08-31,1748.406
1999-09-30,1758.84
1999-10-29,1800.761
1999-11-30,1844.129
1999-12-31,1811.573
2000-01-31,1658.904
2000-02-29,1639.575
