Date,DENMARK VALUE Standard (Large+Mid Cap)
2001-01-01,2351.898
2001-01-02,2387.112
2001-01-03,2461.719
2001-01-04,2470.429
2001-01-05,2521.874
2001-01-08,2491.121
2001-01-09,2458.726
2001-01-10,2440.476
2001-01-11,2447.813
2001-01-12,2485.589
2001-01-15,2478.227
2001-01-16,2477.382
2001-01-17,2503.114
2001-01-18,2546.797
2001-01-19,2504.556
2001-01-22,2513.209
2001-01-23,2502.31
2001-01-24,2516.207
2001-01-25,2496.529
2001-01-26,2510.101
2001-01-29,2512.761
2001-01-30,2526.109
2001-01-31,2564.313
2001-02-01,2585.007
2001-02-02,2531.452
2001-02-05,2498.396
2001-02-06,2507.068
2001-02-07,2503.671
2001-02-08,2440.811
2001-02-09,2452.689
2001-02-12,2469.462
2001-02-13,2430.306
2001-02-14,2433.694
2001-02-15,2434.843
2001-02-16,2481.467
2001-02-19,2486.238
2001-02-20,2464.308
2001-02-21,2465.333
2001-02-22,2361.154
2001-02-23,2314.354
2001-02-26,2291.933
2001-02-27,2319.189
2001-02-28,2286.337
2001-03-01,2278.928
2001-03-02,2285.116
2001-03-05,2273.669
2001-03-06,2323.425
2001-03-07,2318.267
2001-03-08,2345.137
2001-03-09,2332.644
2001-03-12,2289.482
2001-03-13,2230.273
2001-03-14,2184.825
2001-03-15,2171.884
2001-03-16,2131.1
2001-03-19,2092.975
2001-03-20,2127.005
2001-03-21,2112.15
2001-03-22,2042.25
2001-03-23,2088.668
2001-03-26,2135.47
2001-03-27,2149.513
2001-03-28,2142.357
2001-03-29,2093.378
2001-03-30,2132.509
2001-04-02,2124.688
2001-04-03,2128.785
2001-04-04,2128.807
2001-04-05,2144.2
2001-04-06,2138.926
2001-04-09,2155.28
2001-04-10,2152.366
2001-04-11,2177.866
2001-04-12,2184.937
2001-04-13,2184.937
2001-04-16,2187.8
2001-04-17,2191.595
2001-04-18,2217.429
2001-04-19,2263.513
2001-04-20,2266.434
2001-04-23,2232.919
