Date,DENMARK VALUE Standard (Large+Mid Cap)
2001-01-01,1747.274
2001-01-02,1773.435
2001-01-03,1828.862
2001-01-04,1835.333
2001-01-05,1873.553
2001-01-08,1850.706
2001-01-09,1826.639
2001-01-10,1813.08
2001-01-11,1818.531
2001-01-12,1846.595
2001-01-15,1841.126
2001-01-16,1840.498
2001-01-17,1859.615
2001-01-18,1892.068
2001-01-19,1860.687
2001-01-22,1867.115
2001-01-23,1859.018
2001-01-24,1869.343
2001-01-25,1854.723
2001-01-26,1864.806
2001-01-29,1866.782
2001-01-30,1876.699
2001-01-31,1905.081
2001-02-01,1920.456
2001-02-02,1880.668
2001-02-05,1856.11
2001-02-06,1862.553
2001-02-07,1860.029
2001-02-08,1813.329
2001-02-09,1822.154
2001-02-12,1834.614
2001-02-13,1805.524
2001-02-14,1808.042
2001-02-15,1808.895
2001-02-16,1843.533
2001-02-19,1847.077
2001-02-20,1830.785
2001-02-21,1831.547
2001-02-22,1754.15
2001-02-23,1719.382
2001-02-26,1702.725
2001-02-27,1722.973
2001-02-28,1698.567
2001-03-01,1693.063
2001-03-02,1697.66
2001-03-05,1689.156
2001-03-06,1726.12
2001-03-07,1722.289
2001-03-08,1742.251
2001-03-09,1732.436
2001-03-12,1700.379
2001-03-13,1656.406
2001-03-14,1622.652
2001-03-15,1613.041
2001-03-16,1582.75
2001-03-19,1554.435
2001-03-20,1579.709
2001-03-21,1568.676
2001-03-22,1516.58
2001-03-23,1551.049
2001-03-26,1585.805
2001-03-27,1596.233
2001-03-28,1585.977
2001-03-29,1549.719
2001-03-30,1578.687
2001-04-02,1572.897
2001-04-03,1575.93
2001-04-04,1575.946
2001-04-05,1587.341
2001-04-06,1583.437
2001-04-09,1595.544
2001-04-10,1593.387
2001-04-11,1612.264
2001-04-12,1617.499
2001-04-13,1617.499
2001-04-16,1619.618
2001-04-17,1622.428
2001-04-18,1641.552
2001-04-19,1675.37
2001-04-20,1677.532
2001-04-23,1652.726
2001-04-24,1650.786
2001-04-25,1660.146
2001-04-26,1675.185
2001-04-27,1674.171
2001-04-30,1683.089
2001-05-01,1684.21
2001-05-02,1673.846
2001-05-03,1693.682
2001-05-04,1695.671
2001-05-07,1706.403
2001-05-08,1683.036
2001-05-09,1680.97
2001-05-10,1688.203
2001-05-11,1674.727
2001-05-14,1672.785
2001-05-15,1675.576
2001-05-16,1670.452
2001-05-17,1706.82
2001-05-18,1697.691
2001-05-21,1697.304
2001-05-22,1686.386
2001-05-23,1676.708
2001-05-24,1670.52
2001-05-25,1715.07
2001-05-28,1729.337
2001-05-29,1713.436
2001-05-30,1716.35
2001-05-31,1715.494
2001-06-01,1686.202
2001-06-04,1688.54
2001-06-05,1689.183
2001-06-06,1686.872
2001-06-07,1672.083
2001-06-08,1656.119
2001-06-11,1640.311
2001-06-12,1657.517
2001-06-13,1677.651
2001-06-14,1679.883
2001-06-15,1686.514
2001-06-18,1691.83
2001-06-19,1695.528
2001-06-20,1675.711
2001-06-21,1674.058
2001-06-22,1680.927
2001-06-25,1702.762
2001-06-26,1675.002
2001-06-27,1688.752
2001-06-28,1706.242
2001-06-29,1695.93
2001-07-02,1681.652
2001-07-03,1678.837
2001-07-04,1666.342
2001-07-05,1663.405
2001-07-06,1649.114
2001-07-09,1664.491
2001-07-10,1688.64
2001-07-11,1688.068
2001-07-12,1657.625
2001-07-13,1646.722
2001-07-16,1658.549
2001-07-17,1629.257
2001-07-18,1670.269
2001-07-19,1687.021
2001-07-20,1673.088
2001-07-23,1660.854
2001-07-24,1659.686
2001-07-25,1661.967
2001-07-26,1657.063
2001-07-27,1666.985
2001-07-30,1683.752
2001-07-31,1689.681
2001-08-01,1716.269
2001-08-02,1715.521
2001-08-03,1711.753
2001-08-06,1694.272
2001-08-07,1678.039
2001-08-08,1653.236
2001-08-09,1650.082
2001-08-10,1664.584
2001-08-13,1678.982
2001-08-14,1685.274
2001-08-15,1718.175
2001-08-16,1704.572
2001-08-17,1710.395
2001-08-20,1698.535
2001-08-21,1708.73
2001-08-22,1713.41
2001-08-23,1714.016
2001-08-24,1724.104
2001-08-27,1707.905
2001-08-28,1699.748
2001-08-29,1703.409
2001-08-30,1686.985
2001-08-31,1670.154
2001-09-03,1643.962
2001-09-04,1623.554
2001-09-05,1610.569
2001-09-06,1606.327
2001-09-07,1615.447
2001-09-10,1593.057
2001-09-11,1567.281
2001-09-12,1574.181
2001-09-13,1598.074
2001-09-14,1612.795
2001-09-17,1575.107
2001-09-18,1538.884
2001-09-19,1573.809
2001-09-20,1531.885
2001-09-21,1450.283
2001-09-24,1489.457
2001-09-25,1482.38
2001-09-26,1513.277
2001-09-27,1537.957
2001-09-28,1571.494
2001-10-01,1545.756
2001-10-02,1567.647
2001-10-03,1553.661
2001-10-04,1573.663
2001-10-05,1560.73
2001-10-08,1564.044
2001-10-09,1572.376
2001-10-10,1580.019
2001-10-11,1618.947
2001-10-12,1591.031
2001-10-15,1592.638
2001-10-16,1588.032
2001-10-17,1603.386
2001-10-18,1582.169
2001-10-19,1546.326
2001-10-22,1564.664
2001-10-23,1563.581
2001-10-24,1554.306
2001-10-25,1532.3
2001-10-26,1555.946
2001-10-29,1545.064
2001-10-30,1516.842
2001-10-31,1518.053
2001-11-01,1518.291
2001-11-02,1508.892
2001-11-05,1497.137
2001-11-06,1494.261
2001-11-07,1533.748
2001-11-08,1527.802
2001-11-09,1504.381
2001-11-12,1492.801
2001-11-13,1479.012
2001-11-14,1501.152
2001-11-15,1496.79
2001-11-16,1529.584
2001-11-19,1534.773
2001-11-20,1543.977
2001-11-21,1523.312
2001-11-22,1528.801
2001-11-23,1542.817
2001-11-26,1553.093
2001-11-27,1550.212
2001-11-28,1522.758
2001-11-29,1521.826
2001-11-30,1563.567
2001-12-03,1542.526
2001-12-04,1565.994
2001-12-05,1566.488
2001-12-06,1552.444
2001-12-07,1537.628
2001-12-10,1516.822
2001-12-11,1516.52
2001-12-12,1514.522
2001-12-13,1505.753
2001-12-14,1498.158
2001-12-17,1511.577
2001-12-18,1532.955
2001-12-19,1539.924
2001-12-20,1550.549
2001-12-21,1536.47
2001-12-24,1521.543
2001-12-25,1521.543
2001-12-26,1522.81
2001-12-27,1558.764
2001-12-28,1561.131
2001-12-31,1576.414
2002-01-01,1576.414
2002-01-02,1604.11
2002-01-03,1629.497
2002-01-04,1617.216
2002-01-07,1600.983
2002-01-08,1574.78
2002-01-09,1548.016
2002-01-10,1574.999
2002-01-11,1570.016
2002-01-14,1557.373
2002-01-15,1544.639
2002-01-16,1539.399
2002-01-17,1564.796
2002-01-18,1552.229
2002-01-21,1537.4
2002-01-22,1542.091
2002-01-23,1534.208
2002-01-24,1540.717
2002-01-25,1495.834
2002-01-28,1485.136
2002-01-29,1466.478
2002-01-30,1468.747
2002-01-31,1497.797
2002-02-01,1509.609
2002-02-04,1508.665
2002-02-05,1487.531
2002-02-06,1467.748
2002-02-07,1477.074
2002-02-08,1494.214
2002-02-11,1509.259
2002-02-12,1488.805
2002-02-13,1490.726
2002-02-14,1490.773
2002-02-15,1507.174
2002-02-18,1478.411
2002-02-19,1475.832
2002-02-20,1469.605
2002-02-21,1429.911
2002-02-22,1446.892
2002-02-25,1463.128
2002-02-26,1469.94
2002-02-27,1495.593
2002-02-28,1484.84
2002-03-01,1488.427
2002-03-04,1518.533
2002-03-05,1528.354
2002-03-06,1502.319
2002-03-07,1498.125
2002-03-08,1513.156
2002-03-11,1489.447
2002-03-12,1481.209
2002-03-13,1481.045
2002-03-14,1488.906
2002-03-15,1488.139
2002-03-18,1506.026
2002-03-19,1511.495
2002-03-20,1503.66
2002-03-21,1507.536
2002-03-22,1523.195
2002-03-25,1534.582
2002-03-26,1543.871
2002-03-27,1533.987
2002-03-28,1533.24
2002-03-29,1533.24
2002-04-01,1545.866
2002-04-02,1539.155
2002-04-03,1528.637
2002-04-04,1529.528
2002-04-05,1535.834
2002-04-08,1527.125
2002-04-09,1529.288
2002-04-10,1529.285
2002-04-11,1520.893
2002-04-12,1532.833
2002-04-15,1554.167
2002-04-16,1561.7
2002-04-17,1595.306
2002-04-18,1593.572
