Date,DENMARK VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,108.465
1975-02-28,112.307
1975-03-31,105.553
1975-04-30,114.532
1975-05-30,117.503
1975-06-30,116.263
1975-07-31,112.482
1975-08-29,114.017
1975-09-30,111.243
1975-10-31,118.689
1975-11-28,119.172
1975-12-31,118.412
1976-01-30,125.738
1976-02-27,119.771
1976-03-31,112.07
1976-04-30,112.388
1976-05-31,114.698
1976-06-30,122.716
1976-07-30,122.201
1976-08-31,120.321
1976-09-30,118.058
1976-10-29,112.559
1976-11-30,114.633
1976-12-31,124.793
1977-01-31,125.846
1977-02-28,134.943
1977-03-31,134.571
1977-04-29,132.01
1977-05-31,130.398
1977-06-30,129.982
1977-07-29,127.489
1977-08-31,124.741
1977-09-30,121.782
1977-10-31,122.021
1977-11-30,118.609
1977-12-30,127.752
1978-01-31,131.98
1978-02-28,138.672
1978-03-31,136.179
1978-04-28,133.137
1978-05-31,133.131
1978-06-30,133.625
1978-07-31,142.09
1978-08-31,149.156
1978-09-29,152.298
1978-10-31,167.892
1978-11-30,151.238
1978-12-29,159.451
1979-01-31,166.761
1979-02-28,166.618
1979-03-30,164.947
1979-04-30,161.583
1979-05-31,154.585
1979-06-29,156.787
1979-07-31,161.503
1979-08-31,160.517
1979-09-28,155.907
1979-10-31,147.812
1979-11-30,150.108
1979-12-31,144.561
1980-01-31,133.781
1980-02-29,127.151
1980-03-31,114.006
1980-04-30,122.667
1980-05-30,126.699
1980-06-30,127.666
1980-07-31,133.992
1980-08-29,134.675
1980-09-30,136.858
1980-10-31,138.001
1980-11-28,138.835
1980-12-31,137.61
1981-01-30,136.536
1981-02-27,137.895
1981-03-31,134.693
1981-04-30,130.196
1981-05-29,124.808
1981-06-30,123.14
1981-07-31,122.755
1981-08-31,130.549
1981-09-30,129.671
1981-10-30,142.338
1981-11-30,146.596
1981-12-31,140.543
1982-01-29,135.439
1982-02-26,131.774
1982-03-31,115.801
1982-04-30,118.289
1982-05-31,112.974
1982-06-30,105.62
1982-07-30,105.936
1982-08-31,100.312
1982-09-30,102.929
1982-10-29,104.539
1982-11-30,105.239
1982-12-31,122.733
1983-01-31,122.821
1983-02-28,138.998
1983-03-31,166.714
1983-04-29,161.482
1983-05-31,156.246
1983-06-30,169.269
1983-07-29,170.383
1983-08-31,188.048
1983-09-30,209.379
1983-10-31,198.653
1983-11-30,199.935
1983-12-30,228.426
1984-01-31,219.789
