Date,SWITZERLAND SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,258.557
1994-06-30,260.589
1994-07-29,258.043
1994-08-31,264.085
1994-09-30,262.892
1994-10-31,262.762
1994-11-30,251.761
1994-12-30,256.631
1995-01-31,251.401
1995-02-28,260.087
1995-03-31,272.474
1995-04-28,270.048
1995-05-31,282.715
1995-06-30,290.913
1995-07-31,290.22
1995-08-31,275.869
1995-09-29,290.738
1995-10-31,287.637
1995-11-30,279.227
1995-12-29,284.792
1996-01-31,284.964
1996-02-29,294.832
1996-03-29,308.466
1996-04-30,303.408
1996-05-31,299.6
1996-06-28,298.335
1996-07-31,289.382
1996-08-30,299.577
1996-09-30,291.622
1996-10-31,291.114
1996-11-29,295.032
1996-12-31,294.305
1997-01-31,298.466
1997-02-28,293.356
1997-03-31,306.948
1997-04-30,309.374
1997-05-30,337.433
1997-06-30,348.73
1997-07-31,352.636
1997-08-29,346.871
1997-09-30,362.732
1997-10-31,352.965
1997-11-28,348.742
1997-12-31,348.545
1998-01-30,353.525
1998-02-27,381.939
1998-03-31,397.759
1998-04-30,401.786
1998-05-29,434.902
1998-06-30,411.576
1998-07-31,422.883
1998-08-31,352.244
1998-09-30,313.604
1998-10-30,356.231
1998-11-30,371.439
1998-12-31,369.081
1999-01-29,352.038
1999-02-26,353.545
1999-03-31,365.113
1999-04-30,373.948
1999-05-31,373.911
1999-06-30,372.033
1999-07-30,387.514
1999-08-31,388.663
1999-09-30,392.665
1999-10-29,398.895
1999-11-30,405.927
1999-12-31,444.08
2000-01-31,474.985
2000-02-29,523.175
2000-03-31,543.178
2000-04-28,504.833
2000-05-31,511.293
2000-06-30,550.486
2000-07-31,562.983
2000-08-31,570.169
2000-09-29,582.353
2000-10-31,534.984
2000-11-30,499.428
2000-12-29,534.472
2001-01-31,524.377
2001-02-28,466.823
2001-03-30,411.935
2001-04-30,417.974
2001-05-31,406.958
2001-06-29,386.288
2001-07-31,363.868
2001-08-31,348.994
2001-09-28,290.491
2001-10-31,315.933
2001-11-30,336.93
2001-12-31,344.373
2002-01-31,327.283
