Date,SWITZERLAND SMID GROWTH SMID (Small+Mid Cap)
2015-12-31,1446.512
2016-01-29,1378.629
2016-02-29,1407.165
2016-03-31,1515.926
2016-04-29,1540.05
2016-05-31,1552.941
2016-06-30,1547.011
2016-07-29,1625.547
2016-08-31,1626.175
2016-09-30,1656.423
2016-10-31,1558.66
2016-11-30,1555.236
2016-12-30,1605.294
2017-01-31,1719.628
2017-02-28,1781.816
2017-03-31,1837.707
2017-04-28,1936.051
2017-05-31,2047.606
2017-06-30,2044.287
2017-07-31,2096.562
2017-08-31,2097.786
2017-09-29,2176.551
2017-10-31,2207.906
2017-11-30,2221.429
2017-12-29,2260.182
2018-01-31,2419.529
2018-02-28,2295.716
2018-03-30,2208.675
2018-04-30,2204.31
2018-05-31,2251.806
2018-06-29,2253.553
2018-07-31,2335.643
2018-08-31,2415.604
2018-09-28,2346.499
2018-10-31,2108.603
2018-11-30,2011.008
2018-12-31,1864.942
2019-01-31,2008.74
2019-02-28,2075.523
2019-03-29,2127.151
2019-04-30,2228.376
2019-05-31,2188.604
2019-06-28,2381.834
2019-07-31,2330.24
2019-08-30,2296.65
2019-09-30,2331.217
2019-10-31,2416.106
2019-11-29,2489.854
2019-12-31,2626.785
2020-01-31,2651.083
2020-02-28,2463.122
2020-03-31,2267.73
2020-04-30,2392.737
2020-05-29,2614.445
2020-06-30,2658.808
2020-07-31,2846.08
2020-08-31,3040.838
2020-09-30,3017.371
2020-10-30,2896.499
2020-11-30,3212.632
2020-12-31,3395.027
2021-01-29,3378.314
2021-02-26,3388.511
2021-03-31,3459.53
2021-04-30,3630.287
2021-05-31,3895.65
2021-06-30,3950.347
2021-07-30,4192.466
2021-08-31,4257.114
2021-09-30,3940.819
2021-10-29,4196.344
2021-11-30,3992.271
2021-12-31,4283.491
2022-01-31,3742.234
2022-02-28,3623.905
2022-03-31,3614.019
2022-04-29,3226.922
2022-05-31,3100.91
2022-06-30,2803.993
2022-07-29,3035.083
2022-08-31,2781.25
2022-09-30,2497.492
2022-10-31,2562.734
2022-11-30,2873.364
2022-12-30,2911.64
2023-01-31,3203.195
2023-02-28,3184.735
2023-03-31,3345.057
2023-04-28,3437.827
2023-05-31,3358.523
2023-06-30,3384.8
2023-07-31,3516.319
2023-08-31,3363.173
2023-09-29,3105.714
2023-10-31,2925.065
2023-11-30,3405.435
2023-12-29,3685.67
2024-01-31,3494.573
2024-02-29,3455.27
2024-03-29,3530.565
2024-04-30,3336.925
2024-05-31,3641.339
2024-06-28,3590.859
2024-07-31,3711.167
2024-08-30,3859.305
2024-09-30,3909.744
2024-10-31,3634.988
2024-11-29,3553.962
2024-12-31,3431.08
2025-01-31,3656.191
2025-02-28,3567.629
2025-03-31,3398.849
2025-04-30,3612.951
2025-05-30,3905.695
2025-06-30,4057.811
2025-07-31,4152.403
2025-08-29,4188.976
2025-09-30,4144.676
2025-10-31,4210.361
