Date,SWITZERLAND SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,534.472
2001-01-02,538.549
2001-01-03,520.107
2001-01-04,528.683
2001-01-05,525.499
2001-01-08,521.749
2001-01-09,517.465
2001-01-10,515.474
2001-01-11,523.734
2001-01-12,526.363
2001-01-15,520.545
2001-01-16,517.332
2001-01-17,521.08
2001-01-18,535.957
2001-01-19,533.202
2001-01-22,527.991
2001-01-23,522.402
2001-01-24,518.892
2001-01-25,523.511
2001-01-26,523.471
2001-01-29,521.421
2001-01-30,523.248
2001-01-31,524.377
2001-02-01,525.274
2001-02-02,518.865
2001-02-05,523.114
2001-02-06,518.761
2001-02-07,516.321
2001-02-08,508.22
2001-02-09,503.602
2001-02-12,504.693
2001-02-13,500.715
2001-02-14,491.867
2001-02-15,487.51
2001-02-16,487.334
2001-02-19,486.762
2001-02-20,482.326
2001-02-21,477.703
2001-02-22,467.453
2001-02-23,462.203
2001-02-26,468.023
2001-02-27,471.248
2001-02-28,466.823
2001-03-01,450.506
2001-03-02,453.607
2001-03-05,453.076
2001-03-06,462.081
2001-03-07,464.958
2001-03-08,467.733
2001-03-09,460.484
2001-03-12,447.901
2001-03-13,441.76
2001-03-14,427.919
2001-03-15,421.493
2001-03-16,411.335
2001-03-19,413.768
2001-03-20,419.081
2001-03-21,406.341
2001-03-22,382.937
2001-03-23,398.443
2001-03-26,408.683
2001-03-27,412.568
2001-03-28,410.593
2001-03-29,405.28
2001-03-30,411.935
2001-04-02,405.888
2001-04-03,394.901
2001-04-04,394.801
2001-04-05,399.647
2001-04-06,402.974
2001-04-09,405.312
2001-04-10,404.091
2001-04-11,411.023
2001-04-12,416.008
2001-04-13,416.008
2001-04-16,411.777
2001-04-17,410.419
2001-04-18,415.508
2001-04-19,428.651
2001-04-20,426.504
2001-04-23,420.925
2001-04-24,420.996
2001-04-25,417.786
2001-04-26,422.925
2001-04-27,417.644
2001-04-30,417.974
2001-05-01,419.218
2001-05-02,424.508
2001-05-03,425.014
2001-05-04,424.736
2001-05-07,427.133
2001-05-08,424.297
2001-05-09,423.06
2001-05-10,425.912
2001-05-11,423.975
2001-05-14,419.778
2001-05-15,421.54
2001-05-16,422.286
2001-05-17,426.516
2001-05-18,425.856
2001-05-21,425.86
2001-05-22,427.723
2001-05-23,423.334
2001-05-24,422.286
2001-05-25,418.605
2001-05-28,418.52
2001-05-29,414.811
2001-05-30,412.332
2001-05-31,406.958
2001-06-01,407.434
2001-06-04,408.366
2001-06-05,410.901
2001-06-06,409.66
2001-06-07,412.423
2001-06-08,412.148
2001-06-11,408.608
2001-06-12,404.874
2001-06-13,409.546
2001-06-14,408.897
2001-06-15,405.064
2001-06-18,400.052
2001-06-19,396.444
2001-06-20,386.041
2001-06-21,388.254
2001-06-22,388.429
2001-06-25,392.457
2001-06-26,385.544
2001-06-27,386.017
2001-06-28,385.172
2001-06-29,386.288
2001-07-02,387.135
2001-07-03,383.851
2001-07-04,381.752
2001-07-05,374.604
2001-07-06,370.807
2001-07-09,368.073
2001-07-10,369.211
2001-07-11,366.858
2001-07-12,367.482
2001-07-13,365.627
2001-07-16,366.095
2001-07-17,358.067
2001-07-18,366.33
2001-07-19,368.421
2001-07-20,367.69
2001-07-23,363.981
2001-07-24,364.342
2001-07-25,363.751
2001-07-26,358.562
2001-07-27,361.034
2001-07-30,361.816
2001-07-31,363.868
2001-08-01,369.332
2001-08-02,372.661
2001-08-03,373.983
2001-08-06,369.997
2001-08-07,366.805
2001-08-08,364.099
2001-08-09,363.049
2001-08-10,362.653
2001-08-13,362.531
2001-08-14,365.169
2001-08-15,368.432
2001-08-16,364.639
2001-08-17,360.674
2001-08-20,357.518
2001-08-21,354.595
2001-08-22,352.309
2001-08-23,350.963
2001-08-24,356.477
2001-08-27,359.017
2001-08-28,356.451
2001-08-29,354.701
2001-08-30,351.643
2001-08-31,348.994
2001-09-03,341.237
2001-09-04,337.749
2001-09-05,333.427
2001-09-06,325.211
2001-09-07,325.003
2001-09-10,316.746
2001-09-11,304.453
2001-09-12,306.234
2001-09-13,305.785
2001-09-14,300.219
2001-09-17,302.333
2001-09-18,300.341
2001-09-19,301.341
2001-09-20,286.094
2001-09-21,276.157
2001-09-24,283.847
2001-09-25,292.441
2001-09-26,289.927
2001-09-27,285.707
2001-09-28,290.491
2001-10-01,292.706
2001-10-02,291.958
2001-10-03,289.562
2001-10-04,298.323
2001-10-05,296.813
2001-10-08,299.645
2001-10-09,301.126
2001-10-10,300.297
2001-10-11,305.146
2001-10-12,306.456
2001-10-15,306.072
2001-10-16,307.624
2001-10-17,314.268
2001-10-18,309.394
2001-10-19,305.085
2001-10-22,305.051
2001-10-23,310.666
2001-10-24,314.838
2001-10-25,313.848
2001-10-26,315.723
2001-10-29,318.663
2001-10-30,314.735
2001-10-31,315.933
2001-11-01,317.151
2001-11-02,318.078
2001-11-05,318.367
2001-11-06,321.568
2001-11-07,325.03
2001-11-08,329.496
2001-11-09,331.392
2001-11-12,328.141
2001-11-13,329.011
2001-11-14,335.181
2001-11-15,340.685
2001-11-16,347.014
2001-11-19,348.405
2001-11-20,346.584
2001-11-21,342.573
2001-11-22,344.47
2001-11-23,340.976
2001-11-26,341.341
2001-11-27,342.879
2001-11-28,340.009
2001-11-29,334.717
2001-11-30,336.93
2001-12-03,335.015
2001-12-04,337.51
2001-12-05,341.323
2001-12-06,346.698
2001-12-07,347.97
2001-12-10,344.188
2001-12-11,344.749
2001-12-12,347.809
2001-12-13,343.347
2001-12-14,342.19
2001-12-17,345.513
2001-12-18,345.045
2001-12-19,341.307
2001-12-20,340.845
2001-12-21,338.354
2001-12-24,331.089
2001-12-25,331.089
2001-12-26,331.02
2001-12-27,340.413
2001-12-28,340.578
2001-12-31,344.373
2002-01-01,344.373
2002-01-02,350.094
2002-01-03,349.827
2002-01-04,352.208
2002-01-07,352.751
2002-01-08,349.152
2002-01-09,350.736
2002-01-10,349.271
2002-01-11,350.066
2002-01-14,344.075
2002-01-15,343.242
2002-01-16,339.082
2002-01-17,341.052
2002-01-18,339.681
2002-01-21,339.366
2002-01-22,337.35
2002-01-23,340.419
2002-01-24,341.72
2002-01-25,334.387
2002-01-28,333.026
2002-01-29,328.681
2002-01-30,324.81
2002-01-31,327.283
2002-02-01,326.555
2002-02-04,324.919
2002-02-05,324.145
2002-02-06,321.628
2002-02-07,323.836
2002-02-08,325.174
2002-02-11,328.463
2002-02-12,327.899
2002-02-13,326.091
2002-02-14,328.344
2002-02-15,330.358
2002-02-18,326.356
2002-02-19,319.6
2002-02-20,315.279
2002-02-21,318.045
2002-02-22,319.242
2002-02-25,320.332
2002-02-26,321.81
2002-02-27,321.589
2002-02-28,323.206
2002-03-01,324.655
2002-03-04,330.427
2002-03-05,329.871
2002-03-06,332.033
2002-03-07,338.708
2002-03-08,340.395
2002-03-11,340.497
2002-03-12,335.847
2002-03-13,335.602
2002-03-14,341.217
2002-03-15,340.659
2002-03-18,341.09
2002-03-19,342.204
2002-03-20,343.334
2002-03-21,343.201
2002-03-22,345.141
2002-03-25,343.975
2002-03-26,343.242
2002-03-27,342.973
2002-03-28,344.5
2002-03-29,344.5
2002-04-01,348.489
2002-04-02,348.578
2002-04-03,349.722
2002-04-04,349.073
2002-04-05,349.384
2002-04-08,346.578
2002-04-09,346.735
2002-04-10,347.395
2002-04-11,347.992
2002-04-12,344.684
2002-04-15,344.444
2002-04-16,347.545
2002-04-17,350.02
2002-04-18,350.437
2002-04-19,350.622
2002-04-22,347.429
2002-04-23,346.41
2002-04-24,347.72
2002-04-25,347.112
2002-04-26,345.87
2002-04-29,346.989
2002-04-30,346.494
2002-05-01,349.824
2002-05-02,348.922
2002-05-03,350.599
2002-05-06,349.211
2002-05-07,343.484
2002-05-08,347.209
2002-05-09,348.28
2002-05-10,348.846
2002-05-13,346.121
2002-05-14,345.255
2002-05-15,350.652
2002-05-16,354.447
2002-05-17,359.871
2002-05-20,360.396
2002-05-21,357.493
2002-05-22,357.286
2002-05-23,353.427
2002-05-24,353.075
2002-05-27,353.157
2002-05-28,354.566
2002-05-29,353.789
2002-05-30,354.572
2002-05-31,355.776
2002-06-03,352.745
2002-06-04,350.049
2002-06-05,349.742
2002-06-06,348.976
2002-06-07,345.653
2002-06-10,346.602
2002-06-11,344.972
2002-06-12,338.224
2002-06-13,333.015
2002-06-14,328.919
2002-06-17,331.574
2002-06-18,330.294
2002-06-19,331.548
2002-06-20,325.242
2002-06-21,325.666
2002-06-24,319.779
2002-06-25,326.105
2002-06-26,324.941
2002-06-27,324.706
2002-06-28,333.866
2002-07-01,330.969
2002-07-02,324.331
2002-07-03,317.939
2002-07-04,319.905
2002-07-05,325.211
2002-07-08,328.531
2002-07-09,327.768
2002-07-10,320.686
2002-07-11,315.26
2002-07-12,316.64
2002-07-15,311.038
2002-07-16,307.499
2002-07-17,314.718
2002-07-18,314.878
2002-07-19,304.758
2002-07-22,289.393
2002-07-23,279.668
2002-07-24,268.484
2002-07-25,278.75
2002-07-26,281.951
2002-07-29,291.212
2002-07-30,292.892
2002-07-31,289.317
2002-08-01,288.618
2002-08-02,282.558
2002-08-05,272.098
2002-08-06,270.784
2002-08-07,270.962
2002-08-08,273.564
2002-08-09,278.297
2002-08-12,276.828
2002-08-13,278.417
2002-08-14,278.351
2002-08-15,284.011
2002-08-16,286.927
2002-08-19,290.754
2002-08-20,285.844
2002-08-21,292.148
2002-08-22,296.786
2002-08-23,295.371
2002-08-26,293.946
2002-08-27,298.276
2002-08-28,288.582
2002-08-29,283.23
2002-08-30,281.676
2002-09-02,277.668
2002-09-03,277.438
2002-09-04,277.814
2002-09-05,273.504
2002-09-06,276.553
2002-09-09,274.167
2002-09-10,275.585
2002-09-11,279.063
2002-09-12,271.274
2002-09-13,265.519
2002-09-16,262.901
2002-09-17,260.527
2002-09-18,257.074
2002-09-19,253.395
2002-09-20,251.913
2002-09-23,244.71
2002-09-24,240.355
2002-09-25,247.254
2002-09-26,253.458
2002-09-27,252.889
2002-09-30,252.439
2002-10-01,248.209
2002-10-02,250.629
2002-10-03,250.854
2002-10-04,246.649
2002-10-07,243.481
2002-10-08,241.679
2002-10-09,240.943
2002-10-10,240.934
2002-10-11,251.037
2002-10-14,249.804
2002-10-15,259.577
2002-10-16,257.248
2002-10-17,262.506
2002-10-18,261.756
2002-10-21,259.839
2002-10-22,257.184
2002-10-23,255.565
2002-10-24,260.25
2002-10-25,261.571
2002-10-28,263.992
2002-10-29,256.65
2002-10-30,263.522
2002-10-31,268.371
2002-11-01,268.94
2002-11-04,275.952
2002-11-05,278.125
2002-11-06,278.075
2002-11-07,277.426
2002-11-08,275.537
2002-11-11,270.069
2002-11-12,273.242
2002-11-13,271.433
2002-11-14,274.709
2002-11-15,277.438
2002-11-18,279.249
2002-11-19,278.721
2002-11-20,276.508
2002-11-21,279.903
2002-11-22,280.92
2002-11-25,279.166
2002-11-26,275.651
2002-11-27,279.642
2002-11-28,283.556
2002-11-29,281.013
2002-12-02,283.156
2002-12-03,277.845
2002-12-04,275.688
2002-12-05,273.08
2002-12-06,273.372
2002-12-09,270.585
2002-12-10,271.228
2002-12-11,272.959
2002-12-12,274.992
2002-12-13,273.793
2002-12-16,274.45
2002-12-17,275.621
2002-12-18,273.575
2002-12-19,270.584
2002-12-20,271.036
2002-12-23,270.448
2002-12-24,272.321
2002-12-25,272.321
2002-12-26,272.757
2002-12-27,269.278
2002-12-30,273.337
2002-12-31,275.276
2003-01-01,275.276
2003-01-02,271.675
2003-01-03,278.179
2003-01-06,281.032
2003-01-07,279.849
2003-01-08,276.131
2003-01-09,277.582
2003-01-10,280.959
2003-01-13,284.395
2003-01-14,285.459
2003-01-15,279.848
2003-01-16,281.991
2003-01-17,281.874
2003-01-20,280.987
2003-01-21,279.348
2003-01-22,275.091
2003-01-23,272.52
2003-01-24,271.95
2003-01-27,264.117
2003-01-28,263.079
2003-01-29,260.527
2003-01-30,262.696
2003-01-31,264.711
2003-02-03,265.493
2003-02-04,265.929
2003-02-05,262.982
2003-02-06,260.862
2003-02-07,257.092
2003-02-10,255.425
2003-02-11,255.07
2003-02-12,254.482
2003-02-13,255.807
2003-02-14,254.728
2003-02-17,257.788
2003-02-18,256.9
2003-02-19,258.412
2003-02-20,256.828
2003-02-21,255.105
2003-02-24,251.515
2003-02-25,247.407
2003-02-26,245.665
2003-02-27,239.863
2003-02-28,245.627
2003-03-03,249.534
2003-03-04,245.168
2003-03-05,241.878
2003-03-06,239.902
2003-03-07,235.915
2003-03-10,229.558
