Date,SWITZERLAND SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,546.404
2001-01-02,550.573
2001-01-03,531.719
2001-01-04,540.486
2001-01-05,537.231
2001-01-08,533.397
2001-01-09,529.018
2001-01-10,526.982
2001-01-11,535.427
2001-01-12,538.114
2001-01-15,532.167
2001-01-16,528.882
2001-01-17,532.713
2001-01-18,547.923
2001-01-19,545.107
2001-01-22,539.779
2001-01-23,534.065
2001-01-24,530.477
2001-01-25,535.199
2001-01-26,535.158
2001-01-29,533.062
2001-01-30,534.93
2001-01-31,536.084
2001-02-01,537.001
2001-02-02,530.449
2001-02-05,534.793
2001-02-06,530.343
2001-02-07,527.849
2001-02-08,519.566
2001-02-09,514.845
2001-02-12,515.961
2001-02-13,511.894
2001-02-14,502.849
2001-02-15,498.395
2001-02-16,498.215
2001-02-19,497.629
2001-02-20,493.094
2001-02-21,488.368
2001-02-22,477.89
2001-02-23,472.522
2001-02-26,478.456
2001-02-27,481.753
2001-02-28,477.229
2001-03-01,460.549
2001-03-02,463.718
2001-03-05,463.175
2001-03-06,472.381
2001-03-07,475.322
2001-03-08,478.159
2001-03-09,470.749
2001-03-12,457.885
2001-03-13,451.608
2001-03-14,437.457
2001-03-15,430.888
2001-03-16,420.504
2001-03-19,422.991
2001-03-20,428.423
2001-03-21,415.399
2001-03-22,391.473
2001-03-23,407.325
2001-03-26,417.793
2001-03-27,421.765
2001-03-28,419.745
2001-03-29,414.314
2001-03-30,421.117
2001-04-02,414.936
2001-04-03,403.704
2001-04-04,403.583
2001-04-05,408.537
2001-04-06,411.937
2001-04-09,414.327
2001-04-10,413.08
2001-04-11,420.166
2001-04-12,425.232
2001-04-13,425.232
2001-04-16,420.907
2001-04-17,419.519
2001-04-18,424.721
2001-04-19,438.155
2001-04-20,435.961
2001-04-23,430.258
2001-04-24,430.331
2001-04-25,427.049
2001-04-26,432.302
2001-04-27,426.904
2001-04-30,427.241
2001-05-01,428.513
2001-05-02,433.821
2001-05-03,434.318
2001-05-04,434.034
2001-05-07,436.484
2001-05-08,433.582
2001-05-09,432.282
2001-05-10,435.196
2001-05-11,433.217
2001-05-14,428.599
2001-05-15,430.365
2001-05-16,431.012
2001-05-17,435.313
2001-05-18,434.639
2001-05-21,434.483
2001-05-22,436.376
2001-05-23,431.885
2001-05-24,430.816
2001-05-25,427.054
2001-05-28,426.935
2001-05-29,423.151
2001-05-30,420.622
2001-05-31,415.141
2001-06-01,415.626
2001-06-04,416.577
2001-06-05,419.162
2001-06-06,417.882
2001-06-07,420.611
2001-06-08,420.331
2001-06-11,416.721
2001-06-12,412.913
2001-06-13,417.678
2001-06-14,417.015
2001-06-15,413.106
2001-06-18,407.995
2001-06-19,404.315
2001-06-20,393.706
2001-06-21,395.962
2001-06-22,396.135
2001-06-25,400.243
2001-06-26,393.192
2001-06-27,393.675
2001-06-28,392.813
2001-06-29,393.952
2001-07-02,394.804
2001-07-03,391.456
2001-07-04,389.315
2001-07-05,382.025
2001-07-06,378.152
2001-07-09,375.365
2001-07-10,376.525
2001-07-11,374.126
2001-07-12,374.762
2001-07-13,372.87
2001-07-16,373.347
2001-07-17,365.161
2001-07-18,373.587
2001-07-19,375.719
2001-07-20,374.974
2001-07-23,371.192
2001-07-24,371.56
2001-07-25,370.958
2001-07-26,365.666
2001-07-27,368.186
2001-07-30,368.984
2001-07-31,371.076
2001-08-01,376.648
2001-08-02,380.044
2001-08-03,381.392
2001-08-06,377.327
2001-08-07,374.072
2001-08-08,371.312
2001-08-09,370.241
2001-08-10,369.837
2001-08-13,369.713
2001-08-14,372.403
2001-08-15,375.731
2001-08-16,371.863
2001-08-17,367.819
2001-08-20,364.601
2001-08-21,361.62
2001-08-22,359.289
2001-08-23,357.916
2001-08-24,363.539
2001-08-27,366.129
2001-08-28,363.513
2001-08-29,361.728
2001-08-30,358.609
2001-08-31,355.908
2001-09-03,347.997
2001-09-04,344.44
2001-09-05,340.032
2001-09-06,331.654
2001-09-07,331.441
2001-09-10,323.021
2001-09-11,310.484
2001-09-12,312.3
2001-09-13,311.843
