Date,WORLD GROWTH Standard (Large+Mid Cap)
2001-01-01,2009.13
2001-01-02,1956.83
2001-01-03,2024.033
2001-01-04,2024.844
2001-01-05,1988.156
2001-01-08,1974.182
2001-01-09,1967.97
2001-01-10,1975.836
2001-01-11,2011.139
2001-01-12,2015.047
2001-01-15,2013.756
2001-01-16,2009.848
2001-01-17,2029.045
2001-01-18,2068.248
2001-01-19,2070.062
2001-01-22,2066.116
2001-01-23,2079.033
2001-01-24,2073.242
2001-01-25,2057.307
2001-01-26,2057.065
2001-01-29,2061.387
2001-01-30,2067.944
2001-01-31,2069.753
2001-02-01,2078.901
2001-02-02,2035.142
2001-02-05,2031.776
2001-02-06,2030.776
2001-02-07,2003.965
2001-02-08,1974.635
2001-02-09,1935.354
2001-02-12,1962.669
2001-02-13,1937.578
2001-02-14,1928.08
2001-02-15,1944.683
2001-02-16,1900.25
2001-02-19,1898.664
2001-02-20,1864.215
2001-02-21,1838.284
2001-02-22,1824.701
2001-02-23,1810.854
2001-02-26,1835.736
2001-02-27,1826.973
2001-02-28,1805.643
2001-03-01,1807.06
2001-03-02,1784.957
2001-03-05,1795.215
2001-03-06,1817.395
2001-03-07,1818.287
2001-03-08,1810.865
2001-03-09,1772.546
2001-03-12,1697.762
2001-03-13,1702.449
2001-03-14,1669.585
2001-03-15,1679.014
2001-03-16,1639.513
2001-03-19,1653.757
2001-03-20,1640.931
2001-03-21,1625.72
2001-03-22,1599.36
2001-03-23,1645.787
2001-03-26,1678.075
2001-03-27,1712.394
2001-03-28,1675.596
2001-03-29,1652.755
2001-03-30,1659.366
2001-04-02,1639.065
2001-04-03,1593.192
2001-04-04,1603.499
2001-04-05,1661.228
2001-04-06,1647.657
2001-04-09,1650.874
2001-04-10,1677.336
2001-04-11,1680.727
2001-04-12,1705.79
2001-04-13,1704.742
2001-04-16,1689.021
2001-04-17,1697.469
2001-04-18,1759.855
2001-04-19,1794.528
2001-04-20,1788.29
2001-04-23,1757.071
2001-04-24,1735.888
2001-04-25,1757.328
2001-04-26,1768.378
2001-04-27,1786.533
2001-04-30,1793.132
2001-05-01,1820.812
2001-05-02,1828.916
2001-05-03,1801.53
2001-05-04,1822.008
2001-05-07,1822.329
2001-05-08,1817.822
2001-05-09,1799.269
2001-05-10,1804.739
2001-05-11,1789.281
2001-05-14,1772.101
2001-05-15,1781.463
2001-05-16,1812.088
2001-05-17,1826.077
2001-05-18,1824.468
2001-05-21,1849.758
2001-05-22,1846.837
2001-05-23,1824.614
2001-05-24,1826.889
2001-05-25,1806.031
2001-05-28,1807.248
2001-05-29,1792.927
2001-05-30,1760.803
2001-05-31,1756.937
2001-06-01,1764.253
2001-06-04,1773.309
2001-06-05,1793.88
2001-06-06,1781.432
2001-06-07,1795.178
2001-06-08,1780.467
2001-06-11,1754.253
2001-06-12,1740.782
2001-06-13,1730.873
2001-06-14,1714.856
2001-06-15,1698.608
2001-06-18,1688.405
2001-06-19,1690.205
2001-06-20,1699.51
2001-06-21,1711.462
2001-06-22,1703.849
2001-06-25,1700.074
2001-06-26,1688.792
2001-06-27,1680.691
2001-06-28,1696.633
2001-06-29,1695.502
2001-07-02,1715.518
2001-07-03,1706.125
2001-07-04,1697.941
2001-07-05,1664.854
2001-07-06,1626.404
2001-07-09,1638.274
2001-07-10,1623.41
2001-07-11,1619.086
2001-07-12,1652.06
2001-07-13,1659.745
2001-07-16,1644.307
2001-07-17,1647.705
2001-07-18,1647.079
2001-07-19,1667.067
2001-07-20,1660.131
2001-07-23,1634.278
2001-07-24,1621.687
2001-07-25,1632.767
2001-07-26,1639.724
2001-07-27,1648.082
2001-07-30,1650.451
2001-07-31,1670.326
2001-08-01,1681.339
2001-08-02,1695.246
2001-08-03,1684.474
2001-08-06,1668.932
2001-08-07,1673.216
2001-08-08,1645.428
2001-08-09,1636.588
2001-08-10,1640.667
2001-08-13,1643.182
2001-08-14,1649.322
2001-08-15,1646.167
2001-08-16,1640.481
2001-08-17,1614.478
2001-08-20,1618.498
2001-08-21,1609.344
2001-08-22,1621.849
2001-08-23,1612.58
2001-08-24,1645.145
2001-08-27,1641.238
2001-08-28,1615.989
2001-08-29,1600.572
2001-08-30,1567.007
2001-08-31,1567.29
2001-09-03,1556.432
2001-09-04,1559.562
2001-09-05,1551.904
2001-09-06,1517.464
2001-09-07,1498.751
2001-09-10,1497.771
2001-09-11,1472.865
2001-09-12,1471.969
2001-09-13,1479.021
2001-09-14,1466.114
2001-09-17,1432.222
2001-09-18,1422.678
2001-09-19,1408.948
2001-09-20,1365.733
2001-09-21,1327.728
2001-09-24,1381.275
2001-09-25,1400.555
2001-09-26,1398.159
2001-09-27,1410.607
2001-09-28,1436.996
2001-10-01,1433.739
2001-10-02,1446.432
2001-10-03,1465.348
2001-10-04,1479.62
2001-10-05,1491.474
2001-10-08,1489.151
2001-10-09,1474.106
2001-10-10,1500.689
2001-10-11,1523.002
2001-10-12,1524.836
2001-10-15,1515.635
2001-10-16,1525.758
2001-10-17,1519.538
2001-10-18,1506.442
2001-10-19,1506.635
2001-10-22,1527.069
2001-10-23,1533.452
2001-10-24,1542.166
2001-10-25,1546.362
2001-10-26,1552.384
2001-10-29,1521.881
2001-10-30,1496.626
2001-10-31,1498.132
2001-11-01,1529.011
2001-11-02,1534.038
2001-11-05,1557.699
2001-11-06,1579.416
2001-11-07,1575.804
2001-11-08,1585.097
2001-11-09,1580.922
2001-11-12,1567.604
2001-11-13,1590.0
2001-11-14,1599.32
2001-11-15,1609.322
2001-11-16,1611.618
2001-11-19,1626.598
2001-11-20,1610.983
2001-11-21,1603.992
2001-11-22,1609.322
2001-11-23,1613.045
2001-11-26,1626.289
2001-11-27,1612.614
2001-11-28,1589.773
2001-11-29,1600.836
2001-11-30,1611.857
2001-12-03,1598.332
2001-12-04,1612.779
2001-12-05,1640.459
2001-12-06,1638.58
2001-12-07,1625.956
2001-12-10,1603.15
2001-12-11,1598.338
2001-12-12,1601.681
2001-12-13,1581.648
2001-12-14,1583.498
2001-12-17,1602.937
2001-12-18,1611.051
2001-12-19,1613.643
2001-12-20,1606.849
2001-12-21,1613.566
2001-12-24,1607.112
2001-12-25,1606.187
2001-12-26,1608.132
2001-12-27,1624.238
2001-12-28,1628.035
2001-12-31,1619.737
2002-01-01,1619.737
2002-01-02,1621.747
2002-01-03,1631.672
2002-01-04,1634.261
2002-01-07,1619.823
2002-01-08,1609.862
2002-01-09,1604.478
2002-01-10,1603.727
2002-01-11,1599.698
2002-01-14,1589.127
2002-01-15,1594.941
2002-01-16,1576.01
2002-01-17,1587.75
2002-01-18,1578.991
2002-01-21,1576.069
2002-01-22,1570.601
2002-01-23,1576.241
2002-01-24,1579.513
2002-01-25,1570.351
2002-01-28,1572.652
2002-01-29,1542.735
2002-01-30,1546.018
2002-01-31,1566.802
2002-02-01,1561.238
2002-02-04,1540.061
2002-02-05,1533.183
2002-02-06,1527.401
2002-02-07,1529.109
2002-02-08,1539.911
2002-02-11,1557.592
2002-02-12,1561.586
2002-02-13,1574.106
2002-02-14,1577.579
2002-02-15,1565.266
2002-02-18,1560.949
2002-02-19,1537.174
2002-02-20,1547.82
2002-02-21,1541.71
2002-02-22,1549.316
2002-02-25,1563.492
2002-02-26,1563.043
2002-02-27,1571.301
2002-02-28,1570.947
2002-03-01,1597.155
2002-03-04,1623.398
2002-03-05,1609.725
2002-03-06,1624.716
2002-03-07,1632.125
2002-03-08,1635.287
2002-03-11,1636.861
2002-03-12,1627.439
2002-03-13,1619.254
2002-03-14,1623.846
2002-03-15,1637.821
2002-03-18,1633.318
2002-03-19,1643.142
2002-03-20,1621.075
2002-03-21,1617.551
2002-03-22,1614.559
2002-03-25,1595.998
2002-03-26,1600.004
2002-03-27,1602.614
2002-03-28,1609.654
2002-03-29,1606.604
2002-04-01,1607.503
2002-04-02,1598.166
2002-04-03,1590.648
2002-04-04,1586.857
2002-04-05,1581.35
2002-04-08,1573.616
2002-04-09,1568.201
2002-04-10,1587.062
2002-04-11,1556.405
2002-04-12,1563.761
2002-04-15,1559.746
2002-04-16,1585.836
2002-04-17,1584.76
2002-04-18,1586.043
2002-04-19,1584.137
2002-04-22,1570.492
2002-04-23,1562.46
2002-04-24,1557.085
2002-04-25,1558.109
2002-04-26,1542.912
2002-04-29,1533.219
2002-04-30,1540.745
2002-05-01,1555.019
2002-05-02,1548.728
2002-05-03,1540.857
2002-05-06,1525.09
2002-05-07,1510.304
2002-05-08,1549.491
2002-05-09,1533.683
2002-05-10,1518.471
2002-05-13,1534.746
2002-05-14,1549.646
2002-05-15,1552.115
2002-05-16,1561.044
2002-05-17,1577.862
2002-05-20,1564.215
2002-05-21,1551.731
2002-05-22,1556.323
2002-05-23,1561.273
2002-05-24,1549.081
2002-05-27,1547.082
2002-05-28,1540.165
2002-05-29,1535.049
2002-05-30,1532.762
2002-05-31,1532.389
2002-06-03,1509.837
2002-06-04,1503.34
2002-06-05,1508.648
2002-06-06,1491.77
2002-06-07,1480.364
2002-06-10,1485.075
2002-06-11,1470.693
2002-06-12,1469.25
2002-06-13,1454.404
2002-06-14,1442.577
2002-06-17,1472.527
2002-06-18,1474.369
2002-06-19,1453.989
2002-06-20,1439.432
2002-06-21,1418.466
2002-06-24,1419.36
2002-06-25,1409.968
2002-06-26,1415.784
2002-06-27,1435.207
2002-06-28,1443.755
2002-07-01,1424.997
2002-07-02,1396.029
2002-07-03,1392.442
2002-07-04,1398.9
2002-07-05,1443.513
2002-07-08,1436.828
2002-07-09,1414.002
2002-07-10,1366.576
2002-07-11,1356.517
2002-07-12,1355.915
2002-07-15,1338.202
2002-07-16,1322.845
2002-07-17,1342.869
2002-07-18,1327.019
2002-07-19,1280.377
2002-07-22,1241.87
2002-07-23,1219.968
2002-07-24,1253.265
2002-07-25,1263.232
2002-07-26,1270.297
2002-07-29,1326.235
2002-07-30,1335.652
2002-07-31,1341.932
2002-08-01,1302.67
2002-08-02,1290.625
2002-08-05,1256.457
2002-08-06,1277.484
2002-08-07,1300.113
2002-08-08,1335.648
2002-08-09,1346.66
2002-08-12,1335.244
2002-08-13,1320.837
2002-08-14,1349.369
2002-08-15,1365.681
2002-08-16,1368.563
2002-08-19,1388.39
2002-08-20,1370.842
2002-08-21,1387.359
2002-08-22,1404.052
2002-08-23,1380.744
2002-08-26,1382.873
2002-08-27,1375.739
2002-08-28,1348.455
2002-08-29,1340.437
