Date,WORLD GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,114.481
1975-02-28,126.648
1975-03-31,128.632
1975-04-30,134.232
1975-05-30,137.204
1975-06-30,137.246
1975-07-31,127.813
1975-08-29,125.609
1975-09-30,119.64
1975-10-31,128.756
1975-11-28,133.351
1975-12-31,131.843
1976-01-30,143.672
1976-02-27,141.469
1976-03-31,142.786
1976-04-30,140.183
1976-05-31,137.412
1976-06-30,141.425
1976-07-30,139.354
1976-08-31,139.103
1976-09-30,138.57
1976-10-29,133.239
1976-11-30,132.056
1976-12-31,141.445
1977-01-31,134.368
1977-02-28,133.913
1977-03-31,132.161
1977-04-29,131.603
1977-05-31,128.978
1977-06-30,134.927
1977-07-29,132.596
1977-08-31,135.268
1977-09-30,137.208
1977-10-31,134.818
1977-11-30,136.6
1977-12-30,138.194
1978-01-31,134.05
1978-02-28,132.093
1978-03-31,137.202
1978-04-28,145.466
1978-05-31,147.398
1978-06-30,149.772
1978-07-31,161.272
1978-08-31,165.17
1978-09-29,165.142
1978-10-31,162.12
1978-11-30,155.263
1978-12-29,161.067
1979-01-31,163.955
1979-02-28,160.433
1979-03-30,167.592
1979-04-30,167.047
1979-05-31,164.338
1979-06-29,168.074
1979-07-31,169.116
1979-08-31,176.593
1979-09-28,180.914
1979-10-31,168.919
1979-11-30,175.22
1979-12-31,180.033
1980-01-31,190.522
1980-02-29,191.145
1980-03-31,168.511
1980-04-30,178.545
1980-05-30,187.046
1980-06-30,196.984
1980-07-31,204.258
1980-08-29,208.538
1980-09-30,216.994
1980-10-31,225.515
1980-11-28,237.648
1980-12-31,230.108
1981-01-30,221.603
1981-02-27,222.705
1981-03-31,227.016
1981-04-30,221.194
1981-05-29,215.882
1981-06-30,214.102
1981-07-31,212.141
1981-08-31,207.669
1981-09-30,189.844
1981-10-30,197.795
1981-11-30,212.052
1981-12-31,208.029
1982-01-29,204.807
1982-02-26,190.359
1982-03-31,184.853
1982-04-30,195.568
1982-05-31,190.525
1982-06-30,182.154
1982-07-30,181.637
1982-08-31,194.417
1982-09-30,197.351
1982-10-29,210.103
1982-11-30,222.023
1982-12-31,230.852
1983-01-31,233.592
1983-02-28,239.38
1983-03-31,246.579
1983-04-29,262.795
1983-05-31,259.359
1983-06-30,270.253
1983-07-29,263.447
1983-08-31,262.904
1983-09-30,269.39
1983-10-31,265.483
1983-11-30,272.17
1983-12-30,275.028
1984-01-31,272.918
1984-02-29,267.681
1984-03-30,283.501
1984-04-30,281.812
1984-05-31,260.824
1984-06-29,266.115
1984-07-31,258.05
1984-08-31,283.785
1984-09-28,280.522
1984-10-31,287.584
1984-11-30,285.867
1984-12-31,292.659
1985-01-31,310.25
1985-02-28,311.51
1985-03-29,322.27
1985-04-30,317.637
1985-05-31,334.369
1985-06-28,339.882
1985-07-31,349.629
1985-08-30,350.381
1985-09-30,350.825
1985-10-31,369.274
1985-11-29,392.377
1985-12-31,412.308
1986-01-31,416.294
1986-02-28,455.046
1986-03-31,503.016
1986-04-30,515.497
1986-05-30,517.15
1986-06-30,537.419
1986-07-31,549.992
1986-08-29,587.961
1986-09-30,559.421
1986-10-31,546.145
1986-11-28,570.764
1986-12-31,584.569
1987-01-30,672.193
1987-02-27,700.551
1987-03-31,752.187
1987-04-30,804.289
1987-05-29,789.569
1987-06-30,772.445
1987-07-31,782.035
1987-08-31,839.806
1987-09-30,809.091
1987-10-30,674.558
1987-11-30,653.897
1987-12-31,675.0
1988-01-29,689.737
1988-02-29,733.028
