Date,WORLD GROWTH Standard (Large+Mid Cap)
2001-01-01,2330.975
2001-01-02,2270.297
2001-01-03,2348.325
2001-01-04,2349.265
2001-01-05,2306.7
2001-01-08,2290.493
2001-01-09,2283.286
2001-01-10,2292.412
2001-01-11,2333.371
2001-01-12,2337.905
2001-01-15,2336.409
2001-01-16,2331.874
2001-01-17,2354.149
2001-01-18,2399.634
2001-01-19,2401.738
2001-01-22,2397.161
2001-01-23,2412.146
2001-01-24,2405.429
2001-01-25,2386.94
2001-01-26,2386.659
2001-01-29,2391.676
2001-01-30,2399.289
2001-01-31,2401.42
2001-02-01,2412.038
2001-02-02,2361.268
2001-02-05,2357.373
2001-02-06,2356.212
2001-02-07,2325.137
2001-02-08,2291.107
2001-02-09,2245.555
2001-02-12,2277.249
2001-02-13,2248.165
2001-02-14,2237.204
2001-02-15,2256.469
2001-02-16,2204.912
2001-02-19,2203.105
2001-02-20,2163.135
2001-02-21,2133.047
2001-02-22,2117.287
2001-02-23,2101.316
2001-02-26,2130.195
2001-02-27,2120.037
2001-02-28,2095.288
2001-03-01,2096.939
2001-03-02,2071.291
2001-03-05,2083.326
2001-03-06,2109.076
2001-03-07,2110.19
2001-03-08,2101.581
2001-03-09,2057.124
2001-03-12,1970.334
2001-03-13,1975.897
2001-03-14,1937.755
2001-03-15,1948.699
2001-03-16,1902.853
2001-03-19,1919.41
2001-03-20,1904.526
2001-03-21,1886.904
2001-03-22,1856.401
2001-03-23,1910.292
2001-03-26,1947.817
2001-03-27,1987.913
2001-03-28,1945.199
2001-03-29,1918.72
2001-03-30,1926.395
2001-04-02,1902.829
2001-04-03,1849.573
2001-04-04,1861.592
2001-04-05,1928.629
2001-04-06,1912.908
2001-04-09,1916.643
2001-04-10,1947.389
2001-04-11,1951.438
2001-04-12,1980.537
2001-04-13,1979.32
2001-04-16,1961.067
2001-04-17,1970.996
2001-04-18,2043.485
2001-04-19,2083.746
2001-04-20,2076.505
2001-04-23,2040.38
2001-04-24,2015.789
2001-04-25,2040.702
2001-04-26,2053.537
2001-04-27,2074.654
2001-04-30,2082.354
2001-05-01,2114.516
2001-05-02,2123.929
2001-05-03,2092.171
2001-05-04,2116.0
2001-05-07,2116.418
2001-05-08,2111.211
