Date,WORLD GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,114.412
1975-02-28,126.497
1975-03-31,128.397
1975-04-30,133.909
1975-05-30,136.794
1975-06-30,136.752
1975-07-31,127.265
1975-08-29,124.988
1975-09-30,118.965
1975-10-31,127.952
1975-11-28,132.438
1975-12-31,130.857
1976-01-30,142.52
1976-02-27,140.248
1976-03-31,141.47
1976-04-30,138.802
1976-05-31,135.97
1976-06-30,139.855
1976-07-30,137.715
1976-08-31,137.373
1976-09-30,136.754
1976-10-29,131.396
1976-11-30,130.136
1976-12-31,139.298
1977-01-31,132.227
1977-02-28,131.679
1977-03-31,129.855
1977-04-29,129.206
1977-05-31,126.526
1977-06-30,132.262
1977-07-29,129.872
1977-08-31,132.387
1977-09-30,134.174
1977-10-31,131.719
1977-11-30,133.341
1977-12-30,134.772
1978-01-31,130.598
1978-02-28,128.558
1978-03-31,133.412
1978-04-28,141.335
1978-05-31,143.09
1978-06-30,145.267
1978-07-31,156.301
1978-08-31,159.951
1978-09-29,159.792
1978-10-31,156.724
1978-11-30,149.967
1978-12-29,155.438
1979-01-31,158.093
1979-02-28,154.554
1979-03-30,161.322
1979-04-30,160.661
1979-05-31,157.913
1979-06-29,161.363
1979-07-31,162.217
1979-08-31,169.247
1979-09-28,173.241
1979-10-31,161.599
1979-11-30,167.48
1979-12-31,171.93
1980-01-31,181.8
1980-02-29,182.236
1980-03-31,160.487
1980-04-30,169.887
1980-05-30,177.812
1980-06-30,187.096
1980-07-31,193.845
1980-08-29,197.737
1980-09-30,205.589
1980-10-31,213.498
1980-11-28,224.825
1980-12-31,217.509
1981-01-30,209.289
1981-02-27,210.161
1981-03-31,214.053
1981-04-30,208.391
1981-05-29,203.214
1981-06-30,201.374
1981-07-31,199.37
1981-08-31,194.998
1981-09-30,178.085
1981-10-30,185.391
1981-11-30,198.599
1981-12-31,194.665
1982-01-29,191.491
1982-02-26,177.813
1982-03-31,172.512
1982-04-30,182.359
1982-05-31,177.494
1982-06-30,169.534
1982-07-30,168.895
1982-08-31,180.634
1982-09-30,183.21
1982-10-29,194.907
1982-11-30,205.816
1982-12-31,213.847
1983-01-31,216.231
1983-02-28,221.434
1983-03-31,227.95
1983-04-29,242.801
1983-05-31,239.473
1983-06-30,249.388
1983-07-29,242.952
1983-08-31,242.303
1983-09-30,248.134
1983-10-31,244.381
1983-11-30,250.389
1983-12-30,252.867
1984-01-31,250.773
1984-02-29,245.797
1984-03-30,260.183
1984-04-30,258.488
1984-05-31,239.082
1984-06-29,243.79
1984-07-31,236.25
1984-08-31,259.674
1984-09-28,256.544
1984-10-31,262.861
1984-11-30,261.145
1984-12-31,267.208
1985-01-31,283.137
1985-02-28,284.144
1985-03-29,293.815
1985-04-30,289.44
1985-05-31,304.544
1985-06-28,309.416
1985-07-31,318.138
1985-08-30,318.669
1985-09-30,318.913
1985-10-31,335.531
1985-11-29,356.374
1985-12-31,374.323
1986-01-31,377.778
1986-02-28,412.784
1986-03-31,456.147
1986-04-30,467.297
1986-05-30,468.635
1986-06-30,486.833
1986-07-31,498.046
1986-08-29,532.264
1986-09-30,506.24
1986-10-31,494.061
1986-11-28,516.161
1986-12-31,528.466
1987-01-30,607.515
1987-02-27,632.968
1987-03-31,679.444
1987-04-30,726.32
1987-05-29,712.836
1987-06-30,697.193
1987-07-31,705.667
1987-08-31,757.611
1987-09-30,729.705
1987-10-30,608.126
1987-11-30,589.287
1987-12-31,608.113
1988-01-29,621.19
1988-02-29,659.984
1988-03-31,675.675
1988-04-29,675.455
1988-05-31,656.495
1988-06-30,649.197
1988-07-29,652.945
1988-08-31,622.807
1988-09-30,653.085
1988-10-31,700.525
1988-11-30,726.25
1988-12-30,732.997
1989-01-31,755.071
1989-02-28,746.268
1989-03-31,741.965
1989-04-28,757.683
1989-05-31,735.852
1989-06-30,724.726
1989-07-31,815.805
1989-08-31,793.394
1989-09-29,814.442
1989-10-31,788.907
1989-11-30,825.139
1989-12-29,847.07
1990-01-31,800.793
1990-02-28,760.09
1990-03-30,713.478
1990-04-30,704.621
1990-05-31,787.464
1990-06-29,784.056
1990-07-31,788.547
1990-08-31,714.55
1990-09-28,634.74
1990-10-31,702.636
1990-11-30,690.144
1990-12-31,707.355
1991-01-31,734.032
1991-02-28,800.632
1991-03-29,782.295
1991-04-30,788.509
1991-05-31,806.502
1991-06-28,756.03
1991-07-31,791.549
1991-08-30,792.701
1991-09-30,806.821
1991-10-31,826.278
1991-11-29,800.057
1991-12-31,868.302
