Date,BELGIUM GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,119.851
1975-02-28,128.436
1975-03-31,125.61
1975-04-30,135.107
1975-05-30,136.809
1975-06-30,130.312
1975-07-31,124.911
1975-08-29,125.265
1975-09-30,108.677
1975-10-31,115.375
1975-11-28,117.491
1975-12-31,118.64
1976-01-30,132.753
1976-02-27,127.355
1976-03-31,122.912
1976-04-30,123.686
1976-05-31,115.564
1976-06-30,118.529
1976-07-30,118.741
1976-08-31,112.112
1976-09-30,112.127
1976-10-29,109.628
1976-11-30,118.021
1976-12-31,124.283
1977-01-31,120.216
1977-02-28,126.074
1977-03-31,121.926
1977-04-29,123.383
1977-05-31,123.283
1977-06-30,126.496
1977-07-29,127.78
1977-08-31,124.626
1977-09-30,127.208
1977-10-31,127.111
1977-11-30,126.654
1977-12-30,132.196
1978-01-31,140.653
1978-02-28,144.674
1978-03-31,147.15
1978-04-28,155.103
1978-05-31,145.585
1978-06-30,143.04
1978-07-31,146.874
1978-08-31,151.665
1978-09-29,153.497
1978-10-31,167.758
1978-11-30,153.399
1978-12-29,163.238
1979-01-31,171.196
1979-02-28,177.004
1979-03-30,177.12
1979-04-30,169.5
1979-05-31,163.28
1979-06-29,161.936
1979-07-31,167.393
1979-08-31,165.746
1979-09-28,180.918
1979-10-31,174.324
1979-11-30,180.968
1979-12-31,183.551
1980-01-31,188.378
1980-02-29,180.163
1980-03-31,138.91
1980-04-30,166.569
1980-05-30,174.331
1980-06-30,176.794
1980-07-31,169.135
1980-08-29,162.882
1980-09-30,166.241
1980-10-31,160.868
1980-11-28,155.968
1980-12-31,148.594
1981-01-30,139.725
1981-02-27,132.812
1981-03-31,128.695
1981-04-30,121.498
1981-05-29,106.697
1981-06-30,99.486
1981-07-31,98.515
1981-08-31,100.309
1981-09-30,99.234
1981-10-30,100.533
1981-11-30,104.679
1981-12-31,117.081
1982-01-29,118.853
1982-02-26,110.367
1982-03-31,103.219
1982-04-30,110.451
1982-05-31,105.228
1982-06-30,99.634
1982-07-30,101.88
1982-08-31,108.012
1982-09-30,110.833
1982-10-29,108.11
1982-11-30,111.091
1982-12-31,118.641
1983-01-31,115.76
1983-02-28,117.453
1983-03-31,129.433
1983-04-29,141.781
1983-05-31,133.982
1983-06-30,139.319
1983-07-29,140.712
1983-08-31,137.969
1983-09-30,137.994
1983-10-31,129.118
1983-11-30,136.038
1983-12-30,140.947
1984-01-31,151.554
1984-02-29,153.269
1984-03-30,161.871
1984-04-30,169.073
1984-05-31,162.187
1984-06-29,154.44
1984-07-31,151.6
1984-08-31,169.447
1984-09-28,164.07
1984-10-31,166.06
1984-11-30,158.707
1984-12-31,156.199
1985-01-31,150.237
1985-02-28,152.89
1985-03-29,162.207
1985-04-30,164.241
1985-05-31,169.423
1985-06-28,162.924
1985-07-31,176.349
1985-08-30,183.617
1985-09-30,199.82
1985-10-31,239.286
1985-11-29,257.39
1985-12-31,258.357
1986-01-31,255.228
1986-02-28,318.38
1986-03-31,324.368
1986-04-30,366.437
1986-05-30,342.934
1986-06-30,375.968
1986-07-31,390.955
1986-08-29,423.017
1986-09-30,424.548
1986-10-31,427.827
1986-11-28,464.369
1986-12-31,477.39
1987-01-30,498.203
1987-02-27,522.488
1987-03-31,558.277
1987-04-30,598.592
1987-05-29,580.732
1987-06-30,600.234
1987-07-31,649.457
1987-08-31,682.202
1987-09-30,648.122
1987-10-30,513.264
1987-11-30,494.674
1987-12-31,496.457
1988-01-29,513.861
1988-02-29,596.889
1988-03-31,628.115
1988-04-29,622.959
