Date,BELGIUM GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,119.967
1975-02-28,128.697
1975-03-31,126.003
1975-04-30,135.643
1975-05-30,137.482
1975-06-30,131.087
1975-07-31,125.766
1975-08-29,126.245
1975-09-30,109.636
1975-10-31,116.496
1975-11-28,118.73
1975-12-31,119.992
1976-01-30,134.358
1976-02-27,129.002
1976-03-31,124.603
1976-04-30,125.492
1976-05-31,117.362
1976-06-30,120.48
1976-07-30,120.803
1976-08-31,114.175
1976-09-30,114.309
1976-10-29,111.891
1976-11-30,120.571
1976-12-31,127.095
1977-01-31,123.055
1977-02-28,129.167
1977-03-31,125.062
1977-04-29,126.702
1977-05-31,126.743
1977-06-30,130.189
1977-07-29,131.659
1977-08-31,128.563
1977-09-30,131.376
1977-10-31,131.435
1977-11-30,131.12
1977-12-30,137.028
1978-01-31,145.957
1978-02-28,150.31
1978-03-31,153.058
1978-04-28,161.499
1978-05-31,151.778
1978-06-30,149.312
1978-07-31,153.495
1978-08-31,158.688
1978-09-29,160.796
1978-10-31,175.966
1978-11-30,161.104
1978-12-29,171.651
1979-01-31,180.223
1979-02-28,186.548
1979-03-30,186.922
1979-04-30,179.132
1979-05-31,172.81
1979-06-29,171.653
1979-07-31,177.701
1979-08-31,176.221
1979-09-28,192.544
1979-10-31,185.725
1979-11-30,193.01
1979-12-31,195.964
1980-01-31,201.334
1980-02-29,192.775
1980-03-31,148.837
1980-04-30,178.641
1980-05-30,187.159
1980-06-30,190.006
1980-07-31,181.983
1980-08-29,175.455
1980-09-30,179.307
1980-10-31,173.736
1980-11-28,168.676
1980-12-31,160.932
1981-01-30,151.537
1981-02-27,144.248
1981-03-31,139.97
1981-04-30,132.335
1981-05-29,116.413
1981-06-30,108.725
1981-07-31,107.825
1981-08-31,109.957
1981-09-30,108.945
1981-10-30,110.53
1981-11-30,115.249
1981-12-31,129.042
1982-01-29,131.152
1982-02-26,121.939
1982-03-31,114.176
1982-04-30,122.33
1982-05-31,116.7
1982-06-30,110.641
1982-07-30,113.286
1982-08-31,120.241
1982-09-30,123.542
1982-10-29,120.684
1982-11-30,124.193
1982-12-31,132.813
1983-01-31,129.78
1983-02-28,131.866
1983-03-31,145.501
1983-04-29,159.57
1983-05-31,151.002
1983-06-30,157.206
1983-07-29,158.964
1983-08-31,156.055
1983-09-30,156.273
1983-10-31,146.423
1983-11-30,154.442
1983-12-30,160.187
1984-01-31,172.402
1984-02-29,174.556
1984-03-30,184.58
1984-04-30,193.023
1984-05-31,185.426
1984-06-29,176.831
1984-07-31,173.822
1984-08-31,194.509
1984-09-28,188.569
1984-10-31,191.096
1984-11-30,182.885
1984-12-31,180.235
1985-01-31,173.605
1985-02-28,176.88
1985-03-29,187.909
1985-04-30,190.513
1985-05-31,196.781
1985-06-28,189.515
1985-07-31,205.421
1985-08-30,214.172
1985-09-30,233.378
1985-10-31,279.755
1985-11-29,301.256
1985-12-31,302.745
1986-01-31,299.466
1986-02-28,373.92
1986-03-31,381.31
1986-04-30,431.178
1986-05-30,403.924
1986-06-30,443.244
1986-07-31,461.358
1986-08-29,499.627
1986-09-30,501.905
1986-10-31,506.233
1986-11-28,549.937
1986-12-31,565.844
1987-01-30,591.05
1987-02-27,620.373
1987-03-31,663.398
1987-04-30,711.849
1987-05-29,691.195
1987-06-30,714.951
1987-07-31,774.089
1987-08-31,813.67
1987-09-30,773.528
1987-10-30,613.256
1987-11-30,591.642
1987-12-31,594.359
1988-01-29,615.683
1988-02-29,715.636
1988-03-31,753.68
1988-04-29,748.139
1988-05-31,721.758
1988-06-30,734.068
1988-07-29,696.216
1988-08-31,679.837
1988-09-30,761.864
1988-10-31,818.596
1988-11-30,836.619
1988-12-30,849.754
1989-01-31,840.986
1989-02-28,806.854
1989-03-31,803.535
1989-04-28,830.301
1989-05-31,801.578
1989-06-30,799.604
1989-07-31,842.864
1989-08-31,840.492
1989-09-29,929.914
1989-10-31,884.798
1989-11-30,949.705
1989-12-29,992.652
1990-01-31,966.806
1990-02-28,874.781
1990-03-30,948.187
1990-04-30,930.961
1990-05-31,955.138
1990-06-29,977.03
1990-07-31,1026.816
1990-08-31,940.456
1990-09-28,841.831
1990-10-31,884.376
1990-11-30,828.891
1990-12-31,840.962
1991-01-31,820.025
1991-02-28,943.812
1991-03-29,874.224
1991-04-30,854.263
1991-05-31,849.789
1991-06-28,801.846
1991-07-31,827.32
1991-08-30,829.975
1991-09-30,846.547
1991-10-31,856.264
1991-11-29,872.34
1991-12-31,969.717
1992-01-31,966.492
1992-02-28,958.598
1992-03-31,947.679
1992-04-30,962.659
1992-05-29,972.553
1992-06-30,993.106
1992-07-31,1026.562
1992-08-31,979.747
1992-09-30,1012.843
1992-10-30,927.431
1992-11-30,927.373
1992-12-31,896.919
1993-01-29,930.851
1993-02-26,916.966
1993-03-31,999.215
1993-04-30,977.643
1993-05-31,965.113
1993-06-30,983.331
1993-07-30,961.926
1993-08-31,955.03
1993-09-30,964.868
1993-10-29,1011.833
1993-11-30,1018.123
1993-12-31,1076.502
1994-01-31,1118.569
1994-02-28,1126.201
1994-03-31,1117.036
1994-04-29,1166.733
1994-05-31,1148.551
1994-06-30,1139.848
1994-07-29,1190.773
1994-08-31,1198.64
1994-09-30,1134.344
1994-10-31,1173.61
1994-11-30,1129.102
1994-12-30,1141.033
1995-01-31,1119.71
1995-02-28,1129.21
1995-03-31,1197.376
1995-04-28,1246.479
1995-05-31,1232.676
1995-06-30,1236.467
1995-07-31,1283.741
1995-08-31,1229.357
1995-09-29,1273.198
1995-10-31,1271.332
1995-11-30,1280.572
1995-12-29,1335.329
1996-01-31,1347.874
1996-02-29,1327.888
1996-03-29,1292.24
1996-04-30,1327.236
1996-05-31,1343.914
1996-06-28,1325.971
1996-07-31,1364.417
1996-08-30,1357.929
1996-09-30,1383.529
1996-10-31,1413.269
1996-11-29,1467.293
1996-12-31,1490.012
1997-01-31,1522.579
1997-02-28,1531.121
1997-03-31,1529.925
1997-04-30,1527.078
1997-05-30,1578.638
1997-06-30,1653.17
1997-07-31,1682.81
1997-08-29,1560.331
1997-09-30,1638.178
1997-10-31,1587.39
1997-11-28,1624.172
1997-12-31,1653.059
1998-01-30,1728.963
1998-02-27,1814.486
1998-03-31,1980.572
1998-04-30,2107.103
1998-05-29,2226.181
1998-06-30,2390.812
1998-07-31,2494.632
1998-08-31,2283.253
1998-09-30,2157.84
1998-10-30,2333.862
1998-11-30,2344.197
1998-12-31,2596.868
1999-01-29,2501.205
1999-02-26,2380.208
1999-03-31,2123.235
1999-04-30,2009.802
1999-05-31,1927.21
1999-06-30,1951.212
1999-07-30,1926.994
1999-08-31,2052.186
1999-09-30,1959.234
1999-10-29,1948.432
1999-11-30,1946.575
1999-12-31,2034.429
2000-01-31,1610.02
2000-02-29,1469.008
2000-03-31,1508.34
2000-04-28,1442.801
2000-05-31,1507.209
2000-06-30,1639.87
2000-07-31,1691.454
2000-08-31,1684.802
2000-09-29,1619.951
2000-10-31,1609.609
2000-11-30,1546.046
2000-12-29,1700.281
2001-01-31,1663.201
2001-02-28,1608.756
2001-03-30,1436.176
2001-04-30,1417.899
2001-05-31,1344.228
2001-06-29,1388.712
2001-07-31,1500.213
2001-08-31,1538.43
2001-09-28,1385.814
2001-10-31,1314.925
2001-11-30,1354.695
2001-12-31,1379.753
2002-01-31,1354.36
2002-02-28,1366.671
2002-03-29,1390.235
2002-04-30,1446.671
2002-05-31,1472.052
2002-06-28,1474.908
2002-07-31,1331.33
2002-08-30,1324.811
2002-09-30,1148.615
2002-10-31,1139.608
2002-11-29,1227.486
2002-12-31,1318.071
2003-01-31,1301.08
2003-02-28,1182.22
2003-03-31,1182.025
2003-04-30,1283.176
2003-05-30,1400.541
2003-06-30,1378.063
2003-07-31,1363.137
2003-08-29,1401.114
2003-09-30,1500.668
2003-10-31,1530.598
2003-11-28,1597.796
2003-12-31,1758.345
2004-01-30,1792.501
2004-02-27,1858.776
2004-03-31,1771.234
2004-04-30,1767.073
2004-05-31,1829.9
2004-06-30,1873.252
2004-07-30,1860.107
2004-08-31,1953.502
2004-09-30,2101.654
2004-10-29,2231.523
2004-11-30,2353.943
2004-12-31,2439.223
2005-01-31,2395.791
2005-02-28,2536.778
2005-03-31,2461.015
2005-04-29,2360.12
2005-05-31,2306.938
2005-06-30,2295.936
2005-07-29,2385.199
2005-08-31,2461.376
2005-09-30,2470.494
2005-10-31,2412.593
2005-11-30,2442.967
2005-12-30,2508.476
2006-01-31,2660.17
2006-02-28,2688.143
2006-03-31,2763.103
2006-04-28,2953.381
2006-05-31,2851.863
2006-06-30,2895.427
2006-07-31,2953.85
2006-08-31,2999.653
2006-09-29,3097.545
2006-10-31,3176.112
2006-11-30,3339.325
2006-12-29,3555.117
2007-01-31,3548.361
2007-02-28,3468.702
2007-03-30,3600.345
2007-04-30,3888.678
2007-05-31,4022.245
2007-06-29,3952.162
2007-07-31,3881.206
2007-08-31,3808.603
2007-09-28,4006.867
2007-10-31,4117.865
2007-11-30,3960.869
2007-12-31,3943.759
2008-01-31,3677.571
2008-02-29,3930.848
2008-03-31,3955.205
2008-04-30,3996.411
2008-05-30,3886.888
2008-06-30,3568.876
2008-07-31,3438.328
2008-08-29,3411.182
2008-09-30,2814.621
2008-10-31,1973.972
2008-11-28,1572.8
2008-12-31,1934.079
2009-01-30,2062.191
2009-02-27,2132.544
2009-03-31,2133.874
2009-04-30,2359.231
2009-05-29,2635.315
2009-06-30,2650.286
2009-07-31,2860.803
2009-08-31,3119.506
2009-09-30,3301.736
2009-10-30,3385.099
2009-11-30,3571.141
2009-12-31,3682.082
2010-01-29,3542.47
2010-02-26,3528.862
2010-03-31,3589.604
2010-04-30,3531.017
2010-05-31,3418.625
2010-06-30,3452.054
2010-07-30,3758.351
2010-08-31,3727.42
2010-09-30,4230.426
2010-10-29,4509.983
2010-11-30,4000.378
2010-12-31,4247.13
2011-01-31,4127.23
2011-02-28,4170.306
2011-03-31,4238.441
2011-04-29,4802.443
2011-05-31,4557.929
2011-06-30,4304.179
2011-07-29,4215.561
2011-08-31,4063.985
2011-09-30,3763.496
2011-10-31,3982.266
2011-11-30,4133.361
2011-12-30,4201.204
2012-01-31,4233.009
2012-02-29,4648.993
2012-03-30,4989.262
2012-04-30,5036.368
2012-05-31,4717.153
2012-06-29,5324.115
2012-07-31,5384.854
2012-08-31,5705.38
2012-09-28,5827.89
2012-10-31,5756.301
2012-11-30,5989.148
2012-12-31,6013.127
2013-01-31,6032.663
2013-02-28,6397.249
2013-03-29,6660.441
2013-04-30,6604.38
2013-05-31,6464.85
2013-06-28,6180.09
2013-07-31,6650.67
2013-08-30,6562.153
2013-09-30,7047.268
2013-10-31,7403.853
2013-11-29,7342.24
2013-12-31,7666.762
2014-01-31,6979.089
2014-02-28,7650.357
2014-03-31,7659.035
2014-04-30,7888.826
2014-05-30,8053.438
2014-06-30,8242.749
2014-07-31,7931.012
2014-08-29,8152.698
2014-09-30,7992.245
2014-10-31,7786.961
2014-11-28,8271.601
2014-12-31,8022.016
2015-01-30,8419.787
2015-02-27,8851.663
2015-03-31,8529.097
2015-04-30,8667.34
2015-05-29,8675.355
2015-06-30,8658.783
2015-07-31,8764.125
2015-08-31,8082.664
2015-09-30,7823.018
2015-10-30,8650.131
2015-11-30,9166.426
2015-12-31,8921.193
2016-01-29,8873.295
2016-02-29,8082.147
2016-03-31,8847.22
2016-04-29,8932.788
2016-05-31,9092.155
2016-06-30,9318.467
2016-07-29,9308.411
2016-08-31,9018.604
2016-09-30,9467.078
2016-10-31,8352.967
2016-11-30,7755.054
2016-12-30,7870.483
2017-01-31,7769.299
2017-02-28,8134.707
2017-03-31,8264.784
2017-04-28,8460.03
2017-05-31,8861.925
2017-06-30,8463.881
2017-07-31,9217.479
2017-08-31,9047.543
2017-09-29,9206.454
2017-10-31,9445.81
2017-11-30,9213.491
2017-12-29,9050.147
2018-01-31,9366.791
2018-02-28,8909.994
2018-03-30,9012.78
2018-04-30,8535.109
2018-05-31,8131.831
2018-06-29,8520.993
2018-07-31,8704.495
2018-08-31,8302.34
2018-09-28,7917.105
2018-10-31,6842.16
2018-11-30,6991.857
2018-12-31,6251.02
2019-01-31,7017.798
2019-02-28,7110.968
2019-03-29,7492.275
2019-04-30,7721.605
2019-05-31,7023.135
2019-06-28,7557.036
2019-07-31,8264.564
2019-08-30,7818.309
2019-09-30,7928.099
2019-10-31,7126.813
2019-11-29,7135.56
2019-12-31,7393.472
2020-01-31,7181.903
2020-02-28,5807.672
2020-03-31,4949.57
2020-04-30,5342.238
2020-05-29,5448.921
2020-06-30,5665.743
2020-07-31,5866.221
2020-08-31,5454.992
2020-09-30,5345.307
2020-10-30,4845.589
2020-11-30,5441.715
2020-12-31,5443.507
2021-01-29,5637.323
2021-02-26,5715.016
2021-03-31,5217.638
2021-04-30,5497.063
2021-05-31,5500.411
2021-06-30,5701.695
2021-07-30,5940.036
2021-08-31,6209.118
2021-09-30,5621.657
2021-10-29,5657.388
2021-11-30,5306.115
2021-12-31,5449.652
2022-01-31,4689.964
2022-02-28,5037.164
2022-03-31,5299.191
2022-04-29,4904.734
2022-05-31,4727.329
2022-06-30,4470.563
2022-07-29,4550.134
2022-08-31,4215.962
2022-09-30,3893.652
2022-10-31,4242.724
2022-11-30,4621.913
2022-12-30,4644.154
2023-01-31,4679.522
2023-02-28,4668.706
2023-03-31,4890.021
2023-04-28,4909.63
2023-05-31,4387.566
2023-06-30,4561.053
2023-07-31,4921.991
2023-08-31,4888.516
2023-09-29,4720.1
2023-10-31,4617.636
2023-11-30,4889.808
2023-12-29,4899.729
2024-01-31,4853.295
2024-02-29,4863.298
2024-03-29,5048.307
2024-04-30,5013.442
2024-05-31,5201.608
2024-06-28,5243.363
2024-07-31,5669.347
2024-08-30,5908.049
2024-09-30,6185.757
2024-10-31,6080.855
2024-11-29,5943.943
2024-12-31,5875.334
2025-01-31,5997.054
2025-02-28,6009.851
2025-03-31,5811.816
2025-04-30,6287.931
2025-05-30,6205.682
2025-06-30,6162.598
2025-07-31,6478.963
2025-08-29,6873.213
2025-09-30,7129.326
2025-10-31,7332.461
2025-11-28,7848.367
