Date,BELGIUM GROWTH Standard (Large+Mid Cap)
2001-01-01,1700.281
2001-01-02,1729.034
2001-01-03,1679.186
2001-01-04,1676.837
2001-01-05,1687.954
2001-01-08,1685.177
2001-01-09,1672.828
2001-01-10,1664.863
2001-01-11,1685.662
2001-01-12,1679.465
2001-01-15,1660.428
2001-01-16,1656.418
2001-01-17,1639.748
2001-01-18,1644.135
2001-01-19,1621.107
2001-01-22,1626.979
2001-01-23,1644.068
2001-01-24,1614.991
2001-01-25,1614.402
2001-01-26,1616.364
2001-01-29,1621.009
2001-01-30,1644.327
2001-01-31,1663.201
2001-02-01,1696.991
2001-02-02,1698.35
2001-02-05,1701.37
2001-02-06,1677.466
2001-02-07,1680.127
2001-02-08,1643.581
2001-02-09,1650.799
2001-02-12,1657.201
2001-02-13,1639.041
2001-02-14,1638.527
2001-02-15,1615.843
2001-02-16,1620.396
2001-02-19,1639.268
2001-02-20,1615.43
2001-02-21,1601.603
2001-02-22,1571.294
2001-02-23,1564.746
2001-02-26,1575.281
2001-02-27,1596.738
2001-02-28,1608.756
2001-03-01,1590.257
2001-03-02,1586.196
2001-03-05,1580.397
2001-03-06,1582.085
2001-03-07,1576.597
2001-03-08,1575.658
2001-03-09,1585.432
2001-03-12,1544.219
2001-03-13,1508.424
2001-03-14,1483.172
2001-03-15,1453.173
2001-03-16,1394.976
2001-03-19,1364.597
2001-03-20,1399.988
2001-03-21,1370.662
2001-03-22,1290.61
2001-03-23,1329.076
2001-03-26,1420.456
2001-03-27,1421.277
2001-03-28,1391.063
2001-03-29,1390.328
2001-03-30,1436.176
2001-04-02,1461.762
2001-04-03,1435.414
2001-04-04,1451.154
2001-04-05,1460.507
2001-04-06,1449.923
2001-04-09,1484.493
2001-04-10,1472.202
2001-04-11,1428.593
2001-04-12,1424.871
2001-04-13,1424.871
2001-04-16,1410.279
2001-04-17,1404.924
2001-04-18,1412.384
2001-04-19,1433.778
2001-04-20,1426.473
2001-04-23,1400.76
2001-04-24,1415.252
2001-04-25,1423.035
2001-04-26,1433.451
2001-04-27,1427.644
2001-04-30,1417.899
2001-05-01,1425.416
2001-05-02,1411.417
2001-05-03,1392.941
2001-05-04,1369.227
2001-05-07,1367.733
2001-05-08,1356.105
2001-05-09,1358.059
2001-05-10,1384.05
2001-05-11,1373.266
2001-05-14,1360.263
2001-05-15,1365.706
2001-05-16,1372.102
2001-05-17,1373.999
2001-05-18,1371.1
2001-05-21,1362.557
2001-05-22,1357.115
2001-05-23,1375.583
2001-05-24,1392.122
2001-05-25,1373.183
2001-05-28,1382.442
2001-05-29,1368.563
2001-05-30,1390.192
2001-05-31,1344.228
2001-06-01,1345.577
2001-06-04,1347.405
2001-06-05,1379.02
2001-06-06,1393.898
2001-06-07,1374.962
2001-06-08,1385.737
2001-06-11,1360.419
2001-06-12,1359.353
2001-06-13,1378.149
2001-06-14,1374.949
2001-06-15,1368.771
2001-06-18,1374.847
2001-06-19,1374.425
2001-06-20,1382.387
2001-06-21,1387.234
2001-06-22,1390.889
2001-06-25,1386.242
2001-06-26,1385.739
2001-06-27,1387.97
2001-06-28,1384.393
2001-06-29,1388.712
2001-07-02,1403.33
2001-07-03,1398.796
2001-07-04,1411.204
2001-07-05,1407.446
2001-07-06,1395.253
2001-07-09,1397.586
2001-07-10,1429.198
2001-07-11,1431.88
2001-07-12,1436.841
2001-07-13,1445.234
2001-07-16,1457.371
2001-07-17,1456.839
2001-07-18,1495.875
2001-07-19,1510.4
2001-07-20,1516.531
2001-07-23,1503.641
2001-07-24,1513.232
2001-07-25,1509.183
2001-07-26,1485.45
2001-07-27,1486.018
2001-07-30,1494.297
2001-07-31,1500.213
2001-08-01,1517.754
2001-08-02,1514.429
2001-08-03,1515.064
2001-08-06,1504.021
2001-08-07,1494.066
2001-08-08,1501.007
2001-08-09,1500.481
2001-08-10,1504.772
2001-08-13,1505.139
2001-08-14,1508.932
2001-08-15,1525.444
2001-08-16,1527.014
2001-08-17,1514.403
2001-08-20,1513.967
2001-08-21,1513.742
2001-08-22,1526.457
2001-08-23,1533.804
2001-08-24,1545.662
2001-08-27,1547.487
2001-08-28,1552.903
2001-08-29,1554.894
2001-08-30,1547.343
2001-08-31,1538.43
2001-09-03,1520.33
2001-09-04,1496.501
2001-09-05,1495.756
2001-09-06,1464.689
2001-09-07,1441.806
2001-09-10,1419.036
2001-09-11,1323.939
2001-09-12,1358.955
2001-09-13,1366.639
2001-09-14,1324.345
2001-09-17,1330.894
2001-09-18,1325.018
2001-09-19,1326.773
2001-09-20,1264.333
2001-09-21,1232.019
2001-09-24,1291.778
2001-09-25,1313.739
2001-09-26,1320.403
2001-09-27,1362.636
2001-09-28,1385.814
2001-10-01,1386.198
2001-10-02,1399.479
2001-10-03,1382.428
2001-10-04,1408.886
2001-10-05,1404.436
2001-10-08,1399.771
2001-10-09,1391.935
2001-10-10,1393.234
2001-10-11,1388.702
2001-10-12,1373.258
2001-10-15,1342.312
2001-10-16,1334.637
2001-10-17,1322.561
2001-10-18,1304.925
2001-10-19,1275.925
2001-10-22,1286.399
2001-10-23,1304.032
2001-10-24,1319.535
2001-10-25,1300.152
2001-10-26,1324.972
2001-10-29,1328.892
2001-10-30,1313.754
2001-10-31,1314.925
2001-11-01,1328.425
2001-11-02,1338.654
2001-11-05,1357.187
2001-11-06,1349.945
2001-11-07,1379.058
2001-11-08,1387.744
2001-11-09,1351.155
2001-11-12,1332.531
2001-11-13,1354.872
2001-11-14,1372.309
2001-11-15,1369.667
2001-11-16,1358.217
2001-11-19,1372.035
2001-11-20,1370.346
2001-11-21,1353.713
2001-11-22,1341.794
2001-11-23,1318.469
2001-11-26,1310.357
2001-11-27,1287.438
2001-11-28,1304.564
2001-11-29,1310.903
2001-11-30,1354.695
2001-12-03,1329.252
2001-12-04,1323.438
2001-12-05,1318.459
2001-12-06,1330.306
2001-12-07,1321.578
2001-12-10,1317.894
2001-12-11,1301.617
2001-12-12,1312.29
2001-12-13,1305.405
2001-12-14,1300.551
2001-12-17,1339.531
2001-12-18,1319.495
2001-12-19,1318.017
2001-12-20,1319.645
2001-12-21,1315.728
2001-12-24,1323.638
2001-12-25,1323.638
2001-12-26,1324.769
2001-12-27,1361.537
2001-12-28,1366.426
2001-12-31,1379.753
2002-01-01,1379.753
2002-01-02,1372.62
2002-01-03,1381.804
2002-01-04,1362.108
2002-01-07,1353.781
2002-01-08,1343.767
2002-01-09,1331.172
2002-01-10,1338.646
2002-01-11,1333.644
2002-01-14,1324.541
2002-01-15,1340.242
2002-01-16,1322.771
2002-01-17,1343.466
2002-01-18,1360.975
2002-01-21,1357.328
2002-01-22,1363.429
2002-01-23,1387.214
2002-01-24,1397.523
2002-01-25,1366.59
2002-01-28,1361.661
2002-01-29,1352.129
2002-01-30,1341.172
2002-01-31,1354.36
2002-02-01,1359.273
2002-02-04,1386.788
2002-02-05,1366.014
2002-02-06,1358.141
2002-02-07,1359.596
2002-02-08,1362.911
2002-02-11,1381.554
2002-02-12,1380.172
2002-02-13,1387.815
2002-02-14,1388.382
2002-02-15,1383.458
2002-02-18,1372.577
2002-02-19,1368.548
2002-02-20,1357.712
2002-02-21,1356.766
2002-02-22,1365.743
2002-02-25,1359.188
2002-02-26,1364.74
2002-02-27,1360.532
2002-02-28,1366.671
2002-03-01,1353.468
2002-03-04,1379.124
2002-03-05,1368.593
2002-03-06,1359.946
2002-03-07,1366.932
2002-03-08,1344.347
2002-03-11,1355.843
2002-03-12,1349.907
2002-03-13,1352.142
2002-03-14,1357.098
2002-03-15,1360.963
2002-03-18,1370.425
2002-03-19,1384.672
2002-03-20,1386.992
2002-03-21,1391.906
2002-03-22,1395.057
2002-03-25,1394.628
