Date,USA MID CAP Mid Cap
1994-05-31,199.815
1994-06-30,194.314
1994-07-29,200.682
1994-08-31,210.939
1994-09-30,206.667
1994-10-31,207.091
1994-11-30,198.005
1994-12-30,200.996
1995-01-31,204.631
1995-02-28,214.966
1995-03-31,220.888
1995-04-28,224.281
1995-05-31,229.407
1995-06-30,239.109
1995-07-31,251.709
1995-08-31,255.599
1995-09-29,261.537
1995-10-31,255.796
1995-11-30,267.845
1995-12-29,269.42
1996-01-31,273.718
1996-02-29,279.732
1996-03-29,284.652
1996-04-30,294.56
1996-05-31,299.17
1996-06-28,291.34
1996-07-31,273.312
1996-08-30,287.903
1996-09-30,301.287
1996-10-31,300.734
1996-11-29,317.163
1996-12-31,316.102
1997-01-31,326.037
1997-02-28,323.915
1997-03-31,308.809
1997-04-30,314.336
1997-05-30,339.478
1997-06-30,351.988
1997-07-31,379.838
1997-08-29,379.233
1997-09-30,400.295
1997-10-31,382.358
1997-11-28,388.846
1997-12-31,398.809
1998-01-30,391.672
1998-02-27,422.235
1998-03-31,442.229
1998-04-30,445.828
1998-05-29,427.735
1998-06-30,431.507
1998-07-31,410.351
1998-08-31,332.011
1998-09-30,354.252
1998-10-30,380.881
1998-11-30,398.697
1998-12-31,420.365
1999-01-29,420.996
1999-02-26,400.96
1999-03-31,413.194
1999-04-30,450.421
1999-05-31,452.937
1999-06-30,472.578
1999-07-30,459.072
1999-08-31,451.25
1999-09-30,437.983
1999-10-29,462.051
1999-11-30,491.9
1999-12-31,551.94
2000-01-31,530.52
2000-02-29,606.164
2000-03-31,611.951
2000-04-28,567.655
2000-05-31,544.246
2000-06-30,567.342
2000-07-31,560.09
2000-08-31,615.16
2000-09-29,595.681
2000-10-31,569.134
2000-11-30,497.94
2000-12-29,532.179
2001-01-31,554.005
2001-02-28,509.812
2001-03-30,475.905
2001-04-30,525.994
2001-05-31,536.79
2001-06-29,535.121
2001-07-31,517.138
2001-08-31,490.468
2001-09-28,425.349
2001-10-31,443.68
2001-11-30,480.649
2001-12-31,502.564
2002-01-31,498.476
2002-02-28,490.136
2002-03-29,521.775
2002-04-30,511.732
2002-05-31,503.675
2002-06-28,464.884
2002-07-31,417.222
2002-08-30,418.282
2002-09-30,379.166
2002-10-31,402.547
2002-11-29,430.254
2002-12-31,411.461
2003-01-31,404.91
2003-02-28,398.83
2003-03-31,404.431
2003-04-30,432.074
2003-05-30,473.496
2003-06-30,473.513
2003-07-31,486.134
2003-08-29,506.852
2003-09-30,499.266
2003-10-31,536.438
2003-11-28,548.402
2003-12-31,567.599
2004-01-30,581.179
2004-02-27,594.791
2004-03-31,595.272
2004-04-30,577.155
2004-05-31,590.747
2004-06-30,606.391
2004-07-30,581.718
2004-08-31,582.286
2004-09-30,605.679
2004-10-29,623.718
2004-11-30,662.088
2004-12-31,689.798
2005-01-31,668.655
2005-02-28,691.268
2005-03-31,686.127
2005-04-29,661.415
2005-05-31,693.413
2005-06-30,711.375
2005-07-29,749.704
2005-08-31,746.283
2005-09-30,758.779
2005-10-31,737.637
2005-11-30,773.476
2005-12-30,783.786
2006-01-31,825.246
2006-02-28,819.645
2006-03-31,839.104
2006-04-28,848.804
2006-05-31,818.767
2006-06-30,822.161
2006-07-31,801.376
2006-08-31,818.641
2006-09-29,834.526
2006-10-31,866.304
2006-11-30,898.243
2006-12-29,895.624
2007-01-31,924.567
2007-02-28,924.535
2007-03-30,929.865
2007-04-30,963.907
2007-05-31,1000.0
2007-06-29,982.736
2007-07-31,939.882
2007-08-31,944.16
2007-09-28,971.336
2007-10-31,980.302
2007-11-30,931.445
2007-12-31,935.025
2008-01-31,867.942
2008-02-29,848.494
2008-03-31,834.982
2008-04-30,889.049
2008-05-30,930.514
2008-06-30,852.24
2008-07-31,817.479
2008-08-29,828.748
2008-09-30,724.5
2008-10-31,560.878
2008-11-28,511.083
2008-12-31,533.517
2009-01-30,495.724
2009-02-27,446.606
2009-03-31,484.103
2009-04-30,553.792
2009-05-29,576.471
2009-06-30,573.042
2009-07-31,624.38
2009-08-31,656.8
2009-09-30,696.919
2009-10-30,667.098
2009-11-30,698.473
2009-12-31,740.39
2010-01-29,712.886
2010-02-26,751.959
2010-03-31,804.343
2010-04-30,834.002
2010-05-31,772.539
2010-06-30,725.7
2010-07-30,776.629
2010-08-31,742.97
2010-09-30,822.837
2010-10-29,856.428
2010-11-30,874.589
2010-12-31,933.742
2011-01-31,953.447
2011-02-28,991.183
2011-03-31,1004.638
2011-04-29,1035.734
2011-05-31,1030.71
2011-06-30,1008.535
2011-07-29,975.381
2011-08-31,912.5
2011-09-30,824.707
2011-10-31,936.885
2011-11-30,931.071
2011-12-30,926.019
2012-01-31,983.493
2012-02-29,1026.622
2012-03-30,1047.791
2012-04-30,1041.381
2012-05-31,963.342
2012-06-29,991.257
2012-07-31,996.854
2012-08-31,1029.386
2012-09-28,1050.832
2012-10-31,1036.403
2012-11-30,1051.782
2012-12-31,1080.959
2013-01-31,1154.692
2013-02-28,1171.507
2013-03-29,1220.193
2013-04-30,1239.315
2013-05-31,1266.89
2013-06-28,1250.707
2013-07-31,1324.36
2013-08-30,1290.598
2013-09-30,1351.087
2013-10-31,1394.847
2013-11-29,1413.483
2013-12-31,1458.76
2014-01-31,1419.054
2014-02-28,1505.602
2014-03-31,1501.813
2014-04-30,1490.854
2014-05-30,1531.074
2014-06-30,1577.009
2014-07-31,1534.761
2014-08-29,1605.925
2014-09-30,1552.436
2014-10-31,1603.521
2014-11-28,1639.918
2014-12-31,1640.356
2015-01-30,1603.952
2015-02-27,1701.777
2015-03-31,1704.413
2015-04-30,1700.407
2015-05-29,1720.065
2015-06-30,1686.562
2015-07-31,1701.081
2015-08-31,1611.766
2015-09-30,1549.651
2015-10-30,1653.188
2015-11-30,1661.228
2015-12-31,1614.309
2016-01-29,1494.616
2016-02-29,1512.775
2016-03-31,1638.09
2016-04-29,1654.787
2016-05-31,1683.308
2016-06-30,1678.365
2016-07-29,1757.628
2016-08-31,1754.607
2016-09-30,1761.792
2016-10-31,1715.378
2016-11-30,1807.782
2016-12-30,1814.935
2017-01-31,1866.63
2017-02-28,1925.998
2017-03-31,1921.522
2017-04-28,1938.334
2017-05-31,1950.057
2017-06-30,1974.679
2017-07-31,2004.437
2017-08-31,1991.748
2017-09-29,2040.348
2017-10-31,2072.096
2017-11-30,2152.866
2017-12-29,2173.441
2018-01-31,2274.375
2018-02-28,2180.564
2018-03-30,2181.44
2018-04-30,2178.911
2018-05-31,2223.007
2018-06-29,2241.695
2018-07-31,2296.81
2018-08-31,2359.774
2018-09-28,2345.341
2018-10-31,2136.527
2018-11-30,2181.774
2018-12-31,1969.811
2019-01-31,2180.113
2019-02-28,2271.899
2019-03-29,2293.59
2019-04-30,2382.713
2019-05-31,2239.563
2019-06-28,2397.109
2019-07-31,2427.813
2019-08-30,2357.433
2019-09-30,2412.977
2019-10-31,2444.048
2019-11-29,2532.096
2019-12-31,2577.385
2020-01-31,2572.166
2020-02-28,2343.722
2020-03-31,1901.878
2020-04-30,2175.56
2020-05-29,2344.465
2020-06-30,2397.573
2020-07-31,2551.01
2020-08-31,2631.865
2020-09-30,2580.222
2020-10-30,2598.089
2020-11-30,2966.803
2020-12-31,3117.444
2021-01-29,3104.535
2021-02-26,3282.739
2021-03-31,3357.849
2021-04-30,3540.98
2021-05-31,3571.251
2021-06-30,3624.551
2021-07-30,3668.108
2021-08-31,3782.119
2021-09-30,3625.861
2021-10-29,3861.889
2021-11-30,3764.318
2021-12-31,3913.12
2022-01-31,3623.295
2022-02-28,3596.009
2022-03-31,3666.184
2022-04-29,3372.04
2022-05-31,3372.472
2022-06-30,3038.274
2022-07-29,3335.364
2022-08-31,3245.372
2022-09-30,2925.13
2022-10-31,3167.54
2022-11-30,3367.281
2022-12-30,3201.717
2023-01-31,3468.072
2023-02-28,3362.834
2023-03-31,3279.923
2023-04-28,3246.682
2023-05-31,3171.741
2023-06-30,3433.696
2023-07-31,3564.348
2023-08-31,3442.419
2023-09-29,3264.785
2023-10-31,3098.386
2023-11-30,3420.821
2023-12-29,3691.647
2024-01-31,3632.059
2024-02-29,3840.851
2024-03-29,4020.249
2024-04-30,3805.222
2024-05-31,3894.825
2024-06-28,3863.819
2024-07-31,4055.975
2024-08-30,4149.676
2024-09-30,4254.427
2024-10-31,4221.235
2024-11-29,4584.547
2024-12-31,4255.086
2025-01-31,4444.922
2025-02-28,4321.587
2025-03-31,4114.428
2025-04-30,4045.335
2025-05-30,4265.638
2025-06-30,4434.594
2025-07-31,4520.055
2025-08-29,4603.135
2025-09-30,4621.891
