Date,USA MID CAP Mid Cap
2001-01-01,545.69
2001-01-02,520.325
2001-01-03,544.312
2001-01-04,534.537
2001-01-05,519.125
2001-01-08,516.595
2001-01-09,519.262
2001-01-10,531.765
2001-01-11,540.179
2001-01-12,540.236
2001-01-15,540.236
2001-01-16,541.682
2001-01-17,545.797
2001-01-18,547.193
2001-01-19,542.792
2001-01-22,546.801
2001-01-23,559.845
2001-01-24,561.502
2001-01-25,557.964
2001-01-26,559.611
2001-01-29,569.859
2001-01-30,571.837
2001-01-31,567.99
2001-02-01,566.701
2001-02-02,557.126
2001-02-05,557.431
2001-02-06,561.304
2001-02-07,557.534
2001-02-08,555.382
2001-02-09,550.502
2001-02-12,553.09
2001-02-13,549.706
2001-02-14,552.353
2001-02-15,557.859
2001-02-16,548.552
2001-02-19,548.542
2001-02-20,537.381
2001-02-21,529.556
2001-02-22,524.688
2001-02-23,524.725
2001-02-26,537.731
2001-02-27,528.933
2001-02-28,522.574
2001-03-01,522.369
2001-03-02,523.814
2001-03-05,525.14
2001-03-06,531.391
2001-03-07,534.682
2001-03-08,531.487
2001-03-09,519.732
2001-03-12,500.127
2001-03-13,504.412
2001-03-14,494.54
2001-03-15,493.168
2001-03-16,483.189
2001-03-19,493.926
2001-03-20,484.968
2001-03-21,474.66
2001-03-22,470.237
2001-03-23,481.627
2001-03-26,488.783
2001-03-27,494.648
2001-03-28,483.185
2001-03-29,482.332
2001-03-30,487.715
2001-04-02,478.771
2001-04-03,460.47
2001-04-04,459.329
2001-04-05,481.019
2001-04-06,470.911
2001-04-09,477.87
2001-04-10,493.822
2001-04-11,491.838
2001-04-12,500.633
2001-04-13,500.633
2001-04-16,497.215
2001-04-17,502.638
2001-04-18,523.77
2001-04-19,529.792
2001-04-20,524.951
2001-04-23,515.437
2001-04-24,512.813
2001-04-25,522.183
2001-04-26,525.929
2001-04-27,533.272
2001-04-30,538.984
2001-05-01,543.013
2001-05-02,544.921
2001-05-03,535.122
2001-05-04,542.45
2001-05-07,539.482
2001-05-08,540.132
2001-05-09,538.338
2001-05-10,538.16
2001-05-11,534.365
2001-05-14,533.384
2001-05-15,536.11
2001-05-16,551.85
2001-05-17,559.837
2001-05-18,560.691
2001-05-21,574.378
2001-05-22,574.484
2001-05-23,562.797
2001-05-24,565.265
2001-05-25,562.519
2001-05-28,562.519
2001-05-29,553.752
2001-05-30,542.178
2001-05-31,549.914
2001-06-01,554.724
2001-06-04,556.235
2001-06-05,566.643
2001-06-06,561.627
2001-06-07,564.309
2001-06-08,559.594
2001-06-11,550.93
2001-06-12,550.234
2001-06-13,545.755
2001-06-14,531.315
2001-06-15,532.76
2001-06-18,527.762
2001-06-19,528.265
2001-06-20,534.496
2001-06-21,536.5
2001-06-22,530.755
2001-06-25,528.813
2001-06-26,530.999
2001-06-27,532.995
2001-06-28,539.698
2001-06-29,548.108
