Date,USA MID CAP Mid Cap
1994-05-31,205.624
1994-06-30,199.963
1994-07-29,206.516
1994-08-31,217.07
1994-09-30,212.674
1994-10-31,213.11
1994-11-30,203.761
1994-12-30,206.839
1995-01-31,210.579
1995-02-28,221.214
1995-03-31,227.309
1995-04-28,230.8
1995-05-31,236.075
1995-06-30,246.059
1995-07-31,259.025
1995-08-31,263.029
1995-09-29,269.139
1995-10-31,263.231
1995-11-30,275.631
1995-12-29,277.252
1996-01-31,281.675
1996-02-29,287.863
1996-03-29,292.926
1996-04-30,303.122
1996-05-31,307.866
1996-06-28,299.808
1996-07-31,281.256
1996-08-30,296.272
1996-09-30,310.045
1996-10-31,309.475
1996-11-29,326.382
1996-12-31,325.29
1997-01-31,335.514
1997-02-28,333.33
1997-03-31,317.785
1997-04-30,323.473
1997-05-30,349.346
1997-06-30,362.219
1997-07-31,390.879
1997-08-29,390.256
1997-09-30,411.931
1997-10-31,393.472
1997-11-28,400.149
1997-12-31,410.401
1998-01-30,403.057
1998-02-27,434.508
1998-03-31,455.084
1998-04-30,458.787
1998-05-29,440.168
1998-06-30,444.05
1998-07-31,422.279
1998-08-31,341.662
1998-09-30,364.55
1998-10-30,391.952
1998-11-30,410.286
1998-12-31,432.584
1999-01-29,433.2
1999-02-26,412.501
1999-03-31,425.023
1999-04-30,463.28
1999-05-31,465.772
1999-06-30,485.89
1999-07-30,471.964
1999-08-31,463.823
1999-09-30,450.124
1999-10-29,474.822
1999-11-30,505.397
1999-12-31,566.993
2000-01-31,544.943
2000-02-29,622.546
2000-03-31,628.401
2000-04-28,582.861
2000-05-31,558.716
2000-06-30,582.343
2000-07-31,574.831
2000-08-31,631.212
2000-09-29,611.128
2000-10-31,583.824
2000-11-30,510.677
2000-12-29,545.69
2001-01-31,567.99
2001-02-28,522.574
2001-03-30,487.715
2001-04-30,538.984
2001-05-31,549.914
2001-06-29,548.108
2001-07-31,529.623
2001-08-31,502.191
2001-09-28,435.417
2001-10-31,454.106
2001-11-30,491.829
2001-12-31,514.132
2002-01-31,509.883
2002-02-28,501.249
2002-03-29,533.492
2002-04-30,523.17
2002-05-31,514.821
2002-06-28,475.019
2002-07-31,426.251
2002-08-30,427.148
2002-09-30,387.022
2002-10-31,410.766
2002-11-29,438.816
2002-12-31,419.404
2003-01-31,412.651
2003-02-28,406.239
2003-03-31,411.731
2003-04-30,439.776
2003-05-30,481.718
2003-06-30,481.509
2003-07-31,494.225
2003-08-29,515.07
2003-09-30,507.137
2003-10-31,544.801
2003-11-28,556.718
2003-12-31,575.888
2004-01-30,589.565
2004-02-27,603.138
2004-03-31,603.362
2004-04-30,584.895
2004-05-31,598.419
2004-06-30,614.002
2004-07-30,588.899
2004-08-31,589.185
2004-09-30,612.604
2004-10-29,630.732
2004-11-30,669.233
2004-12-31,696.836
2005-01-31,675.383
2005-02-28,697.932
2005-03-31,692.445
2005-04-29,667.396
2005-05-31,699.409
2005-06-30,717.217
2005-07-29,755.736
2005-08-31,752.005
2005-09-30,764.25
2005-10-31,742.831
2005-11-30,778.512
2005-12-30,788.47
2006-01-31,830.018
2006-02-28,824.041
2006-03-31,843.232
2006-04-28,852.867
2006-05-31,822.309
2006-06-30,825.327
2006-07-31,804.344
2006-08-31,821.324
2006-09-29,836.874
2006-10-31,868.609
2006-11-30,900.239
2006-12-29,897.022
2007-01-31,925.898
2007-02-28,925.474
2007-03-30,930.365
2007-04-30,964.292
2007-05-31,1000.0
2007-06-29,982.379
2007-07-31,939.383
2007-08-31,943.228
2007-09-28,970.016
2007-10-31,978.768
2007-11-30,929.519
2007-12-31,932.628
2008-01-31,865.581
2008-02-29,845.812
2008-03-31,831.891
2008-04-30,885.554
2008-05-30,926.438
2008-06-30,848.089
2008-07-31,813.323
2008-08-29,824.163
2008-09-30,720.11
2008-10-31,557.287
2008-11-28,507.421
2008-12-31,529.146
2009-01-30,491.584
2009-02-27,442.548
2009-03-31,479.32
2009-04-30,548.205
2009-05-29,570.307
2009-06-30,566.642
2009-07-31,617.308
2009-08-31,649.016
2009-09-30,688.39
2009-10-30,658.853
2009-11-30,689.401
2009-12-31,730.493
2010-01-29,703.28
2010-02-26,741.478
2010-03-31,792.815
2010-04-30,821.946
2010-05-31,761.046
2010-06-30,714.65
2010-07-30,764.707
2010-08-31,731.208
2010-09-30,809.519
2010-10-29,842.461
2010-11-30,859.892
2010-12-31,917.629
2011-01-31,936.901
2011-02-28,973.577
2011-03-31,986.455
2011-04-29,1016.848
2011-05-31,1011.415
2011-06-30,989.247
2011-07-29,956.602
2011-08-31,894.448
2011-09-30,808.075
2011-10-31,917.867
2011-11-30,911.555
2011-12-30,906.149
2012-01-31,962.283
2012-02-29,1004.003
2012-03-30,1024.283
2012-04-30,1017.861
2012-05-31,941.068
2012-06-29,967.669
2012-07-31,972.994
2012-08-31,1004.127
2012-09-28,1024.586
