Date,NETHERLANDS SMALL VALUE Small Cap
1994-05-31,166.241
1994-06-30,165.094
1994-07-29,169.625
1994-08-31,174.789
1994-09-30,174.354
1994-10-31,179.909
1994-11-30,172.43
1994-12-30,175.699
1995-01-31,181.089
1995-02-28,187.574
1995-03-31,189.001
1995-04-28,194.35
1995-05-31,199.284
1995-06-30,204.322
1995-07-31,210.601
1995-08-31,196.953
1995-09-29,200.101
1995-10-31,196.889
1995-11-30,196.833
1995-12-29,201.191
1996-01-31,204.33
1996-02-29,216.335
1996-03-29,232.813
1996-04-30,231.312
1996-05-31,247.779
1996-06-28,250.583
1996-07-31,245.336
1996-08-30,254.392
1996-09-30,261.571
1996-10-31,270.862
1996-11-29,279.908
1996-12-31,285.857
1997-01-31,298.439
1997-02-28,302.732
1997-03-31,309.691
1997-04-30,298.149
1997-05-30,321.677
1997-06-30,325.696
1997-07-31,331.543
1997-08-29,325.005
1997-09-30,348.162
1997-10-31,319.348
1997-11-28,302.408
1997-12-31,295.635
1998-01-30,292.495
1998-02-27,322.303
1998-03-31,331.957
1998-04-30,341.355
1998-05-29,352.326
1998-06-30,347.777
1998-07-31,338.986
1998-08-31,306.185
1998-09-30,284.299
1998-10-30,289.166
1998-11-30,284.588
1998-12-31,286.923
1999-01-29,260.132
1999-02-26,250.058
1999-03-31,275.683
1999-04-30,287.82
1999-05-31,280.377
1999-06-30,283.151
1999-07-30,295.292
1999-08-31,290.998
1999-09-30,278.883
1999-10-29,269.907
1999-11-30,258.989
1999-12-31,269.607
2000-01-31,263.803
2000-02-29,270.049
2000-03-31,276.373
2000-04-28,260.514
2000-05-31,273.216
2000-06-30,287.378
2000-07-31,289.396
2000-08-31,288.051
2000-09-29,284.928
2000-10-31,277.308
2000-11-30,286.665
2000-12-29,301.53
2001-01-31,315.505
2001-02-28,314.854
2001-03-30,284.488
2001-04-30,299.974
2001-05-31,298.615
2001-06-29,286.997
2001-07-31,288.116
2001-08-31,280.644
2001-09-28,249.01
2001-10-31,252.078
2001-11-30,251.84
2001-12-31,259.851
2002-01-31,260.038
2002-02-28,267.27
2002-03-29,283.263
2002-04-30,299.196
2002-05-31,303.114
2002-06-28,286.788
2002-07-31,256.945
2002-08-30,248.182
2002-09-30,211.049
2002-10-31,228.523
2002-11-29,236.663
2002-12-31,238.295
2003-01-31,228.634
2003-02-28,205.6
2003-03-31,207.074
2003-04-30,240.418
2003-05-30,278.523
2003-06-30,283.348
2003-07-31,284.574
2003-08-29,297.759
2003-09-30,314.235
2003-10-31,328.549
2003-11-28,349.377
2003-12-31,373.166
2004-01-30,390.054
2004-02-27,410.93
2004-03-31,413.902
2004-04-30,399.729
2004-05-31,397.464
2004-06-30,407.524
2004-07-30,399.139
2004-08-31,397.706
2004-09-30,419.185
2004-10-29,421.297
2004-11-30,468.139
2004-12-31,497.717
2005-01-31,503.178
2005-02-28,531.846
2005-03-31,520.697
2005-04-29,496.427
2005-05-31,515.516
2005-06-30,537.391
2005-07-29,565.965
2005-08-31,571.599
2005-09-30,585.55
2005-10-31,542.177
2005-11-30,555.908
2005-12-30,572.846
2006-01-31,632.436
2006-02-28,675.048
2006-03-31,704.462
