Date,NETHERLANDS SMALL VALUE Small Cap
2001-01-01,301.53
2001-01-02,303.819
2001-01-03,300.701
2001-01-04,301.385
2001-01-05,300.867
2001-01-08,299.297
2001-01-09,297.66
2001-01-10,297.026
2001-01-11,302.319
2001-01-12,305.277
2001-01-15,309.243
2001-01-16,308.465
2001-01-17,309.268
2001-01-18,314.161
2001-01-19,310.822
2001-01-22,310.137
2001-01-23,309.808
2001-01-24,308.329
2001-01-25,307.608
2001-01-26,308.09
2001-01-29,308.122
2001-01-30,311.238
2001-01-31,315.505
2001-02-01,321.502
2001-02-02,321.283
2001-02-05,323.758
2001-02-06,321.338
2001-02-07,320.001
2001-02-08,316.896
2001-02-09,317.704
2001-02-12,320.417
2001-02-13,321.003
2001-02-14,317.379
2001-02-15,315.105
2001-02-16,319.895
2001-02-19,324.335
2001-02-20,319.129
2001-02-21,316.088
2001-02-22,314.0
2001-02-23,310.51
2001-02-26,313.32
2001-02-27,317.31
2001-02-28,314.854
2001-03-01,315.663
2001-03-02,317.405
2001-03-05,315.977
2001-03-06,318.294
2001-03-07,316.854
2001-03-08,318.445
2001-03-09,318.058
2001-03-12,314.301
2001-03-13,306.941
2001-03-14,299.811
2001-03-15,298.603
2001-03-16,294.393
2001-03-19,294.037
2001-03-20,295.887
2001-03-21,288.402
2001-03-22,274.087
2001-03-23,279.205
2001-03-26,284.125
2001-03-27,286.439
2001-03-28,284.257
2001-03-29,281.008
2001-03-30,284.488
2001-04-02,282.528
2001-04-03,281.311
2001-04-04,285.764
2001-04-05,287.839
2001-04-06,288.955
2001-04-09,289.126
2001-04-10,287.322
2001-04-11,287.469
2001-04-12,294.438
2001-04-13,294.438
2001-04-16,291.422
2001-04-17,288.997
2001-04-18,287.57
2001-04-19,292.51
2001-04-20,296.565
2001-04-23,295.966
2001-04-24,296.663
2001-04-25,299.133
2001-04-26,302.146
2001-04-27,302.102
2001-04-30,299.974
2001-05-01,303.939
2001-05-02,305.523
2001-05-03,306.984
2001-05-04,309.215
2001-05-07,309.021
2001-05-08,306.522
2001-05-09,305.293
2001-05-10,306.908
2001-05-11,304.222
2001-05-14,304.29
2001-05-15,306.485
2001-05-16,307.335
2001-05-17,308.541
2001-05-18,308.099
2001-05-21,308.378
2001-05-22,307.945
2001-05-23,305.603
2001-05-24,304.563
2001-05-25,303.096
2001-05-28,305.248
2001-05-29,302.681
2001-05-30,303.166
2001-05-31,298.615
2001-06-01,298.513
2001-06-04,298.912
2001-06-05,300.836
2001-06-06,299.802
2001-06-07,298.987
2001-06-08,298.788
2001-06-11,296.848
2001-06-12,296.335
2001-06-13,297.181
2001-06-14,298.269
2001-06-15,296.656
2001-06-18,295.57
2001-06-19,294.173
2001-06-20,289.537
2001-06-21,290.135
2001-06-22,287.832
2001-06-25,290.061
2001-06-26,287.573
2001-06-27,285.557
2001-06-28,283.114
2001-06-29,286.997
2001-07-02,286.959
2001-07-03,287.233
2001-07-04,287.267
2001-07-05,282.89
2001-07-06,284.033
2001-07-09,283.891
2001-07-10,288.378
2001-07-11,288.159
2001-07-12,285.788
2001-07-13,285.468
2001-07-16,285.127
2001-07-17,282.533
2001-07-18,287.153
2001-07-19,286.856
2001-07-20,286.995
2001-07-23,286.716
2001-07-24,288.395
2001-07-25,289.249
2001-07-26,287.211
2001-07-27,286.533
2001-07-30,288.081
2001-07-31,288.116
2001-08-01,289.069
2001-08-02,291.774
2001-08-03,291.532
2001-08-06,289.607
2001-08-07,287.614
2001-08-08,285.684
2001-08-09,288.469
2001-08-10,289.599
2001-08-13,288.888
2001-08-14,287.446
2001-08-15,289.473
2001-08-16,288.919
2001-08-17,287.94
2001-08-20,284.414
2001-08-21,285.201
2001-08-22,288.959
2001-08-23,286.374
2001-08-24,287.307
2001-08-27,286.121
2001-08-28,284.208
2001-08-29,285.058
2001-08-30,282.846
2001-08-31,280.644
2001-09-03,276.767
2001-09-04,270.709
2001-09-05,266.091
2001-09-06,261.109
2001-09-07,261.365
2001-09-10,253.993
2001-09-11,249.722
2001-09-12,247.608
2001-09-13,250.305
2001-09-14,245.989
2001-09-17,246.33
2001-09-18,247.182
2001-09-19,250.656
2001-09-20,242.729
2001-09-21,228.337
2001-09-24,237.015
2001-09-25,243.767
2001-09-26,248.209
2001-09-27,245.881
2001-09-28,249.01
2001-10-01,248.433
2001-10-02,247.14
2001-10-03,248.503
2001-10-04,249.229
2001-10-05,251.147
2001-10-08,249.458
2001-10-09,252.277
2001-10-10,252.457
2001-10-11,252.599
2001-10-12,252.577
2001-10-15,249.112
2001-10-16,250.739
2001-10-17,250.671
2001-10-18,247.545
2001-10-19,248.847
2001-10-22,248.044
2001-10-23,249.148
2001-10-24,249.726
2001-10-25,250.972
2001-10-26,251.171
2001-10-29,254.714
2001-10-30,253.278
2001-10-31,252.078
2001-11-01,253.401
2001-11-02,252.579
2001-11-05,250.357
2001-11-06,249.797
2001-11-07,250.443
2001-11-08,249.192
2001-11-09,248.624
2001-11-12,246.433
2001-11-13,245.173
2001-11-14,244.112
2001-11-15,243.831
2001-11-16,249.237
2001-11-19,250.027
2001-11-20,249.171
2001-11-21,247.285
2001-11-22,246.389
2001-11-23,247.609
2001-11-26,248.3
2001-11-27,248.417
2001-11-28,248.605
2001-11-29,248.414
2001-11-30,251.84
2001-12-03,249.449
2001-12-04,249.73
2001-12-05,252.308
2001-12-06,253.624
2001-12-07,253.757
2001-12-10,251.897
2001-12-11,251.82
2001-12-12,254.471
2001-12-13,254.387
2001-12-14,254.799
2001-12-17,256.124
2001-12-18,256.045
2001-12-19,255.463
2001-12-20,255.888
2001-12-21,255.456
2001-12-24,253.917
2001-12-25,253.917
2001-12-26,254.134
2001-12-27,258.49
2001-12-28,257.341
2001-12-31,259.851
2002-01-01,259.851
2002-01-02,265.22
2002-01-03,266.493
2002-01-04,268.671
2002-01-07,269.651
2002-01-08,269.687
2002-01-09,269.157
2002-01-10,268.998
2002-01-11,268.634
2002-01-14,269.076
2002-01-15,268.658
2002-01-16,266.2
2002-01-17,265.703
2002-01-18,265.1
2002-01-21,264.184
2002-01-22,264.502
2002-01-23,264.655
2002-01-24,263.892
2002-01-25,261.188
2002-01-28,259.872
2002-01-29,259.837
2002-01-30,258.334
2002-01-31,260.038
2002-02-01,260.399
2002-02-04,262.021
2002-02-05,266.443
2002-02-06,267.11
2002-02-07,267.388
2002-02-08,268.627
2002-02-11,271.601
2002-02-12,270.208
2002-02-13,269.293
2002-02-14,269.947
2002-02-15,272.227
2002-02-18,271.058
2002-02-19,271.153
2002-02-20,271.061
2002-02-21,270.771
2002-02-22,269.939
2002-02-25,266.838
2002-02-26,266.967
2002-02-27,266.089
2002-02-28,267.27
2002-03-01,268.898
2002-03-04,272.402
2002-03-05,270.799
2002-03-06,272.14
2002-03-07,277.323
2002-03-08,276.944
2002-03-11,278.84
2002-03-12,276.17
2002-03-13,278.05
2002-03-14,278.643
2002-03-15,278.61
2002-03-18,280.387
2002-03-19,281.73
2002-03-20,280.87
2002-03-21,279.719
2002-03-22,280.517
2002-03-25,278.461
2002-03-26,279.201
2002-03-27,280.516
2002-03-28,283.263
2002-03-29,283.263
2002-04-01,285.584
2002-04-02,286.766
2002-04-03,286.811
2002-04-04,288.156
2002-04-05,288.308
2002-04-08,285.568
2002-04-09,286.406
2002-04-10,287.849
2002-04-11,289.273
2002-04-12,287.787
2002-04-15,287.246
2002-04-16,289.17
2002-04-17,292.381
2002-04-18,294.475
2002-04-19,295.308
2002-04-22,294.028
2002-04-23,294.829
2002-04-24,295.667
2002-04-25,296.938
2002-04-26,298.274
2002-04-29,299.826
2002-04-30,299.196
2002-05-01,300.889
2002-05-02,300.457
2002-05-03,302.606
2002-05-06,303.542
2002-05-07,300.625
2002-05-08,299.713
2002-05-09,300.568
2002-05-10,302.558
2002-05-13,302.405
2002-05-14,301.422
2002-05-15,303.348
2002-05-16,304.826
2002-05-17,307.26
2002-05-20,307.04
2002-05-21,304.421
2002-05-22,304.533
2002-05-23,302.721
2002-05-24,302.841
2002-05-27,300.901
2002-05-28,303.773
2002-05-29,304.086
2002-05-30,303.676
2002-05-31,303.114
2002-06-03,303.67
2002-06-04,302.253
2002-06-05,299.926
2002-06-06,301.004
2002-06-07,297.247
2002-06-10,298.98
2002-06-11,298.467
2002-06-12,295.234
2002-06-13,292.982
2002-06-14,287.067
2002-06-17,289.138
2002-06-18,291.023
2002-06-19,289.783
2002-06-20,287.876
2002-06-21,288.865
2002-06-24,288.013
2002-06-25,284.894
2002-06-26,286.03
2002-06-27,285.011
2002-06-28,286.788
2002-07-01,292.244
2002-07-02,289.742
2002-07-03,283.518
2002-07-04,285.034
2002-07-05,285.435
2002-07-08,289.938
2002-07-09,290.892
2002-07-10,285.05
2002-07-11,280.948
2002-07-12,278.999
2002-07-15,276.232
2002-07-16,273.929
2002-07-17,276.963
2002-07-18,281.767
2002-07-19,279.71
2002-07-22,268.996
2002-07-23,260.691
2002-07-24,250.085
2002-07-25,254.754
2002-07-26,252.879
2002-07-29,254.062
2002-07-30,256.547
2002-07-31,256.945
2002-08-01,253.375
2002-08-02,251.097
2002-08-05,241.968
2002-08-06,236.489
2002-08-07,239.73
2002-08-08,241.681
2002-08-09,243.14
2002-08-12,242.476
2002-08-13,240.855
2002-08-14,243.38
2002-08-15,244.763
2002-08-16,246.002
2002-08-19,246.514
2002-08-20,246.745
2002-08-21,250.433
2002-08-22,251.105
2002-08-23,250.901
2002-08-26,250.248
2002-08-27,253.313
2002-08-28,251.005
2002-08-29,247.798
2002-08-30,248.182
2002-09-02,249.525
2002-09-03,248.923
2002-09-04,247.704
2002-09-05,244.866
2002-09-06,244.17
2002-09-09,239.273
2002-09-10,237.962
2002-09-11,238.05
2002-09-12,237.468
2002-09-13,236.402
2002-09-16,232.371
2002-09-17,229.997
2002-09-18,228.443
2002-09-19,227.405
2002-09-20,228.183
2002-09-23,221.506
2002-09-24,212.853
2002-09-25,213.154
2002-09-26,213.387
2002-09-27,212.757
2002-09-30,211.049
2002-10-01,210.374
2002-10-02,212.966
2002-10-03,215.387
2002-10-04,212.6
2002-10-07,206.208
2002-10-08,204.321
