Date,NETHERLANDS SMALL VALUE Small Cap
2001-01-01,317.732
2001-01-02,320.145
2001-01-03,316.859
2001-01-04,317.579
2001-01-05,317.034
2001-01-08,315.38
2001-01-09,313.655
2001-01-10,312.986
2001-01-11,318.564
2001-01-12,321.681
2001-01-15,325.86
2001-01-16,325.041
2001-01-17,325.886
2001-01-18,331.042
2001-01-19,327.524
2001-01-22,326.803
2001-01-23,326.456
2001-01-24,324.897
2001-01-25,324.137
2001-01-26,324.645
2001-01-29,324.679
2001-01-30,327.962
2001-01-31,332.458
2001-02-01,338.778
2001-02-02,338.548
2001-02-05,341.155
2001-02-06,338.605
2001-02-07,337.196
2001-02-08,333.924
2001-02-09,334.776
2001-02-12,337.635
2001-02-13,338.252
2001-02-14,334.433
2001-02-15,332.038
2001-02-16,337.084
2001-02-19,341.763
2001-02-20,336.277
2001-02-21,333.073
2001-02-22,330.873
2001-02-23,327.195
2001-02-26,330.156
2001-02-27,334.361
2001-02-28,331.773
2001-03-01,332.625
2001-03-02,334.461
2001-03-05,332.956
2001-03-06,335.397
2001-03-07,333.88
2001-03-08,335.557
2001-03-09,335.149
2001-03-12,331.19
2001-03-13,323.434
2001-03-14,315.922
2001-03-15,314.648
2001-03-16,310.212
2001-03-19,309.837
2001-03-20,311.787
2001-03-21,303.899
2001-03-22,288.815
2001-03-23,294.208
2001-03-26,299.392
2001-03-27,301.831
2001-03-28,299.531
2001-03-29,296.107
2001-03-30,299.775
2001-04-02,297.71
2001-04-03,296.427
2001-04-04,301.119
2001-04-05,303.188
2001-04-06,304.363
2001-04-09,304.52
2001-04-10,302.619
2001-04-11,302.774
2001-04-12,310.077
2001-04-13,310.077
2001-04-16,306.902
2001-04-17,304.173
2001-04-18,302.671
2001-04-19,307.871
2001-04-20,312.139
2001-04-23,311.508
2001-04-24,312.241
2001-04-25,314.813
2001-04-26,317.918
2001-04-27,317.836
2001-04-30,315.597
2001-05-01,319.507
2001-05-02,321.13
2001-05-03,322.665
2001-05-04,325.011
2001-05-07,324.715
2001-05-08,322.089
2001-05-09,320.798
2001-05-10,322.494
2001-05-11,319.378
2001-05-14,319.363
2001-05-15,321.666
2001-05-16,322.558
2001-05-17,323.678
2001-05-18,323.157
2001-05-21,323.426
2001-05-22,322.972
2001-05-23,320.457
2001-05-24,319.341
2001-05-25,317.762
2001-05-28,319.933
2001-05-29,317.243
2001-05-30,317.751
2001-05-31,312.944
2001-06-01,312.837
2001-06-04,313.255
2001-06-05,315.253
2001-06-06,314.171
2001-06-07,313.316
2001-06-08,312.975
2001-06-11,310.943
2001-06-12,310.405
2001-06-13,311.291
2001-06-14,312.431
2001-06-15,310.741
2001-06-18,309.604
2001-06-19,308.14
2001-06-20,303.284
2001-06-21,303.911
2001-06-22,301.498
2001-06-25,303.833
2001-06-26,301.227
2001-06-27,299.115
2001-06-28,296.556
2001-06-29,300.623
2001-07-02,300.584
2001-07-03,300.871
2001-07-04,300.907
2001-07-05,296.322
2001-07-06,297.519
2001-07-09,297.371
2001-07-10,302.071
2001-07-11,301.84
2001-07-12,299.358
2001-07-13,299.022
2001-07-16,298.665
2001-07-17,295.948
2001-07-18,300.787
2001-07-19,300.476
2001-07-20,300.621
2001-07-23,300.33
2001-07-24,302.088
2001-07-25,302.983
2001-07-26,300.848
2001-07-27,300.05
2001-07-30,301.671
2001-07-31,301.708
2001-08-01,302.706
2001-08-02,305.539
2001-08-03,305.284
2001-08-06,303.269
2001-08-07,301.183
2001-08-08,299.161
2001-08-09,302.077
2001-08-10,303.261
2001-08-13,302.516
2001-08-14,301.006
2001-08-15,303.129
2001-08-16,302.548
2001-08-17,301.523
2001-08-20,297.831
2001-08-21,298.636
2001-08-22,302.571
2001-08-23,299.834
2001-08-24,300.81
2001-08-27,299.569
2001-08-28,297.566
2001-08-29,298.456
2001-08-30,296.14
2001-08-31,293.791
2001-09-03,289.733
2001-09-04,283.391
2001-09-05,278.557
2001-09-06,273.323
2001-09-07,273.591
2001-09-10,265.841
2001-09-11,261.372
2001-09-12,259.158
2001-09-13,261.981
2001-09-14,257.464
2001-09-17,257.821
2001-09-18,258.713
2001-09-19,262.348
2001-09-20,254.052
2001-09-21,238.989
2001-09-24,248.071
2001-09-25,255.115
2001-09-26,259.763
2001-09-27,257.327
2001-09-28,260.602
2001-10-01,259.998
2001-10-02,258.644
2001-10-03,260.071
2001-10-04,260.83
2001-10-05,262.837
2001-10-08,261.07
2001-10-09,264.02
2001-10-10,264.208
2001-10-11,264.357
2001-10-12,264.334
2001-10-15,260.708
2001-10-16,262.41
2001-10-17,262.339
2001-10-18,259.068
2001-10-19,260.43
2001-10-22,259.591
2001-10-23,260.746
2001-10-24,261.351
2001-10-25,262.655
2001-10-26,262.863
2001-10-29,266.571
2001-10-30,265.068
2001-10-31,263.812
2001-11-01,265.197
2001-11-02,264.336
2001-11-05,262.011
2001-11-06,261.425
2001-11-07,262.101
2001-11-08,260.792
2001-11-09,260.197
2001-11-12,257.904
2001-11-13,256.586
2001-11-14,255.475
2001-11-15,255.181
2001-11-16,260.839
2001-11-19,261.666
2001-11-20,260.77
2001-11-21,258.796
2001-11-22,257.858
2001-11-23,259.135
2001-11-26,259.858
2001-11-27,259.98
2001-11-28,260.178
2001-11-29,259.977
2001-11-30,263.563
2001-12-03,261.061
2001-12-04,261.355
2001-12-05,264.011
2001-12-06,265.389
2001-12-07,265.658
2001-12-10,263.711
2001-12-11,263.631
2001-12-12,266.406
2001-12-13,266.318
2001-12-14,266.75
2001-12-17,268.136
2001-12-18,268.053
2001-12-19,267.444
2001-12-20,267.889
2001-12-21,267.437
2001-12-24,265.826
2001-12-25,265.826
2001-12-26,266.053
2001-12-27,270.613
2001-12-28,269.41
2001-12-31,272.038
2002-01-01,272.038
2002-01-02,277.658
2002-01-03,278.992
2002-01-04,281.271
2002-01-07,282.298
2002-01-08,282.336
2002-01-09,281.78
2002-01-10,281.614
2002-01-11,281.233
