Date,GERMANY IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,289.837
1994-06-30,292.23
1994-07-29,303.061
1994-08-31,311.836
1994-09-30,294.956
1994-10-31,307.22
1994-11-30,289.938
1994-12-30,301.25
1995-01-31,294.614
1995-02-28,316.416
1995-03-31,312.015
1995-04-28,323.322
1995-05-31,328.221
1995-06-30,339.384
1995-07-31,358.323
1995-08-31,338.767
1995-09-29,342.512
1995-10-31,335.398
1995-11-30,332.766
1995-12-29,344.45
1996-01-31,352.01
1996-02-29,354.35
1996-03-29,347.553
1996-04-30,331.597
1996-05-31,337.024
1996-06-28,348.125
1996-07-31,346.718
1996-08-30,352.943
1996-09-30,352.404
1996-10-31,355.285
1996-11-29,361.098
1996-12-31,364.884
1997-01-31,357.188
1997-02-28,371.249
1997-03-31,398.791
1997-04-30,387.549
1997-05-30,405.212
1997-06-30,426.834
1997-07-31,452.653
1997-08-29,409.324
1997-09-30,431.203
1997-10-31,406.085
1997-11-28,417.737
1997-12-31,429.168
1998-01-30,456.646
1998-02-27,493.212
1998-03-31,519.138
1998-04-30,536.8
1998-05-29,575.441
1998-06-30,603.02
1998-07-31,630.106
1998-08-31,524.739
1998-09-30,511.459
1998-10-30,536.949
1998-11-30,574.981
1998-12-31,582.942
1999-01-29,586.612
1999-02-26,535.995
1999-03-31,513.624
1999-04-30,542.205
1999-05-31,506.209
1999-06-30,531.819
1999-07-30,535.811
1999-08-31,538.414
1999-09-30,539.924
1999-10-29,561.82
1999-11-30,596.638
1999-12-31,698.715
2000-01-31,725.911
2000-02-29,826.811
2000-03-31,812.635
2000-04-28,762.828
2000-05-31,727.516
2000-06-30,739.257
2000-07-31,725.576
2000-08-31,704.058
2000-09-29,647.65
2000-10-31,613.573
2000-11-30,537.014
2000-12-29,575.678
2001-01-31,592.527
2001-02-28,535.414
2001-03-30,465.062
2001-04-30,500.034
2001-05-31,471.22
2001-06-29,450.856
2001-07-31,443.425
2001-08-31,427.604
2001-09-28,350.965
2001-10-31,375.14
2001-11-30,409.187
2001-12-31,416.59
2002-01-31,403.722
2002-02-28,400.733
2002-03-29,428.384
2002-04-30,410.508
2002-05-31,403.418
2002-06-28,385.502
2002-07-31,322.924
2002-08-30,320.64
2002-09-30,235.545
2002-10-31,284.848
2002-11-29,298.192
2002-12-31,275.357
2003-01-31,267.051
2003-02-28,250.816
2003-03-31,245.965
2003-04-30,303.934
2003-05-30,326.911
2003-06-30,342.415
2003-07-31,359.809
2003-08-29,354.704
2003-09-30,359.406
2003-10-31,404.846
2003-11-28,424.157
2003-12-31,460.257
2004-01-30,474.665
2004-02-27,474.621
2004-03-31,457.549
2004-04-30,450.335
2004-05-31,451.753
2004-06-30,462.268
2004-07-30,438.028
2004-08-31,430.015
2004-09-30,456.094
2004-10-29,470.069
2004-11-30,509.954
2004-12-31,533.351
2005-01-31,513.342
2005-02-28,529.974
2005-03-31,520.383
2005-04-29,501.333
2005-05-31,510.641
2005-06-30,522.447
2005-07-29,548.136
2005-08-31,550.672
2005-09-30,561.08
2005-10-31,536.098
2005-11-30,559.741
2005-12-30,578.119
2006-01-31,639.885
2006-02-28,651.789
2006-03-31,697.601
2006-04-28,734.258
2006-05-31,704.283
2006-06-30,699.883
2006-07-31,683.689
2006-08-31,717.231
2006-09-29,736.39
2006-10-31,758.59
2006-11-30,802.348
2006-12-29,830.976
2007-01-31,852.673
2007-02-28,848.736
2007-03-30,887.158
2007-04-30,964.973
2007-05-31,1000.0
2007-06-29,1028.201
2007-07-31,1004.805
2007-08-31,1001.645
2007-09-28,1068.54
2007-10-31,1111.973
2007-11-30,1109.089
2007-12-31,1139.338
2008-01-31,988.791
2008-02-29,999.272
2008-03-31,1004.073
2008-04-30,1064.178
2008-05-30,1095.611
2008-06-30,1030.898
2008-07-31,1029.848
2008-08-29,964.489
2008-09-30,848.577
2008-10-31,691.379
2008-11-28,596.108
2008-12-31,656.237
2009-01-30,572.972
2009-02-27,503.751
2009-03-31,550.818
2009-04-30,618.095
2009-05-29,684.285
2009-06-30,666.074
2009-07-31,736.897
2009-08-31,720.133
2009-09-30,772.675
2009-10-30,753.064
2009-11-30,796.574
2009-12-31,805.428
2010-01-29,738.264
2010-02-26,714.766
2010-03-31,769.71
2010-04-30,773.091
2010-05-31,690.821
2010-06-30,697.902
2010-07-30,754.057
2010-08-31,709.808
2010-09-30,829.895
2010-10-29,886.098
2010-11-30,850.609
2010-12-31,913.474
