Date,GERMANY IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,575.678
2001-01-02,564.054
2001-01-03,568.433
2001-01-04,563.33
2001-01-05,557.776
2001-01-08,553.655
2001-01-09,551.037
2001-01-10,546.032
2001-01-11,565.471
2001-01-12,566.379
2001-01-15,565.432
2001-01-16,564.288
2001-01-17,575.652
2001-01-18,583.977
2001-01-19,579.505
2001-01-22,583.54
2001-01-23,588.276
2001-01-24,583.224
2001-01-25,582.086
2001-01-26,579.038
2001-01-29,580.343
2001-01-30,584.646
2001-01-31,592.527
2001-02-01,594.706
2001-02-02,586.868
2001-02-05,586.012
2001-02-06,585.981
2001-02-07,576.034
2001-02-08,571.463
2001-02-09,564.649
2001-02-12,571.65
2001-02-13,566.545
2001-02-14,555.543
2001-02-15,560.731
2001-02-16,556.119
2001-02-19,557.101
2001-02-20,547.951
2001-02-21,543.825
2001-02-22,534.177
2001-02-23,516.468
2001-02-26,526.422
2001-02-27,531.826
2001-02-28,535.414
2001-03-01,531.016
2001-03-02,534.455
2001-03-05,535.24
2001-03-06,546.216
2001-03-07,547.002
2001-03-08,546.465
2001-03-09,537.705
2001-03-12,521.191
2001-03-13,503.307
2001-03-14,487.763
2001-03-15,491.683
2001-03-16,471.745
2001-03-19,465.814
2001-03-20,480.529
2001-03-21,463.563
2001-03-22,437.317
2001-03-23,457.5
2001-03-26,473.078
2001-03-27,486.255
2001-03-28,468.409
2001-03-29,465.9
2001-03-30,465.062
2001-04-02,454.145
2001-04-03,435.959
2001-04-04,447.057
2001-04-05,460.489
2001-04-06,457.627
2001-04-09,460.237
2001-04-10,460.828
2001-04-11,464.358
2001-04-12,474.197
2001-04-13,474.197
2001-04-16,469.34
2001-04-17,460.756
2001-04-18,475.975
2001-04-19,488.649
2001-04-20,490.892
2001-04-23,480.697
2001-04-24,484.496
2001-04-25,489.22
2001-04-26,495.125
2001-04-27,493.116
2001-04-30,500.034
2001-05-01,502.685
2001-05-02,503.264
2001-05-03,494.054
2001-05-04,496.869
2001-05-07,495.31
2001-05-08,492.542
2001-05-09,485.91
2001-05-10,493.848
2001-05-11,487.544
2001-05-14,479.258
2001-05-15,483.069
2001-05-16,491.152
2001-05-17,493.388
2001-05-18,492.893
2001-05-21,496.551
2001-05-22,496.002
2001-05-23,488.236
2001-05-24,489.851
2001-05-25,486.554
2001-05-28,487.27
2001-05-29,477.99
2001-05-30,470.772
2001-05-31,471.22
2001-06-01,468.714
2001-06-04,474.872
2001-06-05,480.3
2001-06-06,477.138
2001-06-07,477.772
2001-06-08,478.867
2001-06-11,471.236
2001-06-12,465.17
2001-06-13,470.76
2001-06-14,467.385
2001-06-15,460.623
2001-06-18,457.286
2001-06-19,459.618
2001-06-20,450.204
2001-06-21,453.495
2001-06-22,456.553
2001-06-25,455.126
2001-06-26,450.091
2001-06-27,447.819
2001-06-28,448.482
2001-06-29,450.856
2001-07-02,452.005
2001-07-03,448.293
2001-07-04,443.51
2001-07-05,434.068
2001-07-06,426.682
2001-07-09,427.217
2001-07-10,427.621
2001-07-11,425.765
2001-07-12,428.98
2001-07-13,432.493
2001-07-16,429.221
2001-07-17,423.98
2001-07-18,425.202
2001-07-19,433.332
2001-07-20,427.672
2001-07-23,429.454
2001-07-24,424.143
2001-07-25,422.814
2001-07-26,429.575
2001-07-27,434.699
2001-07-30,438.159
2001-07-31,443.425
2001-08-01,447.309
2001-08-02,448.083
2001-08-03,445.756
2001-08-06,441.088
2001-08-07,441.771
2001-08-08,437.693
2001-08-09,436.488
2001-08-10,435.951
2001-08-13,441.005
2001-08-14,444.119
2001-08-15,447.569
2001-08-16,441.323
2001-08-17,434.997
2001-08-20,429.708
2001-08-21,431.236
