Date,GERMANY IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,278.71
1994-06-30,281.194
1994-07-29,291.785
1994-08-31,300.263
1994-09-30,284.011
1994-10-31,295.876
1994-11-30,279.246
1994-12-30,290.216
1995-01-31,283.823
1995-02-28,304.886
1995-03-31,300.667
1995-04-28,311.627
1995-05-31,316.729
1995-06-30,327.73
1995-07-31,346.222
1995-08-31,327.338
1995-09-29,330.957
1995-10-31,324.16
1995-11-30,321.617
1995-12-29,333.009
1996-01-31,340.329
1996-02-29,342.645
1996-03-29,336.08
1996-04-30,320.679
1996-05-31,326.1
1996-06-28,337.034
1996-07-31,335.892
1996-08-30,341.927
1996-09-30,341.405
1996-10-31,344.278
1996-11-29,349.911
1996-12-31,353.653
1997-01-31,346.199
1997-02-28,359.927
1997-03-31,386.649
1997-04-30,375.771
1997-05-30,393.186
1997-06-30,414.604
1997-07-31,439.875
1997-08-29,397.782
1997-09-30,419.048
1997-10-31,394.64
1997-11-28,405.963
1997-12-31,417.158
1998-01-30,443.878
1998-02-27,479.566
1998-03-31,504.822
1998-04-30,522.032
1998-05-29,559.793
1998-06-30,586.923
1998-07-31,613.451
1998-08-31,510.869
1998-09-30,497.94
1998-10-30,522.768
1998-11-30,559.821
1998-12-31,567.572
1999-01-29,571.17
1999-02-26,522.013
1999-03-31,500.228
1999-04-30,528.089
1999-05-31,493.83
1999-06-30,518.911
1999-07-30,522.958
1999-08-31,525.512
1999-09-30,526.986
1999-10-29,548.358
1999-11-30,582.341
1999-12-31,681.974
2000-01-31,708.52
2000-02-29,807.187
2000-03-31,793.361
2000-04-28,744.8
2000-05-31,710.767
2000-06-30,722.296
2000-07-31,709.106
2000-08-31,688.079
2000-09-29,632.951
2000-10-31,599.648
2000-11-30,524.834
2000-12-29,562.623
2001-01-31,579.099
2001-02-28,523.716
2001-03-30,454.915
2001-04-30,489.23
2001-05-31,461.346
2001-06-29,441.589
2001-07-31,434.505
2001-08-31,419.01
2001-09-28,343.911
2001-10-31,367.6
2001-11-30,400.968
2001-12-31,408.223
2002-01-31,395.798
2002-02-28,392.867
2002-03-29,420.051
2002-04-30,402.596
2002-05-31,396.047
2002-06-28,378.669
2002-07-31,317.245
2002-08-30,315.001
2002-09-30,231.404
2002-10-31,279.84
2002-11-29,292.949
2002-12-31,270.516
2003-01-31,262.699
2003-02-28,246.729
2003-03-31,241.974
2003-04-30,299.266
2003-05-30,322.093
2003-06-30,337.706
2003-07-31,354.871
2003-08-29,349.835
2003-09-30,354.475
2003-10-31,399.292
2003-11-28,418.337
2003-12-31,453.942
2004-01-30,468.391
2004-02-27,468.346
2004-03-31,451.529
2004-04-30,444.566
2004-05-31,446.272
2004-06-30,456.776
2004-07-30,432.839
2004-08-31,424.921
2004-09-30,450.694
2004-10-29,464.503
2004-11-30,503.916
2004-12-31,527.036
2005-01-31,507.53
2005-02-28,523.974
2005-03-31,514.5
2005-04-29,496.94
2005-05-31,506.847
2005-06-30,518.773
2005-07-29,544.304
2005-08-31,546.822
2005-09-30,557.159
2005-10-31,532.352
2005-11-30,555.83
2005-12-30,574.08
2006-01-31,635.436
2006-02-28,647.28
2006-03-31,692.782
2006-04-28,729.897
2006-05-31,701.524
2006-06-30,697.219
2006-07-31,681.12
2006-08-31,714.561
2006-09-29,733.648
2006-10-31,755.765
2006-11-30,799.36
2006-12-29,827.882
2007-01-31,850.135
2007-02-28,846.21
2007-03-30,884.548
2007-04-30,963.825
2007-05-31,1000.0
2007-06-29,1028.353
2007-07-31,1005.016
2007-08-31,1001.855
2007-09-28,1068.764
2007-10-31,1112.207
2007-11-30,1109.322
2007-12-31,1139.577
2008-01-31,989.71
2008-02-29,1000.201
2008-03-31,1005.134
2008-04-30,1067.227
2008-05-30,1100.755
2008-06-30,1036.171
2008-07-31,1035.12
2008-08-29,969.427
2008-09-30,852.921
2008-10-31,694.919
2008-11-28,599.16
2008-12-31,659.598
2009-01-30,576.897
2009-02-27,507.24
2009-03-31,554.676
2009-04-30,623.331
2009-05-29,692.82
2009-06-30,674.501
2009-07-31,746.244
2009-08-31,729.268
2009-09-30,782.477
2009-10-30,762.617
2009-11-30,806.679
2009-12-31,815.645
2010-01-29,747.653
2010-02-26,723.859
2010-03-31,779.532
2010-04-30,783.316
2010-05-31,701.752
2010-06-30,709.407
2010-07-30,766.531
2010-08-31,721.55
2010-09-30,843.624
2010-10-29,900.757
2010-11-30,864.68
2010-12-31,928.586
2011-01-31,952.536
2011-02-28,989.057
2011-03-31,999.414
2011-04-29,1103.067
2011-05-31,1057.387
2011-06-30,1078.344
2011-07-29,1046.939
2011-08-31,887.844
2011-09-30,769.556
2011-10-31,894.343
2011-11-30,859.346
2011-12-30,802.188
2012-01-31,890.602
2012-02-29,963.66
2012-03-30,973.464
2012-04-30,962.631
2012-05-31,837.19
2012-06-29,859.16
2012-07-31,894.496
2012-08-31,925.638
2012-09-28,980.29
2012-10-31,998.9
2012-11-30,1052.26
2012-12-31,1086.234
2013-01-31,1144.686
2013-02-28,1119.38
2013-03-29,1121.86
2013-04-30,1157.691
2013-05-31,1180.242
2013-06-28,1162.264
2013-07-31,1222.242
2013-08-30,1193.682
2013-09-30,1258.913
2013-10-31,1316.581
2013-11-29,1392.131
2013-12-31,1434.654
2014-01-31,1358.025
2014-02-28,1447.126
2014-03-31,1411.386
2014-04-30,1420.833
2014-05-30,1449.355
2014-06-30,1435.635
2014-07-31,1346.043
2014-08-29,1340.525
2014-09-30,1294.686
2014-10-31,1282.217
2014-11-28,1360.0
2014-12-31,1309.329
2015-01-30,1340.567
2015-02-27,1413.594
2015-03-31,1413.448
2015-04-30,1420.204
2015-05-29,1413.257
2015-06-30,1381.08
2015-07-31,1421.397
2015-08-31,1325.839
2015-09-30,1276.425
2015-10-30,1401.343
2015-11-30,1399.543
2015-12-31,1373.163
2016-01-29,1280.112
2016-02-29,1248.215
2016-03-31,1362.178
2016-04-29,1354.771
2016-05-31,1349.407
2016-06-30,1311.457
2016-07-29,1417.819
2016-08-31,1423.149
2016-09-30,1441.698
2016-10-31,1381.327
2016-11-30,1314.437
2016-12-30,1385.348
2017-01-31,1434.772
2017-02-28,1451.742
2017-03-31,1517.695
2017-04-28,1583.346
2017-05-31,1693.776
2017-06-30,1671.487
2017-07-31,1714.149
2017-08-31,1723.962
2017-09-29,1807.73
2017-10-31,1823.698
2017-11-30,1839.853
2017-12-29,1847.474
2018-01-31,1951.46
2018-02-28,1833.684
2018-03-30,1796.091
