Date,AUSTRIA Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,100.009
1970-02-27,98.838
1970-03-31,98.285
1970-04-30,100.842
1970-05-29,100.973
1970-06-30,103.579
1970-07-31,104.823
1970-08-31,109.328
1970-09-30,111.362
1970-10-30,109.986
1970-11-30,110.72
1970-12-31,110.843
1971-01-29,109.371
1971-02-26,110.474
1971-03-31,109.176
1971-04-30,111.134
1971-05-31,116.9
1971-06-30,115.626
1971-07-30,116.593
1971-08-31,115.674
1971-09-30,117.686
1971-10-29,117.928
1971-11-30,116.885
1971-12-31,119.525
1972-01-31,121.019
1972-02-29,125.027
1972-03-31,124.766
1972-04-28,126.032
1972-05-31,135.332
1972-06-30,136.208
1972-07-31,158.74
1972-08-31,155.355
1972-09-29,153.838
1972-10-31,156.546
1972-11-30,161.637
1972-12-29,163.78
1973-01-31,180.798
1973-02-28,196.894
1973-03-30,209.427
1973-04-30,215.181
1973-05-31,215.077
1973-06-29,241.1
1973-07-31,249.421
1973-08-31,236.347
1973-09-28,238.432
1973-10-31,231.823
1973-11-30,209.885
1973-12-31,203.887
1974-01-31,199.795
1974-02-28,206.788
1974-03-29,221.379
1974-04-30,226.876
1974-05-31,226.14
1974-06-28,221.8
1974-07-31,218.266
1974-08-30,211.829
1974-09-30,208.532
1974-10-31,218.008
1974-11-29,219.914
1974-12-31,233.31
1975-01-31,240.306
1975-02-28,253.647
1975-03-31,252.138
1975-04-30,248.454
1975-05-30,246.382
1975-06-30,245.52
1975-07-31,224.617
1975-08-29,222.331
1975-09-30,215.516
1975-10-31,225.323
1975-11-28,220.539
1975-12-31,225.474
1976-01-30,229.752
1976-02-27,232.969
1976-03-31,238.413
1976-04-30,236.432
1976-05-31,233.767
1976-06-30,231.342
1976-07-30,238.381
1976-08-31,246.106
1976-09-30,254.622
1976-10-29,255.916
1976-11-30,248.587
1976-12-31,259.531
1977-01-31,254.898
1977-02-28,260.427
1977-03-31,258.823
1977-04-29,258.562
1977-05-31,257.848
1977-06-30,255.606
1977-07-29,259.929
1977-08-31,255.186
1977-09-30,248.98
1977-10-31,253.132
1977-11-30,251.63
1977-12-30,272.92
1978-01-31,270.872
1978-02-28,277.59
1978-03-31,284.783
1978-04-28,274.029
1978-05-31,273.005
1978-06-30,273.773
1978-07-31,286.697
1978-08-31,294.167
1978-09-29,300.407
1978-10-31,335.423
1978-11-30,293.615
1978-12-29,313.847
1979-01-31,305.423
1979-02-28,306.865
1979-03-30,315.409
1979-04-30,307.842
1979-05-31,303.409
1979-06-29,314.914
1979-07-31,316.213
1979-08-31,324.242
1979-09-28,339.336
1979-10-31,342.138
1979-11-30,361.187
1979-12-31,373.064
1980-01-31,367.296
1980-02-29,367.342
1980-03-31,333.107
1980-04-30,352.071
1980-05-30,356.505
1980-06-30,358.338
1980-07-31,356.959
1980-08-29,351.511
1980-09-30,345.085
1980-10-31,329.187
1980-11-28,326.109
1980-12-31,324.374
1981-01-30,291.913
1981-02-27,287.456
1981-03-31,287.836
1981-04-30,264.129
1981-05-29,248.639
1981-06-30,237.485
1981-07-31,231.998
1981-08-31,226.576
1981-09-30,232.803
1981-10-30,239.653
1981-11-30,244.962
1981-12-31,255.923
1982-01-29,241.715
1982-02-26,231.706
1982-03-31,225.596
1982-04-30,227.701
1982-05-31,225.726
1982-06-30,209.388
1982-07-30,208.083
1982-08-31,204.549
1982-09-30,201.814
1982-10-29,197.81
1982-11-30,206.304
1982-12-31,229.882
1983-01-31,217.888
1983-02-28,222.657
1983-03-31,240.449
1983-04-29,249.458
1983-05-31,244.511
1983-06-30,237.417
1983-07-29,226.314
1983-08-31,220.881
1983-09-30,227.51
1983-10-31,224.364
1983-11-30,219.845
1983-12-30,225.082
1984-01-31,216.804
1984-02-29,233.985
1984-03-30,237.203
1984-04-30,223.716
1984-05-31,221.014
1984-06-29,215.203
1984-07-31,206.331
1984-08-31,206.684
1984-09-28,206.249
1984-10-31,209.512
1984-11-30,212.708
1984-12-31,214.037
1985-01-31,214.934
1985-02-28,234.919
1985-03-29,272.757
1985-04-30,349.313
1985-05-31,400.064
1985-06-28,426.887
1985-07-31,420.454
1985-08-30,436.004
1985-09-30,455.025
1985-10-31,455.244
1985-11-29,563.098
1985-12-31,591.305
1986-01-31,612.471
1986-02-28,657.802
1986-03-31,625.932
1986-04-30,763.124
1986-05-30,681.062
1986-06-30,707.88
1986-07-31,730.061
1986-08-29,776.797
1986-09-30,776.136
1986-10-31,742.919
1986-11-28,786.007
1986-12-31,796.747
1987-01-30,750.896
1987-02-27,753.771
1987-03-31,738.018
1987-04-30,731.839
1987-05-29,680.216
1987-06-30,692.04
1987-07-31,798.986
1987-08-31,795.023
1987-09-30,830.146
1987-10-30,752.035
1987-11-30,764.355
1987-12-31,814.499
1988-01-29,704.517
1988-02-29,706.877
1988-03-31,738.939
1988-04-29,748.735
1988-05-31,710.798
1988-06-30,691.991
1988-07-29,710.796
1988-08-31,719.821
1988-09-30,731.485
1988-10-31,820.303
1988-11-30,836.838
1988-12-30,819.155
1989-01-31,802.889
1989-02-28,849.021
1989-03-31,930.415
1989-04-28,1000.157
1989-05-31,972.398
1989-06-30,1028.581
1989-07-31,1104.811
1989-08-31,1293.741
1989-09-29,1475.151
