Date,AUSTRIA Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,100.051
1970-02-27,98.924
1970-03-31,98.416
1970-04-30,101.021
1970-05-29,101.202
1970-06-30,103.864
1970-07-31,105.161
1970-08-31,109.731
1970-09-30,111.824
1970-10-30,110.493
1970-11-30,111.281
1970-12-31,111.455
1971-01-29,110.027
1971-02-26,111.19
1971-03-31,109.936
1971-04-30,111.962
1971-05-31,117.827
1971-06-30,116.598
1971-07-30,117.626
1971-08-31,116.756
1971-09-30,118.845
1971-10-29,119.147
1971-11-30,118.152
1971-12-31,120.881
1972-01-31,122.454
1972-02-29,126.57
1972-03-31,126.368
1972-04-28,127.713
1972-05-31,137.2
1972-06-30,138.154
1972-07-31,161.074
1972-08-31,157.705
1972-09-29,156.23
1972-10-31,159.045
1972-11-30,164.283
1972-12-29,166.527
1973-01-31,183.899
1973-02-28,200.344
1973-03-30,213.171
1973-04-30,219.103
1973-05-31,219.078
1973-06-29,245.678
1973-07-31,254.253
1973-08-31,241.023
1973-09-28,243.246
1973-10-31,236.598
1973-11-30,214.296
1973-12-31,208.256
1974-01-31,204.161
1974-02-28,211.392
1974-03-29,226.402
1974-04-30,232.118
1974-05-31,231.46
1974-06-28,227.104
1974-07-31,223.575
1974-08-30,217.068
1974-09-30,213.777
1974-10-31,223.58
1974-11-29,225.627
1974-12-31,239.467
1975-01-31,246.745
1975-02-28,260.542
1975-03-31,259.091
1975-04-30,255.402
1975-05-30,253.368
1975-06-30,252.578
1975-07-31,231.162
1975-08-29,228.896
1975-09-30,221.964
1975-10-31,232.153
1975-11-28,227.31
1975-12-31,232.484
1976-01-30,236.983
1976-02-27,240.391
1976-03-31,246.1
1976-04-30,244.145
1976-05-31,241.482
1976-06-30,239.068
1976-07-30,246.436
1976-08-31,254.518
1976-09-30,263.425
1976-10-29,264.869
1976-11-30,257.389
1976-12-31,268.828
1977-01-31,264.134
1977-02-28,269.971
1977-03-31,268.415
1977-04-29,268.254
1977-05-31,267.631
