Date,AUSTRIA Standard (Large+Mid Cap)
2001-01-01,1358.025
2001-01-02,1366.93
2001-01-03,1343.471
2001-01-04,1365.9
2001-01-05,1405.705
2001-01-08,1395.564
2001-01-09,1380.393
2001-01-10,1390.861
2001-01-11,1398.739
2001-01-12,1410.083
2001-01-15,1404.857
2001-01-16,1388.486
2001-01-17,1382.649
2001-01-18,1389.807
2001-01-19,1378.772
2001-01-22,1381.792
2001-01-23,1379.79
2001-01-24,1346.667
2001-01-25,1342.132
2001-01-26,1350.352
2001-01-29,1353.81
2001-01-30,1374.551
2001-01-31,1398.166
2001-02-01,1445.593
2001-02-02,1412.373
2001-02-05,1432.142
2001-02-06,1414.406
2001-02-07,1444.437
2001-02-08,1438.267
2001-02-09,1430.607
2001-02-12,1457.45
2001-02-13,1447.771
2001-02-14,1432.189
2001-02-15,1424.971
2001-02-16,1461.467
2001-02-19,1487.563
2001-02-20,1494.34
2001-02-21,1494.885
2001-02-22,1489.746
2001-02-23,1474.903
2001-02-26,1475.951
2001-02-27,1511.756
2001-02-28,1489.008
2001-03-01,1502.849
2001-03-02,1508.032
2001-03-05,1496.014
2001-03-06,1504.309
2001-03-07,1535.262
2001-03-08,1533.675
2001-03-09,1520.095
2001-03-12,1515.708
2001-03-13,1493.171
2001-03-14,1467.972
2001-03-15,1450.498
2001-03-16,1402.181
2001-03-19,1393.185
2001-03-20,1406.02
2001-03-21,1390.896
2001-03-22,1343.72
2001-03-23,1377.045
2001-03-26,1395.966
2001-03-27,1415.979
2001-03-28,1405.118
2001-03-29,1400.163
2001-03-30,1417.837
2001-04-02,1395.816
2001-04-03,1399.842
2001-04-04,1434.496
2001-04-05,1461.023
2001-04-06,1445.885
2001-04-09,1463.262
2001-04-10,1453.192
2001-04-11,1426.924
2001-04-12,1440.949
2001-04-13,1440.949
2001-04-16,1426.192
2001-04-17,1429.236
2001-04-18,1424.922
2001-04-19,1436.77
2001-04-20,1461.043
2001-04-23,1446.392
2001-04-24,1454.54
2001-04-25,1448.79
2001-04-26,1462.962
2001-04-27,1457.936
2001-04-30,1450.97
2001-05-01,1458.662
2001-05-02,1467.967
2001-05-03,1453.272
2001-05-04,1437.947
2001-05-07,1431.961
2001-05-08,1426.585
2001-05-09,1426.207
2001-05-10,1439.106
2001-05-11,1431.012
2001-05-14,1420.721
2001-05-15,1414.176
2001-05-16,1428.571
2001-05-17,1447.661
2001-05-18,1440.761
2001-05-21,1416.645
2001-05-22,1409.898
2001-05-23,1381.945
2001-05-24,1376.727
2001-05-25,1367.771
2001-05-28,1374.942
2001-05-29,1352.109
2001-05-30,1367.029
2001-05-31,1360.747
2001-06-01,1378.042
2001-06-04,1379.914
2001-06-05,1414.57
2001-06-06,1406.153
2001-06-07,1406.576
2001-06-08,1407.009
2001-06-11,1379.944
2001-06-12,1396.532
2001-06-13,1416.91
2001-06-14,1429.057
2001-06-15,1419.568
2001-06-18,1420.671
2001-06-19,1416.655
2001-06-20,1399.006
2001-06-21,1385.42
2001-06-22,1401.16
2001-06-25,1410.908
2001-06-26,1412.768
2001-06-27,1388.456
2001-06-28,1354.574
2001-06-29,1328.965
2001-07-02,1327.042
2001-07-03,1326.349
2001-07-04,1335.669
2001-07-05,1329.811
2001-07-06,1333.359
2001-07-09,1356.92
2001-07-10,1380.975
2001-07-11,1381.696
2001-07-12,1361.27
2001-07-13,1379.094
2001-07-16,1386.542
2001-07-17,1370.255
2001-07-18,1408.887
2001-07-19,1423.561
2001-07-20,1435.918
2001-07-23,1436.78
2001-07-24,1448.075
2001-07-25,1447.624
2001-07-26,1441.477
2001-07-27,1450.975
2001-07-30,1445.386
2001-07-31,1425.299
2001-08-01,1435.987
2001-08-02,1419.817
2001-08-03,1407.456
2001-08-06,1406.586
2001-08-07,1405.765
2001-08-08,1400.977
2001-08-09,1405.558
2001-08-10,1431.381
2001-08-13,1451.646
2001-08-14,1434.133
2001-08-15,1456.027
2001-08-16,1456.186
2001-08-17,1455.408
2001-08-20,1435.568
2001-08-21,1442.666
2001-08-22,1460.014
2001-08-23,1452.841
2001-08-24,1446.923
2001-08-27,1433.615
2001-08-28,1435.623
2001-08-29,1443.228
2001-08-30,1428.211
2001-08-31,1432.228
2001-09-03,1422.702
2001-09-04,1403.971
2001-09-05,1389.333
2001-09-06,1386.885
2001-09-07,1394.986
2001-09-10,1368.086
2001-09-11,1366.812
2001-09-12,1360.786
2001-09-13,1363.216
2001-09-14,1353.342
2001-09-17,1343.053
2001-09-18,1332.688
2001-09-19,1346.503
2001-09-20,1329.064
2001-09-21,1285.074
2001-09-24,1282.353
2001-09-25,1282.439
2001-09-26,1303.743
2001-09-27,1325.375
2001-09-28,1297.257
2001-10-01,1323.895
2001-10-02,1325.968
2001-10-03,1327.646
2001-10-04,1318.357
2001-10-05,1291.03
2001-10-08,1285.456
2001-10-09,1277.359
2001-10-10,1253.615
2001-10-11,1253.433
2001-10-12,1284.426
2001-10-15,1267.411
2001-10-16,1294.336
2001-10-17,1297.521
2001-10-18,1286.019
2001-10-19,1231.794
2001-10-22,1203.804
2001-10-23,1211.453
2001-10-24,1202.503
2001-10-25,1192.509
2001-10-26,1187.253
2001-10-29,1188.887
2001-10-30,1192.31
2001-10-31,1208.202
2001-11-01,1215.915
2001-11-02,1208.422
2001-11-05,1196.165
2001-11-06,1212.134
2001-11-07,1219.792
2001-11-08,1220.031
2001-11-09,1214.732
2001-11-12,1213.339
2001-11-13,1186.73
2001-11-14,1200.011
2001-11-15,1206.654
2001-11-16,1214.876
2001-11-19,1184.618
2001-11-20,1206.404
2001-11-21,1198.885
2001-11-22,1205.035
2001-11-23,1202.597
2001-11-26,1194.981
2001-11-27,1205.606
2001-11-28,1217.725
2001-11-29,1236.545
2001-11-30,1267.831
2001-12-03,1249.176
2001-12-04,1262.421
2001-12-05,1269.38
2001-12-06,1281.774
2001-12-07,1285.279
2001-12-10,1282.715
2001-12-11,1274.12
2001-12-12,1290.711
2001-12-13,1298.435
2001-12-14,1297.815
2001-12-17,1294.636
2001-12-18,1284.298
2001-12-19,1270.791
2001-12-20,1252.607
2001-12-21,1263.504
2001-12-24,1250.896
2001-12-25,1250.896
2001-12-26,1251.965
2001-12-27,1288.004
2001-12-28,1268.937
