Date,AUSTRIA Standard (Large+Mid Cap)
2001-01-01,1522.36
2001-01-02,1532.342
2001-01-03,1506.044
2001-01-04,1531.188
2001-01-05,1575.809
2001-01-08,1564.441
2001-01-09,1547.434
2001-01-10,1559.168
2001-01-11,1568.0
2001-01-12,1580.717
2001-01-15,1574.859
2001-01-16,1556.506
2001-01-17,1549.963
2001-01-18,1557.987
2001-01-19,1545.617
2001-01-22,1549.003
2001-01-23,1546.758
2001-01-24,1509.627
2001-01-25,1504.544
2001-01-26,1513.758
2001-01-29,1517.634
2001-01-30,1540.885
2001-01-31,1567.358
2001-02-01,1620.524
2001-02-02,1583.284
2001-02-05,1605.445
2001-02-06,1585.563
2001-02-07,1619.228
2001-02-08,1612.312
2001-02-09,1603.724
2001-02-12,1633.816
2001-02-13,1622.965
2001-02-14,1605.498
2001-02-15,1597.407
2001-02-16,1638.319
2001-02-19,1667.573
2001-02-20,1675.169
2001-02-21,1675.78
2001-02-22,1670.019
2001-02-23,1653.381
2001-02-26,1654.556
2001-02-27,1694.694
2001-02-28,1669.192
2001-03-01,1684.708
2001-03-02,1690.518
2001-03-05,1677.046
2001-03-06,1686.345
2001-03-07,1721.044
2001-03-08,1719.264
2001-03-09,1704.041
2001-03-12,1699.123
2001-03-13,1673.86
2001-03-14,1645.611
2001-03-15,1626.023
2001-03-16,1571.859
2001-03-19,1561.774
2001-03-20,1576.162
2001-03-21,1559.208
2001-03-22,1506.323
2001-03-23,1543.682
2001-03-26,1565.698
2001-03-27,1588.145
2001-03-28,1575.963
2001-03-29,1570.406
2001-03-30,1590.229
2001-04-02,1565.531
2001-04-03,1570.046
2001-04-04,1608.914
2001-04-05,1638.666
2001-04-06,1621.687
2001-04-09,1641.177
2001-04-10,1629.883
2001-04-11,1600.421
2001-04-12,1616.151
2001-04-13,1616.151
2001-04-16,1599.6
2001-04-17,1603.014
2001-04-18,1598.175
2001-04-19,1611.464
2001-04-20,1638.689
2001-04-23,1622.257
2001-04-24,1631.395
2001-04-25,1624.946
2001-04-26,1640.84
2001-04-27,1635.203
2001-04-30,1627.39
2001-05-01,1636.018
2001-05-02,1646.846
2001-05-03,1630.361
2001-05-04,1613.168
2001-05-07,1606.453
2001-05-08,1600.422
2001-05-09,1599.998
2001-05-10,1614.468
2001-05-11,1606.124
2001-05-14,1594.792
2001-05-15,1588.641
2001-05-16,1605.771
2001-05-17,1627.827
2001-05-18,1620.067
2001-05-21,1593.011
2001-05-22,1585.735
2001-05-23,1554.296
2001-05-24,1548.428
2001-05-25,1539.519
2001-05-28,1548.012
2001-05-29,1525.061
2001-05-30,1541.968
2001-05-31,1534.882
2001-06-01,1554.389
2001-06-04,1556.501
2001-06-05,1595.592
2001-06-06,1586.098
2001-06-07,1586.575
2001-06-08,1587.063
2001-06-11,1556.535
2001-06-12,1575.246
2001-06-13,1598.232
2001-06-14,1611.933
2001-06-15,1601.229
2001-06-18,1602.474
2001-06-19,1597.943
2001-06-20,1578.036
2001-06-21,1562.712
2001-06-22,1580.466
2001-06-25,1591.722
2001-06-26,1593.82
2001-06-27,1566.392
2001-06-28,1528.169
2001-06-29,1499.278
2001-07-02,1497.108
2001-07-03,1496.326
2001-07-04,1506.841
2001-07-05,1500.232
2001-07-06,1504.235
2001-07-09,1530.815
2001-07-10,1557.953
2001-07-11,1558.74
2001-07-12,1535.635
2001-07-13,1555.743
2001-07-16,1564.145
2001-07-17,1545.772
2001-07-18,1589.352
2001-07-19,1605.906
2001-07-20,1619.845
2001-07-23,1620.935
2001-07-24,1633.677
2001-07-25,1633.169
2001-07-26,1626.233
2001-07-27,1636.949
2001-07-30,1630.643
2001-07-31,1607.982
2001-08-01,1620.039
2001-08-02,1601.797
2001-08-03,1587.852
2001-08-06,1586.871
2001-08-07,1585.944
2001-08-08,1580.542
2001-08-09,1585.71
2001-08-10,1614.843
2001-08-13,1637.705
2001-08-14,1617.948
2001-08-15,1642.649
2001-08-16,1642.828
2001-08-17,1641.949
2001-08-20,1619.566
2001-08-21,1627.575
2001-08-22,1647.146
2001-08-23,1639.054
2001-08-24,1632.377
2001-08-27,1617.363
2001-08-28,1619.629
2001-08-29,1628.209
2001-08-30,1611.266
2001-08-31,1615.799
2001-09-03,1605.051
2001-09-04,1583.92
2001-09-05,1567.406
2001-09-06,1564.644
2001-09-07,1573.783
2001-09-10,1543.436
2001-09-11,1541.999
2001-09-12,1535.2
2001-09-13,1537.941
2001-09-14,1526.801
2001-09-17,1515.194
2001-09-18,1503.501
2001-09-19,1519.086
2001-09-20,1499.413
2001-09-21,1449.784
2001-09-24,1446.715
2001-09-25,1446.811
2001-09-26,1470.846
2001-09-27,1495.251
2001-09-28,1463.528
2001-10-01,1493.58
2001-10-02,1495.92
2001-10-03,1497.812
2001-10-04,1487.333
2001-10-05,1456.503
2001-10-08,1450.215
2001-10-09,1441.08
2001-10-10,1414.292
2001-10-11,1414.088
2001-10-12,1449.053
2001-10-15,1429.857
2001-10-16,1460.232
