Date,WORLD SMALL GROWTH Small Cap
1994-05-31,343.04
1994-06-30,346.776
1994-07-29,347.678
1994-08-31,357.039
1994-09-30,351.229
1994-10-31,357.133
1994-11-30,335.81
1994-12-30,341.946
1995-01-31,331.42
1995-02-28,331.936
1995-03-31,344.853
1995-04-28,349.521
1995-05-31,344.702
1995-06-30,351.162
1995-07-31,374.047
1995-08-31,371.6
1995-09-29,376.167
1995-10-31,362.943
1995-11-30,371.478
1995-12-29,383.114
1996-01-31,383.169
1996-02-29,391.956
1996-03-29,402.445
1996-04-30,430.094
1996-05-31,435.976
1996-06-28,425.213
1996-07-31,392.694
1996-08-30,403.201
1996-09-30,411.158
1996-10-31,401.417
1996-11-29,405.704
1996-12-31,400.877
1997-01-31,398.494
1997-02-28,386.947
1997-03-31,369.111
1997-04-30,361.15
1997-05-30,402.507
1997-06-30,416.793
1997-07-31,421.845
1997-08-29,419.737
1997-09-30,437.334
1997-10-31,416.453
1997-11-28,398.976
1997-12-31,390.472
1998-01-30,398.686
1998-02-27,431.615
1998-03-31,450.523
1998-04-30,456.819
1998-05-29,442.066
1998-06-30,437.523
1998-07-31,419.653
1998-08-31,342.941
1998-09-30,350.687
1998-10-30,370.35
1998-11-30,393.522
1998-12-31,415.058
1999-01-29,427.295
1999-02-26,407.335
1999-03-31,423.426
1999-04-30,451.378
1999-05-31,446.304
1999-06-30,481.04
1999-07-30,489.192
1999-08-31,496.86
1999-09-30,510.058
1999-10-29,522.993
1999-11-30,561.227
1999-12-31,617.495
2000-01-31,620.551
2000-02-29,713.906
2000-03-31,693.43
2000-04-28,615.579
2000-05-31,587.154
2000-06-30,650.225
2000-07-31,606.384
2000-08-31,649.01
2000-09-29,612.648
2000-10-31,561.681
2000-11-30,495.462
2000-12-29,515.127
2001-01-31,537.322
2001-02-28,485.086
2001-03-30,439.117
2001-04-30,477.679
2001-05-31,484.516
2001-06-29,475.199
2001-07-31,448.719
2001-08-31,432.019
2001-09-28,367.453
2001-10-31,396.35
2001-11-30,421.12
2001-12-31,433.058
2002-01-31,423.718
2002-02-28,411.466
2002-03-29,439.489
2002-04-30,439.379
2002-05-31,437.435
2002-06-28,405.515
2002-07-31,361.327
2002-08-30,358.421
2002-09-30,327.438
2002-10-31,339.708
2002-11-29,364.831
2002-12-31,348.201
2003-01-31,342.088
2003-02-28,335.687
2003-03-31,338.33
2003-04-30,369.508
2003-05-30,404.523
2003-06-30,415.187
2003-07-31,432.541
2003-08-29,455.745
2003-09-30,461.173
2003-10-31,501.113
2003-11-28,510.865
2003-12-31,525.824
2004-01-30,545.588
2004-02-27,556.855
2004-03-31,568.124
2004-04-30,549.114
2004-05-31,552.562
2004-06-30,574.072
2004-07-30,538.328
2004-08-31,533.022
2004-09-30,554.104
2004-10-29,569.378
2004-11-30,611.433
2004-12-31,638.566
2005-01-31,633.747
2005-02-28,654.553
2005-03-31,638.343
2005-04-29,611.736
2005-05-31,635.11
2005-06-30,653.537
2005-07-29,687.674
2005-08-31,693.255
2005-09-30,710.281
2005-10-31,685.577
2005-11-30,715.873
2005-12-30,742.895
2006-01-31,800.354
2006-02-28,791.923
2006-03-31,829.629
2006-04-28,853.537
2006-05-31,808.282
2006-06-30,796.583
2006-07-31,769.596
2006-08-31,789.14
2006-09-29,792.73
2006-10-31,829.084
2006-11-30,863.798
2006-12-29,875.723
2007-01-31,897.851
2007-02-28,906.099
2007-03-30,930.83
2007-04-30,965.625
2007-05-31,1000.0
2007-06-29,996.653
2007-07-31,972.957
2007-08-31,957.186
2007-09-28,993.83
2007-10-31,1049.045
2007-11-30,975.474
2007-12-31,962.515
2008-01-31,871.303
2008-02-29,886.547
2008-03-31,871.502
2008-04-30,917.318
2008-05-30,961.647
2008-06-30,904.012
2008-07-31,873.641
2008-08-29,864.45
2008-09-30,725.996
2008-10-31,554.984
2008-11-28,504.053
2008-12-31,532.275
2009-01-30,500.557
2009-02-27,457.041
2009-03-31,493.117
2009-04-30,564.42
2009-05-29,614.422
2009-06-30,623.811
2009-07-31,671.477
2009-08-31,698.401
2009-09-30,743.167
2009-10-30,718.763
2009-11-30,738.75
2009-12-31,774.897
2010-01-29,752.586
2010-02-26,771.08
2010-03-31,832.536
2010-04-30,864.29
2010-05-31,781.817
2010-06-30,747.304
2010-07-30,804.091
2010-08-31,768.577
2010-09-30,864.92
2010-10-29,903.1
2010-11-30,919.632
2010-12-31,1005.257
2011-01-31,1010.793
2011-02-28,1055.91
2011-03-31,1075.402
2011-04-29,1120.986
2011-05-31,1099.873
2011-06-30,1076.311
2011-07-29,1053.13
2011-08-31,967.529
2011-09-30,855.355
2011-10-31,960.968
2011-11-30,938.899
2011-12-30,922.408
2012-01-31,993.808
2012-02-29,1039.21
2012-03-30,1046.698
2012-04-30,1042.502
2012-05-31,948.034
2012-06-29,979.183
2012-07-31,978.653
2012-08-31,1014.341
2012-09-28,1049.677
2012-10-31,1036.776
2012-11-30,1047.388
2012-12-31,1072.467
2013-01-31,1128.61
2013-02-28,1132.58
2013-03-29,1175.411
2013-04-30,1184.541
2013-05-31,1206.657
2013-06-28,1182.96
2013-07-31,1262.546
2013-08-30,1248.253
2013-09-30,1340.255
2013-10-31,1371.699
2013-11-29,1405.672
2013-12-31,1442.069
2014-01-31,1417.058
2014-02-28,1496.192
2014-03-31,1472.144
2014-04-30,1433.568
2014-05-30,1449.621
2014-06-30,1515.765
2014-07-31,1449.055
2014-08-29,1498.263
2014-09-30,1419.971
2014-10-31,1440.234
2014-11-28,1452.505
2014-12-31,1461.017
2015-01-30,1435.038
2015-02-27,1534.354
2015-03-31,1543.515
2015-04-30,1556.86
2015-05-29,1591.404
2015-06-30,1587.332
2015-07-31,1591.657
2015-08-31,1500.413
2015-09-30,1427.324
2015-10-30,1506.756
2015-11-30,1532.917
2015-12-31,1500.424
2016-01-29,1372.059
2016-02-29,1378.064
2016-03-31,1489.495
2016-04-29,1519.598
2016-05-31,1548.348
2016-06-30,1519.422
2016-07-29,1603.144
2016-08-31,1601.473
2016-09-30,1629.707
2016-10-31,1553.693
2016-11-30,1603.773
2016-12-30,1626.769
2017-01-31,1669.397
2017-02-28,1706.264
2017-03-31,1735.084
2017-04-28,1780.613
2017-05-31,1812.674
2017-06-30,1836.441
2017-07-31,1877.26
2017-08-31,1885.844
2017-09-29,1958.682
2017-10-31,2005.207
2017-11-30,2051.053
2017-12-29,2082.853
2018-01-31,2178.797
2018-02-28,2105.828
2018-03-30,2109.784
2018-04-30,2118.333
2018-05-31,2197.449
2018-06-29,2195.607
2018-07-31,2216.383
2018-08-31,2296.826
2018-09-28,2264.61
2018-10-31,2014.241
2018-11-30,2028.859
2018-12-31,1842.182
2019-01-31,2033.285
2019-02-28,2132.301
2019-03-29,2133.072
2019-04-30,2207.573
2019-05-31,2074.54
2019-06-28,2209.94
2019-07-31,2236.709
2019-08-30,2169.613
2019-09-30,2176.764
2019-10-31,2231.991
2019-11-29,2330.788
2019-12-31,2401.737
2020-01-31,2362.379
2020-02-28,2169.72
2020-03-31,1794.3
2020-04-30,2056.711
2020-05-29,2253.668
2020-06-30,2320.902
2020-07-31,2453.109
2020-08-31,2585.856
2020-09-30,2557.422
2020-10-30,2541.621
2020-11-30,2880.812
2020-12-31,3103.79
2021-01-29,3185.331
2021-02-26,3285.158
2021-03-31,3283.075
2021-04-30,3418.445
2021-05-31,3394.768
2021-06-30,3457.0
2021-07-30,3440.161
2021-08-31,3534.663
2021-09-30,3405.023
2021-10-29,3537.201
2021-11-30,3349.789
2021-12-31,3428.334
2022-01-31,3037.566
2022-02-28,3028.103
2022-03-31,3049.364
2022-04-29,2759.908
2022-05-31,2705.507
