Date,WORLD SMALL GROWTH Small Cap
2008-08-29,862.635
2008-09-30,724.34
2008-10-31,553.661
2008-11-28,502.779
2008-12-31,530.831
2009-01-30,499.146
2009-02-27,455.694
2009-03-31,491.484
2009-04-30,562.43
2009-05-29,611.991
2009-06-30,621.232
2009-07-31,668.65
2009-08-31,695.395
2009-09-30,739.86
2009-10-30,715.529
2009-11-30,735.358
2009-12-31,771.271
2010-01-29,749.044
2010-02-26,767.397
2010-03-31,828.395
2010-04-30,859.842
2010-05-31,777.616
2010-06-30,743.144
2010-07-30,799.564
2010-08-31,764.179
2010-09-30,859.85
2010-10-29,897.744
2010-11-30,914.098
2010-12-31,999.07
2011-01-31,1004.532
2011-02-28,1049.312
2011-03-31,1068.436
2011-04-29,1113.578
2011-05-31,1092.23
2011-06-30,1068.615
2011-07-29,1045.539
2011-08-31,960.428
2011-09-30,848.911
2011-10-31,953.663
2011-11-30,931.646
2011-12-30,915.157
2012-01-31,985.942
2012-02-29,1030.891
2012-03-30,1037.95
2012-04-30,1033.611
2012-05-31,939.571
2012-06-29,970.217
2012-07-31,969.604
2012-08-31,1004.799
2012-09-28,1039.603
2012-10-31,1026.717
2012-11-30,1036.927
2012-12-31,1061.247
2013-01-31,1116.756
2013-02-28,1120.561
2013-03-29,1162.68
2013-04-30,1171.472
2013-05-31,1192.958
2013-06-28,1169.23
2013-07-31,1247.754
2013-08-30,1233.481
2013-09-30,1324.167
2013-10-31,1355.161
2013-11-29,1388.506
2013-12-31,1424.214
2014-01-31,1399.311
2014-02-28,1477.217
2014-03-31,1453.091
2014-04-30,1414.793
2014-05-30,1430.124
2014-06-30,1495.127
2014-07-31,1429.223
2014-08-29,1477.566
2014-09-30,1400.086
2014-10-31,1419.971
2014-11-28,1431.81
2014-12-31,1439.948
2015-01-30,1414.241
2015-02-27,1511.872
2015-03-31,1520.439
2015-04-30,1533.354
2015-05-29,1566.905
2015-06-30,1562.562
2015-07-31,1566.661
2015-08-31,1476.671
2015-09-30,1404.369
2015-10-30,1482.422
2015-11-30,1507.928
2015-12-31,1475.657
2016-01-29,1349.153
2016-02-29,1354.866
2016-03-31,1463.837
2016-04-29,1493.109
2016-05-31,1520.773
2016-06-30,1491.941
2016-07-29,1574.004
2016-08-31,1572.148
2016-09-30,1599.443
2016-10-31,1524.622
2016-11-30,1573.504
2016-12-30,1595.722
2017-01-31,1637.35
2017-02-28,1673.266
2017-03-31,1700.884
2017-04-28,1745.05
2017-05-31,1775.819
2017-06-30,1798.686
2017-07-31,1838.49
2017-08-31,1846.629
2017-09-29,1917.519
2017-10-31,1962.928
2017-11-30,2007.556
2017-12-29,2038.357
2018-01-31,2132.142
2018-02-28,2060.496
2018-03-30,2063.675
2018-04-30,2071.463
2018-05-31,2148.188
2018-06-29,2145.945
2018-07-31,2166.106
2018-08-31,2244.408
2018-09-28,2212.494
2018-10-31,1967.745
2018-11-30,1981.706
2018-12-31,1799.011
2019-01-31,1985.529
2019-02-28,2081.953
2019-03-29,2081.988
2019-04-30,2154.237
