Date,SWITZERLAND LARGE GROWTH Large Cap
1994-05-31,221.436
1994-06-30,225.946
1994-07-29,216.969
1994-08-31,228.749
1994-09-30,226.132
1994-10-31,228.669
1994-11-30,226.23
1994-12-30,234.901
1995-01-31,231.843
1995-02-28,248.39
1995-03-31,263.753
1995-04-28,269.985
1995-05-31,279.512
1995-06-30,292.434
1995-07-31,299.347
1995-08-31,298.096
1995-09-29,317.967
1995-10-31,328.987
1995-11-30,338.0
1995-12-29,352.036
1996-01-31,332.99
1996-02-29,347.612
1996-03-29,375.912
1996-04-30,362.366
1996-05-31,351.5
1996-06-28,369.861
1996-07-31,360.021
1996-08-30,377.591
1996-09-30,369.945
1996-10-31,367.616
1996-11-29,368.679
1996-12-31,360.489
1997-01-31,372.06
1997-02-28,373.308
1997-03-31,394.259
1997-04-30,407.561
1997-05-30,432.501
1997-06-30,470.781
1997-07-31,481.787
1997-08-29,437.432
1997-09-30,477.357
1997-10-31,474.736
1997-11-28,483.47
1997-12-31,509.241
1998-01-30,530.861
1998-02-27,574.727
1998-03-31,573.546
1998-04-30,562.51
1998-05-29,586.325
1998-06-30,576.699
1998-07-31,605.747
1998-08-31,533.624
1998-09-30,522.332
1998-10-30,583.814
1998-11-30,607.558
1998-12-31,634.046
1999-01-29,614.711
1999-02-26,589.347
1999-03-31,565.973
1999-04-30,552.221
1999-05-31,532.668
1999-06-30,523.384
1999-07-30,542.62
1999-08-31,548.49
1999-09-30,547.907
1999-10-29,553.064
1999-11-30,554.187
1999-12-31,559.756
2000-01-31,504.274
2000-02-29,496.049
2000-03-31,522.625
2000-04-28,509.764
2000-05-31,534.029
2000-06-30,546.56
2000-07-31,551.509
2000-08-31,540.327
2000-09-29,520.689
2000-10-31,513.764
2000-11-30,536.883
2000-12-29,578.345
2001-01-31,543.16
2001-02-28,521.26
2001-03-30,478.694
2001-04-30,483.362
2001-05-31,486.518
2001-06-29,467.347
2001-07-31,463.347
2001-08-31,459.813
2001-09-28,447.249
2001-10-31,443.151
2001-11-30,445.781
2001-12-31,459.62
2002-01-31,439.723
2002-02-28,454.422
2002-03-29,479.893
2002-04-30,497.266
2002-05-31,513.781
2002-06-28,499.179
2002-07-31,451.388
2002-08-30,445.96
2002-09-30,424.228
2002-10-31,427.114
2002-11-29,427.367
2002-12-31,419.881
2003-01-31,407.021
2003-02-28,388.202
2003-03-31,385.761
2003-04-30,427.402
2003-05-30,452.221
2003-06-30,451.477
2003-07-31,465.688
2003-08-29,457.685
2003-09-30,481.396
2003-10-31,486.515
2003-11-28,514.138
2003-12-31,552.854
2004-01-30,563.346
2004-02-27,569.024
2004-03-31,555.251
2004-04-30,568.939
2004-05-31,575.391
2004-06-30,568.632
2004-07-30,556.41
2004-08-31,548.913
2004-09-30,562.061
2004-10-29,568.848
2004-11-30,603.48
2004-12-31,628.86
2005-01-31,607.318
2005-02-28,635.915
2005-03-31,623.098
2005-04-29,633.411
2005-05-31,637.856
2005-06-30,633.262
2005-07-29,666.328
2005-08-31,670.689
2005-09-30,696.009
2005-10-31,714.441
2005-11-30,728.69
2005-12-30,742.167
2006-01-31,782.998
2006-02-28,775.292
2006-03-31,795.547
2006-04-28,840.711
2006-05-31,818.539
2006-06-30,817.674
2006-07-31,849.289
2006-08-31,873.335
2006-09-29,882.595
2006-10-31,901.945
2006-11-30,919.597
2006-12-29,928.649
2007-01-31,946.38
2007-02-28,921.452
2007-03-30,942.946
2007-04-30,1015.245
2007-05-31,1000.0
2007-06-29,984.923
2007-07-31,987.337
2007-08-31,1003.899
2007-09-28,1050.421
2007-10-31,1069.504
2007-11-30,1105.929
2007-12-31,1060.2
2008-01-31,1005.879
2008-02-29,1066.213
2008-03-31,1091.567
2008-04-30,1067.408
2008-05-30,1105.076
2008-06-30,1076.284
2008-07-31,1080.393
2008-08-29,1032.677
2008-09-30,932.946
2008-10-31,842.889
2008-11-28,785.013
2008-12-31,852.833
2009-01-30,755.921
2009-02-27,681.118
2009-03-31,732.288
2009-04-30,755.842
2009-05-29,825.237
2009-06-30,817.689
2009-07-31,911.999
2009-08-31,964.792
2009-09-30,995.592
2009-10-30,1011.879
2009-11-30,1026.484
2009-12-31,1043.316
2010-01-29,1003.628
2010-02-26,1026.403
2010-03-31,1084.412
2010-04-30,1032.507
2010-05-31,921.54
2010-06-30,964.136
2010-07-30,995.275
2010-08-31,1032.003
2010-09-30,1091.374
2010-10-29,1116.014
2010-11-30,1077.225
2010-12-31,1164.657
2011-01-31,1154.635
2011-02-28,1197.063
2011-03-31,1188.593
2011-04-29,1330.568
2011-05-31,1368.118
2011-06-30,1319.977
2011-07-29,1321.7
2011-08-31,1245.196
2011-09-30,1077.199
2011-10-31,1177.188
2011-11-30,1125.379
2011-12-30,1137.418
2012-01-31,1186.692
2012-02-29,1247.53
2012-03-30,1276.871
2012-04-30,1272.062
2012-05-31,1133.018
2012-06-29,1202.625
2012-07-31,1243.819
2012-08-31,1266.777
2012-09-28,1295.244
2012-10-31,1322.295
2012-11-30,1389.338
2012-12-31,1404.12
2013-01-31,1523.07
2013-02-28,1532.417
2013-03-29,1553.808
2013-04-30,1625.801
2013-05-31,1585.699
2013-06-28,1550.339
2013-07-31,1608.659
2013-08-30,1589.507
2013-09-30,1704.589
2013-10-31,1736.014
2013-11-29,1740.239
2013-12-31,1751.578
2014-01-31,1711.653
2014-02-28,1839.745
2014-03-31,1838.875
2014-04-30,1860.842
2014-05-30,1874.924
2014-06-30,1850.771
2014-07-31,1773.572
2014-08-29,1806.245
2014-09-30,1750.916
2014-10-31,1740.555
2014-11-28,1808.576
2014-12-31,1711.655
2015-01-30,1723.22
2015-02-27,1802.692
2015-03-31,1793.73
2015-04-30,1883.65
