Date,SWITZERLAND LARGE GROWTH Large Cap
2001-01-01,578.345
2001-01-02,582.95
2001-01-03,583.825
2001-01-04,573.077
2001-01-05,564.154
2001-01-08,562.523
2001-01-09,556.272
2001-01-10,545.892
2001-01-11,547.703
2001-01-12,541.981
2001-01-15,541.251
2001-01-16,542.051
2001-01-17,541.156
2001-01-18,547.644
2001-01-19,533.982
2001-01-22,533.677
2001-01-23,536.396
2001-01-24,531.1
2001-01-25,534.851
2001-01-26,540.507
2001-01-29,540.168
2001-01-30,543.171
2001-01-31,543.16
2001-02-01,542.677
2001-02-02,539.095
2001-02-05,547.067
2001-02-06,543.949
2001-02-07,543.679
2001-02-08,534.768
2001-02-09,538.885
2001-02-12,541.127
2001-02-13,535.123
2001-02-14,528.059
2001-02-15,522.251
2001-02-16,520.101
2001-02-19,523.53
2001-02-20,513.86
2001-02-21,515.661
2001-02-22,513.671
2001-02-23,512.425
2001-02-26,514.366
2001-02-27,520.0
2001-02-28,521.26
2001-03-01,518.255
2001-03-02,519.982
2001-03-05,519.556
2001-03-06,519.98
2001-03-07,517.133
2001-03-08,514.332
2001-03-09,512.874
2001-03-12,505.247
2001-03-13,497.891
2001-03-14,485.275
2001-03-15,486.377
2001-03-16,472.163
2001-03-19,467.166
2001-03-20,468.587
2001-03-21,462.501
2001-03-22,437.967
2001-03-23,450.942
2001-03-26,467.429
2001-03-27,469.985
2001-03-28,465.378
2001-03-29,469.361
2001-03-30,478.694
2001-04-02,466.547
2001-04-03,460.683
2001-04-04,467.595
2001-04-05,474.048
2001-04-06,474.747
2001-04-09,481.481
2001-04-10,481.287
2001-04-11,484.05
2001-04-12,489.448
2001-04-13,489.448
2001-04-16,484.47
2001-04-17,482.666
2001-04-18,481.193
2001-04-19,483.909
2001-04-20,488.134
2001-04-23,481.896
2001-04-24,485.738
2001-04-25,483.63
2001-04-26,484.857
2001-04-27,481.677
2001-04-30,483.362
2001-05-01,484.801
2001-05-02,488.523
2001-05-03,487.461
2001-05-04,493.523
2001-05-07,500.276
2001-05-08,499.053
2001-05-09,494.454
