Date,SWITZERLAND LARGE GROWTH Large Cap
2001-12-19,463.487
2001-12-20,474.87
2001-12-21,475.503
2001-12-24,465.293
2001-12-25,465.293
2001-12-26,465.196
2001-12-27,472.304
2001-12-28,472.235
2001-12-31,477.497
2002-01-01,477.497
2002-01-02,479.571
2002-01-03,475.696
2002-01-04,475.761
2002-01-07,475.548
2002-01-08,468.91
2002-01-09,471.195
2002-01-10,473.456
2002-01-11,476.675
2002-01-14,470.637
2002-01-15,469.283
2002-01-16,464.253
2002-01-17,469.623
2002-01-18,469.737
2002-01-21,466.743
2002-01-22,469.498
2002-01-23,473.628
2002-01-24,475.503
2002-01-25,464.367
2002-01-28,465.911
2002-01-29,461.533
2002-01-30,454.602
2002-01-31,456.826
2002-02-01,454.323
2002-02-04,456.733
2002-02-05,454.999
2002-02-06,455.737
2002-02-07,464.15
2002-02-08,465.957
2002-02-11,470.603
2002-02-12,469.831
2002-02-13,473.108
2002-02-14,474.879
2002-02-15,475.342
2002-02-18,472.672
2002-02-19,465.956
2002-02-20,461.751
2002-02-21,463.122
2002-02-22,463.917
2002-02-25,465.199
2002-02-26,463.876
2002-02-27,468.462
2002-02-28,472.097
2002-03-01,468.843
2002-03-04,475.29
2002-03-05,473.092
2002-03-06,475.478
2002-03-07,480.689
2002-03-08,485.199
2002-03-11,483.697
2002-03-12,480.666
2002-03-13,485.581
2002-03-14,495.526
2002-03-15,498.515
2002-03-18,500.377
2002-03-19,500.444
2002-03-20,500.467
2002-03-21,500.086
2002-03-22,500.34
2002-03-25,498.372
2002-03-26,499.305
2002-03-27,497.93
2002-03-28,497.855
2002-03-29,497.855
2002-04-01,503.619
2002-04-02,505.938
2002-04-03,505.287
2002-04-04,504.394
2002-04-05,500.904
2002-04-08,494.317
2002-04-09,498.096
2002-04-10,501.879
2002-04-11,497.473
2002-04-12,496.354
2002-04-15,498.737
2002-04-16,504.287
2002-04-17,507.991
2002-04-18,511.322
2002-04-19,510.693
2002-04-22,511.194
2002-04-23,511.622
2002-04-24,514.898
2002-04-25,513.281
2002-04-26,510.149
2002-04-29,514.56
2002-04-30,514.897
2002-05-01,519.887
2002-05-02,518.69
2002-05-03,527.631
2002-05-06,526.598
2002-05-07,517.08
2002-05-08,523.309
2002-05-09,523.252
2002-05-10,521.133
2002-05-13,522.314
2002-05-14,518.827
2002-05-15,524.691
2002-05-16,528.237
2002-05-17,531.834
2002-05-20,529.699
2002-05-21,530.355
2002-05-22,533.049
2002-05-23,527.148
2002-05-24,528.238
2002-05-27,528.716
2002-05-28,531.905
2002-05-29,532.249
2002-05-30,531.474
2002-05-31,531.612
2002-06-03,530.134
2002-06-04,522.397
2002-06-05,515.23
2002-06-06,515.745
2002-06-07,509.492
2002-06-10,510.494
2002-06-11,511.962
2002-06-12,496.35
2002-06-13,490.933
2002-06-14,487.539
2002-06-17,499.957
2002-06-18,496.832
2002-06-19,494.857
2002-06-20,486.099
2002-06-21,487.538
2002-06-24,480.025
2002-06-25,490.994
2002-06-26,489.251
2002-06-27,491.984
2002-06-28,516.504
2002-07-01,516.574
2002-07-02,508.631
2002-07-03,495.294
2002-07-04,507.54
2002-07-05,517.41
2002-07-08,522.195
2002-07-09,522.211
2002-07-10,503.01
2002-07-11,487.646
2002-07-12,493.574
2002-07-15,482.413
2002-07-16,470.283
