Date,SWITZERLAND LARGE GROWTH Large Cap
1994-05-31,236.41
1994-06-30,240.853
1994-07-29,231.248
1994-08-31,243.804
1994-09-30,241.014
1994-10-31,243.718
1994-11-30,241.056
1994-12-30,250.295
1995-01-31,247.037
1995-02-28,264.668
1995-03-31,281.038
1995-04-28,287.63
1995-05-31,297.393
1995-06-30,310.247
1995-07-31,317.577
1995-08-31,316.25
1995-09-29,337.308
1995-10-31,348.997
1995-11-30,358.559
1995-12-29,373.343
1996-01-31,353.145
1996-02-29,368.651
1996-03-29,398.665
1996-04-30,384.204
1996-05-31,372.683
1996-06-28,391.309
1996-07-31,380.877
1996-08-30,399.425
1996-09-30,391.337
1996-10-31,388.836
1996-11-29,389.833
1996-12-31,381.173
1997-01-31,393.408
1997-02-28,394.715
1997-03-31,416.868
1997-04-30,430.239
1997-05-30,456.301
1997-06-30,496.16
1997-07-31,507.606
1997-08-29,460.873
1997-09-30,502.938
1997-10-31,500.135
1997-11-28,509.336
1997-12-31,536.485
1998-01-30,559.263
1998-02-27,605.475
1998-03-31,604.231
1998-04-30,591.776
1998-05-29,616.541
1998-06-30,605.755
1998-07-31,636.044
1998-08-31,560.313
1998-09-30,548.456
1998-10-30,613.013
1998-11-30,637.944
1998-12-31,665.757
1999-01-29,645.456
1999-02-26,618.823
1999-03-31,594.28
1999-04-30,578.913
1999-05-31,558.366
1999-06-30,547.838
1999-07-30,567.767
1999-08-31,573.91
1999-09-30,573.3
1999-10-29,578.696
1999-11-30,579.871
1999-12-31,585.697
2000-01-31,527.644
2000-02-29,519.039
2000-03-31,546.846
2000-04-28,532.791
2000-05-31,557.393
2000-06-30,570.236
2000-07-31,575.131
2000-08-31,563.469
2000-09-29,542.99
2000-10-31,535.769
2000-11-30,559.878
2000-12-29,603.115
2001-01-31,566.423
2001-02-28,543.586
2001-03-30,498.402
2001-04-30,501.773
2001-05-31,504.965
2001-06-29,485.479
2001-07-31,481.324
2001-08-31,477.232
2001-09-28,464.192
2001-10-31,460.387
2001-11-30,463.119
2001-12-31,477.497
2002-01-31,456.826
2002-02-28,472.097
2002-03-29,497.855
2002-04-30,514.897
2002-05-31,531.612
2002-06-28,516.504
2002-07-31,467.054
2002-08-30,461.437
2002-09-30,438.864
2002-10-31,441.85
2002-11-29,442.111
2002-12-31,434.368
2003-01-31,421.064
2003-02-28,401.596
2003-03-31,398.181
2003-04-30,439.321
2003-05-30,464.605
2003-06-30,463.84
2003-07-31,478.441
2003-08-29,470.219
2003-09-30,494.547
2003-10-31,499.805
2003-11-28,528.183
2003-12-31,567.956
2004-01-30,578.735
2004-02-27,583.602
2004-03-31,569.477
2004-04-30,580.63
2004-05-31,587.215
2004-06-30,580.317
2004-07-30,567.808
2004-08-31,560.157
2004-09-30,573.442
2004-10-29,580.366
2004-11-30,615.699
2004-12-31,641.593
2005-01-31,619.615
2005-02-28,648.791
2005-03-31,634.085
2005-04-29,641.803
2005-05-31,646.307
2005-06-30,641.598
2005-07-29,675.099
2005-08-31,679.517
2005-09-30,704.996
2005-10-31,723.666
2005-11-30,738.099
2005-12-30,751.75
2006-01-31,793.109
2006-02-28,785.303
2006-03-31,804.158
2006-04-28,847.162
2006-05-31,824.618
2006-06-30,823.691
2006-07-31,855.255
2006-08-31,879.471
2006-09-29,888.417
2006-10-31,907.894
2006-11-30,925.663
2006-12-29,934.775
2007-01-31,952.623
2007-02-28,927.53
2007-03-30,946.814
2007-04-30,1015.765
2007-05-31,1000.0
2007-06-29,984.923
2007-07-31,987.337
2007-08-31,1003.899
2007-09-28,1049.878
2007-10-31,1068.952
2007-11-30,1105.357
2007-12-31,1059.652
2008-01-31,1005.359
2008-02-29,1063.515
2008-03-31,1086.789
2008-04-30,1059.473
2008-05-30,1096.343
2008-06-30,1067.778
2008-07-31,1071.855
2008-08-29,1024.516
2008-09-30,925.229
2008-10-31,835.917
2008-11-28,778.52
2008-12-31,845.778
2009-01-30,749.668
2009-02-27,673.064
2009-03-31,721.73
2009-04-30,741.628
2009-05-29,809.622
2009-06-30,802.217
2009-07-31,894.743
2009-08-31,946.536
2009-09-30,976.67
2009-10-30,992.648
2009-11-30,1006.975
2009-12-31,1023.487
2010-01-29,984.554
2010-02-26,1006.896
2010-03-31,1059.129
2010-04-30,1005.205
2010-05-31,895.848
2010-06-30,937.256
2010-07-30,967.527
2010-08-31,1003.231
2010-09-30,1060.835
2010-10-29,1084.785
2010-11-30,1047.082
2010-12-31,1132.067
2011-01-31,1122.326
2011-02-28,1163.566
2011-03-31,1151.397
2011-04-29,1282.792
2011-05-31,1318.855
2011-06-30,1272.254
2011-07-29,1273.914
2011-08-31,1200.099
2011-09-30,1037.962
2011-10-31,1134.309
2011-11-30,1084.307
2011-12-30,1095.907
2012-01-31,1143.382
2012-02-29,1201.767
2012-03-30,1224.967
2012-04-30,1215.208
2012-05-31,1081.995
2012-06-29,1148.467
2012-07-31,1187.807
2012-08-31,1209.73
2012-09-28,1236.612
2012-10-31,1262.439
2012-11-30,1326.447
2012-12-31,1340.56
2013-01-31,1454.125
2013-02-28,1463.05
2013-03-29,1478.891
2013-04-30,1541.07
2013-05-31,1502.692
2013-06-28,1469.184
2013-07-31,1524.45
2013-08-30,1506.301
2013-09-30,1614.97
2013-10-31,1644.742
2013-11-29,1648.744
2013-12-31,1659.488
2014-01-31,1621.662
2014-02-28,1740.622
2014-03-31,1734.753
2014-04-30,1751.542
2014-05-30,1763.456
2014-06-30,1740.738
2014-07-31,1668.129
2014-08-29,1698.86
2014-09-30,1646.183
2014-10-31,1636.441
2014-11-28,1700.393
2014-12-31,1609.27
2015-01-30,1620.144
2015-02-27,1694.862
2015-03-31,1677.614
2015-04-30,1757.398
2015-05-29,1786.561
2015-06-30,1705.744
2015-07-31,1780.748
2015-08-31,1651.097
2015-09-30,1578.036
2015-10-30,1645.387
2015-11-30,1589.657
2015-12-31,1605.369
2016-01-29,1480.783
2016-02-29,1448.28
2016-03-31,1490.117
2016-04-29,1534.471
2016-05-31,1529.644
2016-06-30,1549.443
2016-07-29,1583.581
2016-08-31,1558.766
2016-09-30,1571.373
2016-10-31,1461.373
2016-11-30,1396.515
2016-12-30,1463.561
2017-01-31,1512.203
2017-02-28,1548.693
2017-03-31,1596.848
2017-04-28,1641.523
2017-05-31,1754.886
2017-06-30,1715.21
2017-07-31,1700.581
2017-08-31,1703.834
2017-09-29,1721.982
2017-10-31,1667.148
2017-11-30,1713.229
2017-12-29,1741.265
2018-01-31,1765.39
2018-02-28,1632.2
2018-03-30,1620.465
2018-04-30,1626.134
2018-05-31,1578.232
2018-06-29,1589.929
2018-07-31,1692.304
2018-08-31,1719.118
2018-09-28,1693.379
2018-10-31,1630.319
2018-11-30,1643.567
2018-12-31,1561.196
2019-01-31,1662.377
2019-02-28,1739.413
2019-03-29,1781.199
2019-04-30,1792.804
2019-05-31,1797.143
2019-06-28,1914.822
2019-07-31,1920.109
2019-08-30,1944.473
2019-09-30,1934.47
2019-10-31,1954.23
2019-11-29,1960.495
2019-12-31,2043.187
2020-01-31,2077.345
2020-02-28,1929.16
2020-03-31,1915.252
2020-04-30,2013.588
2020-05-29,2058.791
2020-06-30,2106.213
2020-07-31,2226.936
2020-08-31,2263.486
2020-09-30,2233.383
2020-10-30,2120.208
2020-11-30,2185.459
2020-12-31,2304.367
2021-01-29,2259.445
2021-02-26,2170.442
2021-03-31,2234.859
2021-04-30,2360.99
2021-05-31,2484.047
2021-06-30,2575.122
2021-07-30,2671.123
2021-08-31,2707.575
2021-09-30,2514.539
2021-10-29,2705.343
2021-11-30,2711.572
2021-12-31,2907.098
2022-01-31,2590.653
2022-02-28,2588.266
2022-03-31,2638.944
2022-04-29,2496.84
2022-05-31,2343.187
2022-06-30,2207.696
2022-07-29,2329.215
2022-08-31,2193.982
2022-09-30,2066.16
2022-10-31,2103.556
2022-11-30,2240.863
2022-12-30,2191.754
2023-01-31,2325.324
2023-02-28,2222.327
2023-03-31,2315.748
2023-04-28,2462.249
2023-05-31,2366.956
2023-06-30,2414.291
2023-07-31,2464.966
2023-08-31,2344.08
2023-09-29,2177.038
2023-10-31,2052.071
2023-11-30,2231.679
2023-12-29,2359.357
2024-01-31,2356.138
2024-02-29,2323.37
2024-03-29,2374.556
2024-04-30,2256.266
2024-05-31,2443.03
2024-06-28,2383.851
2024-07-31,2453.165
2024-08-30,2551.497
2024-09-30,2552.214
2024-10-31,2372.262
2024-11-29,2317.337
2024-12-31,2235.768
2025-01-31,2460.488
2025-02-28,2496.808
2025-03-31,2408.795
2025-04-30,2526.729
2025-05-30,2593.3
2025-06-30,2631.437
2025-07-31,2563.576
2025-08-29,2665.058
2025-09-30,2678.295
2025-10-31,2675.212
2025-11-28,2745.448
