Date,EUROPE SMALL VALUE Small Cap
1994-05-31,144.061
1994-06-30,141.721
1994-07-29,145.898
1994-08-31,147.913
1994-09-30,144.38
1994-10-31,146.855
1994-11-30,140.705
1994-12-30,141.371
1995-01-31,140.953
1995-02-28,142.528
1995-03-31,146.994
1995-04-28,149.937
1995-05-31,154.099
1995-06-30,155.248
1995-07-31,160.707
1995-08-31,154.064
1995-09-29,157.194
1995-10-31,154.12
1995-11-30,150.593
1995-12-29,153.372
1996-01-31,154.427
1996-02-29,160.876
1996-03-29,163.309
1996-04-30,165.03
1996-05-31,169.524
1996-06-28,170.369
1996-07-31,167.079
1996-08-30,171.123
1996-09-30,169.596
1996-10-31,173.586
1996-11-29,177.963
1996-12-31,182.641
1997-01-31,184.97
1997-02-28,187.856
1997-03-31,191.937
1997-04-30,188.847
1997-05-30,196.061
1997-06-30,199.475
1997-07-31,198.836
1997-08-29,198.064
1997-09-30,209.703
1997-10-31,209.339
1997-11-28,206.257
1997-12-31,207.211
1998-01-30,213.291
1998-02-27,228.704
1998-03-31,247.988
1998-04-30,257.097
1998-05-29,267.637
1998-06-30,257.264
1998-07-31,254.112
1998-08-31,226.657
1998-09-30,217.863
1998-10-30,223.901
1998-11-30,227.842
1998-12-31,230.119
1999-01-29,225.068
1999-02-26,224.124
1999-03-31,228.3
1999-04-30,237.742
1999-05-31,236.284
1999-06-30,239.012
1999-07-30,248.039
1999-08-31,253.378
1999-09-30,251.604
1999-10-29,246.161
1999-11-30,244.53
1999-12-31,254.112
2000-01-31,250.194
2000-02-29,253.049
2000-03-31,253.76
2000-04-28,239.143
2000-05-31,241.897
2000-06-30,252.002
2000-07-31,248.34
2000-08-31,247.147
2000-09-29,243.304
2000-10-31,232.274
2000-11-30,231.967
2000-12-29,249.927
2001-01-31,255.659
2001-02-28,252.992
2001-03-30,234.617
2001-04-30,244.641
2001-05-31,242.908
2001-06-29,234.415
2001-07-31,234.263
2001-08-31,238.212
2001-09-28,207.446
2001-10-31,213.949
2001-11-30,224.207
2001-12-31,227.766
2002-01-31,224.456
2002-02-28,229.05
2002-03-29,242.345
2002-04-30,254.912
2002-05-31,264.128
2002-06-28,257.202
2002-07-31,232.537
2002-08-30,232.881
2002-09-30,208.564
2002-10-31,215.129
2002-11-29,225.726
