Date,EUROPE SMALL VALUE Small Cap
1994-05-31,150.981
1994-06-30,148.411
1994-07-29,152.687
1994-08-31,154.782
1994-09-30,151.082
1994-10-31,153.66
1994-11-30,147.221
1994-12-30,147.908
1995-01-31,147.458
1995-02-28,149.105
1995-03-31,153.754
1995-04-28,156.764
1995-05-31,160.976
1995-06-30,162.028
1995-07-31,167.623
1995-08-31,160.689
1995-09-29,163.949
1995-10-31,160.731
1995-11-30,157.049
1995-12-29,159.936
1996-01-31,161.024
1996-02-29,167.744
1996-03-29,170.257
1996-04-30,171.975
1996-05-31,176.471
1996-06-28,177.177
1996-07-31,173.634
1996-08-30,177.829
1996-09-30,176.227
1996-10-31,180.364
1996-11-29,184.9
1996-12-31,189.747
1997-01-31,192.147
1997-02-28,195.136
1997-03-31,199.345
1997-04-30,196.036
1997-05-30,203.343
1997-06-30,206.693
1997-07-31,205.923
1997-08-29,205.117
1997-09-30,217.153
1997-10-31,216.769
1997-11-28,213.56
1997-12-31,214.532
1998-01-30,220.806
1998-02-27,236.756
1998-03-31,256.685
1998-04-30,265.991
1998-05-29,276.651
1998-06-30,265.749
1998-07-31,262.368
1998-08-31,234.009
1998-09-30,224.925
1998-10-30,231.158
1998-11-30,235.226
1998-12-31,237.575
1999-01-29,232.355
1999-02-26,231.38
1999-03-31,235.664
1999-04-30,245.327
1999-05-31,243.743
1999-06-30,246.485
1999-07-30,255.76
1999-08-31,261.263
1999-09-30,259.426
1999-10-29,253.814
1999-11-30,252.131
1999-12-31,262.007
2000-01-31,257.961
2000-02-29,260.904
2000-03-31,261.605
2000-04-28,246.429
2000-05-31,249.107
2000-06-30,259.348
2000-07-31,255.516
2000-08-31,254.27
2000-09-29,250.299
2000-10-31,238.946
2000-11-30,238.614
2000-12-29,257.065
2001-01-31,262.943
2001-02-28,260.187
2001-03-30,241.208
2001-04-30,251.325
2001-05-31,249.186
2001-06-29,240.304
2001-07-31,240.096
2001-08-31,244.126
2001-09-28,212.579
2001-10-31,219.227
2001-11-30,229.699
2001-12-31,233.331
2002-01-31,229.927
2002-02-28,234.63
2002-03-29,248.101
2002-04-30,260.648
2002-05-31,269.733
2002-06-28,262.548
2002-07-31,237.337
2002-08-30,237.678
2002-09-30,212.832
2002-10-31,219.506
2002-11-29,230.318
2002-12-31,230.401
2003-01-31,223.446
2003-02-28,215.296
2003-03-31,214.375
2003-04-30,243.535
2003-05-30,271.335
2003-06-30,277.614
2003-07-31,290.333
2003-08-29,298.807
2003-09-30,311.077
2003-10-31,333.294
2003-11-28,346.779
2003-12-31,367.891
2004-01-30,384.929
2004-02-27,402.951
2004-03-31,398.136
2004-04-30,389.278
2004-05-31,392.664
2004-06-30,404.529
2004-07-30,393.82
2004-08-31,397.517
2004-09-30,417.008
2004-10-29,429.412
2004-11-30,473.309
2004-12-31,502.071
2005-01-31,510.151
2005-02-28,537.178
2005-03-31,523.317
2005-04-29,505.637
2005-05-31,509.873
2005-06-30,518.499
2005-07-29,537.688
2005-08-31,552.665
2005-09-30,566.003
2005-10-31,539.814
2005-11-30,557.94
2005-12-30,584.437
2006-01-31,636.634
