Date,EUROPE SMALL VALUE Small Cap
2001-01-01,257.078
2001-01-02,258.899
2001-01-03,256.604
2001-01-04,258.308
2001-01-05,259.955
2001-01-08,259.015
2001-01-09,256.722
2001-01-10,256.727
2001-01-11,259.375
2001-01-12,259.587
2001-01-15,258.934
2001-01-16,258.259
2001-01-17,258.48
2001-01-18,262.05
2001-01-19,261.042
2001-01-22,260.588
2001-01-23,261.476
2001-01-24,258.408
2001-01-25,258.495
2001-01-26,258.812
2001-01-29,258.763
2001-01-30,260.701
2001-01-31,262.943
2001-02-01,266.492
2001-02-02,264.817
2001-02-05,266.355
2001-02-06,264.774
2001-02-07,264.312
2001-02-08,261.288
2001-02-09,261.651
2001-02-12,263.315
2001-02-13,261.67
2001-02-14,260.279
2001-02-15,257.859
2001-02-16,260.474
2001-02-19,261.534
2001-02-20,259.64
2001-02-21,258.775
2001-02-22,257.563
2001-02-23,257.342
2001-02-26,257.795
2001-02-27,260.294
2001-02-28,260.187
2001-03-01,261.467
2001-03-02,263.778
2001-03-05,263.16
2001-03-06,264.725
2001-03-07,264.05
2001-03-08,265.608
2001-03-09,264.793
2001-03-12,261.931
2001-03-13,256.328
2001-03-14,251.191
2001-03-15,250.514
2001-03-16,247.271
2001-03-19,246.124
2001-03-20,247.546
2001-03-21,243.576
2001-03-22,235.205
2001-03-23,238.487
2001-03-26,241.125
2001-03-27,242.966
2001-03-28,241.267
2001-03-29,240.169
2001-03-30,241.208
2001-04-02,240.848
2001-04-03,239.435
2001-04-04,241.593
2001-04-05,243.001
2001-04-06,244.909
2001-04-09,245.776
2001-04-10,244.683
2001-04-11,244.539
2001-04-12,247.034
2001-04-13,247.029
2001-04-16,244.962
2001-04-17,244.053
2001-04-18,243.509
2001-04-19,247.83
2001-04-20,250.644
2001-04-23,249.794
2001-04-24,249.63
2001-04-25,250.643
2001-04-26,252.141
2001-04-27,251.026
2001-04-30,251.325
2001-05-01,252.654
2001-05-02,253.211
2001-05-03,253.861
2001-05-04,254.209
2001-05-07,253.793
2001-05-08,252.832
2001-05-09,251.95
2001-05-10,252.508
2001-05-11,251.529
2001-05-14,251.037
2001-05-15,252.602
2001-05-16,253.681
2001-05-17,254.629
2001-05-18,254.371
2001-05-21,255.433
2001-05-22,253.923
2001-05-23,252.429
2001-05-24,251.002
2001-05-25,251.473
2001-05-28,252.321
2001-05-29,250.81
2001-05-30,251.246
2001-05-31,249.186
2001-06-01,248.86
2001-06-04,249.474
2001-06-05,250.25
2001-06-06,249.207
2001-06-07,249.224
2001-06-08,248.689
2001-06-11,246.168
2001-06-12,246.001
2001-06-13,247.2
2001-06-14,247.776
2001-06-15,247.12
2001-06-18,246.473
2001-06-19,245.761
2001-06-20,242.825
2001-06-21,244.018
2001-06-22,243.84
2001-06-25,244.59
2001-06-26,242.624
2001-06-27,242.239
2001-06-28,239.69
2001-06-29,240.304
2001-07-02,240.546
2001-07-03,240.047
2001-07-04,239.849
2001-07-05,236.761
2001-07-06,236.967
2001-07-09,237.023
2001-07-10,238.562
2001-07-11,238.419
2001-07-12,237.106
2001-07-13,236.331
2001-07-16,236.537
2001-07-17,234.946
2001-07-18,239.153
2001-07-19,239.345
2001-07-20,239.916
2001-07-23,238.547
2001-07-24,238.868
2001-07-25,238.797
2001-07-26,238.048
2001-07-27,238.303
2001-07-30,239.089
2001-07-31,240.096
2001-08-01,242.23
2001-08-02,243.995
2001-08-03,244.26
2001-08-06,242.496
2001-08-07,240.929
2001-08-08,240.316
2001-08-09,241.487
2001-08-10,243.007
2001-08-13,243.603
2001-08-14,244.137
2001-08-15,247.709
2001-08-16,247.704
2001-08-17,247.789
2001-08-20,246.122
2001-08-21,246.969
2001-08-22,248.74
2001-08-23,246.836
2001-08-24,247.406
2001-08-27,246.772
2001-08-28,246.53
2001-08-29,246.259
2001-08-30,245.009
2001-08-31,244.126
2001-09-03,242.38
2001-09-04,238.888
2001-09-05,237.347
2001-09-06,235.57
2001-09-07,236.709
2001-09-10,231.788
2001-09-11,227.687
2001-09-12,224.19
2001-09-13,225.669
2001-09-14,223.783
2001-09-17,220.376
2001-09-18,218.981
2001-09-19,219.501
2001-09-20,212.286
2001-09-21,203.049
2001-09-24,207.012
2001-09-25,210.21
2001-09-26,212.156
2001-09-27,211.676
2001-09-28,212.579
2001-10-01,213.912
2001-10-02,213.367
2001-10-03,213.668
2001-10-04,214.996
2001-10-05,216.581
2001-10-08,215.199
2001-10-09,215.726
2001-10-10,214.894
2001-10-11,216.397
2001-10-12,217.479
2001-10-15,217.268
2001-10-16,219.228
2001-10-17,220.755
2001-10-18,219.066
2001-10-19,217.338
2001-10-22,216.077
2001-10-23,216.503
2001-10-24,217.551
2001-10-25,218.616
2001-10-26,218.89
2001-10-29,221.305
2001-10-30,219.799
2001-10-31,219.227
2001-11-01,220.967
2001-11-02,220.66
2001-11-05,220.355
2001-11-06,220.779
2001-11-07,221.944
2001-11-08,222.133
2001-11-09,222.699
2001-11-12,221.495
2001-11-13,220.757
2001-11-14,222.579
2001-11-15,223.294
2001-11-16,224.739
2001-11-19,225.784
2001-11-20,226.482
2001-11-21,224.813
2001-11-22,226.093
2001-11-23,225.564
2001-11-26,227.053
2001-11-27,227.09
2001-11-28,227.703
2001-11-29,227.58
2001-11-30,229.699
2001-12-03,227.462
2001-12-04,228.087
2001-12-05,229.271
2001-12-06,231.59
2001-12-07,232.298
2001-12-10,231.163
2001-12-11,230.944
2001-12-12,231.969
2001-12-13,230.999
2001-12-14,231.826
2001-12-17,232.622
2001-12-18,232.038
2001-12-19,230.865
2001-12-20,230.096
2001-12-21,228.528
2001-12-24,226.997
2001-12-25,226.996
2001-12-26,227.43
2001-12-27,230.455
2001-12-28,230.679
2001-12-31,233.331
2002-01-01,233.336
2002-01-02,236.353
2002-01-03,237.307
2002-01-04,237.581
2002-01-07,238.08
