Date,EUROPE SMALL VALUE Small Cap
2001-01-01,249.939
2001-01-02,251.713
2001-01-03,249.483
2001-01-04,251.145
2001-01-05,252.747
2001-01-08,251.834
2001-01-09,249.604
2001-01-10,249.61
2001-01-11,252.185
2001-01-12,252.391
2001-01-15,251.757
2001-01-16,251.1
2001-01-17,251.315
2001-01-18,254.786
2001-01-19,253.807
2001-01-22,253.369
2001-01-23,254.232
2001-01-24,251.249
2001-01-25,251.334
2001-01-26,251.642
2001-01-29,251.595
2001-01-30,253.479
2001-01-31,255.659
2001-02-01,259.11
2001-02-02,257.481
2001-02-05,258.977
2001-02-06,257.439
2001-02-07,256.99
2001-02-08,254.049
2001-02-09,254.403
2001-02-12,256.021
2001-02-13,254.422
2001-02-14,253.072
2001-02-15,250.719
2001-02-16,253.264
2001-02-19,254.295
2001-02-20,252.454
2001-02-21,251.612
2001-02-22,250.434
2001-02-23,250.225
2001-02-26,250.665
2001-02-27,253.095
2001-02-28,252.992
2001-03-01,254.237
2001-03-02,256.485
2001-03-05,255.885
2001-03-06,257.406
2001-03-07,256.75
2001-03-08,258.268
2001-03-09,257.48
2001-03-12,254.697
2001-03-13,249.249
2001-03-14,244.258
2001-03-15,243.6
2001-03-16,240.448
2001-03-19,239.338
2001-03-20,240.728
2001-03-21,236.875
2001-03-22,228.752
2001-03-23,231.949
2001-03-26,234.513
2001-03-27,236.308
2001-03-28,234.656
2001-03-29,233.596
2001-03-30,234.617
2001-04-02,234.267
2001-04-03,232.899
2001-04-04,235.016
2001-04-05,236.402
2001-04-06,238.264
2001-04-09,239.119
2001-04-10,238.055
2001-04-11,237.918
2001-04-12,240.347
2001-04-13,240.342
2001-04-16,238.331
2001-04-17,237.457
2001-04-18,236.934
2001-04-19,241.152
2001-04-20,243.899
2001-04-23,243.086
2001-04-24,242.93
2001-04-25,243.931
2001-04-26,245.391
2001-04-27,244.343
2001-04-30,244.641
2001-05-01,245.945
2001-05-02,246.5
2001-05-03,247.146
2001-05-04,247.492
2001-05-07,247.129
2001-05-08,246.2
2001-05-09,245.344
2001-05-10,245.901
2001-05-11,244.95
2001-05-14,244.488
2001-05-15,246.019
2001-05-16,247.144
2001-05-17,248.078
2001-05-18,247.848
2001-05-21,248.91
2001-05-22,247.444
2001-05-23,246.007
2001-05-24,244.624
2001-05-25,245.097
2001-05-28,245.935
2001-05-29,244.468
2001-05-30,244.897
2001-05-31,242.908
2001-06-01,242.605
2001-06-04,243.212
2001-06-05,243.977
2001-06-06,242.966
2001-06-07,242.99
2001-06-08,242.481
2001-06-11,240.028
2001-06-12,239.875
2001-06-13,241.055
2001-06-14,241.625
2001-06-15,240.994
2001-06-18,240.365
2001-06-19,239.671
2001-06-20,236.814
2001-06-21,237.982
2001-06-22,237.818
2001-06-25,238.553
2001-06-26,236.647
2001-06-27,236.279
2001-06-28,233.797
2001-06-29,234.415
2001-07-02,234.66
2001-07-03,234.178
2001-07-04,233.987
2001-07-05,230.977
2001-07-06,231.179
2001-07-09,231.239
2001-07-10,232.741
2001-07-11,232.602
2001-07-12,231.323
2001-07-13,230.568
2001-07-16,230.773
2001-07-17,229.222
2001-07-18,233.329
2001-07-19,233.517
2001-07-20,234.077
2001-07-23,232.744
2001-07-24,233.056
2001-07-25,232.989
2001-07-26,232.258
2001-07-27,232.511
2001-07-30,233.281
2001-07-31,234.263
2001-08-01,236.347
2001-08-02,238.07
2001-08-03,238.329
2001-08-06,236.608
2001-08-07,235.079
2001-08-08,234.482
2001-08-09,235.625
2001-08-10,237.11
2001-08-13,237.692
2001-08-14,238.213
2001-08-15,241.698
2001-08-16,241.694
2001-08-17,241.776
2001-08-20,240.15
2001-08-21,240.978
2001-08-22,242.708
2001-08-23,240.853
2001-08-24,241.408
2001-08-27,240.79
2001-08-28,240.555
2001-08-29,240.291
2001-08-30,239.071
2001-08-31,238.212
2001-09-03,236.508
2001-09-04,233.1
2001-09-05,231.597
2001-09-06,229.865
2001-09-07,230.977
2001-09-10,226.177
2001-09-11,222.175
2001-09-12,218.763
2001-09-13,220.206
2001-09-14,218.366
2001-09-17,215.041
2001-09-18,213.68
2001-09-19,214.188
2001-09-20,207.153
2001-09-21,198.14
2001-09-24,202.006
2001-09-25,205.131
2001-09-26,207.031
2001-09-27,206.563
2001-09-28,207.446
2001-10-01,208.749
2001-10-02,208.218
2001-10-03,208.511
2001-10-04,209.812
2001-10-05,211.358
2001-10-08,210.01
2001-10-09,210.524
2001-10-10,209.712
2001-10-11,211.179
2001-10-12,212.236
2001-10-15,212.035
2001-10-16,213.948
2001-10-17,215.44
2001-10-18,213.792
2001-10-19,212.105
2001-10-22,210.875
2001-10-23,211.291
2001-10-24,212.313
2001-10-25,213.353
2001-10-26,213.62
2001-10-29,215.977
2001-10-30,214.508
2001-10-31,213.949
2001-11-01,215.647
2001-11-02,215.348
2001-11-05,215.051
2001-11-06,215.465
2001-11-07,216.604
2001-11-08,216.789
2001-11-09,217.357
2001-11-12,216.183
2001-11-13,215.463
2001-11-14,217.241
2001-11-15,217.946
2001-11-16,219.356
2001-11-19,220.38
2001-11-20,221.061
2001-11-21,219.432
2001-11-22,220.682
2001-11-23,220.165
2001-11-26,221.619
2001-11-27,221.655
2001-11-28,222.254
2001-11-29,222.133
2001-11-30,224.207
2001-12-03,222.024
2001-12-04,222.634
2001-12-05,223.793
2001-12-06,226.056
2001-12-07,226.742
2001-12-10,225.635
2001-12-11,225.421
2001-12-12,226.422
2001-12-13,225.474
2001-12-14,226.286
2001-12-17,227.063
2001-12-18,226.492
2001-12-19,225.348
2001-12-20,224.602
2001-12-21,223.073
2001-12-24,221.582
2001-12-25,221.581
2001-12-26,222.004
2001-12-27,224.957
2001-12-28,225.176
2001-12-31,227.766
2002-01-01,227.77
2002-01-02,230.716
2002-01-03,231.65
2002-01-04,231.917
2002-01-07,232.405
2002-01-08,232.039
2002-01-09,231.582
2002-01-10,231.832
2002-01-11,232.032
2002-01-14,231.675
2002-01-15,230.627
2002-01-16,227.818
2002-01-17,228.073
2002-01-18,228.684
2002-01-21,228.682
2002-01-22,228.607
2002-01-23,228.625
2002-01-24,228.191
2002-01-25,225.121
2002-01-28,224.705
2002-01-29,224.813
2002-01-30,223.786
2002-01-31,224.456
2002-02-01,225.086
2002-02-04,226.087
2002-02-05,225.554
2002-02-06,225.423
2002-02-07,225.369
2002-02-08,226.572
2002-02-11,228.524
2002-02-12,228.595
2002-02-13,228.104
2002-02-14,228.446
2002-02-15,229.662
2002-02-18,228.809
2002-02-19,228.558
2002-02-20,227.63
2002-02-21,228.012
2002-02-22,228.548
2002-02-25,227.955
2002-02-26,228.409
2002-02-27,228.484
2002-02-28,229.05
2002-03-01,230.306
2002-03-04,233.488
2002-03-05,233.95
2002-03-06,235.445
2002-03-07,238.3
2002-03-08,238.504
2002-03-11,238.977
2002-03-12,237.256
2002-03-13,238.033
2002-03-14,239.891
2002-03-15,240.487
2002-03-18,241.003
2002-03-19,241.966
2002-03-20,242.697
2002-03-21,242.267
2002-03-22,242.705
2002-03-25,242.405
2002-03-26,242.047
2002-03-27,241.615
2002-03-28,242.336
2002-03-29,242.345
2002-04-01,244.673
2002-04-02,245.473
2002-04-03,245.386
2002-04-04,245.578
2002-04-05,245.701
2002-04-08,243.804
2002-04-09,244.46
2002-04-10,245.533
2002-04-11,246.916
2002-04-12,246.2
2002-04-15,246.633
2002-04-16,247.968
2002-04-17,250.204
2002-04-18,251.539
2002-04-19,252.096
2002-04-22,251.958
2002-04-23,252.214
2002-04-24,253.378
2002-04-25,253.983
2002-04-26,254.218
2002-04-29,254.837
2002-04-30,254.912
2002-05-01,256.514
2002-05-02,256.668
2002-05-03,259.031
2002-05-06,259.703
2002-05-07,257.487
2002-05-08,258.115
2002-05-09,258.273
2002-05-10,259.29
2002-05-13,259.12
2002-05-14,257.689
2002-05-15,259.963
2002-05-16,260.781
2002-05-17,263.896
2002-05-20,264.136
2002-05-21,263.304
2002-05-22,264.372
2002-05-23,262.201
2002-05-24,262.666
2002-05-27,262.208
2002-05-28,264.179
2002-05-29,263.746
2002-05-30,264.104
2002-05-31,264.128
2002-06-03,264.412
2002-06-04,263.37
2002-06-05,261.809
2002-06-06,263.174
2002-06-07,261.232
2002-06-10,261.57
2002-06-11,262.284
2002-06-12,261.063
2002-06-13,259.062
2002-06-14,254.008
2002-06-17,255.4
2002-06-18,255.989
2002-06-19,254.495
2002-06-20,253.336
2002-06-21,254.251
2002-06-24,253.082
2002-06-25,253.027
2002-06-26,252.792
2002-06-27,254.07
2002-06-28,257.202
2002-07-01,258.232
2002-07-02,254.663
2002-07-03,250.085
2002-07-04,250.577
2002-07-05,252.269
2002-07-08,255.917
2002-07-09,256.017
2002-07-10,252.019
2002-07-11,247.243
2002-07-12,246.525
2002-07-15,244.504
2002-07-16,242.253
2002-07-17,243.235
2002-07-18,245.881
2002-07-19,244.32
2002-07-22,237.592
2002-07-23,231.097
2002-07-24,225.139
2002-07-25,229.593
2002-07-26,227.266
2002-07-29,230.001
2002-07-30,233.2
2002-07-31,232.537
2002-08-01,230.381
2002-08-02,229.753
2002-08-05,225.515
2002-08-06,220.935
2002-08-07,223.161
2002-08-08,224.607
2002-08-09,226.091
2002-08-12,226.279
2002-08-13,227.001
2002-08-14,228.507
2002-08-15,228.604
2002-08-16,230.135
2002-08-19,230.977
2002-08-20,230.897
2002-08-21,233.972
2002-08-22,234.617
2002-08-23,234.288
2002-08-26,234.37
2002-08-27,237.223
2002-08-28,234.907
2002-08-29,233.381
2002-08-30,232.881
2002-09-02,232.878
2002-09-03,232.221
2002-09-04,230.375
2002-09-05,227.932
2002-09-06,228.251
2002-09-09,226.579
2002-09-10,227.082
2002-09-11,228.127
2002-09-12,226.866
2002-09-13,225.309
2002-09-16,222.913
2002-09-17,221.453
2002-09-18,218.617
2002-09-19,217.195
2002-09-20,217.265
2002-09-23,212.952
2002-09-24,207.713
2002-09-25,208.761
2002-09-26,210.913
2002-09-27,210.998
2002-09-30,208.564
2002-10-01,207.27
2002-10-02,208.143
2002-10-03,207.042
2002-10-04,204.511
2002-10-07,201.99
2002-10-08,199.938
2002-10-09,199.143
2002-10-10,198.479
2002-10-11,203.777
2002-10-14,202.967
2002-10-15,208.561
2002-10-16,208.337
2002-10-17,209.713
2002-10-18,209.916
2002-10-21,210.672
2002-10-22,211.132
2002-10-23,209.45
2002-10-24,210.23
2002-10-25,210.243
2002-10-28,212.39
2002-10-29,210.257
2002-10-30,211.549
2002-10-31,215.129
2002-11-01,215.903
2002-11-04,218.693
2002-11-05,219.642
2002-11-06,219.373
2002-11-07,221.073
2002-11-08,221.319
2002-11-11,219.435
2002-11-12,220.047
2002-11-13,218.939
2002-11-14,218.811
2002-11-15,219.814
