Date,HONG KONG IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,376.996
1994-06-30,350.374
1994-07-29,371.305
1994-08-31,389.397
1994-09-30,382.0
1994-10-31,386.415
1994-11-30,344.428
1994-12-30,336.954
1995-01-31,303.34
1995-02-28,334.793
1995-03-31,345.312
1995-04-28,339.239
1995-05-31,376.601
1995-06-30,372.157
1995-07-31,375.001
1995-08-31,366.545
1995-09-29,388.397
1995-10-31,391.256
1995-11-30,389.242
1995-12-29,400.245
1996-01-31,443.384
1996-02-29,442.994
1996-03-29,440.475
1996-04-30,445.084
1996-05-31,458.558
1996-06-28,453.892
1996-07-31,436.148
1996-08-30,450.917
1996-09-30,477.494
1996-10-31,502.216
1996-11-29,555.012
1996-12-31,558.043
1997-01-31,542.164
1997-02-28,545.765
1997-03-31,513.532
1997-04-30,521.959
1997-05-30,576.562
1997-06-30,583.772
1997-07-31,622.837
1997-08-29,560.368
1997-09-30,587.722
1997-10-31,408.155
1997-11-28,401.974
1997-12-31,406.864
1998-01-30,353.883
1998-02-27,425.561
1998-03-31,434.176
1998-04-30,403.119
1998-05-29,363.265
1998-06-30,344.594
1998-07-31,321.52
1998-08-31,292.409
1998-09-30,339.151
1998-10-30,427.578
1998-11-30,433.666
1998-12-31,429.818
1999-01-29,403.691
1999-02-26,402.795
1999-03-31,447.342
1999-04-30,525.603
1999-05-31,494.012
1999-06-30,543.419
1999-07-30,542.701
1999-08-31,546.659
1999-09-30,525.09
1999-10-29,557.618
1999-11-30,641.725
1999-12-31,745.753
2000-01-31,722.247
2000-02-29,757.379
2000-03-31,791.894
2000-04-28,684.629
2000-05-31,609.119
2000-06-30,670.245
2000-07-31,708.009
2000-08-31,699.849
2000-09-29,607.236
2000-10-31,541.017
2000-11-30,520.757
2000-12-29,544.687
2001-01-31,566.138
2001-02-28,529.911
2001-03-30,457.174
2001-04-30,487.369
2001-05-31,488.477
2001-06-29,465.662
2001-07-31,442.044
2001-08-31,399.276
2001-09-28,351.092
2001-10-31,376.232
2001-11-30,418.18
2001-12-31,437.717
2002-01-31,431.147
2002-02-28,405.985
2002-03-29,435.948
2002-04-30,460.96
2002-05-31,448.261
2002-06-28,424.926
2002-07-31,406.014
2002-08-30,382.791
2002-09-30,352.472
2002-10-31,364.843
2002-11-29,391.727
2002-12-31,365.664
2003-01-31,367.278
2003-02-28,361.718
2003-03-31,344.549
2003-04-30,345.204
2003-05-30,374.684
2003-06-30,384.019
2003-07-31,397.983
2003-08-29,430.114
2003-09-30,454.523
2003-10-31,477.156
2003-11-28,491.154
2003-12-31,501.913
2004-01-30,539.754
2004-02-27,560.618
2004-03-31,530.448
2004-04-30,506.895
2004-05-31,508.293
2004-06-30,507.362
2004-07-30,511.822
2004-08-31,535.425
2004-09-30,551.404
2004-10-29,555.534
2004-11-30,600.739
2004-12-31,615.67
2005-01-31,594.984
2005-02-28,618.907
2005-03-31,598.798
2005-04-29,620.946
2005-05-31,618.922
2005-06-30,639.379
2005-07-29,672.723
2005-08-31,665.817
2005-09-30,692.824
2005-10-31,645.907
2005-11-30,669.83
2005-12-30,680.637
2006-01-31,730.379
2006-02-28,722.011
2006-03-31,743.555
2006-04-28,789.5
2006-05-31,767.183
2006-06-30,755.946
2006-07-31,763.641
2006-08-31,791.246
2006-09-29,812.649
2006-10-31,829.051
2006-11-30,875.562
2006-12-29,930.031
2007-01-31,942.714
2007-02-28,925.998
2007-03-30,939.926
2007-04-30,960.527
2007-05-31,1000.0
2007-06-29,1035.507
2007-07-31,1110.322
2007-08-31,1121.557
2007-09-28,1333.093
2007-10-31,1471.496
2007-11-30,1419.308
2007-12-31,1400.228
2008-01-31,1164.073
2008-02-29,1151.782
2008-03-31,1040.784
2008-04-30,1148.007
2008-05-30,1103.083
2008-06-30,952.128
2008-07-31,934.784
2008-08-29,856.912
2008-09-30,672.447
2008-10-31,537.128
2008-11-28,503.395
2008-12-31,525.072
2009-01-30,532.991
2009-02-27,506.661
2009-03-31,537.713
2009-04-30,642.955
2009-05-29,757.845
2009-06-30,741.874
2009-07-31,860.282
2009-08-31,794.011
2009-09-30,876.892
2009-10-30,908.33
2009-11-30,896.962
2009-12-31,915.6
2010-01-29,852.693
2010-02-26,884.641
2010-03-31,948.466
2010-04-30,928.14
2010-05-31,855.563
2010-06-30,883.867
2010-07-30,942.211
2010-08-31,939.658
2010-09-30,1074.828
2010-10-29,1100.706
2010-11-30,1125.139
2010-12-31,1125.239
2011-01-31,1143.172
2011-02-28,1112.712
2011-03-31,1117.673
2011-04-29,1163.285
2011-05-31,1157.277
2011-06-30,1106.234
2011-07-29,1125.437
2011-08-31,1054.92
2011-09-30,862.5
2011-10-31,993.559
2011-11-30,918.781
2011-12-30,928.984
2012-01-31,1008.786
2012-02-29,1096.4
2012-03-30,1058.156
2012-04-30,1056.141
2012-05-31,949.452
2012-06-29,971.141
2012-07-31,990.116
2012-08-31,997.72
2012-09-28,1062.701
2012-10-31,1097.994
2012-11-30,1135.355
2012-12-31,1143.566
2013-01-31,1200.304
2013-02-28,1213.054
2013-03-29,1223.42
2013-04-30,1240.916
2013-05-31,1251.415
2013-06-28,1180.288
2013-07-31,1238.1
2013-08-30,1223.604
