Date,HONG KONG IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,544.619
2001-01-02,538.491
2001-01-03,529.698
2001-01-04,555.905
2001-01-05,553.959
2001-01-08,547.553
2001-01-09,549.581
2001-01-10,550.525
2001-01-11,535.255
2001-01-12,543.72
2001-01-15,539.99
2001-01-16,542.103
2001-01-17,536.478
2001-01-18,547.777
2001-01-19,567.298
2001-01-22,574.524
2001-01-23,572.078
2001-01-24,572.074
2001-01-25,572.078
2001-01-26,572.07
2001-01-29,569.776
2001-01-30,555.26
2001-01-31,566.138
2001-02-01,570.951
2001-02-02,567.292
2001-02-05,560.85
2001-02-06,557.389
2001-02-07,560.421
2001-02-08,553.575
2001-02-09,553.346
2001-02-12,549.299
2001-02-13,550.704
2001-02-14,550.838
2001-02-15,544.219
2001-02-16,545.203
2001-02-19,545.044
2001-02-20,540.964
2001-02-21,538.675
2001-02-22,529.614
2001-02-23,528.577
2001-02-26,525.307
2001-02-27,522.011
2001-02-28,529.911
2001-03-01,519.399
2001-03-02,509.848
2001-03-05,508.534
2001-03-06,520.183
2001-03-07,519.217
2001-03-08,517.242
2001-03-09,514.433
2001-03-12,497.684
2001-03-13,489.162
2001-03-14,482.46
2001-03-15,491.795
2001-03-16,490.092
2001-03-19,489.966
2001-03-20,479.972
2001-03-21,476.84
2001-03-22,459.625
2001-03-23,461.388
2001-03-26,467.11
2001-03-27,457.748
2001-03-28,460.055
2001-03-29,454.447
2001-03-30,457.174
2001-04-02,460.761
2001-04-03,453.682
2001-04-04,439.538
2001-04-05,439.529
2001-04-06,442.293
2001-04-09,433.374
2001-04-10,431.469
2001-04-11,451.063
2001-04-12,471.29
2001-04-13,471.29
2001-04-16,471.275
2001-04-17,464.065
2001-04-18,477.897
2001-04-19,499.606
2001-04-20,491.976
2001-04-23,490.613
2001-04-24,487.943
2001-04-25,483.391
2001-04-26,483.895
2001-04-27,487.356
2001-04-30,487.369
2001-05-01,487.321
2001-05-02,499.295
2001-05-03,501.229
2001-05-04,492.186
2001-05-07,501.042
2001-05-08,500.253
2001-05-09,501.648
2001-05-10,504.689
2001-05-11,504.281
2001-05-14,496.567
2001-05-15,499.808
2001-05-16,503.399
2001-05-17,508.366
2001-05-18,503.122
2001-05-21,507.551
2001-05-22,510.823
2001-05-23,510.228
2001-05-24,509.979
2001-05-25,509.329
2001-05-28,511.371
2001-05-29,507.955
2001-05-30,499.57
2001-05-31,488.477
2001-06-01,488.982
2001-06-04,492.508
2001-06-05,499.218
2001-06-06,503.407
2001-06-07,507.141
2001-06-08,505.632
2001-06-11,497.88
2001-06-12,492.202
2001-06-13,489.434
2001-06-14,481.924
2001-06-15,476.491
2001-06-18,476.232
2001-06-19,477.28
2001-06-20,472.535
2001-06-21,478.661
2001-06-22,472.164
2001-06-25,472.17
2001-06-26,466.831
2001-06-27,463.264
2001-06-28,458.695
2001-06-29,465.662
2001-07-02,465.671
2001-07-03,466.232
2001-07-04,471.409
2001-07-05,462.264
2001-07-06,462.259
2001-07-09,454.536
2001-07-10,456.704
2001-07-11,452.798
2001-07-12,453.716
2001-07-13,449.1
2001-07-16,450.277
2001-07-17,449.387
2001-07-18,450.295
2001-07-19,443.744
2001-07-20,445.574
2001-07-23,445.322
2001-07-24,440.275
2001-07-25,440.266
2001-07-26,431.341
2001-07-27,433.996
2001-07-30,430.847
2001-07-31,442.044
2001-08-01,449.915
2001-08-02,446.384
2001-08-03,438.354
2001-08-06,435.429
2001-08-07,429.516
2001-08-08,423.743
2001-08-09,409.042
2001-08-10,409.691
2001-08-13,396.992
2001-08-14,407.364
2001-08-15,411.178
2001-08-16,412.131
2001-08-17,417.405
2001-08-20,406.769
2001-08-21,396.958
2001-08-22,394.293
2001-08-23,401.961
2001-08-24,400.956
2001-08-27,406.746
2001-08-28,409.397
2001-08-29,409.129
2001-08-30,408.531
2001-08-31,399.276
2001-09-03,395.931
2001-09-04,401.285
2001-09-05,398.44
2001-09-06,388.725
2001-09-07,375.609
2001-09-10,375.232
2001-09-11,376.616
2001-09-12,335.82
2001-09-13,343.985
2001-09-14,341.397
2001-09-17,327.643
2001-09-18,326.31
2001-09-19,335.346
2001-09-20,325.633
2001-09-21,314.849
2001-09-24,326.232
2001-09-25,331.549
2001-09-26,333.709
2001-09-27,346.199
2001-09-28,351.092
2001-10-01,351.089
2001-10-02,351.078
2001-10-03,350.495
2001-10-04,361.104
2001-10-05,369.34
2001-10-08,359.053
2001-10-09,374.751
2001-10-10,370.001
2001-10-11,378.806
2001-10-12,372.428
2001-10-15,370.317
2001-10-16,368.681
2001-10-17,380.76
2001-10-18,369.919
2001-10-19,365.298
2001-10-22,368.595
2001-10-23,380.662
2001-10-24,380.081
2001-10-25,380.086
2001-10-26,382.009
2001-10-29,376.886
2001-10-30,376.266
2001-10-31,376.232
2001-11-01,378.4
2001-11-02,377.084
2001-11-05,385.863
2001-11-06,383.394
2001-11-07,378.769
2001-11-08,388.567
2001-11-09,393.522
2001-11-12,393.381
2001-11-13,395.857
2001-11-14,409.802
2001-11-15,422.711
2001-11-16,427.685
2001-11-19,428.89
2001-11-20,424.51
2001-11-21,417.672
2001-11-22,418.431
2001-11-23,422.863
2001-11-26,427.684
2001-11-27,422.937
2001-11-28,411.396
2001-11-29,408.677
2001-11-30,418.18
2001-12-03,417.002
2001-12-04,429.805
2001-12-05,442.964
2001-12-06,442.563
2001-12-07,448.148
2001-12-10,449.689
2001-12-11,442.681
2001-12-12,448.837
2001-12-13,438.456
2001-12-14,435.968
2001-12-17,434.347
2001-12-18,436.285
2001-12-19,440.947
2001-12-20,443.279
2001-12-21,429.401
2001-12-24,430.057
2001-12-25,430.057
2001-12-26,430.051
2001-12-27,434.045
2001-12-28,437.301
