Date,GERMANY SMID VALUE SMID (Small+Mid Cap)
1994-05-31,240.742
1994-06-30,245.974
1994-07-29,248.192
1994-08-31,252.23
1994-09-30,246.649
1994-10-31,250.282
1994-11-30,237.91
1994-12-30,243.729
1995-01-31,242.067
1995-02-28,252.271
1995-03-31,260.199
1995-04-28,258.983
1995-05-31,259.181
1995-06-30,267.154
1995-07-31,273.144
1995-08-31,255.369
1995-09-29,257.639
1995-10-31,254.761
1995-11-30,246.401
1995-12-29,250.119
1996-01-31,245.636
1996-02-29,246.465
1996-03-29,240.098
1996-04-30,231.633
1996-05-31,237.142
1996-06-28,245.097
1996-07-31,247.335
1996-08-30,248.106
1996-09-30,242.408
1996-10-31,241.387
1996-11-29,238.554
1996-12-31,243.174
1997-01-31,240.298
1997-02-28,240.686
1997-03-31,252.782
1997-04-30,248.823
1997-05-30,268.664
1997-06-30,276.013
1997-07-31,269.354
1997-08-29,264.747
1997-09-30,276.181
1997-10-31,275.49
1997-11-28,269.937
1997-12-31,270.436
1998-01-30,270.525
1998-02-27,287.098
1998-03-31,295.578
1998-04-30,316.625
1998-05-29,325.843
1998-06-30,324.174
1998-07-31,329.869
1998-08-31,306.523
1998-09-30,309.139
1998-10-30,315.201
1998-11-30,319.989
1998-12-31,321.914
1999-01-29,305.975
1999-02-26,299.917
1999-03-31,291.987
1999-04-30,295.525
1999-05-31,292.795
1999-06-30,295.389
1999-07-30,308.931
1999-08-31,304.287
1999-09-30,302.098
1999-10-29,299.786
1999-11-30,284.173
1999-12-31,291.728
2000-01-31,277.167
2000-02-29,273.752
2000-03-31,280.834
2000-04-28,270.002
2000-05-31,279.19
2000-06-30,285.764
2000-07-31,286.033
2000-08-31,279.251
2000-09-29,271.377
2000-10-31,263.463
2000-11-30,269.925
2000-12-29,288.157
2001-01-31,297.64
2001-02-28,299.357
2001-03-30,277.571
2001-04-30,284.117
2001-05-31,276.983
2001-06-29,276.16
2001-07-31,282.703
2001-08-31,281.224
2001-09-28,252.711
2001-10-31,262.86
2001-11-30,270.235
2001-12-31,269.062
2002-01-31,270.914
2002-02-28,270.664
2002-03-29,278.502
2002-04-30,285.04
2002-05-31,294.031
2002-06-28,278.361
2002-07-31,238.747
2002-08-30,233.986
2002-09-30,184.856
2002-10-31,195.334
2002-11-29,214.522
2002-12-31,202.132
2003-01-31,195.632
2003-02-28,180.664
2003-03-31,182.614
2003-04-30,226.027
2003-05-30,238.042
2003-06-30,251.772
2003-07-31,275.396
2003-08-29,284.907
2003-09-30,295.903
2003-10-31,332.353
2003-11-28,344.467
2003-12-31,370.746
2004-01-30,387.286
2004-02-27,389.122
2004-03-31,371.496
2004-04-30,372.982
2004-05-31,369.078
2004-06-30,385.95
2004-07-30,380.044
2004-08-31,374.3
2004-09-30,396.571
2004-10-29,403.084
2004-11-30,442.085
2004-12-31,460.127
2005-01-31,468.472
2005-02-28,499.872
2005-03-31,478.233
2005-04-29,447.126
2005-05-31,470.235
2005-06-30,479.904
2005-07-29,508.384
2005-08-31,516.286
2005-09-30,533.31
2005-10-31,509.778
2005-11-30,522.89
2005-12-30,549.332
2006-01-31,629.875
2006-02-28,647.083
2006-03-31,682.575
2006-04-28,733.37
2006-05-31,709.601
2006-06-30,696.275
2006-07-31,698.655
2006-08-31,711.605
2006-09-29,736.96
2006-10-31,762.526
2006-11-30,793.343
2006-12-29,836.597
2007-01-31,857.492
2007-02-28,857.811
2007-03-30,909.209
2007-04-30,991.239
2007-05-31,1000.0
2007-06-29,998.391
2007-07-31,983.226
2007-08-31,929.593
2007-09-28,985.137
2007-10-31,1042.146
2007-11-30,957.47
2007-12-31,947.901
2008-01-31,795.048
2008-02-29,840.206
2008-03-31,836.292
2008-04-30,874.103
2008-05-30,886.413
2008-06-30,789.795
2008-07-31,742.288
2008-08-29,708.688
2008-09-30,507.432
2008-10-31,353.17
2008-11-28,339.895
2008-12-31,417.122
2009-01-30,336.466
2009-02-27,304.842
2009-03-31,324.484
2009-04-30,419.322
2009-05-29,470.968
2009-06-30,453.372
2009-07-31,508.0
2009-08-31,573.995
2009-09-30,643.492
2009-10-30,584.84
2009-11-30,614.276
2009-12-31,614.598
2010-01-29,610.963
2010-02-26,602.73
2010-03-31,654.132
2010-04-30,651.69
2010-05-31,562.494
2010-06-30,563.67
2010-07-30,633.087
2010-08-31,602.433
2010-09-30,697.642
2010-10-29,765.647
2010-11-30,727.071
2010-12-31,821.95
2011-01-31,843.286
2011-02-28,868.29
2011-03-31,872.706
2011-04-29,934.058
2011-05-31,919.359
2011-06-30,914.44
2011-07-29,852.301
2011-08-31,732.31
2011-09-30,631.446
2011-10-31,715.062
2011-11-30,675.697
2011-12-30,640.581
2012-01-31,722.245
2012-02-29,767.308
2012-03-30,777.479
2012-04-30,761.954
2012-05-31,660.718
2012-06-29,689.085
2012-07-31,696.995
2012-08-31,713.074
2012-09-28,737.776
2012-10-31,777.754
2012-11-30,805.786
2012-12-31,837.888
2013-01-31,920.976
2013-02-28,920.718
2013-03-29,881.701
2013-04-30,910.036
2013-05-31,940.037
2013-06-28,911.637
2013-07-31,982.564
2013-08-30,995.915
2013-09-30,1080.842
2013-10-31,1161.145
2013-11-29,1192.45
2013-12-31,1224.507
2014-01-31,1205.573
2014-02-28,1299.799
2014-03-31,1273.157
2014-04-30,1267.366
2014-05-30,1304.127
2014-06-30,1303.803
2014-07-31,1194.125
2014-08-29,1186.65
2014-09-30,1119.228
2014-10-31,1104.7
2014-11-28,1168.111
2014-12-31,1154.125
2015-01-30,1186.39
2015-02-27,1265.946
2015-03-31,1242.193
2015-04-30,1277.311
2015-05-29,1254.362
2015-06-30,1265.425
2015-07-31,1327.713
2015-08-31,1294.847
2015-09-30,1283.868
2015-10-30,1330.76
2015-11-30,1290.729
2015-12-31,1294.847
2016-01-29,1217.116
2016-02-29,1203.677
2016-03-31,1347.23
2016-04-29,1371.616
2016-05-31,1385.252
2016-06-30,1332.166
2016-07-29,1431.101
2016-08-31,1421.896
2016-09-30,1432.79
2016-10-31,1392.237
2016-11-30,1300.591
2016-12-30,1373.919
2017-01-31,1436.515
2017-02-28,1454.855
2017-03-31,1545.489
2017-04-28,1598.957
2017-05-31,1735.442
2017-06-30,1738.782
2017-07-31,1809.467
2017-08-31,1885.438
2017-09-29,1934.855
2017-10-31,1966.269
2017-11-30,2030.839
2017-12-29,2096.64
2018-01-31,2183.684
2018-02-28,2076.346
2018-03-30,2086.425
2018-04-30,2117.374
2018-05-31,2031.719
2018-06-29,1966.279
2018-07-31,2062.802
2018-08-31,2055.164
2018-09-28,1986.888
2018-10-31,1813.773
2018-11-30,1804.777
2018-12-31,1686.442
2019-01-31,1852.102
2019-02-28,1845.276
2019-03-29,1826.334
2019-04-30,1901.289
2019-05-31,1790.035
2019-06-28,1859.546
2019-07-31,1816.657
2019-08-30,1798.788
2019-09-30,1863.572
2019-10-31,1905.722
2019-11-29,1907.016
2019-12-31,2008.222
2020-01-31,1914.225
2020-02-28,1722.66
2020-03-31,1377.758
2020-04-30,1510.926
2020-05-29,1655.284
2020-06-30,1730.202
2020-07-31,1842.012
2020-08-31,1992.123
2020-09-30,1923.489
2020-10-30,1834.049
2020-11-30,2185.661
2020-12-31,2309.874
2021-01-29,2338.301
2021-02-26,2331.213
2021-03-31,2353.37
2021-04-30,2428.65
2021-05-31,2527.035
2021-06-30,2402.641
2021-07-30,2447.648
2021-08-31,2490.293
2021-09-30,2366.546
2021-10-29,2405.944
2021-11-30,2257.217
2021-12-31,2380.478
2022-01-31,2328.106
2022-02-28,2336.263
2022-03-31,2252.103
2022-04-29,2148.195
2022-05-31,2192.558
2022-06-30,1791.841
2022-07-29,1809.999
2022-08-31,1658.605
2022-09-30,1437.936
2022-10-31,1566.324
2022-11-30,1742.418
2022-12-30,1803.218
2023-01-31,2110.907
2023-02-28,2111.49
2023-03-31,2046.394
2023-04-28,2143.611
2023-05-31,1981.626
2023-06-30,2143.391
2023-07-31,2227.283
2023-08-31,2126.054
2023-09-29,2022.701
2023-10-31,1886.101
2023-11-30,2118.709
2023-12-29,2246.169
2024-01-31,2183.148
2024-02-29,2143.998
2024-03-29,2265.932
2024-04-30,2266.875
2024-05-31,2442.325
2024-06-28,2283.764
2024-07-31,2375.468
2024-08-30,2410.5
2024-09-30,2585.609
2024-10-31,2486.625
2024-11-29,2502.6
2024-12-31,2473.468
2025-01-31,2686.062
2025-02-28,2794.777
2025-03-31,2936.529
2025-04-30,3226.652
2025-05-30,3435.77
2025-06-30,3639.189
2025-07-31,3637.909
2025-08-29,3768.413
