Date,GERMANY SMID VALUE SMID (Small+Mid Cap)
2001-01-01,298.963
2001-01-02,302.523
2001-01-03,300.384
2001-01-04,302.43
2001-01-05,306.19
2001-01-08,307.084
2001-01-09,303.928
2001-01-10,302.435
2001-01-11,304.918
2001-01-12,304.981
2001-01-15,303.909
2001-01-16,303.119
2001-01-17,301.5
2001-01-18,306.25
2001-01-19,303.532
2001-01-22,303.503
2001-01-23,305.755
2001-01-24,302.314
2001-01-25,302.366
2001-01-26,303.111
2001-01-29,302.865
2001-01-30,306.296
2001-01-31,308.796
2001-02-01,311.579
2001-02-02,309.665
2001-02-05,312.365
2001-02-06,311.033
2001-02-07,311.161
2001-02-08,307.466
2001-02-09,310.315
2001-02-12,312.15
2001-02-13,310.683
2001-02-14,309.702
2001-02-15,306.648
2001-02-16,311.213
2001-02-19,312.972
2001-02-20,309.048
2001-02-21,309.819
2001-02-22,307.459
2001-02-23,307.046
2001-02-26,307.872
2001-02-27,311.667
2001-02-28,310.549
2001-03-01,311.824
2001-03-02,314.52
2001-03-05,312.689
2001-03-06,314.067
2001-03-07,313.109
2001-03-08,315.122
2001-03-09,314.765
2001-03-12,312.635
2001-03-13,304.996
2001-03-14,298.73
2001-03-15,297.57
2001-03-16,292.721
2001-03-19,291.465
2001-03-20,294.104
2001-03-21,289.069
2001-03-22,278.669
2001-03-23,282.964
2001-03-26,285.922
2001-03-27,288.949
2001-03-28,286.411
2001-03-29,284.813
2001-03-30,287.938
2001-04-02,285.872
2001-04-03,285.217
2001-04-04,288.819
2001-04-05,289.819
2001-04-06,290.822
2001-04-09,291.566
2001-04-10,288.934
2001-04-11,287.56
2001-04-12,291.358
2001-04-13,291.358
2001-04-16,288.374
2001-04-17,287.565
2001-04-18,286.387
2001-04-19,292.615
2001-04-20,296.56
2001-04-23,295.401
2001-04-24,294.773
2001-04-25,296.237
2001-04-26,298.715
2001-04-27,295.682
2001-04-30,294.61
2001-05-01,296.161
2001-05-02,295.735
2001-05-03,295.128
2001-05-04,295.783
2001-05-07,295.457
2001-05-08,293.236
2001-05-09,293.296
2001-05-10,293.431
2001-05-11,291.69
2001-05-14,291.078
2001-05-15,294.053
2001-05-16,295.82
2001-05-17,296.311
2001-05-18,294.634
2001-05-21,295.071
2001-05-22,292.095
2001-05-23,289.935
2001-05-24,289.286
2001-05-25,289.403
2001-05-28,290.46
2001-05-29,288.666
2001-05-30,289.269
2001-05-31,286.633
2001-06-01,286.782
2001-06-04,288.168
2001-06-05,288.23
2001-06-06,288.212
2001-06-07,289.447
2001-06-08,289.225
2001-06-11,286.32
2001-06-12,287.085
2001-06-13,287.54
2001-06-14,289.214
2001-06-15,289.315
2001-06-18,289.206
2001-06-19,288.07
2001-06-20,285.24
2001-06-21,285.525
2001-06-22,286.479
2001-06-25,288.543
2001-06-26,289.079
2001-06-27,288.684
2001-06-28,285.507
2001-06-29,285.452
2001-07-02,285.8
2001-07-03,286.028
2001-07-04,285.907
2001-07-05,281.919
2001-07-06,282.628
2001-07-09,283.395
2001-07-10,285.822
2001-07-11,285.381
2001-07-12,283.647
2001-07-13,284.188
2001-07-16,283.872
2001-07-17,283.024
2001-07-18,287.761
2001-07-19,288.072
2001-07-20,288.598
2001-07-23,287.509
2001-07-24,289.239
2001-07-25,288.919
2001-07-26,288.719
2001-07-27,289.117
2001-07-30,291.078
2001-07-31,292.029
2001-08-01,294.147
2001-08-02,296.084
2001-08-03,296.272
2001-08-06,293.739
2001-08-07,291.747
2001-08-08,290.797
2001-08-09,292.566
2001-08-10,295.585
2001-08-13,297.414
2001-08-14,297.494
2001-08-15,302.29
2001-08-16,300.606
2001-08-17,300.489
2001-08-20,296.85
2001-08-21,296.618
2001-08-22,299.79
2001-08-23,296.033
2001-08-24,296.305
2001-08-27,296.089
2001-08-28,296.196
2001-08-29,295.025
2001-08-30,290.766
2001-08-31,290.381
2001-09-03,288.565
2001-09-04,283.852
2001-09-05,282.285
2001-09-06,280.572
2001-09-07,283.109
2001-09-10,279.006
2001-09-11,272.595
2001-09-12,271.287
2001-09-13,271.858
2001-09-14,271.153
2001-09-17,268.454
2001-09-18,266.423
2001-09-19,266.752
2001-09-20,256.457
2001-09-21,246.049
2001-09-24,252.064
2001-09-25,254.068
2001-09-26,256.344
2001-09-27,259.052
2001-09-28,260.843
2001-10-01,263.229
2001-10-02,265.703
2001-10-03,267.697
2001-10-04,269.041
2001-10-05,270.855
2001-10-08,270.989
2001-10-09,270.79
2001-10-10,268.915
2001-10-11,268.663
2001-10-12,270.86
2001-10-15,272.009
2001-10-16,274.189
2001-10-17,273.904
2001-10-18,271.91
2001-10-19,270.279
2001-10-22,268.269
2001-10-23,269.338
2001-10-24,271.329
2001-10-25,272.525
2001-10-26,272.933
2001-10-29,275.919
2001-10-30,273.875
2001-10-31,271.319
2001-11-01,273.378
2001-11-02,273.145
2001-11-05,272.429
2001-11-06,272.305
2001-11-07,274.433
2001-11-08,274.168
2001-11-09,275.215
2001-11-12,274.273
2001-11-13,271.409
2001-11-14,273.301
2001-11-15,273.213
2001-11-16,274.738
2001-11-19,275.987
2001-11-20,276.366
2001-11-21,274.538
2001-11-22,275.853
2001-11-23,275.737
2001-11-26,275.41
2001-11-27,275.217
2001-11-28,273.901
2001-11-29,275.118
2001-11-30,278.807
2001-12-03,277.471
2001-12-04,279.626
2001-12-05,280.632
2001-12-06,280.534
2001-12-07,280.518
2001-12-10,279.502
2001-12-11,278.825
2001-12-12,278.824
2001-12-13,277.434
2001-12-14,277.457
2001-12-17,280.27
2001-12-18,280.648
2001-12-19,277.472
2001-12-20,276.376
2001-12-21,273.071
2001-12-24,270.33
2001-12-25,270.33
2001-12-26,270.561
2001-12-27,274.888
2001-12-28,274.816
2001-12-31,277.592
2002-01-01,277.592
2002-01-02,282.793
2002-01-03,284.955
2002-01-04,285.085
2002-01-07,284.861
2002-01-08,285.971
2002-01-09,285.637
2002-01-10,286.692
2002-01-11,285.952
2002-01-14,286.669
2002-01-15,284.457
2002-01-16,280.196
2002-01-17,282.742
2002-01-18,284.024
2002-01-21,284.876
2002-01-22,284.445
2002-01-23,286.447
2002-01-24,285.298
2002-01-25,280.356
2002-01-28,279.826
2002-01-29,279.017
2002-01-30,279.152
2002-01-31,279.496
2002-02-01,279.479
2002-02-04,279.453
2002-02-05,279.123
2002-02-06,277.65
2002-02-07,277.526
2002-02-08,278.189
2002-02-11,281.299
2002-02-12,281.145
2002-02-13,280.332
2002-02-14,279.422
2002-02-15,280.593
2002-02-18,278.474
2002-02-19,278.153
2002-02-20,277.607
2002-02-21,278.74
2002-02-22,280.104
2002-02-25,278.882
2002-02-26,278.96
2002-02-27,278.676
2002-02-28,279.234
2002-03-01,281.423
2002-03-04,284.528
2002-03-05,283.913
2002-03-06,287.138
2002-03-07,288.724
2002-03-08,287.974
2002-03-11,289.056
2002-03-12,286.812
2002-03-13,287.127
2002-03-14,289.464
2002-03-15,291.415
2002-03-18,290.468
2002-03-19,291.924
2002-03-20,293.787
2002-03-21,292.229
2002-03-22,290.902
2002-03-25,289.656
2002-03-26,289.468
2002-03-27,287.245
2002-03-28,287.239
2002-03-29,287.246
2002-04-01,289.597
2002-04-02,289.676
2002-04-03,289.351
2002-04-04,289.082
2002-04-05,288.381
2002-04-08,286.28
2002-04-09,286.327
2002-04-10,287.999
2002-04-11,289.11
2002-04-12,288.305
