Date,GERMANY SMID VALUE SMID (Small+Mid Cap)
2001-01-01,288.157
2001-01-02,291.589
2001-01-03,289.532
2001-01-04,291.504
2001-01-05,295.128
2001-01-08,295.99
2001-01-09,292.948
2001-01-10,291.509
2001-01-11,293.902
2001-01-12,293.963
2001-01-15,292.929
2001-01-16,292.168
2001-01-17,290.608
2001-01-18,295.186
2001-01-19,292.566
2001-01-22,292.538
2001-01-23,294.709
2001-01-24,291.393
2001-01-25,291.442
2001-01-26,292.161
2001-01-29,291.923
2001-01-30,295.23
2001-01-31,297.64
2001-02-01,300.322
2001-02-02,298.478
2001-02-05,301.08
2001-02-06,299.796
2001-02-07,299.92
2001-02-08,296.358
2001-02-09,299.105
2001-02-12,300.873
2001-02-13,299.459
2001-02-14,298.514
2001-02-15,295.57
2001-02-16,299.979
2001-02-19,301.674
2001-02-20,297.892
2001-02-21,298.635
2001-02-22,296.36
2001-02-23,295.981
2001-02-26,296.777
2001-02-27,300.434
2001-02-28,299.357
2001-03-01,300.586
2001-03-02,303.185
2001-03-05,301.42
2001-03-06,302.748
2001-03-07,301.824
2001-03-08,303.766
2001-03-09,303.421
2001-03-12,301.367
2001-03-13,294.004
2001-03-14,287.964
2001-03-15,286.846
2001-03-16,282.177
2001-03-19,280.965
2001-03-20,283.509
2001-03-21,278.661
2001-03-22,268.636
2001-03-23,272.776
2001-03-26,275.627
2001-03-27,278.546
2001-03-28,276.099
2001-03-29,274.558
2001-03-30,277.571
2001-04-02,275.603
2001-04-03,274.979
2001-04-04,278.458
2001-04-05,279.428
2001-04-06,280.401
2001-04-09,281.14
2001-04-10,278.602
2001-04-11,277.277
2001-04-12,280.96
2001-04-13,280.96
2001-04-16,278.083
2001-04-17,277.302
2001-04-18,276.167
2001-04-19,282.173
2001-04-20,285.997
2001-04-23,284.879
2001-04-24,284.274
2001-04-25,285.686
2001-04-26,288.076
2001-04-27,285.151
2001-04-30,284.117
2001-05-01,285.613
2001-05-02,285.203
2001-05-03,284.617
2001-05-04,285.273
2001-05-07,284.959
2001-05-08,282.817
2001-05-09,282.874
2001-05-10,283.036
2001-05-11,281.393
2001-05-14,280.803
2001-05-15,283.673
2001-05-16,285.377
2001-05-17,285.923
2001-05-18,284.312
2001-05-21,284.733
2001-05-22,281.875
2001-05-23,279.809
2001-05-24,279.2
2001-05-25,279.508
2001-05-28,280.528
2001-05-29,278.796
2001-05-30,279.447
2001-05-31,276.983
2001-06-01,277.129
2001-06-04,278.509
2001-06-05,278.569
2001-06-06,278.551
2001-06-07,279.75
2001-06-08,279.565
2001-06-11,276.769
2001-06-12,277.516
2001-06-13,277.985
2001-06-14,279.618
2001-06-15,279.717
2001-06-18,279.612
2001-06-19,278.514
2001-06-20,275.822
2001-06-21,276.129
2001-06-22,277.063
2001-06-25,279.06
2001-06-26,279.579
2001-06-27,279.2
2001-06-28,276.153
2001-06-29,276.16
2001-07-02,276.534
2001-07-03,276.762
2001-07-04,276.645
2001-07-05,272.793
2001-07-06,273.482
2001-07-09,274.25
2001-07-10,276.6
2001-07-11,276.176
2001-07-12,274.504
2001-07-13,275.062
2001-07-16,274.76
2001-07-17,273.941
2001-07-18,278.535
2001-07-19,278.837
2001-07-20,279.346
2001-07-23,278.328
2001-07-24,280.003
2001-07-25,279.693
2001-07-26,279.499
2001-07-27,279.885
2001-07-30,281.783
2001-07-31,282.703
2001-08-01,284.754
2001-08-02,286.635
2001-08-03,286.817
2001-08-06,284.365
2001-08-07,282.437
2001-08-08,281.517
2001-08-09,283.23
2001-08-10,286.158
2001-08-13,287.93
2001-08-14,288.007
2001-08-15,292.65
2001-08-16,291.02
2001-08-17,290.907
2001-08-20,287.384
2001-08-21,287.159
2001-08-22,290.236
2001-08-23,286.602
2001-08-24,286.866
2001-08-27,286.678
2001-08-28,286.853
2001-08-29,285.719
2001-08-30,281.594
2001-08-31,281.224
2001-09-03,279.465
2001-09-04,274.901
2001-09-05,273.383
2001-09-06,271.724
2001-09-07,274.181
2001-09-10,270.207
2001-09-11,263.999
2001-09-12,262.732
2001-09-13,263.285
2001-09-14,262.602
2001-09-17,259.989
2001-09-18,258.022
2001-09-19,258.34
2001-09-20,248.386
2001-09-21,238.306
2001-09-24,244.132
2001-09-25,246.073
2001-09-26,248.352
2001-09-27,250.975
2001-09-28,252.711
2001-10-01,255.022
2001-10-02,257.42
2001-10-03,259.351
2001-10-04,260.653
2001-10-05,262.41
2001-10-08,262.54
2001-10-09,262.347
2001-10-10,260.531
2001-10-11,260.287
2001-10-12,262.415
2001-10-15,263.528
2001-10-16,265.641
2001-10-17,265.365
2001-10-18,263.433
2001-10-19,261.852
2001-10-22,259.905
2001-10-23,260.941
2001-10-24,262.87
2001-10-25,264.029
2001-10-26,264.423
2001-10-29,267.317
2001-10-30,265.336
2001-10-31,262.86
2001-11-01,264.855
2001-11-02,264.629
2001-11-05,263.935
2001-11-06,263.815
2001-11-07,265.877
2001-11-08,265.62
2001-11-09,266.634
2001-11-12,265.722
2001-11-13,262.947
2001-11-14,264.78
2001-11-15,264.751
2001-11-16,266.229
2001-11-19,267.439
2001-11-20,267.806
2001-11-21,266.035
2001-11-22,267.31
2001-11-23,267.198
2001-11-26,266.88
2001-11-27,266.694
2001-11-28,265.42
2001-11-29,266.659
2001-11-30,270.235
2001-12-03,268.939
2001-12-04,271.029
2001-12-05,272.007
2001-12-06,271.911
2001-12-07,271.896
2001-12-10,270.911
2001-12-11,270.254
2001-12-12,270.254
2001-12-13,268.907
2001-12-14,268.932
2001-12-17,271.658
2001-12-18,272.024
2001-12-19,268.947
2001-12-20,267.884
2001-12-21,264.681
2001-12-24,262.024
2001-12-25,262.024
2001-12-26,262.248
2001-12-27,266.442
2001-12-28,266.372
2001-12-31,269.062
2002-01-01,269.062
2002-01-02,274.104
2002-01-03,276.199
2002-01-04,276.325
2002-01-07,276.108
2002-01-08,277.184
2002-01-09,276.861
2002-01-10,277.883
2002-01-11,277.165
2002-01-14,277.861
2002-01-15,275.717
2002-01-16,271.592
2002-01-17,274.059
2002-01-18,275.302
2002-01-21,276.128
2002-01-22,275.71
2002-01-23,277.65
2002-01-24,276.537
2002-01-25,271.747
2002-01-28,271.233
2002-01-29,270.449
2002-01-30,270.579
2002-01-31,270.914
2002-02-01,270.896
2002-02-04,270.871
2002-02-05,270.552
2002-02-06,269.124
2002-02-07,269.003
2002-02-08,269.647
2002-02-11,272.661
2002-02-12,272.511
2002-02-13,271.724
2002-02-14,270.842
2002-02-15,271.976
2002-02-18,269.923
2002-02-19,269.611
2002-02-20,269.082
2002-02-21,270.18
2002-02-22,271.508
2002-02-25,270.323
2002-02-26,270.398
2002-02-27,270.123
2002-02-28,270.664
2002-03-01,272.786
2002-03-04,275.815
2002-03-05,275.22
2002-03-06,278.346
2002-03-07,279.883
2002-03-08,279.156
2002-03-11,280.202
2002-03-12,278.03
2002-03-13,278.335
2002-03-14,280.601
2002-03-15,282.492
2002-03-18,281.574
2002-03-19,282.985
2002-03-20,284.8
2002-03-21,283.293
2002-03-22,282.007
2002-03-25,280.799
2002-03-26,280.656
2002-03-27,278.5
2002-03-28,278.495
2002-03-29,278.502
2002-04-01,280.781
2002-04-02,280.883
2002-04-03,280.568
2002-04-04,280.307
2002-04-05,279.64
2002-04-08,277.603
2002-04-09,277.648
2002-04-10,279.269
2002-04-11,280.347
2002-04-12,279.566
2002-04-15,280.207
2002-04-16,280.879
2002-04-17,283.012
2002-04-18,283.977
2002-04-19,284.004
2002-04-22,283.583
2002-04-23,283.846
2002-04-24,283.587
2002-04-25,283.609
2002-04-26,282.814
2002-04-29,285.064
2002-04-30,285.04
2002-05-01,286.651
2002-05-02,286.302
2002-05-03,289.496
2002-05-06,290.363
2002-05-07,286.474
2002-05-08,287.517
2002-05-09,287.904
2002-05-10,289.276
2002-05-13,288.606
2002-05-14,286.037
2002-05-15,287.569
2002-05-16,288.976
2002-05-17,294.031
2002-05-20,294.152
2002-05-21,293.291
2002-05-22,295.826
2002-05-23,293.002
2002-05-24,292.079
2002-05-27,291.825
2002-05-28,294.775
2002-05-29,295.121
2002-05-30,295.76
2002-05-31,294.031
2002-06-03,294.692
2002-06-04,291.496
2002-06-05,289.536
2002-06-06,291.824
2002-06-07,290.34
2002-06-10,289.351
2002-06-11,288.353
2002-06-12,286.127
2002-06-13,284.105
2002-06-14,277.299
2002-06-17,280.006
2002-06-18,277.296
2002-06-19,278.313
2002-06-20,274.579
2002-06-21,274.695
2002-06-24,271.96
2002-06-25,267.583
2002-06-26,269.301
2002-06-27,274.226
2002-06-28,278.361
2002-07-01,279.566
2002-07-02,273.527
2002-07-03,269.856
2002-07-04,270.764
2002-07-05,275.721
2002-07-08,278.818
2002-07-09,279.842
2002-07-10,271.58
2002-07-11,266.248
2002-07-12,265.397
2002-07-15,262.343
2002-07-16,261.345
2002-07-17,260.743
2002-07-18,263.147
2002-07-19,260.589
2002-07-22,248.684
2002-07-23,237.904
2002-07-24,237.793
2002-07-25,235.87
2002-07-26,234.418
2002-07-29,240.146
2002-07-30,243.522
2002-07-31,238.747
2002-08-01,236.441
2002-08-02,230.996
2002-08-05,222.212
2002-08-06,219.7
2002-08-07,217.733
2002-08-08,223.617
2002-08-09,227.01
2002-08-12,226.35
2002-08-13,226.621
2002-08-14,226.702
2002-08-15,226.696
2002-08-16,227.871
2002-08-19,230.92
2002-08-20,231.833
2002-08-21,236.163
2002-08-22,236.95
2002-08-23,236.597
2002-08-26,234.899
2002-08-27,237.084
2002-08-28,234.758
2002-08-29,235.577
2002-08-30,233.986
2002-09-02,233.959
2002-09-03,228.088
2002-09-04,224.956
2002-09-05,220.237
2002-09-06,222.413
2002-09-09,218.363
2002-09-10,219.182
2002-09-11,220.721
2002-09-12,218.942
2002-09-13,216.49
2002-09-16,210.521
2002-09-17,208.313
2002-09-18,201.633
2002-09-19,197.642
2002-09-20,201.082
2002-09-23,194.237
2002-09-24,187.624
2002-09-25,190.478
2002-09-26,192.249
2002-09-27,189.799
2002-09-30,184.856
2002-10-01,182.584
2002-10-02,181.452
2002-10-03,176.62
2002-10-04,173.933
2002-10-07,168.907
2002-10-08,165.288
2002-10-09,165.066
2002-10-10,170.746
2002-10-11,180.874
2002-10-14,180.629
2002-10-15,187.892
2002-10-16,188.785
2002-10-17,195.332
2002-10-18,196.405
2002-10-21,199.203
2002-10-22,193.69
2002-10-23,186.537
2002-10-24,188.06
2002-10-25,188.649
2002-10-28,194.611
