Date,EUROPE LARGE CAP Large Cap
1994-05-31,219.382
1994-06-30,217.756
1994-07-29,229.276
1994-08-31,236.817
1994-09-30,228.005
1994-10-31,238.067
1994-11-30,229.045
1994-12-30,230.286
1995-01-31,228.835
1995-02-28,233.528
1995-03-31,245.347
1995-04-28,253.388
1995-05-31,258.929
1995-06-30,262.197
1995-07-31,276.154
1995-08-31,265.905
1995-09-29,275.04
1995-10-31,274.56
1995-11-30,276.576
1995-12-29,285.465
1996-01-31,286.666
1996-02-29,291.531
1996-03-29,295.095
1996-04-30,297.973
1996-05-31,302.386
1996-06-28,306.463
1996-07-31,302.157
1996-08-30,312.315
1996-09-30,319.392
1996-10-31,327.012
1996-11-29,343.535
1996-12-31,350.935
1997-01-31,350.909
1997-02-28,355.444
1997-03-31,367.737
1997-04-30,367.337
1997-05-30,385.114
1997-06-30,404.866
1997-07-31,423.689
1997-08-29,399.796
1997-09-30,437.086
1997-10-31,414.472
1997-11-28,420.933
1997-12-31,436.177
1998-01-30,454.409
1998-02-27,490.947
1998-03-31,524.066
1998-04-30,533.267
1998-05-29,546.216
1998-06-30,553.67
1998-07-31,564.232
1998-08-31,494.08
1998-09-30,475.605
1998-10-30,512.017
1998-11-30,540.506
1998-12-31,563.979
1999-01-29,562.632
1999-02-26,548.949
1999-03-31,555.219
1999-04-30,573.007
1999-05-31,546.229
1999-06-30,555.687
1999-07-30,561.763
1999-08-31,568.428
1999-09-30,565.083
1999-10-29,585.976
1999-11-30,604.154
1999-12-31,667.083
2000-01-31,620.236
2000-02-29,652.371
2000-03-31,664.572
2000-04-28,634.324
2000-05-31,628.371
2000-06-30,641.631
2000-07-31,629.654
2000-08-31,624.569
2000-09-29,591.767
2000-10-31,585.082
2000-11-30,559.41
2000-12-29,596.787
2001-01-31,597.645
2001-02-28,541.37
2001-03-30,500.952
2001-04-30,538.318
2001-05-31,509.837
2001-06-29,491.154
2001-07-31,492.023
2001-08-31,477.611
2001-09-28,430.168
2001-10-31,443.969
2001-11-30,460.906
2001-12-31,471.842
2002-01-31,446.34
2002-02-28,444.717
2002-03-29,469.307
2002-04-30,464.599
2002-05-31,463.122
2002-06-28,446.705
2002-07-31,398.138
2002-08-30,399.376
2002-09-30,344.933
2002-10-31,381.603
2002-11-29,399.497
2002-12-31,385.202
2003-01-31,366.316
2003-02-28,356.104
2003-03-31,350.43
2003-04-30,397.333
2003-05-30,421.602
2003-06-30,425.176
2003-07-31,431.304
2003-08-29,428.109
2003-09-30,436.63
2003-10-31,464.508
2003-11-28,484.433
2003-12-31,526.927
2004-01-30,529.558
2004-02-27,543.472
2004-03-31,524.696
2004-04-30,520.694
2004-05-31,528.632
2004-06-30,534.126
2004-07-30,520.539
2004-08-31,521.202
2004-09-30,541.429
2004-10-29,561.171
2004-11-30,599.49
2004-12-31,623.751
2005-01-31,609.866
2005-02-28,640.096
2005-03-31,624.975
2005-04-29,610.999
2005-05-31,611.741
2005-06-30,620.09
2005-07-29,643.215
2005-08-31,651.149
2005-09-30,667.247
2005-10-31,648.744
2005-11-30,656.881
2005-12-30,678.219
2006-01-31,719.846
2006-02-28,718.606
2006-03-31,744.87
2006-04-28,782.749
2006-05-31,763.243
2006-06-30,766.45
2006-07-31,780.146
2006-08-31,802.977
2006-09-29,807.151
2006-10-31,840.545
2006-11-30,866.472
2006-12-29,890.827
2007-01-31,895.511
2007-02-28,891.986
2007-03-30,921.062
2007-04-30,983.101
2007-05-31,1000.0
2007-06-29,1003.03
2007-07-31,981.333
2007-08-31,972.151
2007-09-28,1026.102
2007-10-31,1074.163
2007-11-30,1048.532
