Date,EUROPE LARGE CAP Large Cap
2001-01-01,596.787
2001-01-02,593.752
2001-01-03,585.707
2001-01-04,596.075
2001-01-05,597.609
2001-01-08,593.752
2001-01-09,583.457
2001-01-10,580.571
2001-01-11,592.47
2001-01-12,596.19
2001-01-15,594.346
2001-01-16,585.473
2001-01-17,593.269
2001-01-18,599.369
2001-01-19,592.588
2001-01-22,593.4
2001-01-23,594.448
2001-01-24,590.599
2001-01-25,590.336
2001-01-26,590.24
2001-01-29,589.358
2001-01-30,592.793
2001-01-31,597.645
2001-02-01,597.138
2001-02-02,589.194
2001-02-05,592.195
2001-02-06,590.035
2001-02-07,583.227
2001-02-08,575.248
2001-02-09,570.65
2001-02-12,578.626
2001-02-13,573.554
2001-02-14,564.907
2001-02-15,563.285
2001-02-16,558.037
2001-02-19,559.086
2001-02-20,548.364
2001-02-21,544.968
2001-02-22,540.135
2001-02-23,531.579
2001-02-26,536.241
2001-02-27,542.215
2001-02-28,541.37
2001-03-01,541.763
2001-03-02,544.847
2001-03-05,547.895
2001-03-06,556.617
2001-03-07,554.851
2001-03-08,554.357
2001-03-09,547.85
2001-03-12,533.55
2001-03-13,521.908
2001-03-14,511.023
2001-03-15,516.388
2001-03-16,498.607
2001-03-19,495.704
2001-03-20,505.892
2001-03-21,493.646
2001-03-22,466.825
2001-03-23,482.412
2001-03-26,500.009
2001-03-27,512.457
2001-03-28,500.741
2001-03-29,498.265
2001-03-30,500.952
2001-04-02,498.374
2001-04-03,485.442
2001-04-04,496.041
2001-04-05,504.395
2001-04-06,505.01
2001-04-09,513.08
2001-04-10,519.001
2001-04-11,517.628
2001-04-12,521.767
2001-04-13,521.767
2001-04-16,517.435
2001-04-17,513.767
2001-04-18,523.488
2001-04-19,530.677
2001-04-20,532.715
2001-04-23,526.026
2001-04-24,526.733
2001-04-25,527.544
2001-04-26,533.347
2001-04-27,536.169
2001-04-30,538.318
2001-05-01,539.271
2001-05-02,536.955
2001-05-03,527.214
2001-05-04,531.958
2001-05-07,533.302
2001-05-08,529.969
2001-05-09,526.369
2001-05-10,535.075
2001-05-11,528.369
2001-05-14,518.145
2001-05-15,526.368
2001-05-16,530.155
2001-05-17,533.755
2001-05-18,535.337
2001-05-21,536.94
2001-05-22,535.755
2001-05-23,528.142
2001-05-24,526.822
2001-05-25,523.281
2001-05-28,525.363
2001-05-29,518.797
2001-05-30,513.404
2001-05-31,509.837
2001-06-01,507.918
2001-06-04,510.228
