Date,EUROPE LARGE CAP Large Cap
2001-01-01,579.821
2001-01-02,576.883
2001-01-03,569.066
2001-01-04,579.139
2001-01-05,580.63
2001-01-08,576.883
2001-01-09,566.88
2001-01-10,564.08
2001-01-11,575.646
2001-01-12,579.261
2001-01-15,577.469
2001-01-16,568.849
2001-01-17,576.423
2001-01-18,582.349
2001-01-19,575.761
2001-01-22,576.55
2001-01-23,577.568
2001-01-24,573.828
2001-01-25,573.573
2001-01-26,573.48
2001-01-29,572.623
2001-01-30,575.961
2001-01-31,580.681
2001-02-01,580.188
2001-02-02,572.47
2001-02-05,575.386
2001-02-06,573.287
2001-02-07,566.672
2001-02-08,558.92
2001-02-09,554.453
2001-02-12,562.202
2001-02-13,557.274
2001-02-14,548.873
2001-02-15,547.298
2001-02-16,542.198
2001-02-19,543.218
2001-02-20,532.808
2001-02-21,529.509
2001-02-22,524.812
2001-02-23,516.528
2001-02-26,521.058
2001-02-27,526.863
2001-02-28,526.041
2001-03-01,526.423
2001-03-02,529.42
2001-03-05,532.39
2001-03-06,540.865
2001-03-07,539.149
2001-03-08,538.669
2001-03-09,532.346
2001-03-12,518.451
2001-03-13,507.138
2001-03-14,496.562
2001-03-15,501.774
2001-03-16,484.497
2001-03-19,481.676
2001-03-20,491.575
2001-03-21,479.686
2001-03-22,453.653
2001-03-23,468.809
2001-03-26,485.926
2001-03-27,498.065
2001-03-28,486.688
2001-03-29,484.291
2001-03-30,486.912
2001-04-02,484.406
2001-04-03,471.848
2001-04-04,482.151
2001-04-05,490.271
2001-04-06,490.903
2001-04-09,498.752
2001-04-10,504.512
2001-04-11,503.23
2001-04-12,507.301
2001-04-13,507.301
2001-04-16,503.09
2001-04-17,499.565
2001-04-18,509.02
2001-04-19,516.039
2001-04-20,518.02
2001-04-23,511.569
2001-04-24,512.26
2001-04-25,513.062
2001-04-26,518.714
2001-04-27,521.495
2001-04-30,523.598
2001-05-01,524.532
2001-05-02,522.324
2001-05-03,512.861
2001-05-04,517.503
2001-05-07,518.826
2001-05-08,515.588
2001-05-09,512.103
2001-05-10,520.582
2001-05-11,514.091
2001-05-14,504.195
2001-05-15,512.197
2001-05-16,515.891
2001-05-17,519.415
2001-05-18,521.012
2001-05-21,522.674
2001-05-22,521.521
2001-05-23,514.15
2001-05-24,512.868
2001-05-25,509.429
2001-05-28,511.475
2001-05-29,505.126
2001-05-30,499.912
2001-05-31,496.453
2001-06-01,494.615
2001-06-04,496.865
2001-06-05,502.808
2001-06-06,498.426
2001-06-07,499.475
2001-06-08,497.494
2001-06-11,489.736
2001-06-12,484.091
2001-06-13,489.591
2001-06-14,487.4
2001-06-15,485.244
2001-06-18,480.435
2001-06-19,479.988
2001-06-20,475.595
2001-06-21,476.544
2001-06-22,478.551
2001-06-25,481.79
2001-06-26,474.338
2001-06-27,474.176
2001-06-28,474.978
2001-06-29,478.53
2001-07-02,485.986
2001-07-03,480.027
2001-07-04,476.106
2001-07-05,468.589
2001-07-06,462.744
2001-07-09,464.878
2001-07-10,464.926
2001-07-11,461.457
2001-07-12,463.037
2001-07-13,465.723
2001-07-16,464.931
2001-07-17,458.998
2001-07-18,462.611
2001-07-19,468.804
2001-07-20,466.749
2001-07-23,466.443
2001-07-24,462.782
2001-07-25,459.026
2001-07-26,461.435
2001-07-27,468.53
2001-07-30,474.47
2001-07-31,479.426
2001-08-01,483.22
2001-08-02,484.45
2001-08-03,481.743
2001-08-06,479.351
2001-08-07,478.401
2001-08-08,471.985
2001-08-09,468.935
2001-08-10,468.216
2001-08-13,471.957
2001-08-14,477.488
2001-08-15,481.164
2001-08-16,476.526
2001-08-17,470.6
2001-08-20,468.897
2001-08-21,474.084
2001-08-22,476.751
2001-08-23,474.122
2001-08-24,481.93
2001-08-27,480.792
2001-08-28,474.795
2001-08-29,474.761
2001-08-30,465.0
2001-08-31,465.498
2001-09-03,459.386
2001-09-04,458.381
2001-09-05,450.587
2001-09-06,441.112
2001-09-07,435.757
2001-09-10,430.107
2001-09-11,406.79
2001-09-12,413.019
2001-09-13,418.352
2001-09-14,402.223
2001-09-17,412.589
2001-09-18,409.374
2001-09-19,403.563
2001-09-20,387.004
2001-09-21,373.218
2001-09-24,393.112
2001-09-25,401.115
2001-09-26,405.512
2001-09-27,410.406
2001-09-28,419.263
2001-10-01,412.122
2001-10-02,415.538
2001-10-03,419.156
2001-10-04,430.627
2001-10-05,430.131
2001-10-08,430.569
2001-10-09,429.134
2001-10-10,437.202
2001-10-11,438.264
2001-10-12,437.394
2001-10-15,428.838
2001-10-16,433.685
2001-10-17,442.204
2001-10-18,433.978
2001-10-19,424.69
2001-10-22,428.843
2001-10-23,437.929
2001-10-24,440.623
2001-10-25,433.984
2001-10-26,442.391
2001-10-29,438.775
2001-10-30,429.577
2001-10-31,432.687
2001-11-01,437.806
2001-11-02,438.433
2001-11-05,445.761
2001-11-06,445.418
2001-11-07,450.737
2001-11-08,455.871
2001-11-09,451.092
2001-11-12,441.623
2001-11-13,450.145
2001-11-14,450.583
2001-11-15,450.711
2001-11-16,455.865
2001-11-19,458.072
2001-11-20,453.699
2001-11-21,450.072
2001-11-22,455.222
2001-11-23,451.704
2001-11-26,452.761
2001-11-27,448.169
2001-11-28,444.386
2001-11-29,444.622
2001-11-30,449.201
2001-12-03,444.89
2001-12-04,451.05
2001-12-05,463.093
2001-12-06,465.901
2001-12-07,461.083
2001-12-10,452.845
2001-12-11,453.394
2001-12-12,452.081
2001-12-13,445.533
2001-12-14,443.746
2001-12-17,455.773
2001-12-18,454.058
2001-12-19,448.696
2001-12-20,445.276
2001-12-21,448.441
2001-12-24,445.509
2001-12-25,445.509
2001-12-26,446.476
2001-12-27,456.148
2001-12-28,456.721
2001-12-31,459.863
2002-01-01,459.863
2002-01-02,460.967
2002-01-03,467.926
2002-01-04,466.101
2002-01-07,460.478
2002-01-08,456.386
2002-01-09,455.597
2002-01-10,452.673
2002-01-11,453.744
2002-01-14,445.415
2002-01-15,447.914
2002-01-16,439.607
2002-01-17,443.959
2002-01-18,443.298
2002-01-21,440.73
2002-01-22,441.163
2002-01-23,444.189
2002-01-24,447.553
2002-01-25,439.545
2002-01-28,441.47
2002-01-29,435.304
2002-01-30,430.043
2002-01-31,435.046
2002-02-01,435.885
2002-02-04,433.138
2002-02-05,427.1
2002-02-06,422.256
2002-02-07,426.579
2002-02-08,427.439
2002-02-11,433.89
2002-02-12,432.07
2002-02-13,433.915
2002-02-14,437.692
2002-02-15,434.828
2002-02-18,430.863
2002-02-19,424.242
2002-02-20,420.784
2002-02-21,424.634
2002-02-22,423.006
2002-02-25,427.035
2002-02-26,428.752
2002-02-27,433.385
2002-02-28,433.464
2002-03-01,437.708
2002-03-04,448.733
2002-03-05,446.875
2002-03-06,451.054
2002-03-07,455.967
2002-03-08,456.562
2002-03-11,453.748
2002-03-12,448.413
2002-03-13,449.617
2002-03-14,453.575
