Date,SINGAPORE MID VALUE Mid Cap
1994-05-31,402.29
1994-06-30,396.16
1994-07-29,401.27
1994-08-31,415.921
1994-09-30,425.99
1994-10-31,455.767
1994-11-30,418.577
1994-12-30,428.581
1995-01-31,398.666
1995-02-28,408.228
1995-03-31,412.561
1995-04-28,410.712
1995-05-31,439.374
1995-06-30,434.185
1995-07-31,439.609
1995-08-31,418.695
1995-09-29,416.661
1995-10-31,407.462
1995-11-30,408.533
1995-12-29,431.448
1996-01-31,454.562
1996-02-29,456.252
1996-03-29,447.556
1996-04-30,449.825
1996-05-31,430.92
1996-06-28,426.158
1996-07-31,388.443
1996-08-30,398.265
1996-09-30,399.658
1996-10-31,388.426
1996-11-29,413.669
1996-12-31,410.95
1997-01-31,423.693
1997-02-28,422.903
1997-03-31,392.033
1997-04-30,380.222
1997-05-30,403.278
1997-06-30,388.812
1997-07-31,380.127
1997-08-29,339.081
1997-09-30,346.866
1997-10-31,263.518
1997-11-28,273.77
1997-12-31,241.932
1998-01-30,196.005
1998-02-27,248.862
1998-03-31,257.099
1998-04-30,227.663
1998-05-29,191.076
1998-06-30,165.672
1998-07-31,153.181
1998-08-31,110.788
1998-09-30,125.568
1998-10-30,191.348
1998-11-30,235.465
1998-12-31,228.33
1999-01-29,224.635
1999-02-26,211.373
1999-03-31,225.691
1999-04-30,268.512
1999-05-31,275.357
1999-06-30,302.622
1999-07-30,288.428
1999-08-31,288.604
1999-09-30,254.975
1999-10-29,264.25
1999-11-30,285.293
1999-12-31,335.192
2000-01-31,305.168
2000-02-29,315.831
2000-03-31,303.704
2000-04-28,260.27
2000-05-31,219.414
2000-06-30,266.864
2000-07-31,288.118
2000-08-31,313.371
2000-09-29,284.813
2000-10-31,274.257
2000-11-30,262.209
2000-12-29,271.234
2001-01-31,266.805
2001-02-28,261.062
2001-03-30,199.207
2001-04-30,213.598
2001-05-31,217.217
2001-06-29,256.149
2001-07-31,250.632
2001-08-31,227.652
2001-09-28,185.18
2001-10-31,182.863
2001-11-30,198.558
2001-12-31,220.586
2002-01-31,209.741
2002-02-28,208.834
2002-03-29,212.268
2002-04-30,208.025
2002-05-31,200.753
2002-06-28,201.733
2002-07-31,212.911
2002-08-30,217.744
2002-09-30,188.09
2002-10-31,190.328
2002-11-29,176.227
2002-12-31,166.815
2003-01-31,158.791
2003-02-28,161.927
2003-03-31,155.885
2003-04-30,154.942
2003-05-30,173.449
2003-06-30,192.386
2003-07-31,204.46
2003-08-29,217.88
2003-09-30,220.949
2003-10-31,253.754
2003-11-28,245.873
2003-12-31,257.264
2004-01-30,277.153
2004-02-27,276.129
2004-03-31,276.32
2004-04-30,269.374
2004-05-31,265.782
2004-06-30,279.757
2004-07-30,284.677
2004-08-31,302.235
2004-09-30,312.607
2004-10-29,318.086
2004-11-30,341.79
2004-12-31,372.16
2005-01-31,390.764
2005-02-28,395.623
2005-03-31,423.455
2005-04-29,424.471
2005-05-31,450.836
2005-06-30,450.974
2005-07-29,508.86
2005-08-31,507.781
2005-09-30,528.74
2005-10-31,524.563
2005-11-30,538.773
2005-12-30,559.968
2006-01-31,577.715
2006-02-28,597.822
2006-03-31,612.897
2006-04-28,646.411
2006-05-31,584.715
2006-06-30,562.372
2006-07-31,584.839
2006-08-31,628.329
2006-09-29,672.965
2006-10-31,735.728
2006-11-30,760.139
2006-12-29,784.195
2007-01-31,886.295
2007-02-28,891.821
2007-03-30,930.452
2007-04-30,957.717
2007-05-31,1000.0
2007-06-29,1035.411
2007-07-31,1003.801
2007-08-31,947.216
2007-09-28,1082.612
2007-10-31,1089.574
2007-11-30,1000.234
2007-12-31,1026.603
2008-01-31,904.377
2008-02-29,963.42
2008-03-31,1002.612
2008-04-30,1011.302
2008-05-30,991.065
2008-06-30,905.825
2008-07-31,919.361
2008-08-29,838.037
2008-09-30,687.344
2008-10-31,503.657
2008-11-28,502.09
2008-12-31,537.066
2009-01-30,532.959
