Date,SINGAPORE MID VALUE Mid Cap
2001-01-01,270.655
2001-01-02,264.314
2001-01-03,258.032
2001-01-04,270.297
2001-01-05,277.76
2001-01-08,271.762
2001-01-09,272.811
2001-01-10,271.078
2001-01-11,260.714
2001-01-12,261.38
2001-01-15,259.974
2001-01-16,262.446
2001-01-17,259.995
2001-01-18,252.982
2001-01-19,254.297
2001-01-22,256.436
2001-01-23,254.569
2001-01-24,254.569
2001-01-25,254.803
2001-01-26,249.936
2001-01-29,254.041
2001-01-30,263.731
2001-01-31,266.235
2001-02-01,270.186
2001-02-02,267.224
2001-02-05,262.226
2001-02-06,263.038
2001-02-07,264.939
2001-02-08,268.519
2001-02-09,267.702
2001-02-12,269.276
2001-02-13,264.185
2001-02-14,259.401
2001-02-15,259.626
2001-02-16,258.122
2001-02-19,256.003
2001-02-20,263.106
2001-02-21,260.665
2001-02-22,259.907
2001-02-23,261.922
2001-02-26,263.995
2001-02-27,260.662
2001-02-28,260.505
2001-03-01,257.135
2001-03-02,256.208
2001-03-05,254.612
2001-03-06,254.829
2001-03-07,252.826
2001-03-08,252.212
2001-03-09,251.119
2001-03-12,241.328
2001-03-13,234.156
2001-03-14,230.589
2001-03-15,230.869
2001-03-16,225.778
2001-03-19,219.563
2001-03-20,221.402
2001-03-21,219.922
2001-03-22,212.908
2001-03-23,215.07
2001-03-26,214.404
2001-03-27,210.992
2001-03-28,203.59
2001-03-29,198.746
2001-03-30,198.782
2001-04-02,195.976
2001-04-03,197.32
2001-04-04,194.634
2001-04-05,209.203
2001-04-06,212.373
2001-04-09,201.174
2001-04-10,200.758
2001-04-11,202.671
2001-04-12,208.124
2001-04-13,208.124
2001-04-16,208.248
2001-04-17,202.787
2001-04-18,207.511
2001-04-19,210.028
2001-04-20,209.403
2001-04-23,210.814
2001-04-24,209.398
2001-04-25,206.098
2001-04-26,207.96
2001-04-27,207.221
2001-04-30,213.142
2001-05-01,214.023
2001-05-02,218.716
2001-05-03,221.246
2001-05-04,219.677
2001-05-07,219.377
2001-05-08,218.471
2001-05-09,214.397
2001-05-10,216.839
2001-05-11,221.113
2001-05-14,220.398
2001-05-15,219.412
2001-05-16,214.989
2001-05-17,218.918
2001-05-18,214.665
2001-05-21,213.397
2001-05-22,216.815
2001-05-23,220.127
2001-05-24,221.379
2001-05-25,221.578
2001-05-28,221.826
2001-05-29,222.561
2001-05-30,217.609
2001-05-31,216.753
2001-06-01,219.088
2001-06-04,219.563
2001-06-05,223.878
2001-06-06,226.548
2001-06-07,231.155
2001-06-08,232.515
2001-06-11,227.92
2001-06-12,225.92
2001-06-13,238.652
2001-06-14,241.284
2001-06-15,244.867
2001-06-18,246.206
2001-06-19,244.502
2001-06-20,241.243
2001-06-21,245.989
2001-06-22,251.434
2001-06-25,253.686
2001-06-26,254.82
2001-06-27,253.464
2001-06-28,255.308
2001-06-29,255.602
2001-07-02,254.089
2001-07-03,254.807
2001-07-04,253.378
2001-07-05,251.842
2001-07-06,245.688
2001-07-09,241.309
2001-07-10,242.375
2001-07-11,239.143
2001-07-12,241.553
2001-07-13,240.21
2001-07-16,245.923
2001-07-17,242.253
2001-07-18,242.115
2001-07-19,243.02
2001-07-20,244.075
2001-07-23,242.589
2001-07-24,245.999
2001-07-25,245.187
2001-07-26,249.043
2001-07-27,250.356
2001-07-30,250.729
2001-07-31,250.097
2001-08-01,251.74
2001-08-02,248.599
2001-08-03,247.002
2001-08-06,246.948
2001-08-07,247.116
2001-08-08,244.741
2001-08-09,244.754
2001-08-10,245.638
2001-08-13,243.989
2001-08-14,244.784
2001-08-15,245.1
2001-08-16,244.14
2001-08-17,245.102
2001-08-20,244.727
2001-08-21,247.06
2001-08-22,245.577
2001-08-23,245.18
2001-08-24,242.268
2001-08-27,244.014
2001-08-28,241.538
2001-08-29,238.664
2001-08-30,232.586
2001-08-31,227.166
2001-09-03,227.174
2001-09-04,225.69
2001-09-05,225.583
2001-09-06,229.404
2001-09-07,226.993
2001-09-10,222.686
2001-09-11,220.742
2001-09-12,210.695
2001-09-13,207.867
2001-09-14,200.383
2001-09-17,191.275
2001-09-18,187.048
2001-09-19,190.102
2001-09-20,183.387
2001-09-21,163.09
2001-09-24,176.974
2001-09-25,178.684
2001-09-26,173.41
2001-09-27,178.191
2001-09-28,184.785
2001-10-01,182.034
2001-10-02,180.193
2001-10-03,176.487
2001-10-04,184.345
2001-10-05,186.811
2001-10-08,181.463
2001-10-09,190.105
2001-10-10,185.123
2001-10-11,190.959
2001-10-12,186.925
2001-10-15,189.046
2001-10-16,187.142
2001-10-17,191.466
2001-10-18,187.143
2001-10-19,185.995
2001-10-22,186.648
2001-10-23,191.683
2001-10-24,192.961
2001-10-25,190.863
2001-10-26,188.044
2001-10-29,185.127
2001-10-30,185.677
2001-10-31,182.472
2001-11-01,179.296
2001-11-02,176.392
2001-11-05,180.348
2001-11-06,178.984
2001-11-07,176.882
2001-11-08,183.116
2001-11-09,189.791
2001-11-12,190.999
2001-11-13,186.641
2001-11-14,186.641
2001-11-15,196.012
2001-11-16,190.481
2001-11-19,196.717
2001-11-20,201.19
2001-11-21,202.842
2001-11-22,200.207
2001-11-23,200.189
2001-11-26,199.183
2001-11-27,200.897
2001-11-28,200.211
2001-11-29,202.338
2001-11-30,198.134
2001-12-03,200.32
2001-12-04,212.09
2001-12-05,214.265
2001-12-06,216.208
2001-12-07,218.37
2001-12-10,214.987
2001-12-11,217.126
2001-12-12,217.774
2001-12-13,216.129
2001-12-14,216.074
2001-12-17,215.904
2001-12-18,217.816
2001-12-19,222.139
2001-12-20,221.41
2001-12-21,220.089
2001-12-24,220.946
2001-12-25,220.946
2001-12-26,218.361
2001-12-27,220.245
2001-12-28,219.258
2001-12-31,220.115
2002-01-01,220.115
2002-01-02,221.217
2002-01-03,223.817
2002-01-04,228.872
2002-01-07,221.974
2002-01-08,221.182
2002-01-09,220.992
2002-01-10,225.177
2002-01-11,226.329
2002-01-14,229.183
2002-01-15,228.617
2002-01-16,225.01
2002-01-17,222.627
2002-01-18,205.604
2002-01-21,207.871
2002-01-22,206.389
2002-01-23,203.253
2002-01-24,204.583
2002-01-25,205.77
2002-01-28,209.62
2002-01-29,209.777
2002-01-30,205.05
2002-01-31,209.306
2002-02-01,207.678
2002-02-04,202.579
2002-02-05,201.58
2002-02-06,204.418
2002-02-07,203.326
2002-02-08,199.828
2002-02-11,201.937
2002-02-12,202.095
2002-02-13,202.154
2002-02-14,210.492
2002-02-15,211.301
2002-02-18,211.945
2002-02-19,207.832
2002-02-20,205.131
2002-02-21,205.113
2002-02-22,204.13
2002-02-25,199.918
2002-02-26,202.243
2002-02-27,205.986
2002-02-28,208.401
2002-03-01,213.913
2002-03-04,221.54
2002-03-05,219.996
2002-03-06,221.398
2002-03-07,222.816
2002-03-08,221.483
2002-03-11,222.436
2002-03-12,220.287
2002-03-13,220.943
2002-03-14,221.77
2002-03-15,222.795
2002-03-18,222.866
2002-03-19,222.754
2002-03-20,219.036
2002-03-21,215.783
2002-03-22,216.944
2002-03-25,213.275
2002-03-26,211.574
2002-03-27,211.551
2002-03-28,211.828
2002-03-29,211.828
2002-04-01,212.503
2002-04-02,211.691
2002-04-03,211.871
2002-04-04,212.284
2002-04-05,212.984
2002-04-08,210.459
2002-04-09,206.772
2002-04-10,202.292
2002-04-11,205.957
2002-04-12,212.759
2002-04-15,210.638
2002-04-16,213.335
2002-04-17,215.781
2002-04-18,213.726
2002-04-19,211.142
2002-04-22,211.415
2002-04-23,211.543
2002-04-24,212.838
2002-04-25,207.44
2002-04-26,208.288
2002-04-29,206.445
2002-04-30,207.593
2002-05-01,207.794
2002-05-02,210.418
2002-05-03,209.934
2002-05-06,207.513
2002-05-07,206.129
2002-05-08,208.956
2002-05-09,209.49
2002-05-10,208.373
2002-05-13,208.953
2002-05-14,211.569
2002-05-15,212.891
2002-05-16,211.879
2002-05-17,212.967
2002-05-20,211.822
2002-05-21,212.167
2002-05-22,210.655
2002-05-23,207.68
2002-05-24,209.915
2002-05-27,210.053
2002-05-28,208.659
2002-05-29,205.266
2002-05-30,208.151
2002-05-31,200.357
2002-06-03,205.88
2002-06-04,204.795
2002-06-05,204.504
2002-06-06,205.895
2002-06-07,205.71
2002-06-10,206.915
2002-06-11,208.131
2002-06-12,205.379
2002-06-13,206.832
2002-06-14,202.739
2002-06-17,203.822
2002-06-18,203.424
2002-06-19,192.352
2002-06-20,194.473
2002-06-21,195.424
2002-06-24,195.738
2002-06-25,205.835
2002-06-26,198.846
2002-06-27,201.267
2002-06-28,201.335
2002-07-01,201.977
2002-07-02,199.888
2002-07-03,211.446
2002-07-04,213.156
2002-07-05,215.925
2002-07-08,209.332
2002-07-09,212.848
2002-07-10,218.09
2002-07-11,212.925
2002-07-12,215.657
2002-07-15,218.896
2002-07-16,216.547
2002-07-17,213.926
2002-07-18,214.503
2002-07-19,215.87
2002-07-22,216.482
2002-07-23,225.282
2002-07-24,220.217
2002-07-25,219.513
2002-07-26,207.289
2002-07-29,212.778
2002-07-30,213.455
2002-07-31,212.491
2002-08-01,216.114
2002-08-02,214.941
2002-08-05,212.824
2002-08-06,210.704
2002-08-07,218.484
2002-08-08,215.422
2002-08-09,215.794
2002-08-12,214.985
2002-08-13,218.756
2002-08-14,218.455
2002-08-15,222.336
2002-08-16,223.873
2002-08-19,222.807
2002-08-20,222.153
2002-08-21,221.696
2002-08-22,224.044
2002-08-23,225.032
2002-08-26,219.089
2002-08-27,220.06
2002-08-28,219.363
2002-08-29,214.968
2002-08-30,217.315
2002-09-02,216.926
2002-09-03,219.656
2002-09-04,217.936
2002-09-05,215.194
2002-09-06,212.439
2002-09-09,212.415
2002-09-10,217.766
2002-09-11,215.558
2002-09-12,211.584
2002-09-13,206.392
2002-09-16,207.749
2002-09-17,208.117
2002-09-18,205.456
2002-09-19,201.694
2002-09-20,192.391
2002-09-23,196.329
2002-09-24,189.519
2002-09-25,183.534
2002-09-26,184.272
2002-09-27,191.812
2002-09-30,187.719
2002-10-01,183.519
2002-10-02,181.97
2002-10-03,181.132
2002-10-04,183.506
2002-10-07,180.75
2002-10-08,183.555
2002-10-09,180.233
2002-10-10,177.489
2002-10-11,182.434
2002-10-14,181.826
2002-10-15,188.974
2002-10-16,190.634
2002-10-17,196.637
2002-10-18,195.161
2002-10-21,189.805
2002-10-22,190.308
2002-10-23,197.808
2002-10-24,193.693
2002-10-25,194.414
2002-10-28,195.174
2002-10-29,194.335
2002-10-30,192.178
2002-10-31,189.952
2002-11-01,186.66
2002-11-04,186.834
2002-11-05,187.135
