Date,SINGAPORE MID VALUE Mid Cap
1994-05-31,397.738
1994-06-30,391.745
1994-07-29,396.827
1994-08-31,411.347
1994-09-30,421.375
1994-10-31,450.867
1994-11-30,414.15
1994-12-30,424.137
1995-01-31,394.532
1995-02-28,403.995
1995-03-31,408.283
1995-04-28,406.454
1995-05-31,435.163
1995-06-30,430.062
1995-07-31,435.437
1995-08-31,414.721
1995-09-29,412.719
1995-10-31,403.652
1995-11-30,404.752
1995-12-29,427.495
1996-01-31,450.397
1996-02-29,452.071
1996-03-29,443.456
1996-04-30,445.704
1996-05-31,427.189
1996-06-28,422.673
1996-07-31,385.324
1996-08-30,395.124
1996-09-30,396.507
1996-10-31,385.363
1996-11-29,410.492
1996-12-31,407.805
1997-01-31,420.451
1997-02-28,419.667
1997-03-31,389.033
1997-04-30,377.313
1997-05-30,400.425
1997-06-30,386.3
1997-07-31,377.725
1997-08-29,336.963
1997-09-30,344.752
1997-10-31,261.935
1997-11-28,272.188
1997-12-31,240.623
1998-01-30,194.944
1998-02-27,247.55
1998-03-31,255.795
1998-04-30,226.509
1998-05-29,190.279
1998-06-30,165.12
1998-07-31,152.691
1998-08-31,110.471
1998-09-30,125.214
1998-10-30,190.808
1998-11-30,234.8
1998-12-31,227.757
1999-01-29,224.07
1999-02-26,210.842
1999-03-31,225.125
1999-04-30,267.837
1999-05-31,274.665
1999-06-30,301.862
1999-07-30,287.704
1999-08-31,287.988
1999-09-30,254.43
1999-10-29,263.686
1999-11-30,284.684
1999-12-31,334.477
2000-01-31,304.517
2000-02-29,315.156
2000-03-31,303.056
2000-04-28,259.714
2000-05-31,218.945
2000-06-30,266.295
2000-07-31,287.503
2000-08-31,312.702
2000-09-29,284.204
2000-10-31,273.672
2000-11-30,261.649
2000-12-29,270.655
2001-01-31,266.235
2001-02-28,260.505
2001-03-30,198.782
2001-04-30,213.142
2001-05-31,216.753
2001-06-29,255.602
2001-07-31,250.097
2001-08-31,227.166
2001-09-28,184.785
2001-10-31,182.472
2001-11-30,198.134
2001-12-31,220.115
2002-01-31,209.306
2002-02-28,208.401
2002-03-29,211.828
2002-04-30,207.593
2002-05-31,200.357
2002-06-28,201.335
2002-07-31,212.491
2002-08-30,217.315
2002-09-30,187.719
2002-10-31,189.952
2002-11-29,175.88
2002-12-31,166.486
2003-01-31,158.477
2003-02-28,161.608
2003-03-31,155.578
2003-04-30,154.637
2003-05-30,173.106
2003-06-30,192.006
2003-07-31,204.056
2003-08-29,217.45
2003-09-30,220.513
2003-10-31,253.254
2003-11-28,245.388
2003-12-31,256.756
2004-01-30,276.606
2004-02-27,275.584
2004-03-31,275.775
2004-04-30,268.842
2004-05-31,265.258
2004-06-30,279.205
2004-07-30,284.115
2004-08-31,301.639
2004-09-30,311.991
2004-10-29,317.458
2004-11-30,341.116
2004-12-31,371.425
2005-01-31,389.993
2005-02-28,394.843
2005-03-31,422.62
2005-04-29,423.633
2005-05-31,449.946
2005-06-30,450.084
2005-07-29,507.92
2005-08-31,506.843
2005-09-30,527.763
2005-10-31,523.676
2005-11-30,537.862
2005-12-30,559.022
2006-01-31,576.738
2006-02-28,596.811
2006-03-31,611.861
2006-04-28,645.319
2006-05-31,583.727
2006-06-30,561.422
2006-07-31,584.193
2006-08-31,627.635
2006-09-29,672.222
2006-10-31,735.282
2006-11-30,759.679
2006-12-29,783.72
2007-01-31,885.933
2007-02-28,891.634
2007-03-30,930.257
2007-04-30,957.717
2007-05-31,1000.0
2007-06-29,1035.411
2007-07-31,1004.061
2007-08-31,947.602
2007-09-28,1083.053
2007-10-31,1090.143
2007-11-30,1000.935
2007-12-31,1027.322
2008-01-31,905.345
2008-02-29,964.451
2008-03-31,1003.686
2008-04-30,1012.64
2008-05-30,992.376
2008-06-30,907.023
2008-07-31,920.919
2008-08-29,839.457
2008-09-30,688.509
2008-10-31,504.793
2008-11-28,503.222
2008-12-31,538.276
