Date,SWEDEN LARGE VALUE Large Cap
1994-05-31,127.217
1994-06-30,116.944
1994-07-29,126.768
1994-08-31,124.202
1994-09-30,123.12
1994-10-31,132.32
1994-11-30,131.77
1994-12-30,128.674
1995-01-31,131.857
1995-02-28,135.913
1995-03-31,124.011
1995-04-28,135.24
1995-05-31,137.708
1995-06-30,143.161
1995-07-31,157.546
1995-08-31,142.468
1995-09-29,162.981
1995-10-31,156.726
1995-11-30,158.363
1995-12-29,156.716
1996-01-31,145.682
1996-02-29,162.003
1996-03-29,168.628
1996-04-30,176.362
1996-05-31,184.183
1996-06-28,189.421
1996-07-31,185.033
1996-08-30,192.952
1996-09-30,201.706
1996-10-31,203.767
1996-11-29,212.984
1996-12-31,218.572
1997-01-31,215.039
1997-02-28,229.635
1997-03-31,238.105
1997-04-30,230.308
1997-05-30,245.876
1997-06-30,268.261
1997-07-31,276.961
1997-08-29,266.563
1997-09-30,296.361
1997-10-31,260.525
1997-11-28,266.599
1997-12-31,258.954
1998-01-30,258.826
1998-02-27,288.942
1998-03-31,311.687
1998-04-30,329.406
1998-05-29,329.962
1998-06-30,328.19
1998-07-31,328.902
1998-08-31,268.501
1998-09-30,242.862
1998-10-30,255.362
1998-11-30,262.389
1998-12-31,257.382
1999-01-29,273.046
1999-02-26,255.012
1999-03-31,264.9
1999-04-30,284.677
1999-05-31,268.798
1999-06-30,280.71
1999-07-30,297.497
1999-08-31,295.604
1999-09-30,297.664
1999-10-29,293.889
1999-11-30,294.04
1999-12-31,305.7
2000-01-31,281.692
2000-02-29,276.713
2000-03-31,285.689
2000-04-28,282.825
2000-05-31,284.717
2000-06-30,289.701
2000-07-31,283.878
2000-08-31,273.568
2000-09-29,271.326
2000-10-31,271.812
2000-11-30,264.796
2000-12-29,285.872
2001-01-31,301.458
2001-02-28,285.746
2001-03-30,240.697
2001-04-30,260.785
2001-05-31,249.305
2001-06-29,249.817
2001-07-31,249.088
2001-08-31,252.035
2001-09-28,211.502
2001-10-31,214.699
2001-11-30,237.007
2001-12-31,252.091
2002-01-31,243.135
2002-02-28,259.589
2002-03-29,271.534
2002-04-30,280.056
2002-05-31,284.218
2002-06-28,255.287
2002-07-31,207.41
2002-08-30,218.424
2002-09-30,173.667
2002-10-31,201.434
2002-11-29,234.566
2002-12-31,202.023
2003-01-31,206.424
2003-02-28,196.353
2003-03-31,193.142
2003-04-30,249.208
2003-05-30,259.7
2003-06-30,257.257
2003-07-31,286.831
2003-08-29,297.378
2003-09-30,310.094
2003-10-31,343.448
2003-11-28,345.977
2003-12-31,385.566
2004-01-30,376.821
2004-02-27,361.561
2004-03-31,365.122
2004-04-30,375.464
2004-05-31,381.384
2004-06-30,400.444
2004-07-30,390.913
2004-08-31,408.484
2004-09-30,433.439
2004-10-29,458.39
2004-11-30,514.476
2004-12-31,525.167
2005-01-31,493.64
2005-02-28,543.147
2005-03-31,524.305
2005-04-29,509.833
2005-05-31,500.621
2005-06-30,486.361
2005-07-29,512.137
2005-08-31,517.995
2005-09-30,529.456
2005-10-31,522.216
2005-11-30,529.274
2005-12-30,571.432
2006-01-31,593.413
2006-02-28,586.327
2006-03-31,638.202
2006-04-28,684.682
2006-05-31,653.82
2006-06-30,642.262
2006-07-31,658.419
2006-08-31,691.527
2006-09-29,719.074
2006-10-31,756.841
2006-11-30,788.133
2006-12-29,854.704
2007-01-31,873.543
2007-02-28,855.216
2007-03-30,900.692
2007-04-30,1035.092
2007-05-31,1000.0
2007-06-29,966.689
2007-07-31,997.359
2007-08-31,923.496
2007-09-28,1001.159
2007-10-31,1004.4
2007-11-30,957.092
2007-12-31,930.354
2008-01-31,801.5
2008-02-29,847.769
2008-03-31,887.555
2008-04-30,936.623
2008-05-30,928.0
2008-06-30,759.513
2008-07-31,777.154
2008-08-29,749.88
2008-09-30,624.914
2008-10-31,453.776
2008-11-28,439.729
2008-12-31,461.916
2009-01-30,397.351
2009-02-27,396.235
2009-03-31,439.551
2009-04-30,548.832
2009-05-29,583.871
2009-06-30,585.482
2009-07-31,696.157
2009-08-31,738.162
2009-09-30,724.449
2009-10-30,776.087
2009-11-30,758.38
2009-12-31,754.252
2010-01-29,715.331
2010-02-26,739.143
2010-03-31,776.658
2010-04-30,795.411
2010-05-31,685.03
2010-06-30,722.685
2010-07-30,792.72
2010-08-31,724.546
2010-09-30,843.789
2010-10-29,853.655
2010-11-30,797.215
2010-12-31,872.708
2011-01-31,943.084
2011-02-28,936.258
2011-03-31,943.821
2011-04-29,1037.035
2011-05-31,1010.795
2011-06-30,949.805
2011-07-29,916.062
2011-08-31,807.864
2011-09-30,725.634
2011-10-31,806.05
2011-11-30,749.59
2011-12-30,738.526
2012-01-31,758.466
2012-02-29,856.278
2012-03-30,840.63
2012-04-30,825.101
2012-05-31,713.862
2012-06-29,799.051
2012-07-31,846.407
2012-08-31,853.126
2012-09-28,889.403
2012-10-31,834.596
2012-11-30,856.363
2012-12-31,892.84
2013-01-31,1024.658
2013-02-28,1061.762
2013-03-29,1081.487
2013-04-30,1132.354
2013-05-31,1111.194
2013-06-28,1036.219
2013-07-31,1143.933
2013-08-30,1084.528
2013-09-30,1136.883
2013-10-31,1203.64
2013-11-29,1215.32
2013-12-31,1281.81
2014-01-31,1228.382
2014-02-28,1337.093
2014-03-31,1345.547
2014-04-30,1354.346
2014-05-30,1372.336
2014-06-30,1329.969
2014-07-31,1301.666
2014-08-29,1272.132
2014-09-30,1263.035
2014-10-31,1255.208
2014-11-28,1265.274
2014-12-31,1185.622
2015-01-30,1214.156
2015-02-27,1281.198
2015-03-31,1233.115
2015-04-30,1288.843
2015-05-29,1280.491
2015-06-30,1253.634
2015-07-31,1268.476
2015-08-31,1210.594
2015-09-30,1143.854
2015-10-30,1153.81
2015-11-30,1142.912
2015-12-31,1130.723
2016-01-29,1039.501
2016-02-29,1054.805
2016-03-31,1128.439
2016-04-29,1107.448
2016-05-31,1085.965
2016-06-30,1009.653
2016-07-29,1038.048
2016-08-31,1082.046
2016-09-30,1114.844
2016-10-31,1059.312
2016-11-30,1060.185
2016-12-30,1134.5
2017-01-31,1202.75
2017-02-28,1199.596
2017-03-31,1255.633
2017-04-28,1317.147
2017-05-31,1371.912
2017-06-30,1374.961
2017-07-31,1381.902
2017-08-31,1399.227
2017-09-29,1415.73
2017-10-31,1352.166
2017-11-30,1308.469
2017-12-29,1321.956
2018-01-31,1398.623
2018-02-28,1318.864
2018-03-30,1282.989
2018-04-30,1231.905
2018-05-31,1172.092
2018-06-29,1193.033
2018-07-31,1298.742
2018-08-31,1273.172
2018-09-28,1359.407
2018-10-31,1222.382
2018-11-30,1246.997
2018-12-31,1177.467
2019-01-31,1215.968
2019-02-28,1182.217
2019-03-29,1143.219
2019-04-30,1201.258
2019-05-31,1094.876
2019-06-28,1171.572
2019-07-31,1125.459
2019-08-30,1095.535
2019-09-30,1170.392
2019-10-31,1215.93
2019-11-29,1174.141
2019-12-31,1274.779
2020-01-31,1276.82
2020-02-28,1202.162
2020-03-31,954.274
2020-04-30,1050.412
2020-05-29,1100.504
2020-06-30,1146.18
2020-07-31,1258.511
2020-08-31,1307.453
2020-09-30,1229.788
2020-10-30,1187.159
2020-11-30,1408.55
2020-12-31,1366.503
2021-01-29,1413.245
2021-02-26,1470.536
2021-03-31,1576.716
2021-04-30,1637.043
2021-05-31,1657.126
2021-06-30,1698.127
2021-07-30,1757.423
2021-08-31,1745.67
2021-09-30,1837.512
2021-10-29,1935.113
2021-11-30,1840.335
2021-12-31,1860.399
2022-01-31,1759.254
2022-02-28,1614.381
2022-03-31,1621.713
2022-04-29,1684.49
2022-05-31,1646.391
2022-06-30,1464.335
2022-07-29,1577.331
2022-08-31,1448.79
2022-09-30,1341.632
2022-10-31,1476.477
2022-11-30,1597.215
2022-12-30,1611.593
2023-01-31,1719.203
2023-02-28,1776.372
2023-03-31,1721.852
2023-04-28,1805.949
2023-05-31,1647.753
2023-06-30,1754.968
2023-07-31,1832.082
2023-08-31,1741.766
2023-09-29,1771.656
2023-10-31,1658.146
2023-11-30,1861.186
2023-12-29,2119.055
2024-01-31,2054.848
2024-02-29,2210.655
2024-03-29,2210.295
2024-04-30,2101.227
2024-05-31,2258.385
2024-06-28,2230.505
2024-07-31,2302.792
2024-08-30,2384.725
2024-09-30,2383.692
2024-10-31,2339.754
2024-11-29,2276.224
2024-12-31,2249.998
2025-01-31,2423.738
2025-02-28,2682.885
2025-03-31,2627.593
2025-04-30,2772.378
2025-05-30,2868.677
2025-06-30,2882.073
2025-07-31,2830.676
2025-08-29,3005.65
2025-09-30,3038.971
2025-10-31,3107.016
2025-11-28,3218.981
