Date,SWEDEN LARGE VALUE Large Cap
2001-01-01,308.303
2001-01-02,312.534
2001-01-03,299.96
2001-01-04,313.368
2001-01-05,319.859
2001-01-08,322.034
2001-01-09,317.72
2001-01-10,313.808
2001-01-11,316.962
2001-01-12,315.74
2001-01-15,315.117
2001-01-16,309.997
2001-01-17,313.092
2001-01-18,320.328
2001-01-19,322.312
2001-01-22,320.262
2001-01-23,318.225
2001-01-24,318.504
2001-01-25,316.888
2001-01-26,315.719
2001-01-29,315.128
2001-01-30,319.251
2001-01-31,325.112
2001-02-01,327.564
2001-02-02,320.564
2001-02-05,317.15
2001-02-06,318.785
2001-02-07,316.748
2001-02-08,311.112
2001-02-09,310.926
2001-02-12,307.487
2001-02-13,302.578
2001-02-14,297.937
2001-02-15,306.318
2001-02-16,306.385
2001-02-19,311.511
2001-02-20,305.86
2001-02-21,302.871
2001-02-22,300.787
2001-02-23,299.56
2001-02-26,304.011
2001-02-27,306.895
2001-02-28,308.167
2001-03-01,306.46
2001-03-02,308.703
2001-03-05,307.192
2001-03-06,312.196
2001-03-07,313.929
2001-03-08,314.193
2001-03-09,312.542
2001-03-12,304.043
2001-03-13,298.771
2001-03-14,288.659
2001-03-15,292.252
2001-03-16,281.307
2001-03-19,275.888
2001-03-20,277.69
2001-03-21,267.944
2001-03-22,250.379
2001-03-23,259.87
2001-03-26,273.568
2001-03-27,275.505
2001-03-28,264.526
2001-03-29,257.436
2001-03-30,259.583
2001-04-02,250.124
2001-04-03,250.476
2001-04-04,257.814
2001-04-05,263.683
2001-04-06,261.972
2001-04-09,271.65
2001-04-10,272.452
2001-04-11,265.601
2001-04-12,264.436
2001-04-13,264.436
2001-04-16,261.665
2001-04-17,262.629
2001-04-18,266.671
2001-04-19,282.052
2001-04-20,280.216
2001-04-23,272.722
2001-04-24,271.232
2001-04-25,273.033
2001-04-26,272.636
2001-04-27,276.38
2001-04-30,278.388
2001-05-01,279.553
2001-05-02,275.658
2001-05-03,274.494
2001-05-04,280.813
2001-05-07,285.048
2001-05-08,277.452
2001-05-09,277.069
2001-05-10,284.86
2001-05-11,281.097
2001-05-14,279.717
2001-05-15,279.379
2001-05-16,279.886
2001-05-17,283.457
2001-05-18,286.076
2001-05-21,287.536
2001-05-22,283.454
2001-05-23,276.387
2001-05-24,275.496
2001-05-25,274.111
2001-05-28,272.703
2001-05-29,270.932
2001-05-30,268.458
2001-05-31,266.133
2001-06-01,265.095
2001-06-04,263.715
2001-06-05,268.465
2001-06-06,268.498
2001-06-07,265.548
2001-06-08,263.345
2001-06-11,257.06
2001-06-12,260.357
2001-06-13,267.876
2001-06-14,268.042
2001-06-15,273.657
2001-06-18,270.357
2001-06-19,264.783
2001-06-20,260.881
2001-06-21,259.646
2001-06-22,260.189
2001-06-25,263.971
2001-06-26,262.142
2001-06-27,262.46
2001-06-28,266.303
2001-06-29,266.445
2001-07-02,268.533
2001-07-03,268.523
2001-07-04,265.861
2001-07-05,262.302
2001-07-06,254.305
2001-07-09,249.024
2001-07-10,254.91
2001-07-11,254.233
2001-07-12,254.044
2001-07-13,257.205
2001-07-16,261.965
2001-07-17,255.414
2001-07-18,257.81
2001-07-19,261.005
2001-07-20,258.349
2001-07-23,259.054
2001-07-24,258.038
2001-07-25,258.04
2001-07-26,259.581
2001-07-27,262.329
2001-07-30,264.074
2001-07-31,265.668
2001-08-01,267.88
2001-08-02,269.425
2001-08-03,271.261
2001-08-06,270.896
2001-08-07,270.277
2001-08-08,270.806
2001-08-09,269.479
2001-08-10,267.582
2001-08-13,270.088
2001-08-14,272.349
2001-08-15,276.579
2001-08-16,275.193
2001-08-17,271.559
2001-08-20,262.967
2001-08-21,263.535
2001-08-22,272.912
2001-08-23,274.197
2001-08-24,279.463
2001-08-27,278.474
2001-08-28,275.387
2001-08-29,273.938
2001-08-30,269.026
2001-08-31,268.811
2001-09-03,261.749
2001-09-04,260.685
2001-09-05,262.783
2001-09-06,260.417
2001-09-07,258.182
2001-09-10,253.891
2001-09-11,239.04
2001-09-12,242.23
2001-09-13,247.019
2001-09-14,246.507
2001-09-17,245.021
2001-09-18,236.098
2001-09-19,237.108
2001-09-20,222.204
2001-09-21,210.095
2001-09-24,217.284
2001-09-25,222.891
2001-09-26,218.888
2001-09-27,220.677
2001-09-28,225.581
2001-10-01,224.726
2001-10-02,225.566
2001-10-03,222.934
2001-10-04,232.218
2001-10-05,230.912
2001-10-08,228.854
2001-10-09,230.389
2001-10-10,233.019
2001-10-11,243.205
2001-10-12,244.793
2001-10-15,240.092
2001-10-16,240.413
2001-10-17,247.846
2001-10-18,241.269
2001-10-19,236.765
2001-10-22,232.932
2001-10-23,237.935
2001-10-24,243.011
2001-10-25,237.57
2001-10-26,240.506
2001-10-29,239.474
2001-10-30,228.833
2001-10-31,228.99
2001-11-01,229.623
2001-11-02,229.279
2001-11-05,232.56
2001-11-06,235.158
2001-11-07,239.797
2001-11-08,244.651
2001-11-09,240.188
2001-11-12,237.662
2001-11-13,243.679
2001-11-14,246.189
2001-11-15,248.552
2001-11-16,251.884
2001-11-19,253.012
2001-11-20,247.928
2001-11-21,248.104
2001-11-22,252.763
2001-11-23,252.991
2001-11-26,254.123
2001-11-27,254.774
2001-11-28,252.947
2001-11-29,252.897
2001-11-30,252.783
2001-12-03,251.373
2001-12-04,255.185
2001-12-05,265.629
2001-12-06,267.278
2001-12-07,268.021
2001-12-10,263.394
2001-12-11,260.816
2001-12-12,261.568
2001-12-13,260.792
2001-12-14,255.954
2001-12-17,261.688
2001-12-18,263.673
2001-12-19,260.103
2001-12-20,256.428
2001-12-21,258.74
2001-12-24,255.321
2001-12-25,255.321
2001-12-26,254.453
2001-12-27,262.583
2001-12-28,266.704
2001-12-31,268.871
2002-01-01,268.871
2002-01-02,270.621
2002-01-03,280.837
2002-01-04,281.016
2002-01-07,279.023
2002-01-08,272.971
2002-01-09,276.041
2002-01-10,275.443
2002-01-11,277.331
2002-01-14,268.817
2002-01-15,265.967
2002-01-16,258.802
2002-01-17,262.117
2002-01-18,265.108
2002-01-21,264.03
2002-01-22,264.012
2002-01-23,266.78
2002-01-24,264.624
2002-01-25,260.168
2002-01-28,259.709
2002-01-29,256.222
2002-01-30,252.922
2002-01-31,259.318
2002-02-01,262.147
2002-02-04,264.024
2002-02-05,264.025
2002-02-06,261.935
2002-02-07,261.31
2002-02-08,263.9
2002-02-11,268.388
2002-02-12,268.617
2002-02-13,268.213
2002-02-14,270.394
2002-02-15,269.642
2002-02-18,264.815
2002-02-19,263.482
2002-02-20,260.741
2002-02-21,264.277
2002-02-22,263.71
2002-02-25,265.904
2002-02-26,268.933
2002-02-27,274.496
2002-02-28,276.868
2002-03-01,276.666
2002-03-04,288.679
2002-03-05,289.859
2002-03-06,287.054
2002-03-07,289.855
2002-03-08,290.566
2002-03-11,289.425
2002-03-12,288.018
2002-03-13,289.946
2002-03-14,291.418
2002-03-15,291.446
2002-03-18,290.582
2002-03-19,290.649
2002-03-20,292.914
2002-03-21,294.482
2002-03-22,296.382
2002-03-25,292.186
2002-03-26,290.367
2002-03-27,287.831
2002-03-28,289.608
2002-03-29,289.608
2002-04-01,292.467
2002-04-02,292.623
2002-04-03,289.797
2002-04-04,288.86
2002-04-05,290.903
2002-04-08,286.534
2002-04-09,287.299
2002-04-10,289.492
2002-04-11,289.72
2002-04-12,290.113
2002-04-15,290.959
2002-04-16,297.696
2002-04-17,301.043
2002-04-18,299.685
2002-04-19,300.45
2002-04-22,293.834
2002-04-23,295.321
2002-04-24,290.778
2002-04-25,286.104
2002-04-26,295.548
2002-04-29,294.62
2002-04-30,295.761
2002-05-01,297.498
2002-05-02,296.757
2002-05-03,295.769
2002-05-06,295.16
2002-05-07,295.067
2002-05-08,300.605
2002-05-09,300.088
2002-05-10,300.445
2002-05-13,299.085
2002-05-14,301.111
2002-05-15,301.973
2002-05-16,302.068
2002-05-17,305.345
2002-05-20,306.215
2002-05-21,302.928
2002-05-22,303.752
2002-05-23,304.931
2002-05-24,305.645
2002-05-27,305.153
2002-05-28,305.628
2002-05-29,303.705
2002-05-30,302.419
2002-05-31,299.885
2002-06-03,301.463
2002-06-04,298.275
2002-06-05,294.388
2002-06-06,291.549
2002-06-07,282.164
2002-06-10,285.298
2002-06-11,280.744
2002-06-12,272.199
2002-06-13,273.735
2002-06-14,272.595
2002-06-17,275.457
2002-06-18,277.255
2002-06-19,268.529
2002-06-20,255.353
2002-06-21,256.931
2002-06-24,257.867
2002-06-25,264.11
2002-06-26,265.029
2002-06-27,264.055
2002-06-28,269.36
2002-07-01,274.289
2002-07-02,268.765
2002-07-03,257.218
2002-07-04,260.149
2002-07-05,268.3
2002-07-08,272.209
2002-07-09,267.762
2002-07-10,259.898
2002-07-11,245.343
2002-07-12,246.635
2002-07-15,242.042
2002-07-16,243.07
2002-07-17,256.053
2002-07-18,247.305
2002-07-19,235.182
2002-07-22,214.694
2002-07-23,203.28
2002-07-24,195.116
2002-07-25,208.057
2002-07-26,191.358
2002-07-29,209.951
2002-07-30,215.644
2002-07-31,218.843
2002-08-01,212.18
2002-08-02,198.819
2002-08-05,191.371
2002-08-06,197.176
2002-08-07,199.525
2002-08-08,203.991
2002-08-09,200.397
2002-08-12,203.162
2002-08-13,204.839
2002-08-14,202.637
2002-08-15,207.673
2002-08-16,205.408
2002-08-19,212.125
2002-08-20,213.545
2002-08-21,224.622
2002-08-22,245.346
2002-08-23,232.83
2002-08-26,232.152
2002-08-27,234.855
2002-08-28,234.007
2002-08-29,232.467
2002-08-30,230.465
2002-09-02,226.654
2002-09-03,217.64
2002-09-04,217.341
2002-09-05,216.065
2002-09-06,224.236
2002-09-09,219.122
2002-09-10,217.993
2002-09-11,229.639
2002-09-12,221.368
2002-09-13,218.538
2002-09-16,220.514
2002-09-17,216.599
2002-09-18,206.229
2002-09-19,204.668
2002-09-20,203.239
2002-09-23,195.768
2002-09-24,192.671
2002-09-25,191.083
2002-09-26,196.008
2002-09-27,195.363
2002-09-30,183.24
2002-10-01,186.158
2002-10-02,191.183
2002-10-03,186.065
2002-10-04,181.028
2002-10-07,168.116
2002-10-08,164.083
2002-10-09,163.689
2002-10-10,172.275
2002-10-11,187.744
2002-10-14,181.161
2002-10-15,195.863
2002-10-16,191.78
2002-10-17,186.441
2002-10-18,190.869
2002-10-21,201.016
2002-10-22,198.887
2002-10-23,189.253
2002-10-24,199.896
2002-10-25,198.559
2002-10-28,207.417
2002-10-29,197.174
2002-10-30,204.902
2002-10-31,212.538
2002-11-01,208.246
2002-11-04,222.533
2002-11-05,232.038
2002-11-06,227.643
2002-11-07,223.007
2002-11-08,221.673
2002-11-11,224.467
2002-11-12,232.322
2002-11-13,233.915
2002-11-14,238.639
2002-11-15,236.07
2002-11-18,242.659
2002-11-19,236.642
2002-11-20,235.473
2002-11-21,247.97
2002-11-22,255.147
2002-11-25,251.252
2002-11-26,242.658
2002-11-27,252.396
2002-11-28,255.977
2002-11-29,247.496
2002-12-02,243.014
2002-12-03,237.146
2002-12-04,235.872
2002-12-05,237.15
2002-12-06,239.15
2002-12-09,236.958
2002-12-10,234.615
2002-12-11,233.239
2002-12-12,226.176
2002-12-13,229.788
2002-12-16,231.295
2002-12-17,228.1
2002-12-18,220.286
2002-12-19,219.016
2002-12-20,219.02
2002-12-23,218.327
