Date,SWEDEN LARGE VALUE Large Cap
2001-01-01,285.872
2001-01-02,289.796
2001-01-03,278.136
2001-01-04,290.569
2001-01-05,296.587
2001-01-08,298.604
2001-01-09,294.604
2001-01-10,290.976
2001-01-11,293.902
2001-01-12,292.768
2001-01-15,292.19
2001-01-16,287.442
2001-01-17,290.313
2001-01-18,297.022
2001-01-19,298.862
2001-01-22,296.961
2001-01-23,295.073
2001-01-24,295.331
2001-01-25,293.833
2001-01-26,292.749
2001-01-29,292.201
2001-01-30,296.024
2001-01-31,301.458
2001-02-01,303.732
2001-02-02,297.241
2001-02-05,294.075
2001-02-06,295.591
2001-02-07,293.703
2001-02-08,288.477
2001-02-09,288.304
2001-02-12,285.115
2001-02-13,280.563
2001-02-14,276.26
2001-02-15,284.031
2001-02-16,284.093
2001-02-19,288.847
2001-02-20,283.607
2001-02-21,280.836
2001-02-22,278.903
2001-02-23,277.765
2001-02-26,281.892
2001-02-27,284.567
2001-02-28,285.746
2001-03-01,284.163
2001-03-02,286.243
2001-03-05,284.842
2001-03-06,289.481
2001-03-07,291.089
2001-03-08,291.334
2001-03-09,289.803
2001-03-12,281.922
2001-03-13,277.034
2001-03-14,267.657
2001-03-15,270.988
2001-03-16,260.84
2001-03-19,255.816
2001-03-20,257.486
2001-03-21,248.449
2001-03-22,232.162
2001-03-23,240.962
2001-03-26,253.665
2001-03-27,255.461
2001-03-28,245.28
2001-03-29,238.706
2001-03-30,240.697
2001-04-02,231.926
2001-04-03,232.657
2001-04-04,239.473
2001-04-05,244.924
2001-04-06,243.9
2001-04-09,253.087
2001-04-10,253.835
2001-04-11,248.041
2001-04-12,246.953
2001-04-13,246.953
2001-04-16,244.365
2001-04-17,245.266
2001-04-18,249.04
2001-04-19,263.405
2001-04-20,261.689
2001-04-23,254.691
2001-04-24,253.3
2001-04-25,255.412
2001-04-26,255.397
2001-04-27,258.905
2001-04-30,260.785
2001-05-01,261.877
2001-05-02,258.228
2001-05-03,257.138
2001-05-04,263.057
2001-05-07,267.025
2001-05-08,259.909
2001-05-09,259.55
2001-05-10,266.849
2001-05-11,263.323
2001-05-14,262.031
2001-05-15,261.714
2001-05-16,262.189
2001-05-17,265.534
2001-05-18,267.987
2001-05-21,269.355
2001-05-22,265.532
2001-05-23,258.911
2001-05-24,258.077
2001-05-25,256.779
2001-05-28,255.46
2001-05-29,253.801
2001-05-30,251.484
2001-05-31,249.305
