Date,SINGAPORE LARGE GROWTH Large Cap
2001-01-01,749.144
2001-01-02,742.699
2001-01-03,735.41
2001-01-04,740.069
2001-01-05,756.99
2001-01-08,743.403
2001-01-09,758.466
2001-01-10,743.994
2001-01-11,736.993
2001-01-12,751.274
2001-01-15,756.315
2001-01-16,752.293
2001-01-17,753.137
2001-01-18,747.643
2001-01-19,757.009
2001-01-22,748.67
2001-01-23,749.182
2001-01-24,749.182
2001-01-25,749.871
2001-01-26,757.508
2001-01-29,762.964
2001-01-30,754.493
2001-01-31,757.942
2001-02-01,752.545
2001-02-02,743.493
2001-02-05,747.349
2001-02-06,753.986
2001-02-07,764.314
2001-02-08,784.212
2001-02-09,773.768
2001-02-12,783.297
2001-02-13,786.185
2001-02-14,765.66
2001-02-15,751.534
2001-02-16,750.294
2001-02-19,744.498
2001-02-20,754.575
2001-02-21,750.408
2001-02-22,737.364
2001-02-23,742.053
2001-02-26,748.536
2001-02-27,740.179
2001-02-28,749.791
2001-03-01,742.387
2001-03-02,746.706
2001-03-05,741.531
2001-03-06,742.165
2001-03-07,728.113
2001-03-08,722.306
2001-03-09,721.087
2001-03-12,711.175
2001-03-13,674.51
2001-03-14,673.989
2001-03-15,662.608
2001-03-16,653.205
2001-03-19,641.16
2001-03-20,635.914
2001-03-21,637.99
2001-03-22,629.195
2001-03-23,640.771
2001-03-26,606.779
2001-03-27,556.118
2001-03-28,561.714
2001-03-29,545.693
2001-03-30,553.403
2001-04-02,530.441
2001-04-03,541.041
2001-04-04,539.967
2001-04-05,552.566
2001-04-06,555.298
2001-04-09,532.118
2001-04-10,543.491
2001-04-11,540.56
2001-04-12,528.534
2001-04-13,528.534
2001-04-16,529.14
2001-04-17,525.221
2001-04-18,542.62
2001-04-19,540.081
2001-04-20,540.8
2001-04-23,546.276
2001-04-24,540.552
2001-04-25,537.87
2001-04-26,528.86
2001-04-27,533.577
2001-04-30,539.737
2001-05-01,541.968
2001-05-02,536.583
2001-05-03,533.588
2001-05-04,521.855
2001-05-07,521.141
2001-05-08,512.067
2001-05-09,518.668
2001-05-10,520.03
2001-05-11,519.059
2001-05-14,508.428
2001-05-15,516.093
2001-05-16,515.533
2001-05-17,523.3
2001-05-18,523.178
2001-05-21,514.16
2001-05-22,514.191
2001-05-23,515.81
2001-05-24,518.147
2001-05-25,510.455
2001-05-28,506.944
2001-05-29,505.68
2001-05-30,504.837
2001-05-31,503.722
2001-06-01,501.702
2001-06-04,502.399
2001-06-05,501.185
2001-06-06,498.804
2001-06-07,502.007
2001-06-08,510.982
2001-06-11,498.473
2001-06-12,500.703
2001-06-13,510.857
2001-06-14,519.557
2001-06-15,528.19
2001-06-18,519.137
2001-06-19,518.455
2001-06-20,521.246
2001-06-21,516.414
2001-06-22,537.21
2001-06-25,532.075
2001-06-26,528.215
2001-06-27,521.742
2001-06-28,519.084
2001-06-29,524.398
2001-07-02,511.157
2001-07-03,512.704
2001-07-04,509.835
2001-07-05,504.505
2001-07-06,503.662
2001-07-09,511.471
2001-07-10,518.165
2001-07-11,513.783
2001-07-12,520.845
2001-07-13,506.989
2001-07-16,504.099
2001-07-17,499.905
2001-07-18,497.062
2001-07-19,491.794
2001-07-20,500.551
2001-07-23,493.621
2001-07-24,489.376
2001-07-25,496.647
2001-07-26,505.678
2001-07-27,500.721
2001-07-30,509.735
2001-07-31,518.165
2001-08-01,512.909
2001-08-02,516.032
2001-08-03,507.505
2001-08-06,510.076
2001-08-07,515.691
2001-08-08,509.196
2001-08-09,509.225
2001-08-10,515.992
2001-08-13,510.713
2001-08-14,519.281
