Date,SINGAPORE LARGE GROWTH Large Cap
2022-05-31,767.18
2022-06-30,681.79
2022-07-29,742.743
2022-08-31,700.29
2022-09-30,667.826
2022-10-31,651.278
2022-11-30,738.679
2022-12-30,710.758
2023-01-31,789.01
2023-02-28,738.616
2023-03-31,809.566
2023-04-28,785.002
2023-05-31,687.987
2023-06-30,709.302
2023-07-31,792.14
2023-08-31,634.934
2023-09-29,659.302
2023-10-31,629.137
2023-11-30,607.999
2023-12-29,655.654
2024-01-31,619.826
2024-02-29,663.654
2024-03-29,718.82
2024-04-30,768.984
2024-05-31,814.178
2024-06-28,824.597
2024-07-31,822.409
2024-08-30,890.84
2024-09-30,990.578
2024-10-31,980.099
2024-11-29,1119.38
2024-12-31,1088.813
2025-01-31,1182.696
2025-02-28,1226.739
2025-03-31,1250.44
2025-04-30,1271.285
2025-05-30,1425.076
2025-06-30,1436.993
2025-07-31,1461.658
2025-08-29,1650.317
2025-09-30,1622.568
2025-10-31,1575.376
