Date,IRELAND VALUE Standard (Large+Mid Cap)
2001-01-01,364.849
2001-01-02,380.943
2001-01-03,380.655
2001-01-04,390.206
2001-01-05,391.058
2001-01-08,385.146
2001-01-09,379.441
2001-01-10,374.966
2001-01-11,381.775
2001-01-12,381.239
2001-01-15,374.508
2001-01-16,373.231
2001-01-17,368.626
2001-01-18,375.996
2001-01-19,371.075
2001-01-22,370.446
2001-01-23,369.603
2001-01-24,363.644
2001-01-25,363.527
2001-01-26,361.349
2001-01-29,359.241
2001-01-30,366.551
2001-01-31,372.789
2001-02-01,373.972
2001-02-02,370.183
2001-02-05,370.899
2001-02-06,369.269
2001-02-07,366.984
2001-02-08,358.244
2001-02-09,354.943
2001-02-12,355.41
2001-02-13,350.126
2001-02-14,348.548
2001-02-15,346.553
2001-02-16,352.941
2001-02-19,352.156
2001-02-20,348.659
2001-02-21,348.578
2001-02-22,344.991
2001-02-23,347.112
2001-02-26,344.421
2001-02-27,352.741
2001-02-28,354.259
2001-03-01,358.656
2001-03-02,357.717
2001-03-05,357.627
2001-03-06,350.59
2001-03-07,352.968
2001-03-08,354.597
2001-03-09,352.121
2001-03-12,350.216
2001-03-13,340.95
2001-03-14,336.235
2001-03-15,325.437
2001-03-16,320.07
2001-03-19,322.877
2001-03-20,326.812
2001-03-21,314.555
2001-03-22,296.421
2001-03-23,304.303
2001-03-26,314.059
2001-03-27,325.938
2001-03-28,320.028
2001-03-29,310.862
2001-03-30,320.151
2001-04-02,322.856
2001-04-03,319.264
2001-04-04,324.665
2001-04-05,325.46
2001-04-06,329.3
2001-04-09,334.188
2001-04-10,336.969
2001-04-11,332.121
2001-04-12,335.044
2001-04-13,335.044
2001-04-16,331.612
2001-04-17,328.019
2001-04-18,327.127
2001-04-19,328.807
2001-04-20,338.168
2001-04-23,337.524
2001-04-24,338.338
2001-04-25,337.3
2001-04-26,340.761
2001-04-27,340.971
2001-04-30,344.319
2001-05-01,343.265
2001-05-02,348.739
2001-05-03,352.023
2001-05-04,353.25
2001-05-07,351.809
2001-05-08,356.037
2001-05-09,356.889
2001-05-10,360.112
2001-05-11,360.93
2001-05-14,359.384
2001-05-15,356.769
2001-05-16,358.161
2001-05-17,364.311
2001-05-18,367.875
2001-05-21,371.252
2001-05-22,368.388
2001-05-23,361.148
2001-05-24,350.385
2001-05-25,347.808
2001-05-28,349.928
2001-05-29,347.115
2001-05-30,347.999
2001-05-31,345.909
2001-06-01,346.796
2001-06-04,347.267
2001-06-05,351.333
2001-06-06,351.933
2001-06-07,355.172
2001-06-08,351.278
2001-06-11,346.073
2001-06-12,346.646
2001-06-13,351.167
2001-06-14,352.756
2001-06-15,355.083
2001-06-18,356.628
2001-06-19,356.597
2001-06-20,350.46
2001-06-21,348.531
2001-06-22,352.351
2001-06-25,356.174
2001-06-26,349.694
2001-06-27,348.759
2001-06-28,344.297
2001-06-29,344.802
2001-07-02,346.815
2001-07-03,353.049
2001-07-04,353.624
2001-07-05,344.277
2001-07-06,341.549
2001-07-09,347.006
2001-07-10,352.956
2001-07-11,350.33
2001-07-12,349.661
2001-07-13,350.419
2001-07-16,351.953
2001-07-17,349.961
2001-07-18,357.926
2001-07-19,355.703
2001-07-20,356.613
2001-07-23,355.946
2001-07-24,356.341
2001-07-25,352.025
2001-07-26,348.132
2001-07-27,347.633
2001-07-30,345.315
2001-07-31,346.499
2001-08-01,346.531
2001-08-02,350.399
2001-08-03,352.03
2001-08-06,351.764
2001-08-07,355.349
2001-08-08,353.213
2001-08-09,351.929
2001-08-10,355.582
2001-08-13,357.5
2001-08-14,358.323
2001-08-15,363.579
2001-08-16,367.437
2001-08-17,366.366
2001-08-20,366.097
2001-08-21,372.525
2001-08-22,373.684
2001-08-23,368.296
2001-08-24,367.422
2001-08-27,366.102
2001-08-28,366.065
2001-08-29,364.854
2001-08-30,359.727
2001-08-31,356.749
2001-09-03,354.347
2001-09-04,345.858
2001-09-05,341.947
2001-09-06,341.574
2001-09-07,341.968
2001-09-10,333.014
2001-09-11,333.188
2001-09-12,321.272
2001-09-13,320.255
2001-09-14,321.556
2001-09-17,315.929
2001-09-18,312.284
2001-09-19,310.06
2001-09-20,295.179
2001-09-21,280.516
2001-09-24,288.336
2001-09-25,287.604
2001-09-26,292.102
2001-09-27,292.442
2001-09-28,292.779
2001-10-01,293.436
2001-10-02,290.908
2001-10-03,291.417
2001-10-04,303.47
2001-10-05,317.245
2001-10-08,310.216
2001-10-09,311.846
2001-10-10,311.956
2001-10-11,310.583
2001-10-12,316.339
2001-10-15,317.974
2001-10-16,323.473
2001-10-17,327.806
2001-10-18,321.942
2001-10-19,310.798
2001-10-22,306.91
2001-10-23,311.884
2001-10-24,312.888
2001-10-25,312.73
2001-10-26,314.415
2001-10-29,318.456
2001-10-30,317.079
2001-10-31,315.283
2001-11-01,307.762
2001-11-02,306.554
2001-11-05,306.46
2001-11-06,309.385
2001-11-07,306.432
2001-11-08,305.414
2001-11-09,304.15
2001-11-12,304.031
2001-11-13,302.762
