Date,IRELAND VALUE Standard (Large+Mid Cap)
2001-01-01,364.849
2001-01-02,380.943
2001-01-03,380.655
2001-01-04,390.206
2001-01-05,391.058
2001-01-08,385.146
2001-01-09,379.441
2001-01-10,374.966
2001-01-11,381.775
2001-01-12,381.239
2001-01-15,374.508
2001-01-16,373.231
2001-01-17,368.626
2001-01-18,375.996
2001-01-19,371.075
2001-01-22,370.446
2001-01-23,369.603
2001-01-24,363.644
2001-01-25,363.527
2001-01-26,361.349
2001-01-29,359.241
2001-01-30,366.551
2001-01-31,372.789
2001-02-01,373.972
2001-02-02,370.183
2001-02-05,370.899
2001-02-06,369.269
2001-02-07,366.984
2001-02-08,358.244
2001-02-09,354.943
2001-02-12,355.41
2001-02-13,350.126
2001-02-14,348.548
2001-02-15,346.553
2001-02-16,352.941
2001-02-19,352.156
2001-02-20,348.659
2001-02-21,348.578
2001-02-22,344.991
2001-02-23,347.112
2001-02-26,344.421
2001-02-27,352.741
2001-02-28,354.259
2001-03-01,358.656
2001-03-02,357.717
2001-03-05,357.627
2001-03-06,350.59
2001-03-07,352.968
2001-03-08,354.597
2001-03-09,352.121
2001-03-12,350.216
2001-03-13,340.95
2001-03-14,336.235
2001-03-15,325.437
2001-03-16,320.07
2001-03-19,322.877
2001-03-20,326.812
2001-03-21,314.555
2001-03-22,296.421
2001-03-23,304.303
2001-03-26,314.059
2001-03-27,325.938
2001-03-28,320.028
2001-03-29,310.862
2001-03-30,320.151
2001-04-02,322.856
2001-04-03,319.264
2001-04-04,324.665
2001-04-05,325.46
2001-04-06,329.3
2001-04-09,334.188
2001-04-10,336.969
2001-04-11,332.014
2001-04-12,334.935
2001-04-13,334.935
2001-04-16,331.505
2001-04-17,327.912
2001-04-18,327.02
2001-04-19,328.7
2001-04-20,338.058
2001-04-23,337.414
2001-04-24,338.228
2001-04-25,337.008
2001-04-26,340.466
2001-04-27,340.676
2001-04-30,344.021
2001-05-01,342.968
2001-05-02,348.437
2001-05-03,351.718
2001-05-04,352.944
2001-05-07,351.504
2001-05-08,355.729
2001-05-09,356.58
2001-05-10,359.8
2001-05-11,360.617
2001-05-14,359.072
2001-05-15,356.46
2001-05-16,357.851
2001-05-17,363.996
2001-05-18,367.556
2001-05-21,370.931
2001-05-22,368.069
2001-05-23,360.81
2001-05-24,350.057
2001-05-25,347.483
2001-05-28,349.6
2001-05-29,346.79
2001-05-30,347.673
2001-05-31,345.586
2001-06-01,346.472
2001-06-04,346.943
2001-06-05,351.004
2001-06-06,351.604
2001-06-07,354.84
2001-06-08,350.949
2001-06-11,345.749
2001-06-12,346.322
2001-06-13,350.82
2001-06-14,352.408
2001-06-15,354.733
2001-06-18,356.276
2001-06-19,356.245
2001-06-20,350.114
2001-06-21,348.187
2001-06-22,352.004
2001-06-25,355.823
2001-06-26,349.349
2001-06-27,348.415
2001-06-28,343.957
2001-06-29,344.462
2001-07-02,346.472
2001-07-03,352.701
2001-07-04,353.275
2001-07-05,343.938
2001-07-06,341.212
2001-07-09,346.664
2001-07-10,352.607
2001-07-11,349.984
2001-07-12,349.316
2001-07-13,350.073
2001-07-16,351.606
2001-07-17,349.615
2001-07-18,357.573
2001-07-19,355.352
2001-07-20,356.261
2001-07-23,355.595
2001-07-24,355.989
2001-07-25,351.661
2001-07-26,347.772
2001-07-27,347.274
2001-07-30,344.958
2001-07-31,346.141
2001-08-01,346.172
2001-08-02,350.037
2001-08-03,351.666
2001-08-06,351.4
2001-08-07,354.982
2001-08-08,352.547
2001-08-09,351.265
2001-08-10,354.911
2001-08-13,356.825
2001-08-14,357.647
2001-08-15,362.893
2001-08-16,366.744
2001-08-17,365.675
2001-08-20,365.406
2001-08-21,371.823
2001-08-22,372.979
2001-08-23,367.601
2001-08-24,366.729
2001-08-27,365.412
2001-08-28,365.374
2001-08-29,364.166
2001-08-30,359.049
2001-08-31,356.076
2001-09-03,353.679
2001-09-04,345.206
2001-09-05,341.302
2001-09-06,340.93
2001-09-07,341.323
2001-09-10,332.386
2001-09-11,332.56
2001-09-12,320.666
2001-09-13,319.651
2001-09-14,320.95
2001-09-17,315.333
2001-09-18,311.695
2001-09-19,309.475
2001-09-20,294.623
2001-09-21,279.987
2001-09-24,287.792
2001-09-25,287.061
2001-09-26,291.551
2001-09-27,291.89
2001-09-28,292.227
2001-10-01,292.882
2001-10-02,290.359
2001-10-03,290.867
2001-10-04,302.897
2001-10-05,316.647
2001-10-08,309.63
2001-10-09,311.258
2001-10-10,311.368
2001-10-11,309.997
2001-10-12,315.743
2001-10-15,317.374
2001-10-16,322.863
2001-10-17,327.187
2001-10-18,321.335
2001-10-19,310.212
2001-10-22,306.331
2001-10-23,311.296
2001-10-24,312.298
2001-10-25,312.14
2001-10-26,313.822
2001-10-29,317.855
2001-10-30,316.481
2001-10-31,314.688
2001-11-01,307.182
2001-11-02,305.976
2001-11-05,305.882
2001-11-06,308.801
2001-11-07,305.854
2001-11-08,304.838
2001-11-09,303.576
2001-11-12,303.457
2001-11-13,302.191
