Date,SINGAPORE MID GROWTH Mid Cap
1994-05-31,639.908
1994-06-30,607.413
1994-07-29,613.151
1994-08-31,638.734
1994-09-30,663.343
1994-10-31,695.249
1994-11-30,621.954
1994-12-30,613.028
1995-01-31,576.113
1995-02-28,575.876
1995-03-31,575.929
1995-04-28,588.002
1995-05-31,627.114
1995-06-30,621.857
1995-07-31,651.087
1995-08-31,658.344
1995-09-29,689.504
1995-10-31,687.89
1995-11-30,726.625
1995-12-29,826.696
1996-01-31,840.337
1996-02-29,834.213
1996-03-29,812.34
1996-04-30,825.975
1996-05-31,799.347
1996-06-28,756.539
1996-07-31,626.991
1996-08-30,655.005
1996-09-30,652.452
1996-10-31,622.006
1996-11-29,679.255
1996-12-31,726.353
1997-01-31,769.317
1997-02-28,784.602
1997-03-31,700.319
1997-04-30,739.975
1997-05-30,842.85
1997-06-30,809.067
1997-07-31,835.642
1997-08-29,699.332
1997-09-30,760.968
1997-10-31,627.242
1997-11-28,614.526
1997-12-31,522.579
1998-01-30,435.843
1998-02-27,579.068
1998-03-31,633.791
1998-04-30,593.425
1998-05-29,472.682
1998-06-30,427.876
1998-07-31,429.641
1998-08-31,378.849
1998-09-30,411.829
1998-10-30,474.932
1998-11-30,541.762
1998-12-31,538.633
1999-01-29,574.132
1999-02-26,522.234
1999-03-31,539.773
1999-04-30,610.077
1999-05-31,642.355
1999-06-30,742.684
1999-07-30,775.596
1999-08-31,745.988
1999-09-30,693.413
1999-10-29,732.828
1999-11-30,766.927
1999-12-31,963.389
2000-01-31,978.078
2000-02-29,998.395
2000-03-31,1028.911
2000-04-28,902.201
2000-05-31,707.19
2000-06-30,796.573
2000-07-31,754.867
2000-08-31,794.975
2000-09-29,691.195
2000-10-31,610.444
2000-11-30,579.911
2000-12-29,523.599
2001-01-31,654.055
2001-02-28,578.013
2001-03-30,483.206
2001-04-30,509.574
2001-05-31,502.731
2001-06-29,492.676
2001-07-31,480.2
2001-08-31,474.253
2001-09-28,374.135
2001-10-31,394.712
2001-11-30,418.538
2001-12-31,465.008
2002-01-31,504.041
2002-02-28,491.863
2002-03-29,512.815
2002-04-30,489.896
2002-05-31,458.397
2002-06-28,426.391
2002-07-31,389.857
2002-08-30,391.402
2002-09-30,346.158
2002-10-31,375.685
2002-11-29,385.091
2002-12-31,355.34
2003-01-31,351.469
2003-02-28,357.462
2003-03-31,364.044
2003-04-30,377.0
2003-05-30,402.483
2003-06-30,419.428
2003-07-31,445.718
2003-08-29,462.268
2003-09-30,460.225
2003-10-31,471.891
2003-11-28,476.908
2003-12-31,494.766
2004-01-30,517.514
2004-02-27,514.872
2004-03-31,498.994
2004-04-30,504.439
2004-05-31,491.293
2004-06-30,492.02
2004-07-30,494.731
2004-08-31,504.539
2004-09-30,541.796
2004-10-29,539.488
2004-11-30,561.423
2004-12-31,577.464
2005-01-31,572.137
2005-02-28,575.191
2005-03-31,558.817
2005-04-29,576.01
2005-05-31,566.585
2005-06-30,583.701
2005-07-29,634.306
2005-08-31,614.12
2005-09-30,624.319
2005-10-31,588.041
2005-11-30,592.995
2005-12-30,624.513
2006-01-31,666.144
2006-02-28,693.123
2006-03-31,745.861
2006-04-28,766.757
2006-05-31,687.805
2006-06-30,708.313
2006-07-31,700.645
2006-08-31,722.462
2006-09-29,726.358
2006-10-31,780.399
2006-11-30,798.643
2006-12-29,824.938
2007-01-31,899.82
2007-02-28,898.1
2007-03-30,932.94
2007-04-30,977.532
2007-05-31,1000.0
2007-06-29,1108.568
2007-07-31,1128.884
2007-08-31,1099.173
2007-09-28,1271.975
2007-10-31,1436.192
2007-11-30,1333.73
2007-12-31,1329.542
2008-01-31,1115.687
2008-02-29,1151.916
2008-03-31,1115.993
2008-04-30,1226.409
2008-05-30,1269.207
2008-06-30,1151.749
2008-07-31,1100.3
2008-08-29,986.643
2008-09-30,797.843
2008-10-31,563.202
2008-11-28,519.514
2008-12-31,582.464
